     i         log_r      log_rmid             m           rho            v2             p        trelax            kn
     0  -1.946065e+00  -2.247095e+00  4.936565e-05  1.020334e+02  1.443555e-02  1.472908e+00  8.157198e-02  1.098986e+01
     1  -1.925946e+00  -1.935889e+00  5.419782e-05  6.698578e+01  1.910764e-02  1.279940e+00  1.079975e-01  1.178923e+01
     2  -1.906070e+00  -1.915894e+00  5.950000e-05  6.480277e+01  1.953732e-02  1.266073e+00  1.104012e-01  1.185362e+01
     3  -1.886394e+00  -1.896121e+00  6.531955e-05  6.267580e+01  1.997837e-02  1.252160e+00  1.128808e-01  1.191928e+01
     4  -1.866878e+00  -1.876527e+00  7.170956e-05  6.060065e+01  2.043168e-02  1.238173e+00  1.154438e-01  1.198642e+01
     5  -1.847516e+00  -1.857089e+00  7.871809e-05  5.857531e+01  2.089778e-02  1.224094e+00  1.180960e-01  1.205515e+01
     6  -1.828276e+00  -1.837789e+00  8.640670e-05  5.659833e+01  2.137713e-02  1.209910e+00  1.208430e-01  1.212561e+01
     7  -1.809127e+00  -1.818596e+00  9.484598e-05  5.466709e+01  2.187056e-02  1.195600e+00  1.236927e-01  1.219796e+01
     8  -1.790055e+00  -1.799486e+00  1.041061e-04  5.278003e+01  2.237871e-02  1.181149e+00  1.266522e-01  1.227235e+01
     9  -1.771048e+00  -1.780448e+00  1.142643e-04  5.093659e+01  2.290200e-02  1.166550e+00  1.297279e-01  1.234891e+01
    10  -1.752095e+00  -1.761468e+00  1.254043e-04  4.913635e+01  2.344084e-02  1.151797e+00  1.329262e-01  1.242774e+01
    11  -1.733174e+00  -1.742531e+00  1.376269e-04  4.737838e+01  2.399580e-02  1.136882e+00  1.362549e-01  1.250899e+01
    12  -1.714275e+00  -1.723622e+00  1.510336e-04  4.566195e+01  2.456744e-02  1.121797e+00  1.397223e-01  1.259282e+01
    13  -1.695385e+00  -1.704727e+00  1.657433e-04  4.398663e+01  2.515623e-02  1.106538e+00  1.433364e-01  1.267935e+01
    14  -1.676512e+00  -1.685846e+00  1.818648e-04  4.235275e+01  2.576236e-02  1.091107e+00  1.471044e-01  1.276870e+01
    15  -1.657628e+00  -1.666967e+00  1.995513e-04  4.075998e+01  2.638625e-02  1.075503e+00  1.510349e-01  1.286099e+01
    16  -1.638738e+00  -1.648080e+00  2.189405e-04  3.920787e+01  2.702835e-02  1.059724e+00  1.551376e-01  1.295638e+01
    17  -1.619832e+00  -1.629183e+00  2.402008e-04  3.769650e+01  2.768889e-02  1.043775e+00  1.594212e-01  1.305500e+01
    18  -1.600902e+00  -1.610264e+00  2.635142e-04  3.622541e+01  2.836829e-02  1.027653e+00  1.638966e-01  1.315700e+01
    19  -1.581950e+00  -1.591323e+00  2.890647e-04  3.479469e+01  2.906670e-02  1.011367e+00  1.685734e-01  1.326251e+01
    20  -1.562969e+00  -1.572356e+00  3.170727e-04  3.340425e+01  2.978427e-02  9.949213e-01  1.734622e-01  1.337167e+01
    21  -1.543960e+00  -1.553361e+00  3.477602e-04  3.205391e+01  3.052117e-02  9.783228e-01  1.785741e-01  1.348463e+01
    22  -1.524911e+00  -1.534331e+00  3.813997e-04  3.074324e+01  3.127764e-02  9.615758e-01  1.839219e-01  1.360155e+01
    23  -1.505827e+00  -1.515264e+00  4.182554e-04  2.947187e+01  3.205383e-02  9.446863e-01  1.895188e-01  1.372260e+01
    24  -1.486701e+00  -1.496159e+00  4.586397e-04  2.823961e+01  3.284974e-02  9.276639e-01  1.953778e-01  1.384793e+01
    25  -1.467533e+00  -1.477012e+00  5.028839e-04  2.704596e+01  3.366548e-02  9.105154e-01  2.015140e-01  1.397773e+01
    26  -1.448329e+00  -1.457825e+00  5.513328e-04  2.589074e+01  3.450088e-02  8.932534e-01  2.079411e-01  1.411214e+01
    27  -1.429081e+00  -1.438599e+00  6.043959e-04  2.477348e+01  3.535587e-02  8.758880e-01  2.146753e-01  1.425135e+01
