     i         log_r      log_rmid             m           rho            v2             p        trelax            kn
     0  -1.686696e+00  -1.987726e+00  4.936565e-05  1.700730e+01  4.194074e-02  7.132988e-01  2.871088e-01  1.579226e+01
     1  -1.672452e+00  -1.679516e+00  5.419782e-05  1.609967e+01  4.303047e-02  6.927766e-01  2.994297e-01  1.602447e+01
     2  -1.658233e+00  -1.665284e+00  5.950000e-05  1.604099e+01  4.310417e-02  6.914338e-01  3.002680e-01  1.604002e+01
     3  -1.644031e+00  -1.651074e+00  6.531955e-05  1.597921e+01  4.318203e-02  6.900147e-01  3.011572e-01  1.605650e+01
     4  -1.629836e+00  -1.636876e+00  7.170956e-05  1.591412e+01  4.326436e-02  6.885140e-01  3.021011e-01  1.607399e+01
     5  -1.615660e+00  -1.622690e+00  7.871809e-05  1.584557e+01  4.335141e-02  6.869277e-01  3.031032e-01  1.609254e+01
     6  -1.601493e+00  -1.608519e+00  8.640670e-05  1.577341e+01  4.344345e-02  6.852514e-01  3.041671e-01  1.611221e+01
     7  -1.587325e+00  -1.594351e+00  9.484598e-05  1.569743e+01  4.354084e-02  6.834792e-01  3.052974e-01  1.613309e+01
     8  -1.573156e+00  -1.580183e+00  1.041061e-04  1.561742e+01  4.364393e-02  6.816056e-01  3.064988e-01  1.615525e+01
     9  -1.558986e+00  -1.566013e+00  1.142643e-04  1.553321e+01  4.375304e-02  6.796253e-01  3.077759e-01  1.617877e+01
    10  -1.544814e+00  -1.551842e+00  1.254043e-04  1.544462e+01  4.386854e-02  6.775331e-01  3.091335e-01  1.620373e+01
    11  -1.530630e+00  -1.537664e+00  1.376269e-04  1.535144e+01  4.399082e-02  6.753226e-01  3.105773e-01  1.623022e+01
    12  -1.516434e+00  -1.523474e+00  1.510336e-04  1.525345e+01  4.412032e-02  6.729871e-01  3.121135e-01  1.625836e+01
    13  -1.502219e+00  -1.509268e+00  1.657433e-04  1.515043e+01  4.425748e-02  6.705201e-01  3.137484e-01  1.628824e+01
    14  -1.487995e+00  -1.495049e+00  1.818648e-04  1.504222e+01  4.440273e-02  6.679156e-01  3.154883e-01  1.631997e+01
    15  -1.473744e+00  -1.480811e+00  1.995513e-04  1.492860e+01  4.455653e-02  6.651668e-01  3.173402e-01  1.635366e+01
    16  -1.459473e+00  -1.466550e+00  2.189405e-04  1.480935e+01  4.471944e-02  6.622659e-01  3.193124e-01  1.638943e+01
    17  -1.445174e+00  -1.452265e+00  2.402008e-04  1.468428e+01  4.489195e-02  6.592062e-01  3.214127e-01  1.642743e+01
    18  -1.430843e+00  -1.437949e+00  2.635142e-04  1.455318e+01  4.507466e-02  6.559795e-01  3.236503e-01  1.646778e+01
    19  -1.416483e+00  -1.423604e+00  2.890647e-04  1.441586e+01  4.526812e-02  6.525787e-01  3.260343e-01  1.651063e+01
    20  -1.402087e+00  -1.409225e+00  3.170727e-04  1.427215e+01  4.547292e-02  6.489964e-01  3.285747e-01  1.655614e+01
    21  -1.387656e+00  -1.394811e+00  3.477602e-04  1.412189e+01  4.568970e-02  6.452248e-01  3.312822e-01  1.660446e+01
    22  -1.373179e+00  -1.380357e+00  3.813997e-04  1.396489e+01  4.591913e-02  6.412556e-01  3.341686e-01  1.665576e+01
    23  -1.358660e+00  -1.365859e+00  4.182554e-04  1.380099e+01  4.616194e-02  6.370804e-01  3.372467e-01  1.671025e+01
    24  -1.344090e+00  -1.351314e+00  4.586397e-04  1.363007e+01  4.641880e-02  6.326917e-01  3.405296e-01  1.676811e+01
    25  -1.329468e+00  -1.336718e+00  5.028839e-04  1.345201e+01  4.669051e-02  6.280811e-01  3.440318e-01  1.682954e+01
    26  -1.314796e+00  -1.322070e+00  5.513328e-04  1.326674e+01  4.697776e-02  6.232415e-01  3.477681e-01  1.689476e+01
    27  -1.300063e+00  -1.307367e+00  6.043959e-04  1.307419e+01  4.728135e-02  6.181654e-01  3.517549e-01  1.696398e+01
    28  -1.285269e+00  -1.292603e+00  6.625023e-04  1.287431e+01  4.760213e-02  6.128446e-01  3.560105e-01  1.703746e+01
    29  -1.270410e+00  -1.277776e+00  7.261187e-04  1.266709e+01  4.794092e-02  6.072721e-01  3.605536e-01  1.711546e+01
    30  -1.255481e+00  -1.262881e+00  7.957575e-04  1.245256e+01  4.829857e-02  6.014410e-01  3.654047e-01  1.719823e+01
    31  -1.240479e+00  -1.247915e+00  8.719757e-04  1.223078e+01  4.867594e-02  5.953449e-01  3.705856e-01  1.728605e+01
    32  -1.225401e+00  -1.232875e+00  9.553798e-04  1.200185e+01  4.907391e-02  5.889778e-01  3.761200e-01  1.737924e+01
    33  -1.210240e+00  -1.217754e+00  1.046648e-03  1.176589e+01  4.949339e-02  5.823339e-01  3.820336e-01  1.747810e+01
    34  -1.194996e+00  -1.202551e+00  1.146471e-03  1.152310e+01  4.993522e-02  5.754087e-01  3.883534e-01  1.758296e+01
    35  -1.179663e+00  -1.187262e+00  1.255647e-03  1.127373e+01  5.040026e-02  5.681990e-01  3.951081e-01  1.769416e+01
    36  -1.164236e+00  -1.171881e+00  1.375032e-03  1.101803e+01  5.088939e-02  5.607009e-01  4.023300e-01  1.781208e+01
    37  -1.148713e+00  -1.156405e+00  1.505545e-03  1.075633e+01  5.140345e-02  5.529124e-01  4.100528e-01  1.793709e+01
