     i         log_r      log_rmid             m           rho            v2             p        trelax            kn
     0  -1.442620e+00  -1.743650e+00  4.936565e-05  3.150695e+00  8.300259e-02  2.615158e-01  1.101661e+00  2.608142e+01
     1  -1.428988e+00  -1.435750e+00  5.419782e-05  3.123240e+00  8.302338e-02  2.593019e-01  1.111206e+00  2.619252e+01
     2  -1.415365e+00  -1.422123e+00  5.950000e-05  3.121297e+00  8.302938e-02  2.591593e-01  1.111857e+00  2.619972e+01
     3  -1.401748e+00  -1.408503e+00  6.531955e-05  3.119649e+00  8.302464e-02  2.590078e-01  1.112476e+00  2.620739e+01
     4  -1.388129e+00  -1.394885e+00  7.170956e-05  3.117443e+00  8.303172e-02  2.588467e-01  1.113216e+00  2.621554e+01
     5  -1.374524e+00  -1.381273e+00  7.871809e-05  3.115451e+00  8.302985e-02  2.586754e-01  1.113940e+00  2.622422e+01
     6  -1.360926e+00  -1.367672e+00  8.640670e-05  3.113118e+00  8.303366e-02  2.584935e-01  1.114750e+00  2.623344e+01
     7  -1.347329e+00  -1.354075e+00  9.484598e-05  3.110750e+00  8.303472e-02  2.583002e-01  1.115591e+00  2.624326e+01
     8  -1.333736e+00  -1.340479e+00  1.041061e-04  3.108184e+00  8.303717e-02  2.580948e-01  1.116496e+00  2.625370e+01
     9  -1.320148e+00  -1.326889e+00  1.142643e-04  3.105476e+00  8.303927e-02  2.578765e-01  1.117455e+00  2.626481e+01
    10  -1.306569e+00  -1.313306e+00  1.254043e-04  3.102594e+00  8.304168e-02  2.576446e-01  1.118477e+00  2.627663e+01
    11  -1.292991e+00  -1.299727e+00  1.376269e-04  3.099534e+00  8.304419e-02  2.573983e-01  1.119564e+00  2.628920e+01
    12  -1.279417e+00  -1.286151e+00  1.510336e-04  3.096282e+00  8.304687e-02  2.571366e-01  1.120722e+00  2.630257e+01
    13  -1.265841e+00  -1.272576e+00  1.657433e-04  3.092828e+00  8.304972e-02  2.568585e-01  1.121954e+00  2.631681e+01
    14  -1.252278e+00  -1.259007e+00  1.818648e-04  3.089160e+00  8.305275e-02  2.565632e-01  1.123266e+00  2.633195e+01
    15  -1.238712e+00  -1.245442e+00  1.995513e-04  3.085265e+00  8.305597e-02  2.562497e-01  1.124662e+00  2.634805e+01
    16  -1.225151e+00  -1.231879e+00  2.189405e-04  3.081129e+00  8.305941e-02  2.559167e-01  1.126149e+00  2.636519e+01
    17  -1.211593e+00  -1.218319e+00  2.402008e-04  3.076737e+00  8.306306e-02  2.555632e-01  1.127731e+00  2.638341e+01
    18  -1.198033e+00  -1.204760e+00  2.635142e-04  3.072075e+00  8.306694e-02  2.551878e-01  1.129416e+00  2.640281e+01
    19  -1.184479e+00  -1.191204e+00  2.890647e-04  3.067125e+00  8.307108e-02  2.547894e-01  1.131211e+00  2.642345e+01
    20  -1.170927e+00  -1.177650e+00  3.170727e-04  3.061873e+00  8.307547e-02  2.543666e-01  1.133121e+00  2.644540e+01
    21  -1.157379e+00  -1.164100e+00  3.477602e-04  3.056301e+00  8.308015e-02  2.539179e-01  1.135155e+00  2.646875e+01
    22  -1.143830e+00  -1.150552e+00  3.813997e-04  3.050389e+00  8.308513e-02  2.534419e-01  1.137321e+00  2.649360e+01
    23  -1.130283e+00  -1.137003e+00  4.182554e-04  3.044116e+00  8.309043e-02  2.529369e-01  1.139628e+00  2.652003e+01
    24  -1.116735e+00  -1.123456e+00  4.586397e-04  3.037464e+00  8.309607e-02  2.524013e-01  1.142085e+00  2.654815e+01
    25  -1.103188e+00  -1.109909e+00  5.028839e-04  3.030410e+00  8.310207e-02  2.518333e-01  1.144703e+00  2.657808e+01
    26  -1.089644e+00  -1.096363e+00  5.513328e-04  3.022932e+00  8.310845e-02  2.512312e-01  1.147490e+00  2.660991e+01
    27  -1.076100e+00  -1.082819e+00  6.043959e-04  3.015007e+00  8.311524e-02  2.505930e-01  1.150460e+00  2.664377e+01
    28  -1.062556e+00  -1.069275e+00  6.625023e-04  3.006608e+00  8.312247e-02  2.499167e-01  1.153623e+00  2.667980e+01
    29  -1.049012e+00  -1.055731e+00  7.261187e-04  2.997711e+00  8.313016e-02  2.492002e-01  1.156994e+00  2.671812e+01
    30  -1.035467e+00  -1.042186e+00  7.957575e-04  2.988288e+00  8.313834e-02  2.484413e-01  1.160585e+00  2.675890e+01
    31  -1.021921e+00  -1.028641e+00  8.719757e-04  2.978311e+00  8.314705e-02  2.476377e-01  1.164412e+00  2.680228e+01
    32  -1.008375e+00  -1.015095e+00  9.553798e-04  2.967750e+00  8.315631e-02  2.467871e-01  1.168490e+00  2.684843e+01
    33  -9.948242e-01  -1.001547e+00  1.046648e-03  2.956574e+00  8.316618e-02  2.458869e-01  1.172838e+00  2.689753e+01
    34  -9.812737e-01  -9.879961e-01  1.146471e-03  2.944751e+00  8.317667e-02  2.449346e-01  1.177472e+00  2.694977e+01
    35  -9.677205e-01  -9.744442e-01  1.255647e-03  2.932250e+00  8.318784e-02  2.439276e-01  1.182413e+00  2.700534e+01
    36  -9.541635e-01  -9.608891e-01  1.375032e-03  2.919035e+00  8.319973e-02  2.428629e-01  1.187681e+00  2.706447e+01
    37  -9.406031e-01  -9.473304e-01  1.505545e-03  2.905071e+00  8.321238e-02  2.417379e-01  1.193299e+00  2.712738e+01
    38  -9.270380e-01  -9.337676e-01  1.648199e-03  2.890321e+00  8.322585e-02  2.405494e-01  1.199292e+00  2.719431e+01
    39  -9.134686e-01  -9.202003e-01  1.804073e-03  2.874748e+00  8.324018e-02  2.392945e-01  1.205685e+00  2.726552e+01
    40  -8.998926e-01  -9.066276e-01  1.974373e-03  2.858313e+00  8.325544e-02  2.379701e-01  1.212506e+00  2.734129e+01
    41  -8.863106e-01  -8.930485e-01  2.160369e-03  2.840976e+00  8.327168e-02  2.365728e-01  1.219786e+00  2.742191e+01
    42  -8.727210e-01  -8.794627e-01  2.363462e-03  2.822698e+00  8.328897e-02  2.350996e-01  1.227558e+00  2.750770e+01
    43  -8.591224e-01  -8.658685e-01  2.585179e-03  2.803435e+00  8.330738e-02  2.335468e-01  1.235856e+00  2.759899e+01
    44  -8.455150e-01  -8.522654e-01  2.827132e-03  2.783148e+00  8.332697e-02  2.319113e-01  1.244718e+00  2.769614e+01
    45  -8.318974e-01  -8.386528e-01  3.091098e-03  2.761795e+00  8.334784e-02  2.301896e-01  1.254185e+00  2.779952e+01
    46  -8.182681e-01  -8.250293e-01  3.379000e-03  2.739331e+00  8.337006e-02  2.283782e-01  1.264301e+00  2.790955e+01
    47  -8.046259e-01  -8.113934e-01  3.692910e-03  2.715716e+00  8.339373e-02  2.264737e-01  1.275114e+00  2.802666e+01
    48  -7.909699e-01  -7.977442e-01  4.035052e-03  2.690906e+00  8.341893e-02  2.244725e-01  1.286676e+00  2.815131e+01
    49  -7.772980e-01  -7.840801e-01  4.407852e-03  2.664859e+00  8.344578e-02  2.223712e-01  1.299043e+00  2.828400e+01
    50  -7.636093e-01  -7.703997e-01  4.813901e-03  2.637534e+00  8.347437e-02  2.201665e-01  1.312277e+00  2.842527e+01
    51  -7.499018e-01  -7.567014e-01  5.256005e-03  2.608890e+00  8.350484e-02  2.178549e-01  1.326442e+00  2.857567e+01
    52  -7.361739e-01  -7.429836e-01  5.737179e-03  2.578889e+00  8.353730e-02  2.154334e-01  1.341613e+00  2.873582e+01
    53  -7.224234e-01  -7.292442e-01  6.260674e-03  2.547493e+00  8.357188e-02  2.128988e-01  1.357866e+00  2.890637e+01
    54  -7.086486e-01  -7.154814e-01  6.829969e-03  2.514667e+00  8.360874e-02  2.102481e-01  1.375288e+00  2.908801e+01
    55  -6.948471e-01  -7.016930e-01  7.448814e-03  2.480378e+00  8.364803e-02  2.074788e-01  1.393973e+00  2.928150e+01
    56  -6.810167e-01  -6.878769e-01  8.121212e-03  2.444597e+00  8.368991e-02  2.045881e-01  1.414022e+00  2.948764e+01
    57  -6.671548e-01  -6.740305e-01  8.851470e-03  2.407298e+00  8.373457e-02  2.015741e-01  1.435548e+00  2.970728e+01
    58  -6.532589e-01  -6.601513e-01  9.644182e-03  2.368459e+00  8.378218e-02  1.984347e-01  1.458674e+00  2.994135e+01
    59  -6.393262e-01  -6.462367e-01  1.050426e-02  2.328064e+00  8.383295e-02  1.951685e-01  1.483535e+00  3.019085e+01
