     i         log_r      log_rmid             m           rho            v2             p        trelax            kn
     0  -1.537770e+00  -1.838800e+00  4.936565e-05  5.854179e+00  9.781891e-02  5.726495e-01  5.461634e-01  1.762527e+01
     1  -1.523333e+00  -1.530492e+00  5.419782e-05  5.801961e+00  9.781509e-02  5.675193e-01  5.510897e-01  1.770475e+01
     2  -1.509046e+00  -1.516130e+00  5.950000e-05  5.798187e+00  9.781894e-02  5.671724e-01  5.514376e-01  1.771016e+01
     3  -1.494875e+00  -1.501902e+00  6.531955e-05  5.794804e+00  9.781307e-02  5.668076e-01  5.517760e-01  1.771586e+01
     4  -1.480791e+00  -1.487776e+00  7.170956e-05  5.790580e+00  9.781799e-02  5.664229e-01  5.521646e-01  1.772188e+01
     5  -1.466797e+00  -1.473738e+00  7.871809e-05  5.786651e+00  9.781425e-02  5.660169e-01  5.525501e-01  1.772823e+01
     6  -1.452871e+00  -1.459778e+00  8.640670e-05  5.782160e+00  9.781604e-02  5.655881e-01  5.529741e-01  1.773495e+01
     7  -1.438994e+00  -1.445877e+00  9.484598e-05  5.777595e+00  9.781484e-02  5.651345e-01  5.534145e-01  1.774207e+01
     8  -1.425162e+00  -1.432023e+00  1.041061e-04  5.772675e+00  9.781501e-02  5.646543e-01  5.538857e-01  1.774961e+01
     9  -1.411369e+00  -1.418210e+00  1.142643e-04  5.767500e+00  9.781460e-02  5.641457e-01  5.543838e-01  1.775761e+01
    10  -1.397612e+00  -1.404436e+00  1.254043e-04  5.762005e+00  9.781437e-02  5.636069e-01  5.549132e-01  1.776610e+01
    11  -1.383880e+00  -1.390692e+00  1.376269e-04  5.756185e+00  9.781407e-02  5.630358e-01  5.554751e-01  1.777510e+01
    12  -1.370171e+00  -1.376972e+00  1.510336e-04  5.750012e+00  9.781376e-02  5.624303e-01  5.560723e-01  1.778467e+01
    13  -1.356477e+00  -1.363270e+00  1.657433e-04  5.743465e+00  9.781343e-02  5.617880e-01  5.567071e-01  1.779483e+01
    14  -1.342809e+00  -1.349589e+00  1.818648e-04  5.736522e+00  9.781308e-02  5.611069e-01  5.573819e-01  1.780563e+01
    15  -1.329150e+00  -1.335926e+00  1.995513e-04  5.729159e+00  9.781271e-02  5.603845e-01  5.580993e-01  1.781710e+01
    16  -1.315507e+00  -1.322275e+00  2.189405e-04  5.721347e+00  9.781231e-02  5.596182e-01  5.588625e-01  1.782930e+01
    17  -1.301875e+00  -1.308638e+00  2.402008e-04  5.713061e+00  9.781189e-02  5.588053e-01  5.596742e-01  1.784226e+01
    18  -1.288250e+00  -1.295009e+00  2.635142e-04  5.704270e+00  9.781145e-02  5.579429e-01  5.605381e-01  1.785605e+01
    19  -1.274637e+00  -1.281390e+00  2.890647e-04  5.694944e+00  9.781097e-02  5.570280e-01  5.614573e-01  1.787070e+01
    20  -1.261030e+00  -1.267780e+00  3.170727e-04  5.685054e+00  9.781046e-02  5.560578e-01  5.624355e-01  1.788629e+01
    21  -1.247435e+00  -1.254179e+00  3.477602e-04  5.674566e+00  9.780992e-02  5.550289e-01  5.634766e-01  1.790286e+01
    22  -1.233841e+00  -1.240585e+00  3.813997e-04  5.663444e+00  9.780935e-02  5.539378e-01  5.645848e-01  1.792048e+01
    23  -1.220254e+00  -1.226994e+00  4.182554e-04  5.651649e+00  9.780874e-02  5.527807e-01  5.657649e-01  1.793923e+01
    24  -1.206670e+00  -1.213409e+00  4.586397e-04  5.639145e+00  9.780809e-02  5.515540e-01  5.670213e-01  1.795917e+01
