     i         log_r      log_rmid             m           rho            v2             p        trelax            kn
     0  -1.453508e+00  -1.754538e+00  4.936565e-05  3.396794e+00  9.334237e-02  3.170648e-01  9.635881e-01  2.368679e+01
     1  -1.439889e+00  -1.446645e+00  5.419782e-05  3.370688e+00  9.333885e-02  3.146162e-01  9.710692e-01  2.377878e+01
     2  -1.426279e+00  -1.433031e+00  5.950000e-05  3.368854e+00  9.334287e-02  3.144585e-01  9.715770e-01  2.378474e+01
     3  -1.412675e+00  -1.419424e+00  6.531955e-05  3.367271e+00  9.333698e-02  3.142909e-01  9.720644e-01  2.379108e+01
     4  -1.399069e+00  -1.405819e+00  7.170956e-05  3.365188e+00  9.334180e-02  3.141127e-01  9.726409e-01  2.379783e+01
     5  -1.385476e+00  -1.392219e+00  7.871809e-05  3.363285e+00  9.333833e-02  3.139234e-01  9.732096e-01  2.380501e+01
     6  -1.371892e+00  -1.378631e+00  8.640670e-05  3.361071e+00  9.333994e-02  3.137222e-01  9.738421e-01  2.381264e+01
     7  -1.358307e+00  -1.365046e+00  9.484598e-05  3.358817e+00  9.333892e-02  3.135083e-01  9.745011e-01  2.382076e+01
     8  -1.344727e+00  -1.351464e+00  1.041061e-04  3.356377e+00  9.333904e-02  3.132810e-01  9.752088e-01  2.382940e+01
     9  -1.331152e+00  -1.337886e+00  1.142643e-04  3.353801e+00  9.333871e-02  3.130395e-01  9.759595e-01  2.383859e+01
    10  -1.317587e+00  -1.324316e+00  1.254043e-04  3.351059e+00  9.333851e-02  3.127828e-01  9.767592e-01  2.384837e+01
    11  -1.304022e+00  -1.310751e+00  1.376269e-04  3.348147e+00  9.333825e-02  3.125102e-01  9.776100e-01  2.385877e+01
    12  -1.290462e+00  -1.297189e+00  1.510336e-04  3.345053e+00  9.333799e-02  3.122205e-01  9.785157e-01  2.386984e+01
    13  -1.276901e+00  -1.283628e+00  1.657433e-04  3.341765e+00  9.333771e-02  3.119127e-01  9.794799e-01  2.388161e+01
    14  -1.263352e+00  -1.270074e+00  1.818648e-04  3.338273e+00  9.333740e-02  3.115857e-01  9.805061e-01  2.389414e+01
    15  -1.249802e+00  -1.256524e+00  1.995513e-04  3.334565e+00  9.333709e-02  3.112385e-01  9.815982e-01  2.390746e+01
    16  -1.236258e+00  -1.242977e+00  2.189405e-04  3.330626e+00  9.333675e-02  3.108697e-01  9.827609e-01  2.392164e+01
