     i         log_r      log_rmid             m           rho            v2             p        trelax            kn
     0  -1.854521e+00  -2.155551e+00  4.936565e-05  5.221080e+01  2.153455e-02  1.124336e+00  1.305184e-01  1.257860e+01
     1  -1.836634e+00  -1.845486e+00  5.419782e-05  4.126673e+01  2.516166e-02  1.038339e+00  1.527673e-01  1.308912e+01
     2  -1.819044e+00  -1.827750e+00  5.950000e-05  4.054174e+01  2.545829e-02  1.032124e+00  1.545906e-01  1.312848e+01
     3  -1.801686e+00  -1.810278e+00  6.531955e-05  3.981704e+01  2.576239e-02  1.025782e+00  1.564725e-01  1.316899e+01
     4  -1.784504e+00  -1.793010e+00  7.170956e-05  3.909041e+01  2.607521e-02  1.019291e+00  1.584221e-01  1.321086e+01
     5  -1.767481e+00  -1.775909e+00  7.871809e-05  3.836072e+01  2.639763e-02  1.012632e+00  1.604467e-01  1.325422e+01
     6  -1.750579e+00  -1.758948e+00  8.640670e-05  3.762721e+01  2.673046e-02  1.005793e+00  1.625529e-01  1.329921e+01
     7  -1.733760e+00  -1.742088e+00  9.484598e-05  3.688878e+01  2.707473e-02  9.987538e-01  1.647493e-01  1.334599e+01
     8  -1.717007e+00  -1.725303e+00  1.041061e-04  3.614480e+01  2.743135e-02  9.915008e-01  1.670439e-01  1.339472e+01
     9  -1.700303e+00  -1.708575e+00  1.142643e-04  3.539522e+01  2.780102e-02  9.840232e-01  1.694435e-01  1.344552e+01
    10  -1.683635e+00  -1.691889e+00  1.254043e-04  3.464010e+01  2.818443e-02  9.763114e-01  1.719556e-01  1.349851e+01
    11  -1.666979e+00  -1.675227e+00  1.376269e-04  3.387940e+01  2.858238e-02  9.683540e-01  1.745883e-01  1.355386e+01
    12  -1.650325e+00  -1.658572e+00  1.510336e-04  3.311321e+01  2.899569e-02  9.601402e-01  1.773503e-01  1.361171e+01
    13  -1.633657e+00  -1.641911e+00  1.657433e-04  3.234185e+01  2.942507e-02  9.516612e-01  1.802505e-01  1.367222e+01
    14  -1.616981e+00  -1.625239e+00  1.818648e-04  3.156608e+01  2.987107e-02  9.429126e-01  1.832964e-01  1.373550e+01
    15  -1.600269e+00  -1.608544e+00  1.995513e-04  3.078645e+01  3.033436e-02  9.338874e-01  1.864975e-01  1.380171e+01
    16  -1.583524e+00  -1.591816e+00  2.189405e-04  3.000349e+01  3.081569e-02  9.245782e-01  1.898639e-01  1.387102e+01
    17  -1.566735e+00  -1.575048e+00  2.402008e-04  2.921809e+01  3.131559e-02  9.149819e-01  1.934050e-01  1.394357e+01
    18  -1.549891e+00  -1.558231e+00  2.635142e-04  2.843094e+01  3.183477e-02  9.050926e-01  1.971323e-01  1.401954e+01
    19  -1.532994e+00  -1.541360e+00  2.890647e-04  2.764308e+01  3.237371e-02  8.949091e-01  2.010561e-01  1.409908e+01
    20  -1.516035e+00  -1.524432e+00  3.170727e-04  2.685553e+01  3.293290e-02  8.844304e-01  2.051877e-01  1.418235e+01
    21  -1.499013e+00  -1.507440e+00  3.477602e-04  2.606931e+01  3.351282e-02  8.736560e-01  2.095391e-01  1.426954e+01
    22  -1.481914e+00  -1.490379e+00  3.813997e-04  2.528536e+01  3.411400e-02  8.625849e-01  2.141236e-01  1.436082e+01
    23  -1.464743e+00  -1.473244e+00  4.182554e-04  2.450470e+01  3.473692e-02  8.512176e-01  2.189551e-01  1.445639e+01
    24  -1.447490e+00  -1.456031e+00  4.586397e-04  2.372846e+01  3.538188e-02  8.395575e-01  2.240474e-01  1.455643e+01
    25  -1.430154e+00  -1.438736e+00  5.028839e-04  2.295764e+01  3.604929e-02  8.276069e-01  2.294163e-01  1.466115e+01
    26  -1.412739e+00  -1.421359e+00  5.513328e-04  2.219348e+01  3.673930e-02  8.153727e-01  2.350765e-01  1.477073e+01
    27  -1.395235e+00  -1.403899e+00  6.043959e-04  2.143700e+01  3.745210e-02  8.028609e-01  2.410448e-01  1.488538e+01
    28  -1.377643e+00  -1.386350e+00  6.625023e-04  2.068914e+01  3.818797e-02  7.900764e-01  2.473399e-01  1.500533e+01
    29  -1.359961e+00  -1.368712e+00  7.261187e-04  1.995092e+01  3.894697e-02  7.770278e-01  2.539805e-01  1.513080e+01
    30  -1.342188e+00  -1.350984e+00  7.957575e-04  1.922328e+01  3.972913e-02  7.637241e-01  2.609865e-01  1.526202e+01
    31  -1.324323e+00  -1.333164e+00  8.719757e-04  1.850712e+01  4.053442e-02  7.501755e-01  2.683793e-01  1.539922e+01
    32  -1.306366e+00  -1.315252e+00  9.553798e-04  1.780330e+01  4.136273e-02  7.363930e-01  2.761817e-01  1.554266e+01
    33  -1.288314e+00  -1.297246e+00  1.046648e-03  1.711251e+01  4.221398e-02  7.223873e-01  2.844186e-01  1.569261e+01
    34  -1.270172e+00  -1.279149e+00  1.146471e-03  1.643554e+01  4.308788e-02  7.081724e-01  2.931153e-01  1.584932e+01
    35  -1.251939e+00  -1.260960e+00  1.255647e-03  1.577307e+01  4.398404e-02  6.937631e-01  3.022987e-01  1.601307e+01
    36  -1.233613e+00  -1.242679e+00  1.375032e-03  1.512560e+01  4.490218e-02  6.791725e-01  3.119993e-01  1.618416e+01
    37  -1.215198e+00  -1.224308e+00  1.505545e-03  1.449366e+01  4.584185e-02  6.644161e-01  3.222485e-01  1.636289e+01
    38  -1.196693e+00  -1.205847e+00  1.648199e-03  1.387767e+01  4.680251e-02  6.495098e-01  3.330802e-01  1.654959e+01
    39  -1.178101e+00  -1.187297e+00  1.804073e-03  1.327801e+01  4.778357e-02  6.344705e-01  3.445306e-01  1.674459e+01
    40  -1.159422e+00  -1.168661e+00  1.974373e-03  1.269494e+01  4.878438e-02  6.193149e-01  3.566390e-01  1.694823e+01
    41  -1.140660e+00  -1.149940e+00  2.160369e-03  1.212869e+01  4.980424e-02  6.040603e-01  3.694476e-01  1.716090e+01
    42  -1.121815e+00  -1.131135e+00  2.363462e-03  1.157943e+01  5.084233e-02  5.887250e-01  3.830013e-01  1.738297e+01
    43  -1.102888e+00  -1.112248e+00  2.585179e-03  1.104721e+01  5.189783e-02  5.733264e-01  3.973495e-01  1.761486e+01
    44  -1.083884e+00  -1.093282e+00  2.827132e-03  1.053210e+01  5.296980e-02  5.578831e-01  4.125446e-01  1.785700e+01
    45  -1.064804e+00  -1.074240e+00  3.091098e-03  1.003408e+01  5.405722e-02  5.424144e-01  4.286429e-01  1.810984e+01
    46  -1.045651e+00  -1.055122e+00  3.379000e-03  9.553068e+00  5.515905e-02  5.269382e-01  4.457063e-01  1.837386e+01
    47  -1.026426e+00  -1.035932e+00  3.692910e-03  9.088941e+00  5.627422e-02  5.114730e-01  4.638013e-01  1.864957e+01
    48  -1.007132e+00  -1.016672e+00  4.035052e-03  8.641542e+00  5.740151e-02  4.960376e-01  4.829999e-01  1.893751e+01
    49  -9.877719e-01  -9.973441e-01  4.407852e-03  8.210670e+00  5.853971e-02  4.806503e-01  5.033802e-01  1.923825e+01
    50  -9.683479e-01  -9.779513e-01  4.813901e-03  7.796088e+00  5.968752e-02  4.653292e-01  5.250268e-01  1.955240e+01
    51  -9.488626e-01  -9.584960e-01  5.256005e-03  7.397534e+00  6.084358e-02  4.500925e-01  5.480317e-01  1.988059e+01
    52  -9.293185e-01  -9.389806e-01  5.737179e-03  7.014714e+00  6.200649e-02  4.349578e-01  5.724947e-01  2.022351e+01
    53  -9.097178e-01  -9.194076e-01  6.260674e-03  6.647311e+00  6.317477e-02  4.199424e-01  5.985248e-01  2.058189e+01
    54  -8.900633e-01  -8.997794e-01  6.829969e-03  6.294991e+00  6.434691e-02  4.050632e-01  6.262403e-01  2.095650e+01
    55  -8.703571e-01  -8.800984e-01  7.448814e-03  5.957400e+00  6.552134e-02  3.903368e-01  6.557704e-01  2.134816e+01
    56  -8.506020e-01  -8.603672e-01  8.121212e-03  5.634175e+00  6.669643e-02  3.757793e-01  6.872558e-01  2.175774e+01
    57  -8.308000e-01  -8.405882e-01  8.851470e-03  5.324938e+00  6.787049e-02  3.614062e-01  7.208500e-01  2.218617e+01
    58  -8.109537e-01  -8.207635e-01  9.644182e-03  5.029305e+00  6.904182e-02  3.472324e-01  7.567212e-01  2.263446e+01
    59  -7.910655e-01  -8.008957e-01  1.050426e-02  4.746885e+00  7.020865e-02  3.332724e-01  7.950528e-01  2.310364e+01
    60  -7.711373e-01  -7.809871e-01  1.143695e-02  4.477283e+00  7.136916e-02  3.195399e-01  8.360460e-01  2.359487e+01
    61  -7.511713e-01  -7.610396e-01  1.244786e-02  4.220099e+00  7.252154e-02  3.060480e-01  8.799214e-01  2.410934e+01
    62  -7.311699e-01  -7.410555e-01  1.354293e-02  3.974935e+00  7.366390e-02  2.928092e-01  9.269207e-01  2.464835e+01
    63  -7.111347e-01  -7.210368e-01  1.472852e-02  3.741394e+00  7.479435e-02  2.798351e-01  9.773095e-01  2.521326e+01
    64  -6.910680e-01  -7.009855e-01  1.601134e-02  3.519079e+00  7.591097e-02  2.671367e-01  1.031380e+00  2.580556e+01
    65  -6.709716e-01  -6.809036e-01  1.739855e-02  3.307599e+00  7.701184e-02  2.547243e-01  1.089453e+00  2.642683e+01
    66  -6.508474e-01  -6.607929e-01  1.889767e-02  3.106565e+00  7.809499e-02  2.426072e-01  1.151882e+00  2.707873e+01
    67  -6.306970e-01  -6.406553e-01  2.051673e-02  2.915595e+00  7.915849e-02  2.307941e-01  1.219057e+00  2.776309e+01
    68  -6.105223e-01  -6.204925e-01  2.226415e-02  2.734311e+00  8.020039e-02  2.192928e-01  1.291409e+00  2.848183e+01
    69  -5.903248e-01  -6.003061e-01  2.414882e-02  2.562344e+00  8.121874e-02  2.081104e-01  1.369413e+00  2.923703e+01
    70  -5.701061e-01  -5.800978e-01  2.618008e-02  2.399332e+00  8.221162e-02  1.972530e-01  1.453594e+00  3.003090e+01
    71  -5.498679e-01  -5.598692e-01  2.836777e-02  2.244919e+00  8.317713e-02  1.867259e-01  1.544534e+00  3.086582e+01
    72  -5.296114e-01  -5.396216e-01  3.072217e-02  2.098757e+00  8.411339e-02  1.765336e-01  1.642877e+00  3.174435e+01
    73  -5.093381e-01  -5.193564e-01  3.325405e-02  1.960510e+00  8.501855e-02  1.666797e-01  1.749339e+00  3.266922e+01
    74  -4.890491e-01  -4.990751e-01  3.597467e-02  1.829846e+00  8.589078e-02  1.571670e-01  1.864713e+00  3.364337e+01
    75  -4.687458e-01  -4.787788e-01  3.889574e-02  1.706446e+00  8.672833e-02  1.479972e-01  1.989881e+00  3.466997e+01
    76  -4.484293e-01  -4.584687e-01  4.202943e-02  1.589995e+00  8.752947e-02  1.391714e-01  2.125823e+00  3.575239e+01
    77  -4.281008e-01  -4.381461e-01  4.538839e-02  1.480192e+00  8.829252e-02  1.306899e-01  2.273631e+00  3.689429e+01
    78  -4.077611e-01  -4.178119e-01  4.898570e-02  1.376741e+00  8.901589e-02  1.225518e-01  2.434523e+00  3.809958e+01
    79  -3.874115e-01  -3.974671e-01  5.283486e-02  1.279357e+00  8.969804e-02  1.147558e-01  2.609858e+00  3.937248e+01
    80  -3.670527e-01  -3.771128e-01  5.694977e-02  1.187762e+00  9.033753e-02  1.072995e-01  2.801151e+00  4.071752e+01
    81  -3.466858e-01  -3.567499e-01  6.134473e-02  1.101688e+00  9.093298e-02  1.001797e-01  3.010099e+00  4.213958e+01
    82  -3.263113e-01  -3.363791e-01  6.603438e-02  1.020874e+00  9.148308e-02  9.339273e-02  3.238600e+00  4.364391e+01
    83  -3.059302e-01  -3.160012e-01  7.103366e-02  9.450707e-01  9.198659e-02  8.693383e-02  3.488779e+00  4.523616e+01
    84  -2.855431e-01  -2.956170e-01  7.635782e-02  8.740334e-01  9.244240e-02  8.079774e-02  3.763019e+00  4.692244e+01
    85  -2.651506e-01  -2.752271e-01  8.202236e-02  8.075264e-01  9.284954e-02  7.497846e-02  4.063997e+00  4.870930e+01
    86  -2.447534e-01  -2.548323e-01  8.804291e-02  7.453225e-01  9.320713e-02  6.946937e-02  4.394720e+00  5.060384e+01
    87  -2.243521e-01  -2.344330e-01  9.443531e-02  6.872029e-01  9.351428e-02  6.426328e-02  4.758566e+00  5.261368e+01
    88  -2.039471e-01  -2.140298e-01  1.012155e-01  6.329559e-01  9.377024e-02  5.935242e-02  5.159339e+00  5.474708e+01
    89  -1.835390e-01  -1.936232e-01  1.083993e-01  5.823762e-01  9.397457e-02  5.472855e-02  5.601331e+00  5.701291e+01
    90  -1.631280e-01  -1.732136e-01  1.160028e-01  5.352660e-01  9.412696e-02  5.038296e-02  6.089383e+00  5.942077e+01
    91  -1.427146e-01  -1.528014e-01  1.240417e-01  4.914365e-01  9.422694e-02  4.630656e-02  6.628954e+00  6.198105e+01
    92  -1.222992e-01  -1.323870e-01  1.325317e-01  4.507058e-01  9.427416e-02  4.248991e-02  7.226209e+00  6.470491e+01
    93  -1.018820e-01  -1.119706e-01  1.414884e-01  4.128995e-01  9.426818e-02  3.892328e-02  7.888112e+00  6.760447e+01
    94  -8.146354e-02  -9.155279e-02  1.509269e-01  3.778481e-01  9.420907e-02  3.559671e-02  8.622564e+00  7.069280e+01
    95  -6.104387e-02  -7.113371e-02  1.608620e-01  3.453878e-01  9.409730e-02  3.250006e-02  9.438531e+00  7.398404e+01
    96  -4.062326e-02  -5.071355e-02  1.713083e-01  3.153642e-01  9.393285e-02  2.962306e-02  1.034615e+01  7.749349e+01
    97  -2.020199e-02  -3.029260e-02  1.822795e-01  2.876289e-01  9.371578e-02  2.695536e-02  1.135694e+01  8.123769e+01
    98  2.198304e-04  -9.871052e-03  1.937892e-01  2.620377e-01  9.344697e-02  2.448663e-02  1.248399e+01  8.523454e+01
    99  2.064207e-02  1.055098e-02  2.058502e-01  2.384551e-01  9.312670e-02  2.220654e-02  1.374220e+01  8.950344e+01
   100  4.106457e-02  3.097336e-02  2.184746e-01  2.167511e-01  9.275543e-02  2.010485e-02  1.514848e+01  9.406537e+01
