      step          time          <dt>         rho_c         v_max        Kn_min  <dt lim>  <dr lim>  <du lim>  <n_iter_v2>  <n_iter_dr>
   3800000  2.637339e+02  4.266328e-05  5.680533e+00  3.123629e-01  1.791538e+01  7.46e-02  9.26e-05  8.91e-01  0.00000e+00  2.00000e+00
   3900000  2.679074e+02  4.173449e-05  5.842238e+00  3.127332e-01  1.764479e+01  7.51e-02  9.28e-05  8.91e-01  0.00000e+00  2.00000e+00
   4000000  2.719899e+02  4.082520e-05  6.008931e+00  3.131047e-01  1.737768e+01  7.57e-02  9.23e-05  8.91e-01  0.00000e+00  2.00000e+00
   4100000  2.759832e+02  3.993313e-05  6.180772e+00  3.134776e-01  1.711403e+01  7.62e-02  9.25e-05  8.91e-01  0.00000e+00  2.00000e+00
   4200000  2.798890e+02  3.905844e-05  6.357930e+00  3.138518e-01  1.685379e+01  7.68e-02  9.24e-05  8.91e-01  0.00000e+00  2.00000e+00
   4300000  2.837091e+02  3.820078e-05  6.540580e+00  3.142274e-01  1.659694e+01  7.74e-02  9.19e-05  8.91e-01  0.00000e+00  2.00000e+00
   4400000  2.874453e+02  3.736221e-05  6.728917e+00  3.146044e-01  1.634341e+01  7.79e-02  9.13e-05  8.91e-01  0.00000e+00  2.00000e+00
   4500000  2.910992e+02  3.653839e-05  6.923126e+00  3.149829e-01  1.609319e+01  7.85e-02  9.11e-05  8.91e-01  0.00000e+00  2.00000e+00
   4600000  2.946723e+02  3.573159e-05  7.123410e+00  3.153629e-01  1.584622e+01  7.91e-02  9.10e-05  8.91e-01  0.00000e+00  2.00000e+00
   4700000  2.981664e+02  3.494052e-05  7.329979e+00  3.157444e-01  1.560246e+01  7.97e-02  9.11e-05  8.91e-01  0.00000e+00  2.00000e+00
   4800000  3.015831e+02  3.416678e-05  7.543060e+00  3.161275e-01  1.536187e+01  8.03e-02  9.11e-05  8.91e-01  0.00000e+00  2.00000e+00
   4900000  3.049238e+02  3.340719e-05  7.762877e+00  3.165123e-01  1.512440e+01  8.09e-02  9.14e-05  8.91e-01  0.00000e+00  2.00000e+00
   5000000  3.081901e+02  3.266293e-05  7.989668e+00  3.168987e-01  1.489002e+01  8.15e-02  9.12e-05  8.91e-01  0.00000e+00  2.00000e+00
   5100000  3.113834e+02  3.193307e-05  8.223680e+00  3.172868e-01  1.465869e+01  8.21e-02  9.16e-05  8.91e-01  0.00000e+00  2.00000e+00
   5200000  3.145053e+02  3.121935e-05  8.465185e+00  3.176766e-01  1.443034e+01  8.27e-02  9.24e-05  8.91e-01  0.00000e+00  2.00000e+00
   5300000  3.175572e+02  3.051896e-05  8.714449e+00  3.180682e-01  1.420496e+01  8.33e-02  9.26e-05  8.91e-01  0.00000e+00  2.00000e+00
   5400000  3.205404e+02  2.983238e-05  8.971752e+00  3.184616e-01  1.398249e+01  8.40e-02  9.25e-05  8.91e-01  0.00000e+00  2.00000e+00
   5500000  3.234565e+02  2.916009e-05  9.237397e+00  3.188568e-01  1.376289e+01  8.46e-02  9.25e-05  8.91e-01  0.00000e+00  2.00000e+00
   5600000  3.263066e+02  2.850096e-05  9.511690e+00  3.192539e-01  1.354612e+01  8.52e-02  9.26e-05  8.91e-01  0.00000e+00  2.00000e+00
   5700000  3.290921e+02  2.785505e-05  9.794957e+00  3.196530e-01  1.333215e+01  8.59e-02  9.26e-05  8.91e-01  0.00000e+00  2.00000e+00
   5800000  3.318143e+02  2.722196e-05  1.008753e+01  3.200539e-01  1.312093e+01  8.65e-02  9.30e-05  8.91e-01  0.00000e+00  2.00000e+00
   5900000  3.344745e+02  2.660235e-05  1.038978e+01  3.204569e-01  1.291241e+01  8.72e-02  9.31e-05  8.91e-01  0.00000e+00  2.00000e+00
   6000000  3.370739e+02  2.599429e-05  1.070206e+01  3.208620e-01  1.270657e+01  8.79e-02  9.34e-05  8.91e-01  0.00000e+00  2.00000e+00
   6100000  3.396138e+02  2.539841e-05  1.102475e+01  3.212691e-01  1.250336e+01  8.86e-02  9.36e-05  8.91e-01  0.00000e+00  2.00000e+00
   6200000  3.420953e+02  2.481551e-05  1.135828e+01  3.216783e-01  1.230275e+01  8.93e-02  9.39e-05  8.91e-01  0.00000e+00  2.00000e+00
   6300000  3.445197e+02  2.424340e-05  1.170305e+01  3.220897e-01  1.210469e+01  9.00e-02  9.45e-05  8.91e-01  0.00000e+00  2.00000e+00
   6400000  3.468879e+02  2.368278e-05  1.205952e+01  3.225033e-01  1.190916e+01  9.07e-02  9.50e-05  8.91e-01  0.00000e+00  2.00000e+00
   6500000  3.492013e+02  2.313389e-05  1.242814e+01  3.229191e-01  1.171611e+01  9.14e-02  9.51e-05  8.91e-01  0.00000e+00  2.00000e+00
   6600000  3.514609e+02  2.259565e-05  1.280939e+01  3.233373e-01  1.152551e+01  9.21e-02  9.56e-05  8.91e-01  0.00000e+00  2.00000e+00
   6700000  3.536677e+02  2.206847e-05  1.320380e+01  3.237578e-01  1.133732e+01  9.29e-02  9.57e-05  8.91e-01  0.00000e+00  2.00000e+00
   6800000  3.558229e+02  2.155185e-05  1.361189e+01  3.241806e-01  1.115152e+01  9.36e-02  9.61e-05  8.91e-01  0.00000e+00  2.00000e+00
   6900000  3.579274e+02  2.104530e-05  1.403421e+01  3.246059e-01  1.096806e+01  9.44e-02  9.60e-05  8.91e-01  0.00000e+00  2.00000e+00
