     i         log_r      log_rmid             m           rho            v2             p        trelax            kn
     0  -1.592961e+00  -1.893991e+00  4.936565e-05  8.571109e+00  1.010250e-01  8.658963e-01  3.670697e-01  1.433333e+01
     1  -1.578511e+00  -1.585676e+00  5.419782e-05  8.487060e+00  1.010210e-01  8.573710e-01  3.707123e-01  1.440442e+01
     2  -1.564213e+00  -1.571303e+00  5.950000e-05  8.481019e+00  1.010249e-01  8.567944e-01  3.709690e-01  1.440927e+01
     3  -1.550030e+00  -1.557064e+00  6.531955e-05  8.475524e+00  1.010189e-01  8.561880e-01  3.712207e-01  1.441437e+01
     4  -1.535935e+00  -1.542925e+00  7.170956e-05  8.468770e+00  1.010239e-01  8.555486e-01  3.715074e-01  1.441975e+01
     5  -1.521929e+00  -1.528875e+00  7.871809e-05  8.462416e+00  1.010201e-01  8.548739e-01  3.717935e-01  1.442544e+01
     6  -1.507992e+00  -1.514905e+00  8.640670e-05  8.455208e+00  1.010219e-01  8.541614e-01  3.721070e-01  1.443146e+01
     7  -1.494104e+00  -1.500993e+00  9.484598e-05  8.447853e+00  1.010207e-01  8.534078e-01  3.724333e-01  1.443783e+01
     8  -1.480260e+00  -1.487127e+00  1.041061e-04  8.439942e+00  1.010208e-01  8.526100e-01  3.727821e-01  1.444458e+01
     9  -1.466456e+00  -1.473303e+00  1.142643e-04  8.431615e+00  1.010204e-01  8.517652e-01  3.731511e-01  1.445174e+01
    10  -1.452688e+00  -1.459518e+00  1.254043e-04  8.422777e+00  1.010202e-01  8.508703e-01  3.735431e-01  1.445934e+01
    11  -1.438944e+00  -1.445762e+00  1.376269e-04  8.413416e+00  1.010198e-01  8.499219e-01  3.739593e-01  1.446740e+01
    12  -1.425223e+00  -1.432030e+00  1.510336e-04  8.403489e+00  1.010195e-01  8.489164e-01  3.744016e-01  1.447597e+01
    13  -1.411516e+00  -1.418316e+00  1.657433e-04  8.392962e+00  1.010192e-01  8.478500e-01  3.748719e-01  1.448507e+01
    14  -1.397836e+00  -1.404622e+00  1.818648e-04  8.381799e+00  1.010188e-01  8.467192e-01  3.753718e-01  1.449474e+01
    15  -1.384163e+00  -1.390946e+00  1.995513e-04  8.369961e+00  1.010184e-01  8.455201e-01  3.759035e-01  1.450502e+01
    16  -1.370507e+00  -1.377281e+00  2.189405e-04  8.357404e+00  1.010180e-01  8.442481e-01  3.764690e-01  1.451594e+01
    17  -1.356860e+00  -1.363630e+00  2.402008e-04  8.344087e+00  1.010175e-01  8.428990e-01  3.770707e-01  1.452755e+01
    18  -1.343219e+00  -1.349986e+00  2.635142e-04  8.329959e+00  1.010170e-01  8.414679e-01  3.777111e-01  1.453990e+01
    19  -1.329590e+00  -1.336351e+00  2.890647e-04  8.314976e+00  1.010165e-01  8.399501e-01  3.783927e-01  1.455303e+01
    20  -1.315967e+00  -1.322725e+00  3.170727e-04  8.299088e+00  1.010160e-01  8.383406e-01  3.791181e-01  1.456699e+01
    21  -1.302353e+00  -1.309107e+00  3.477602e-04  8.282241e+00  1.010154e-01  8.366341e-01  3.798904e-01  1.458184e+01
    22  -1.288741e+00  -1.295494e+00  3.813997e-04  8.264378e+00  1.010148e-01  8.348246e-01  3.807126e-01  1.459764e+01
    23  -1.275134e+00  -1.281884e+00  4.182554e-04  8.245439e+00  1.010142e-01  8.329061e-01  3.815883e-01  1.461444e+01
    24  -1.261529e+00  -1.268279e+00  4.586397e-04  8.225364e+00  1.010135e-01  8.308725e-01  3.825210e-01  1.463231e+01
    25  -1.247926e+00  -1.254675e+00  5.028839e-04  8.204085e+00  1.010127e-01  8.287170e-01  3.835145e-01  1.465133e+01
    26  -1.234329e+00  -1.241074e+00  5.513328e-04  8.181540e+00  1.010119e-01  8.264332e-01  3.845728e-01  1.467156e+01
    27  -1.220732e+00  -1.227477e+00  6.043959e-04  8.157657e+00  1.010111e-01  8.240140e-01  3.857003e-01  1.469308e+01
    28  -1.207135e+00  -1.213880e+00  6.625023e-04  8.132360e+00  1.010102e-01  8.214515e-01  3.869018e-01  1.471598e+01
    29  -1.193539e+00  -1.200284e+00  7.261187e-04  8.105573e+00  1.010093e-01  8.187380e-01  3.881823e-01  1.474035e+01
    30  -1.179943e+00  -1.186688e+00  7.957575e-04  8.077215e+00  1.010083e-01  8.158654e-01  3.895471e-01  1.476627e+01
    31  -1.166345e+00  -1.173091e+00  8.719757e-04  8.047202e+00  1.010072e-01  8.128251e-01  3.910020e-01  1.479386e+01
    32  -1.152746e+00  -1.159492e+00  9.553798e-04  8.015446e+00  1.010060e-01  8.096084e-01  3.925533e-01  1.482322e+01
    33  -1.139142e+00  -1.145891e+00  1.046648e-03  7.981856e+00  1.010048e-01  8.062058e-01  3.942077e-01  1.485447e+01
    34  -1.125537e+00  -1.132287e+00  1.146471e-03  7.946338e+00  1.010035e-01  8.026079e-01  3.959723e-01  1.488773e+01
    35  -1.111928e+00  -1.118680e+00  1.255647e-03  7.908797e+00  1.010021e-01  7.988052e-01  3.978546e-01  1.492312e+01
    36  -1.098314e+00  -1.105068e+00  1.375032e-03  7.869131e+00  1.010006e-01  7.947871e-01  3.998630e-01  1.496080e+01
    37  -1.084694e+00  -1.091451e+00  1.505545e-03  7.827234e+00  1.009990e-01  7.905432e-01  4.020065e-01  1.500090e+01
    38  -1.071067e+00  -1.077827e+00  1.648199e-03  7.783001e+00  1.009974e-01  7.860626e-01  4.042946e-01  1.504359e+01
    39  -1.057434e+00  -1.064197e+00  1.804073e-03  7.736322e+00  1.009956e-01  7.813342e-01  4.067376e-01  1.508904e+01
    40  -1.043791e+00  -1.050559e+00  1.974373e-03  7.687085e+00  1.009936e-01  7.763467e-01  4.093467e-01  1.513744e+01
    41  -1.030139e+00  -1.036911e+00  2.160369e-03  7.635173e+00  1.009916e-01  7.710883e-01  4.121341e-01  1.518896e+01
    42  -1.016476e+00  -1.023254e+00  2.363462e-03  7.580471e+00  1.009894e-01  7.655473e-01  4.151126e-01  1.524383e+01
    43  -1.002801e+00  -1.009585e+00  2.585179e-03  7.522858e+00  1.009871e-01  7.597115e-01  4.182965e-01  1.530227e+01
    44  -9.891126e-01  -9.959028e-01  2.827132e-03  7.462215e+00  1.009846e-01  7.535688e-01  4.217010e-01  1.536451e+01
    45  -9.754098e-01  -9.822071e-01  3.091098e-03  7.398424e+00  1.009819e-01  7.471072e-01  4.253427e-01  1.543081e+01
