      step          time         t_Gyr         rho_c  rhoc_Msunpc3         v_max     v_max_kms        Kn_min       mintrel   mintrel_Gyr
      4902  2.050774e-02  3.930139e-03  1.224711e+02  2.061629e+00  3.070445e-01  1.973697e+01  1.055145e+01  7.148502e-02  1.369951e-02
      5030  2.109718e-02  4.043099e-03  1.212458e+02  2.041003e+00  3.070445e-01  1.973697e+01  1.057574e+01  7.201070e-02  1.380025e-02
      5159  2.169423e-02  4.157519e-03  1.200247e+02  2.020447e+00  3.070444e-01  1.973696e+01  1.060017e+01  7.254328e-02  1.390232e-02
      5288  2.229433e-02  4.272524e-03  1.188173e+02  2.000122e+00  3.070444e-01  1.973696e+01  1.062456e+01  7.307869e-02  1.400493e-02
      5417  2.289753e-02  4.388122e-03  1.176234e+02  1.980024e+00  3.070444e-01  1.973696e+01  1.064890e+01  7.361693e-02  1.410807e-02
      5546  2.350385e-02  4.504318e-03  1.164428e+02  1.960150e+00  3.070443e-01  1.973695e+01  1.067320e+01  7.415802e-02  1.421177e-02
      5675  2.411332e-02  4.621118e-03  1.152753e+02  1.940497e+00  3.070443e-01  1.973695e+01  1.069745e+01  7.470198e-02  1.431601e-02
      5804  2.472599e-02  4.738531e-03  1.141207e+02  1.921062e+00  3.070442e-01  1.973695e+01  1.072166e+01  7.524882e-02  1.442081e-02
      5933  2.534188e-02  4.856562e-03  1.129790e+02  1.901842e+00  3.070442e-01  1.973695e+01  1.074583e+01  7.579855e-02  1.452616e-02
      6063  2.596585e-02  4.976141e-03  1.118412e+02  1.882689e+00  3.070441e-01  1.973694e+01  1.077014e+01  7.635550e-02  1.463290e-02
      6193  2.659318e-02  5.096362e-03  1.107161e+02  1.863749e+00  3.070441e-01  1.973694e+01  1.079441e+01  7.691543e-02  1.474021e-02
      6323  2.722390e-02  5.217234e-03  1.096034e+02  1.845019e+00  3.070440e-01  1.973694e+01  1.081864e+01  7.747836e-02  1.484809e-02
      6453  2.785805e-02  5.338764e-03  1.085031e+02  1.826497e+00  3.070440e-01  1.973693e+01  1.084283e+01  7.804430e-02  1.495654e-02
      6583  2.849567e-02  5.460960e-03  1.074150e+02  1.808180e+00  3.070439e-01  1.973693e+01  1.086697e+01  7.861328e-02  1.506558e-02
      6713  2.913682e-02  5.583829e-03  1.063389e+02  1.790065e+00  3.070439e-01  1.973693e+01  1.089108e+01  7.918531e-02  1.517521e-02
      6843  2.978152e-02  5.707381e-03  1.052746e+02  1.772149e+00  3.070438e-01  1.973692e+01  1.091514e+01  7.976041e-02  1.528542e-02
      6974  3.043482e-02  5.832581e-03  1.042140e+02  1.754296e+00  3.070438e-01  1.973692e+01  1.093935e+01  8.034306e-02  1.539708e-02
      7105  3.109183e-02  5.958491e-03  1.031651e+02  1.736639e+00  3.070437e-01  1.973692e+01  1.096352e+01  8.092887e-02  1.550935e-02
      7236  3.175259e-02  6.085120e-03  1.021278e+02  1.719178e+00  3.070437e-01  1.973691e+01  1.098765e+01  8.151787e-02  1.562222e-02
      7367  3.241714e-02  6.212476e-03  1.011020e+02  1.701909e+00  3.070436e-01  1.973691e+01  1.101175e+01  8.211006e-02  1.573571e-02
      7498  3.308554e-02  6.340569e-03  1.000874e+02  1.684830e+00  3.070436e-01  1.973691e+01  1.103581e+01  8.270547e-02  1.584982e-02
      7629  3.375783e-02  6.469409e-03  9.908396e+01  1.667939e+00  3.070435e-01  1.973690e+01  1.105983e+01  8.330413e-02  1.596455e-02
      7760  3.443407e-02  6.599004e-03  9.809152e+01  1.651233e+00  3.070435e-01  1.973690e+01  1.108381e+01  8.390606e-02  1.607990e-02
      7891  3.511430e-02  6.729365e-03  9.710994e+01  1.634709e+00  3.070434e-01  1.973690e+01  1.110776e+01  8.451127e-02  1.619588e-02
      8023  3.580382e-02  6.861505e-03  9.613171e+01  1.618242e+00  3.070434e-01  1.973689e+01  1.113186e+01  8.512445e-02  1.631339e-02
