     i         log_r      log_rmid             m           rho            v2        trelax            kn
     0  -1.700719e+00  -2.001749e+00  4.936543e-05  1.873703e+01  3.564861e-02  2.826689e-01  3.044852e-02
     1  -1.688956e+00  -1.694798e+00  5.328937e-05  1.759556e+01  3.796121e-02  2.916935e-01  3.044852e-02
     2  -1.677195e+00  -1.683036e+00  5.752323e-05  1.750507e+01  3.808675e-02  2.927178e-01  3.047676e-02
     3  -1.665426e+00  -1.671271e+00  6.209370e-05  1.741121e+01  3.821775e-02  2.937909e-01  3.050638e-02
     4  -1.653656e+00  -1.659501e+00  6.702432e-05  1.731390e+01  3.835445e-02  2.949152e-01  3.053742e-02
     5  -1.641870e+00  -1.647723e+00  7.234881e-05  1.721301e+01  3.849713e-02  2.960935e-01  3.056998e-02
     6  -1.630082e+00  -1.635936e+00  7.809033e-05  1.710848e+01  3.864601e-02  2.973283e-01  3.060411e-02
     7  -1.618286e+00  -1.624144e+00  8.428458e-05  1.700024e+01  3.880130e-02  2.986219e-01  3.063988e-02
     8  -1.606474e+00  -1.612340e+00  9.096964e-05  1.688818e+01  3.896334e-02  2.999778e-01  3.067738e-02
     9  -1.594646e+00  -1.600519e+00  9.818356e-05  1.677218e+01  3.913242e-02  3.013992e-01  3.071671e-02
    10  -1.582798e+00  -1.588681e+00  1.059689e-04  1.665216e+01  3.930885e-02  3.028895e-01  3.075794e-02
    11  -1.570940e+00  -1.576829e+00  1.143624e-04  1.652809e+01  3.949284e-02  3.044515e-01  3.080117e-02
    12  -1.559062e+00  -1.564960e+00  1.234185e-04  1.639993e+01  3.968466e-02  3.060883e-01  3.084647e-02
    13  -1.547159e+00  -1.553070e+00  1.331900e-04  1.626753e+01  3.988472e-02  3.078046e-01  3.089397e-02
    14  -1.535238e+00  -1.541158e+00  1.437275e-04  1.613089e+01  4.009326e-02  3.096037e-01  3.094375e-02
    15  -1.523286e+00  -1.529221e+00  1.550994e-04  1.598992e+01  4.031065e-02  3.114898e-01  3.099593e-02
    16  -1.511314e+00  -1.517259e+00  1.673596e-04  1.584460e+01  4.053717e-02  3.134671e-01  3.105063e-02
    17  -1.499316e+00  -1.505273e+00  1.805806e-04  1.569495e+01  4.077308e-02  3.155393e-01  3.110793e-02
    18  -1.487285e+00  -1.493259e+00  1.948435e-04  1.554088e+01  4.101878e-02  3.177116e-01  3.116798e-02
    19  -1.475227e+00  -1.481214e+00  2.102204e-04  1.538240e+01  4.127458e-02  3.199887e-01  3.123089e-02
    20  -1.463137e+00  -1.469140e+00  2.268022e-04  1.521953e+01  4.154078e-02  3.223751e-01  3.129679e-02
    21  -1.451010e+00  -1.457031e+00  2.446857e-04  1.505223e+01  4.181776e-02  3.248768e-01  3.136584e-02
    22  -1.438846e+00  -1.444886e+00  2.639729e-04  1.488052e+01  4.210589e-02  3.274993e-01  3.143817e-02
    23  -1.426648e+00  -1.432704e+00  2.847617e-04  1.470447e+01  4.240542e-02  3.302479e-01  3.151392e-02
    24  -1.414415e+00  -1.420489e+00  3.071688e-04  1.452416e+01  4.271661e-02  3.331276e-01  3.159322e-02
    25  -1.402140e+00  -1.408234e+00  3.313271e-04  1.433962e+01  4.303984e-02  3.361454e-01  3.167624e-02
    26  -1.389827e+00  -1.395940e+00  3.573620e-04  1.415092e+01  4.337542e-02  3.393075e-01  3.176315e-02
    27  -1.377469e+00  -1.383604e+00  3.854278e-04  1.395816e+01  4.372366e-02  3.426208e-01  3.185411e-02
    28  -1.365065e+00  -1.371223e+00  4.156808e-04  1.376139e+01  4.408492e-02  3.460929e-01  3.194932e-02
    29  -1.352618e+00  -1.358797e+00  4.482776e-04  1.356077e+01  4.445942e-02  3.497306e-01  3.204894e-02
    30  -1.340123e+00  -1.346325e+00  4.834077e-04  1.335644e+01  4.484745e-02  3.535416e-01  3.215315e-02
    31  -1.327580e+00  -1.333806e+00  5.212579e-04  1.314852e+01  4.524928e-02  3.575341e-01  3.226217e-02
    32  -1.314988e+00  -1.321238e+00  5.620357e-04  1.293718e+01  4.566513e-02  3.617162e-01  3.237618e-02
    33  -1.302347e+00  -1.308622e+00  6.059606e-04  1.272261e+01  4.609522e-02  3.660966e-01  3.249538e-02
    34  -1.289653e+00  -1.295954e+00  6.532785e-04  1.250498e+01  4.653979e-02  3.706847e-01  3.262000e-02
    35  -1.276908e+00  -1.283234e+00  7.042385e-04  1.228449e+01  4.699903e-02  3.754901e-01  3.275026e-02
    36  -1.264107e+00  -1.270460e+00  7.591240e-04  1.206133e+01  4.747311e-02  3.805230e-01  3.288640e-02
    37  -1.251252e+00  -1.257632e+00  8.182252e-04  1.183573e+01  4.796219e-02  3.857941e-01  3.302865e-02
    38  -1.238341e+00  -1.244749e+00  8.818583e-04  1.160791e+01  4.846638e-02  3.913143e-01  3.317726e-02
    39  -1.225373e+00  -1.231809e+00  9.503637e-04  1.137812e+01  4.898576e-02  3.970952e-01  3.333248e-02
    40  -1.212346e+00  -1.218811e+00  1.024119e-03  1.114657e+01  4.952046e-02  4.031497e-01  3.349460e-02
    41  -1.199261e+00  -1.205754e+00  1.103493e-03  1.091354e+01  5.007048e-02  4.094902e-01  3.366387e-02
    42  -1.186117e+00  -1.192639e+00  1.188917e-03  1.067928e+01  5.063580e-02  4.161301e-01  3.384059e-02
    43  -1.172913e+00  -1.179465e+00  1.280828e-03  1.044406e+01  5.121640e-02  4.230836e-01  3.402503e-02
    44  -1.159649e+00  -1.166230e+00  1.379723e-03  1.020812e+01  5.181224e-02  4.303659e-01  3.421752e-02
    45  -1.146323e+00  -1.152935e+00  1.486103e-03  9.971736e+00  5.242325e-02  4.379931e-01  3.441838e-02
    46  -1.132936e+00  -1.139578e+00  1.600525e-03  9.735164e+00  5.304927e-02  4.459817e-01  3.462792e-02
    47  -1.119487e+00  -1.126160e+00  1.723575e-03  9.498665e+00  5.369016e-02  4.543495e-01  3.484650e-02
    48  -1.105976e+00  -1.112679e+00  1.855885e-03  9.262500e+00  5.434572e-02  4.631153e-01  3.507446e-02
    49  -1.092404e+00  -1.099137e+00  1.998123e-03  9.026928e+00  5.501571e-02  4.722986e-01  3.531217e-02
    50  -1.078768e+00  -1.085532e+00  2.151017e-03  8.792197e+00  5.569987e-02  4.819206e-01  3.556002e-02
    51  -1.065070e+00  -1.071865e+00  2.315332e-03  8.558549e+00  5.639790e-02  4.920037e-01  3.581840e-02
    52  -1.051310e+00  -1.058135e+00  2.491891e-03  8.326225e+00  5.710946e-02  5.025715e-01  3.608774e-02
    53  -1.037487e+00  -1.044343e+00  2.681574e-03  8.095455e+00  5.783418e-02  5.136490e-01  3.636845e-02
    54  -1.023603e+00  -1.030489e+00  2.885299e-03  7.866470e+00  5.857161e-02  5.252626e-01  3.666099e-02
    55  -1.009657e+00  -1.016574e+00  3.104081e-03  7.639484e+00  5.932132e-02  5.374407e-01  3.696582e-02
    56  -9.956491e-01  -1.002596e+00  3.338977e-03  7.414696e+00  6.008285e-02  5.502137e-01  3.728343e-02
    57  -9.815809e-01  -9.885581e-01  3.591122e-03  7.192304e+00  6.085567e-02  5.636136e-01  3.761432e-02
    58  -9.674521e-01  -9.744590e-01  3.861724e-03  6.972491e+00  6.163923e-02  5.776749e-01  3.795904e-02
    59  -9.532635e-01  -9.602998e-01  4.152066e-03  6.755431e+00  6.243295e-02  5.924340e-01  3.831813e-02
    60  -9.390155e-01  -9.460811e-01  4.463517e-03  6.541289e+00  6.323623e-02  6.079302e-01  3.869217e-02
    61  -9.247085e-01  -9.318031e-01  4.797536e-03  6.330214e+00  6.404842e-02  6.242052e-01  3.908178e-02
    62  -9.103439e-01  -9.174669e-01  5.155655e-03  6.122349e+00  6.486885e-02  6.413038e-01  3.948759e-02
    63  -8.959219e-01  -9.030731e-01  5.539526e-03  5.917827e+00  6.569681e-02  6.592735e-01  3.991025e-02
