     i         log_r      log_rmid             m           rho            v2        trelax            kn
     0  -2.965481e+00  -3.266511e+00  4.936543e-05  1.166775e+05  1.439794e+00  7.142704e-06  6.071472e-05
     1  -2.954450e+00  -2.959931e+00  5.328937e-05  1.171373e+05  1.434142e+00  7.128672e-06  6.071472e-05
     2  -2.943415e+00  -2.948897e+00  5.752323e-05  1.170619e+05  1.433847e+00  7.134001e-06  6.074053e-05
     3  -2.932369e+00  -2.937857e+00  6.209370e-05  1.169824e+05  1.433537e+00  7.139618e-06  6.076773e-05
     4  -2.921320e+00  -2.926810e+00  6.702432e-05  1.168988e+05  1.433210e+00  7.145539e-06  6.079639e-05
     5  -2.910258e+00  -2.915754e+00  7.234881e-05  1.168108e+05  1.432865e+00  7.151781e-06  6.082659e-05
     6  -2.899198e+00  -2.904693e+00  7.809033e-05  1.167182e+05  1.432503e+00  7.158360e-06  6.085842e-05
     7  -2.888135e+00  -2.893631e+00  8.428458e-05  1.166209e+05  1.432121e+00  7.165291e-06  6.089193e-05
     8  -2.877064e+00  -2.882564e+00  9.096964e-05  1.165184e+05  1.431720e+00  7.172597e-06  6.092724e-05
     9  -2.865987e+00  -2.871490e+00  9.818356e-05  1.164106e+05  1.431297e+00  7.180300e-06  6.096444e-05
    10  -2.854902e+00  -2.860409e+00  1.059689e-04  1.162972e+05  1.430852e+00  7.188420e-06  6.100365e-05
    11  -2.843821e+00  -2.849326e+00  1.143624e-04  1.161779e+05  1.430384e+00  7.196977e-06  6.104494e-05
    12  -2.832734e+00  -2.838242e+00  1.234185e-04  1.160525e+05  1.429891e+00  7.205994e-06  6.108843e-05
    13  -2.821641e+00  -2.827152e+00  1.331900e-04  1.159206e+05  1.429372e+00  7.215501e-06  6.113426e-05
    14  -2.810548e+00  -2.816059e+00  1.437275e-04  1.157820e+05  1.428827e+00  7.225523e-06  6.118254e-05
    15  -2.799446e+00  -2.804962e+00  1.550994e-04  1.156362e+05  1.428253e+00  7.236088e-06  6.123340e-05
    16  -2.788345e+00  -2.793860e+00  1.673596e-04  1.154828e+05  1.427649e+00  7.247226e-06  6.128699e-05
    17  -2.777243e+00  -2.782759e+00  1.805806e-04  1.153217e+05  1.427014e+00  7.258966e-06  6.134343e-05
    18  -2.766134e+00  -2.771653e+00  1.948435e-04  1.151524e+05  1.426345e+00  7.271344e-06  6.140290e-05
    19  -2.755025e+00  -2.760544e+00  2.102204e-04  1.149744e+05  1.425642e+00  7.284396e-06  6.146556e-05
    20  -2.743912e+00  -2.749433e+00  2.268022e-04  1.147874e+05  1.424903e+00  7.298157e-06  6.153157e-05
    21  -2.732794e+00  -2.738317e+00  2.446857e-04  1.145908e+05  1.424125e+00  7.312670e-06  6.160113e-05
    22  -2.721669e+00  -2.727196e+00  2.639729e-04  1.143843e+05  1.423307e+00  7.327980e-06  6.167444e-05
    23  -2.710545e+00  -2.716071e+00  2.847617e-04  1.141673e+05  1.422447e+00  7.344128e-06  6.175169e-05
    24  -2.699419e+00  -2.704946e+00  3.071688e-04  1.139394e+05  1.421542e+00  7.361158e-06  6.183308e-05
    25  -2.688288e+00  -2.693818e+00  3.313271e-04  1.137001e+05  1.420591e+00  7.379124e-06  6.191885e-05
    26  -2.677155e+00  -2.682686e+00  3.573620e-04  1.134487e+05  1.419591e+00  7.398078e-06  6.200924e-05
    27  -2.666017e+00  -2.671550e+00  3.854278e-04  1.131847e+05  1.418539e+00  7.418079e-06  6.210451e-05
    28  -2.654872e+00  -2.660409e+00  4.156808e-04  1.129076e+05  1.417433e+00  7.439190e-06  6.220494e-05
    29  -2.643726e+00  -2.649263e+00  4.482776e-04  1.126166e+05  1.416271e+00  7.461473e-06  6.231082e-05
    30  -2.632573e+00  -2.638113e+00  4.834077e-04  1.123111e+05  1.415049e+00  7.484995e-06  6.242243e-05
    31  -2.621416e+00  -2.626958e+00  5.212579e-04  1.119905e+05  1.413764e+00  7.509833e-06  6.254011e-05
    32  -2.610254e+00  -2.615799e+00  5.620357e-04  1.116541e+05  1.412413e+00  7.536060e-06  6.266420e-05
    33  -2.599088e+00  -2.604635e+00  6.059606e-04  1.113011e+05  1.410994e+00  7.563760e-06  6.279504e-05
    34  -2.587915e+00  -2.593466e+00  6.532785e-04  1.109309e+05  1.409502e+00  7.593022e-06  6.293303e-05
    35  -2.576738e+00  -2.582291e+00  7.042385e-04  1.105425e+05  1.407935e+00  7.623942e-06  6.307858e-05
    36  -2.565552e+00  -2.571109e+00  7.591240e-04  1.101352e+05  1.406287e+00  7.656618e-06  6.323212e-05
    37  -2.554361e+00  -2.559920e+00  8.182252e-04  1.097081e+05  1.404556e+00  7.691162e-06  6.339412e-05
    38  -2.543162e+00  -2.548725e+00  8.818583e-04  1.092603e+05  1.402737e+00  7.727686e-06  6.356506e-05
    39  -2.531955e+00  -2.537522e+00  9.503637e-04  1.087910e+05  1.400826e+00  7.766315e-06  6.374545e-05
    40  -2.520738e+00  -2.526310e+00  1.024119e-03  1.082991e+05  1.398818e+00  7.807184e-06  6.393588e-05
    41  -2.509513e+00  -2.515089e+00  1.103493e-03  1.077838e+05  1.396709e+00  7.850435e-06  6.413693e-05
    42  -2.498278e+00  -2.503859e+00  1.188917e-03  1.072439e+05  1.394493e+00  7.896216e-06  6.434921e-05
    43  -2.487034e+00  -2.492619e+00  1.280828e-03  1.066786e+05  1.392166e+00  7.944694e-06  6.457339e-05
    44  -2.475777e+00  -2.481369e+00  1.379723e-03  1.060867e+05  1.389722e+00  7.996046e-06  6.481021e-05
    45  -2.464509e+00  -2.470107e+00  1.486103e-03  1.054670e+05  1.387155e+00  8.050464e-06  6.506044e-05
    46  -2.453228e+00  -2.458832e+00  1.600525e-03  1.048185e+05  1.384459e+00  8.108152e-06  6.532489e-05
    47  -2.441933e+00  -2.447544e+00  1.723575e-03  1.041400e+05  1.381629e+00  8.169333e-06  6.560444e-05
    48  -2.430623e+00  -2.436241e+00  1.855885e-03  1.034303e+05  1.378657e+00  8.234247e-06  6.590003e-05
    49  -2.419298e+00  -2.424924e+00  1.998123e-03  1.026883e+05  1.375537e+00  8.303153e-06  6.621268e-05
    50  -2.407955e+00  -2.413590e+00  2.151017e-03  1.019125e+05  1.372262e+00  8.376335e-06  6.654348e-05
    51  -2.396594e+00  -2.402238e+00  2.315332e-03  1.011018e+05  1.368824e+00  8.454098e-06  6.689358e-05
    52  -2.385214e+00  -2.390867e+00  2.491891e-03  1.002548e+05  1.365216e+00  8.536777e-06  6.726426e-05
    53  -2.373812e+00  -2.379475e+00  2.681574e-03  9.937033e+04  1.361429e+00  8.624734e-06  6.765686e-05
    54  -2.362388e+00  -2.368062e+00  2.885299e-03  9.844695e+04  1.357455e+00  8.718363e-06  6.807283e-05
    55  -2.350939e+00  -2.356626e+00  3.104081e-03  9.748335e+04  1.353286e+00  8.818095e-06  6.851375e-05
    56  -2.339465e+00  -2.345164e+00  3.338977e-03  9.647815e+04  1.348911e+00  8.924407e-06  6.898133e-05
    57  -2.327963e+00  -2.333676e+00  3.591122e-03  9.542999e+04  1.344322e+00  9.037815e-06  6.947742e-05
    58  -2.316431e+00  -2.322159e+00  3.861724e-03  9.433751e+04  1.339508e+00  9.158893e-06  7.000401e-05
    59  -2.304867e+00  -2.310610e+00  4.152066e-03  9.319935e+04  1.334458e+00  9.288266e-06  7.056329e-05
    60  -2.293268e+00  -2.299029e+00  4.463517e-03  9.201414e+04  1.329162e+00  9.426629e-06  7.115763e-05
    61  -2.281632e+00  -2.287411e+00  4.797536e-03  9.078055e+04  1.323609e+00  9.574749e-06  7.178960e-05
    62  -2.269957e+00  -2.275756e+00  5.155655e-03  8.949728e+04  1.317785e+00  9.733473e-06  7.246203e-05
    63  -2.258239e+00  -2.264059e+00  5.539526e-03  8.816307e+04  1.311680e+00  9.903745e-06  7.317800e-05
    64  -2.246475e+00  -2.252317e+00  5.950900e-03  8.677663e+04  1.305278e+00  1.008662e-05  7.394091e-05
    65  -2.234661e+00  -2.240528e+00  6.391610e-03  8.533681e+04  1.298568e+00  1.028327e-05  7.475447e-05
