     i         log_r      log_rmid             m           rho            v2        trelax            kn
     0  -1.840227e+00  -2.141257e+00  4.936543e-05  4.911618e+01  1.953150e-02  1.456826e-01  2.540725e-02
     1  -1.826752e+00  -1.833437e+00  5.328937e-05  4.002224e+01  2.396949e-02  1.613873e-01  2.540725e-02
     2  -1.813296e+00  -1.819972e+00  5.752323e-05  3.940314e+01  2.423435e-02  1.630247e-01  2.546576e-02
     3  -1.799846e+00  -1.806519e+00  6.209370e-05  3.877763e+01  2.450841e-02  1.647256e-01  2.552640e-02
     4  -1.786405e+00  -1.793074e+00  6.702432e-05  3.814598e+01  2.479198e-02  1.664929e-01  2.558926e-02
     5  -1.772952e+00  -1.779626e+00  7.234881e-05  3.750838e+01  2.508543e-02  1.683298e-01  2.565446e-02
     6  -1.759502e+00  -1.766175e+00  7.809033e-05  3.686530e+01  2.538902e-02  1.702391e-01  2.572207e-02
     7  -1.746043e+00  -1.752720e+00  8.428458e-05  3.621740e+01  2.570291e-02  1.722232e-01  2.579218e-02
     8  -1.732565e+00  -1.739252e+00  9.096964e-05  3.556480e+01  2.602755e-02  1.742862e-01  2.586491e-02
     9  -1.719065e+00  -1.725763e+00  9.818356e-05  3.490788e+01  2.636329e-02  1.764318e-01  2.594037e-02
    10  -1.705539e+00  -1.712249e+00  1.059689e-04  3.424711e+01  2.671042e-02  1.786634e-01  2.601869e-02
    11  -1.691995e+00  -1.698714e+00  1.143624e-04  3.358331e+01  2.706907e-02  1.809839e-01  2.609993e-02
    12  -1.678419e+00  -1.685154e+00  1.234185e-04  3.291708e+01  2.743947e-02  1.833964e-01  2.618420e-02
    13  -1.664807e+00  -1.671560e+00  1.331900e-04  3.224869e+01  2.782205e-02  1.859060e-01  2.627164e-02
    14  -1.651164e+00  -1.657932e+00  1.437275e-04  3.157888e+01  2.821696e-02  1.885160e-01  2.636236e-02
    15  -1.637476e+00  -1.644266e+00  1.550994e-04  3.090819e+01  2.862450e-02  1.912306e-01  2.645648e-02
    16  -1.623754e+00  -1.630561e+00  1.673596e-04  3.023730e+01  2.904484e-02  1.940540e-01  2.655411e-02
    17  -1.609991e+00  -1.616818e+00  1.805806e-04  2.956705e+01  2.947804e-02  1.969893e-01  2.665535e-02
    18  -1.596181e+00  -1.603031e+00  1.948435e-04  2.889785e+01  2.992445e-02  2.000421e-01  2.676035e-02
    19  -1.582328e+00  -1.589199e+00  2.102204e-04  2.823038e+01  3.038420e-02  2.032167e-01  2.686925e-02
    20  -1.568428e+00  -1.575322e+00  2.268022e-04  2.756537e+01  3.085737e-02  2.065174e-01  2.698214e-02
    21  -1.554476e+00  -1.561396e+00  2.446857e-04  2.690331e+01  3.134421e-02  2.099499e-01  2.709918e-02
    22  -1.540472e+00  -1.547418e+00  2.639729e-04  2.624474e+01  3.184488e-02  2.135197e-01  2.722054e-02
    23  -1.526421e+00  -1.533390e+00  2.847617e-04  2.559044e+01  3.235935e-02  2.172312e-01  2.734632e-02
    24  -1.512322e+00  -1.519314e+00  3.071688e-04  2.494115e+01  3.288759e-02  2.210892e-01  2.747664e-02
    25  -1.498169e+00  -1.505187e+00  3.313271e-04  2.429729e+01  3.342973e-02  2.251001e-01  2.761165e-02
    26  -1.483966e+00  -1.491009e+00  3.573620e-04  2.365941e+01  3.398583e-02  2.292699e-01  2.775152e-02
    27  -1.469709e+00  -1.476779e+00  3.854278e-04  2.302805e+01  3.455587e-02  2.336048e-01  2.789640e-02
    28  -1.455396e+00  -1.462493e+00  4.156808e-04  2.240358e+01  3.513998e-02  2.381123e-01  2.804648e-02
    29  -1.441033e+00  -1.448155e+00  4.482776e-04  2.178658e+01  3.573801e-02  2.427984e-01  2.820188e-02
    30  -1.426616e+00  -1.433765e+00  4.834077e-04  2.117749e+01  3.634991e-02  2.476703e-01  2.836278e-02
    31  -1.412147e+00  -1.419321e+00  5.212579e-04  2.057669e+01  3.697565e-02  2.527357e-01  2.852937e-02
    32  -1.397626e+00  -1.404826e+00  5.620357e-04  1.998459e+01  3.761510e-02  2.580023e-01  2.870179e-02
    33  -1.383055e+00  -1.390279e+00  6.059606e-04  1.940156e+01  3.826813e-02  2.634782e-01  2.888024e-02
    34  -1.368431e+00  -1.375682e+00  6.532785e-04  1.882786e+01  3.893466e-02  2.691725e-01  2.906491e-02
    35  -1.353758e+00  -1.361033e+00  7.042385e-04  1.826378e+01  3.961455e-02  2.750945e-01  2.925600e-02
    36  -1.339034e+00  -1.346334e+00  7.591240e-04  1.770956e+01  4.030765e-02  2.812539e-01  2.945372e-02
    37  -1.324261e+00  -1.331584e+00  8.182252e-04  1.716538e+01  4.101381e-02  2.876613e-01  2.965828e-02
    38  -1.309439e+00  -1.316787e+00  8.818583e-04  1.663147e+01  4.173281e-02  2.943273e-01  2.986989e-02
    39  -1.294570e+00  -1.301941e+00  9.503637e-04  1.610797e+01  4.246445e-02  3.012635e-01  3.008878e-02
    40  -1.279651e+00  -1.287046e+00  1.024119e-03  1.559495e+01  4.320860e-02  3.084827e-01  3.031521e-02
    41  -1.264688e+00  -1.272105e+00  1.103493e-03  1.509255e+01  4.396497e-02  3.159977e-01  3.054942e-02
    42  -1.249679e+00  -1.257119e+00  1.188917e-03  1.460087e+01  4.473329e-02  3.238215e-01  3.079165e-02
    43  -1.234628e+00  -1.242088e+00  1.280828e-03  1.411995e+01  4.551331e-02  3.319691e-01  3.104216e-02
    44  -1.219531e+00  -1.227014e+00  1.379723e-03  1.364979e+01  4.630479e-02  3.404560e-01  3.130126e-02
    45  -1.204393e+00  -1.211896e+00  1.486103e-03  1.319040e+01  4.710744e-02  3.492989e-01  3.156923e-02
    46  -1.189213e+00  -1.196737e+00  1.600525e-03  1.274178e+01  4.792096e-02  3.585149e-01  3.184637e-02
    47  -1.173992e+00  -1.181536e+00  1.723575e-03  1.230388e+01  4.874504e-02  3.681228e-01  3.213302e-02
    48  -1.158732e+00  -1.166295e+00  1.855885e-03  1.187666e+01  4.957936e-02  3.781423e-01  3.242949e-02
    49  -1.143433e+00  -1.151015e+00  1.998123e-03  1.146006e+01  5.042354e-02  3.885942e-01  3.273615e-02
    50  -1.128096e+00  -1.135697e+00  2.151017e-03  1.105401e+01  5.127725e-02  3.995010e-01  3.305335e-02
    51  -1.112722e+00  -1.120341e+00  2.315332e-03  1.065840e+01  5.214012e-02  4.108866e-01  3.338149e-02
    52  -1.097311e+00  -1.104948e+00  2.491891e-03  1.027315e+01  5.301173e-02  4.227762e-01  3.372097e-02
    53  -1.081865e+00  -1.089520e+00  2.681574e-03  9.898134e+00  5.389168e-02  4.351969e-01  3.407220e-02
    54  -1.066386e+00  -1.074057e+00  2.885299e-03  9.533259e+00  5.477950e-02  4.481770e-01  3.443563e-02
    55  -1.050872e+00  -1.058560e+00  3.104081e-03  9.178394e+00  5.567474e-02  4.617472e-01  3.481171e-02
    56  -1.035326e+00  -1.043030e+00  3.338977e-03  8.833397e+00  5.657693e-02  4.759404e-01  3.520093e-02
    57  -1.019748e+00  -1.027467e+00  3.591122e-03  8.498136e+00  5.748556e-02  4.907914e-01  3.560381e-02
    58  -1.004139e+00  -1.011873e+00  3.861724e-03  8.172465e+00  5.840012e-02  5.063374e-01  3.602088e-02
    59  -9.884993e-01  -9.962487e-01  4.152066e-03  7.856237e+00  5.932006e-02  5.226184e-01  3.645270e-02
    60  -9.728300e-01  -9.805940e-01  4.463517e-03  7.549299e+00  6.024480e-02  5.396766e-01  3.689986e-02
    61  -9.571315e-01  -9.649098e-01  4.797536e-03  7.251493e+00  6.117375e-02  5.575579e-01  3.736298e-02
    62  -9.414052e-01  -9.491971e-01  5.155655e-03  6.962664e+00  6.210630e-02  5.763108e-01  3.784271e-02
    63  -9.256512e-01  -9.334567e-01  5.539526e-03  6.682653e+00  6.304179e-02  5.959871e-01  3.833973e-02
    64  -9.098699e-01  -9.176888e-01  5.950900e-03  6.411288e+00  6.397959e-02  6.166433e-01  3.885477e-02
    65  -8.940626e-01  -9.018943e-01  6.391610e-03  6.148409e+00  6.491899e-02  6.383390e-01  3.938860e-02
    66  -8.782298e-01  -8.860740e-01  6.863620e-03  5.893853e+00  6.585926e-02  6.611382e-01  3.994199e-02
    67  -8.623717e-01  -8.702284e-01  7.369017e-03  5.647451e+00  6.679969e-02  6.851100e-01  4.051579e-02
    68  -8.464895e-01  -8.543580e-01  7.909987e-03  5.409034e+00  6.773952e-02  7.103285e-01  4.111089e-02
    69  -8.305834e-01  -8.384636e-01  8.488863e-03  5.178438e+00  6.867794e-02  7.368729e-01  4.172821e-02
    70  -8.146539e-01  -8.225456e-01  9.108117e-03  4.955491e+00  6.961418e-02  7.648291e-01  4.236874e-02
    71  -7.987018e-01  -8.066046e-01  9.770334e-03  4.740027e+00  7.054741e-02  7.942892e-01  4.303351e-02
    72  -7.827276e-01  -7.906413e-01  1.047826e-02  4.531881e+00  7.147677e-02  8.253518e-01  4.372362e-02
    73  -7.667319e-01  -7.746561e-01  1.123480e-02  4.330885e+00  7.240140e-02  8.581236e-01  4.444019e-02
    74  -7.507150e-01  -7.586496e-01  1.204299e-02  4.136874e+00  7.332042e-02  8.927199e-01  4.518446e-02
    75  -7.346777e-01  -7.426223e-01  1.290606e-02  3.949684e+00  7.423293e-02  9.292644e-01  4.595770e-02
    76  -7.186204e-01  -7.265748e-01  1.382737e-02  3.769152e+00  7.513801e-02  9.678910e-01  4.676125e-02
    77  -7.025435e-01  -7.105076e-01  1.481049e-02  3.595116e+00  7.603472e-02  1.008744e+00  4.759653e-02
    78  -6.864476e-01  -6.944210e-01  1.585915e-02  3.427414e+00  7.692214e-02  1.051981e+00  4.846507e-02
    79  -6.703330e-01  -6.783155e-01  1.697728e-02  3.265887e+00  7.779929e-02  1.097769e+00  4.936844e-02
