     i         log_r      log_rmid             m           rho            v2        trelax            kn
    52  -2.235270e+00  -2.240864e+00  2.491891e-03  3.595200e+04  1.149636e+00  2.594160e-05  1.224041e-04
    53  -2.223996e+00  -2.229596e+00  2.681574e-03  3.568670e+04  1.147028e+00  2.616415e-05  1.229979e-04
    54  -2.212707e+00  -2.218315e+00  2.885299e-03  3.540958e+04  1.144292e+00  2.640042e-05  1.236258e-04
    55  -2.201401e+00  -2.207017e+00  3.104081e-03  3.512021e+04  1.141421e+00  2.665140e-05  1.242900e-04
    56  -2.190078e+00  -2.195703e+00  3.338977e-03  3.481814e+04  1.138410e+00  2.691814e-05  1.249930e-04
    57  -2.178736e+00  -2.184370e+00  3.591122e-03  3.450293e+04  1.135252e+00  2.720182e-05  1.257372e-04
    58  -2.167374e+00  -2.173018e+00  3.861724e-03  3.417415e+04  1.131939e+00  2.750367e-05  1.265253e-04
    59  -2.155989e+00  -2.161644e+00  4.152066e-03  3.383135e+04  1.128465e+00  2.782509e-05  1.273603e-04
    60  -2.144581e+00  -2.150248e+00  4.463517e-03  3.347407e+04  1.124823e+00  2.816757e-05  1.282453e-04
    61  -2.133148e+00  -2.138827e+00  4.797536e-03  3.310188e+04  1.121004e+00  2.853276e-05  1.291837e-04
    62  -2.121687e+00  -2.127380e+00  5.155655e-03  3.271431e+04  1.117001e+00  2.892247e-05  1.301793e-04
    63  -2.110197e+00  -2.115904e+00  5.539526e-03  3.231095e+04  1.112805e+00  2.933869e-05  1.312361e-04
    64  -2.098674e+00  -2.104397e+00  5.950900e-03  3.189134e+04  1.108407e+00  2.978363e-05  1.323585e-04
    65  -2.087118e+00  -2.092858e+00  6.391610e-03  3.145507e+04  1.103798e+00  3.025970e-05  1.335512e-04
    66  -2.075525e+00  -2.081283e+00  6.863620e-03  3.100173e+04  1.098968e+00  3.076957e-05  1.348193e-04
    67  -2.063892e+00  -2.069670e+00  7.369017e-03  3.053091e+04  1.093909e+00  3.131625e-05  1.361687e-04
    68  -2.052217e+00  -2.058015e+00  7.909987e-03  3.004224e+04  1.088608e+00  3.190302e-05  1.376055e-04
    69  -2.040495e+00  -2.046317e+00  8.488863e-03  2.953537e+04  1.083056e+00  3.253359e-05  1.391365e-04
    70  -2.028724e+00  -2.034570e+00  9.108117e-03  2.900996e+04  1.077242e+00  3.321210e-05  1.407692e-04
    71  -2.016900e+00  -2.022772e+00  9.770334e-03  2.846571e+04  1.071153e+00  3.394317e-05  1.425119e-04
    72  -2.005018e+00  -2.010918e+00  1.047826e-02  2.790236e+04  1.064777e+00  3.473201e-05  1.443737e-04
    73  -1.993074e+00  -1.999005e+00  1.123480e-02  2.731969e+04  1.058101e+00  3.558449e-05  1.463647e-04
    74  -1.981063e+00  -1.987027e+00  1.204299e-02  2.671751e+04  1.051113e+00  3.650727e-05  1.484961e-04
    75  -1.968979e+00  -1.974979e+00  1.290606e-02  2.609572e+04  1.043798e+00  3.750789e-05  1.507804e-04
    76  -1.956817e+00  -1.962856e+00  1.382737e-02  2.545423e+04  1.036142e+00  3.859495e-05  1.532316e-04
    77  -1.944571e+00  -1.950651e+00  1.481049e-02  2.479304e+04  1.028129e+00  3.977831e-05  1.558651e-04
    78  -1.932233e+00  -1.938358e+00  1.585915e-02  2.411223e+04  1.019744e+00  4.106927e-05  1.586987e-04
    79  -1.919795e+00  -1.925969e+00  1.697728e-02  2.341195e+04  1.010970e+00  4.248085e-05  1.617520e-04
    80  -1.907249e+00  -1.913477e+00  1.816896e-02  2.269243e+04  1.001790e+00  4.402818e-05  1.650475e-04
    81  -1.894586e+00  -1.900871e+00  1.943850e-02  2.195400e+04  9.921851e-01  4.572881e-05  1.686105e-04
    82  -1.881796e+00  -1.888144e+00  2.079041e-02  2.119712e+04  9.821363e-01  4.760333e-05  1.724700e-04
