      step          time         t_Gyr         rho_c  rhoc_Msunpc3         v_max     v_max_kms        Kn_min       mintrel   mintrel_Gyr
         0  0.000000e+00  0.000000e+00  1.303894e+02  1.295704e+01  3.068619e-01  1.740528e+02  2.057816e-02  7.241820e-02  1.065742e-05
         2  2.000000e+00  2.943298e-04  1.287430e+02  1.279343e+01  3.068767e-01  1.740612e+02  2.065007e-02  7.313444e-02  1.076282e-05
         4  4.000000e+00  5.886596e-04  1.270937e+02  1.262954e+01  3.068916e-01  1.740696e+02  2.072143e-02  7.386181e-02  1.086987e-05
         6  6.000000e+00  8.829894e-04  1.254495e+02  1.246615e+01  3.069064e-01  1.740780e+02  2.079237e-02  7.459879e-02  1.097832e-05
         8  8.000000e+00  1.177319e-03  1.238149e+02  1.230372e+01  3.069212e-01  1.740865e+02  2.086296e-02  7.534451e-02  1.108807e-05
        10  1.000000e+01  1.471649e-03  1.221929e+02  1.214254e+01  3.069361e-01  1.740949e+02  2.093323e-02  7.609842e-02  1.119902e-05
        12  1.200000e+01  1.765979e-03  1.205853e+02  1.198279e+01  3.069509e-01  1.741033e+02  2.100323e-02  7.686013e-02  1.131111e-05
        14  1.400000e+01  2.060309e-03  1.189935e+02  1.182461e+01  3.069657e-01  1.741117e+02  2.107296e-02  7.762938e-02  1.142432e-05
        16  1.600000e+01  2.354638e-03  1.174186e+02  1.166811e+01  3.069805e-01  1.741201e+02  2.114244e-02  7.840593e-02  1.153860e-05
        18  1.800000e+01  2.648968e-03  1.158612e+02  1.151334e+01  3.069953e-01  1.741285e+02  2.121168e-02  7.918963e-02  1.165393e-05
        20  2.000000e+01  2.943298e-03  1.143218e+02  1.136038e+01  3.070101e-01  1.741369e+02  2.128068e-02  7.998033e-02  1.177030e-05
        22  2.200000e+01  3.237628e-03  1.128010e+02  1.120925e+01  3.070249e-01  1.741453e+02  2.134946e-02  8.077791e-02  1.188767e-05
        24  2.400000e+01  3.531958e-03  1.112991e+02  1.106000e+01  3.070397e-01  1.741537e+02  2.141802e-02  8.158226e-02  1.200605e-05
        26  2.600000e+01  3.826287e-03  1.098161e+02  1.091264e+01  3.070545e-01  1.741620e+02  2.148635e-02  8.239330e-02  1.212540e-05
        28  2.800000e+01  4.120617e-03  1.083523e+02  1.076718e+01  3.070693e-01  1.741704e+02  2.155447e-02  8.321094e-02  1.224573e-05
        30  3.000000e+01  4.414947e-03  1.069079e+02  1.062364e+01  3.070840e-01  1.741788e+02  2.162237e-02  8.403510e-02  1.236702e-05
        32  3.200000e+01  4.709277e-03  1.054827e+02  1.048202e+01  3.070988e-01  1.741872e+02  2.169006e-02  8.486573e-02  1.248926e-05
        34  3.400000e+01  5.003606e-03  1.040769e+02  1.034232e+01  3.071136e-01  1.741956e+02  2.175753e-02  8.570275e-02  1.261244e-05
        36  3.600000e+01  5.297936e-03  1.026904e+02  1.020454e+01  3.071283e-01  1.742039e+02  2.182479e-02  8.654611e-02  1.273655e-05
        38  3.800000e+01  5.592266e-03  1.013231e+02  1.006867e+01  3.071431e-01  1.742123e+02  2.189184e-02  8.739576e-02  1.286159e-05
        40  4.000000e+01  5.886596e-03  9.997503e+01  9.934709e+00  3.071578e-01  1.742206e+02  2.195868e-02  8.825163e-02  1.298754e-05
        42  4.200000e+01  6.180926e-03  9.864605e+01  9.802646e+00  3.071725e-01  1.742290e+02  2.202531e-02  8.911368e-02  1.311441e-05
        44  4.400000e+01  6.475255e-03  9.733605e+01  9.672469e+00  3.071873e-01  1.742374e+02  2.209172e-02  8.998186e-02  1.324217e-05
        46  4.600000e+01  6.769585e-03  9.604491e+01  9.544165e+00  3.072020e-01  1.742457e+02  2.215792e-02  9.085611e-02  1.337083e-05
        48  4.800000e+01  7.063915e-03  9.477248e+01  9.417721e+00  3.072167e-01  1.742541e+02  2.222391e-02  9.173640e-02  1.350038e-05
        50  5.000000e+01  7.358245e-03  9.351861e+01  9.293122e+00  3.072315e-01  1.742624e+02  2.228969e-02  9.262266e-02  1.363080e-05
        52  5.200000e+01  7.652575e-03  9.228315e+01  9.170352e+00  3.072462e-01  1.742708e+02  2.235525e-02  9.351486e-02  1.376211e-05
        54  5.400000e+01  7.946904e-03  9.106593e+01  9.049395e+00  3.072609e-01  1.742791e+02  2.242060e-02  9.441295e-02  1.389427e-05
        56  5.600000e+01  8.241234e-03  8.986678e+01  8.930232e+00  3.072756e-01  1.742874e+02  2.248574e-02  9.531689e-02  1.402730e-05
        58  5.800000e+01  8.535564e-03  8.868550e+01  8.812847e+00  3.072903e-01  1.742958e+02  2.255066e-02  9.622662e-02  1.416118e-05
        60  6.000000e+01  8.829894e-03  8.752193e+01  8.697220e+00  3.073050e-01  1.743041e+02  2.261537e-02  9.714209e-02  1.429591e-05
        62  6.200000e+01  9.124224e-03  8.637586e+01  8.583333e+00  3.073196e-01  1.743124e+02  2.267986e-02  9.806327e-02  1.443147e-05
        64  6.400000e+01  9.418553e-03  8.524710e+01  8.471166e+00  3.073343e-01  1.743208e+02  2.274413e-02  9.899011e-02  1.456787e-05
        66  6.600000e+01  9.712883e-03  8.413546e+01  8.360700e+00  3.073490e-01  1.743291e+02  2.280819e-02  9.992255e-02  1.470509e-05
        68  6.800000e+01  1.000721e-02  8.304073e+01  8.251915e+00  3.073637e-01  1.743374e+02  2.287203e-02  1.008606e-01  1.484313e-05
        70  7.000000e+01  1.030154e-02  8.196271e+01  8.144791e+00  3.073783e-01  1.743457e+02  2.293565e-02  1.018041e-01  1.498199e-05
        72  7.200000e+01  1.059587e-02  8.090121e+01  8.039307e+00  3.073930e-01  1.743540e+02  2.299905e-02  1.027530e-01  1.512164e-05
        74  7.400000e+01  1.089020e-02  7.985601e+01  7.935443e+00  3.074076e-01  1.743623e+02  2.306224e-02  1.037074e-01  1.526209e-05
        76  7.600000e+01  1.118453e-02  7.882690e+01  7.833179e+00  3.074223e-01  1.743706e+02  2.312520e-02  1.046672e-01  1.540334e-05
        78  7.800000e+01  1.147886e-02  7.781369e+01  7.732494e+00  3.074369e-01  1.743789e+02  2.318795e-02  1.056323e-01  1.554536e-05
        80  8.000000e+01  1.177319e-02  7.681616e+01  7.633368e+00  3.074515e-01  1.743872e+02  2.325047e-02  1.066026e-01  1.568816e-05
        82  8.200000e+01  1.206752e-02  7.583411e+01  7.535779e+00  3.074662e-01  1.743955e+02  2.331278e-02  1.075781e-01  1.583172e-05
        84  8.400000e+01  1.236185e-02  7.486732e+01  7.439708e+00  3.074808e-01  1.744038e+02  2.337486e-02  1.085588e-01  1.597605e-05
        86  8.600000e+01  1.265618e-02  7.391559e+01  7.345133e+00  3.074954e-01  1.744121e+02  2.343672e-02  1.095446e-01  1.612112e-05
        88  8.800000e+01  1.295051e-02  7.297872e+01  7.252034e+00  3.075100e-01  1.744204e+02  2.349836e-02  1.105355e-01  1.626694e-05
        90  9.000000e+01  1.324484e-02  7.205650e+01  7.160391e+00  3.075246e-01  1.744287e+02  2.355978e-02  1.115313e-01  1.641350e-05
        92  9.200000e+01  1.353917e-02  7.114871e+01  7.070183e+00  3.075392e-01  1.744370e+02  2.362097e-02  1.125321e-01  1.656078e-05
        94  9.400000e+01  1.383350e-02  7.025517e+01  6.981390e+00  3.075538e-01  1.744452e+02  2.368194e-02  1.135378e-01  1.670878e-05
        96  9.600000e+01  1.412783e-02  6.937566e+01  6.893991e+00  3.075684e-01  1.744535e+02  2.374269e-02  1.145483e-01  1.685749e-05
        98  9.800000e+01  1.442216e-02  6.850998e+01  6.807966e+00  3.075829e-01  1.744618e+02  2.380322e-02  1.155636e-01  1.700690e-05
       100  1.000000e+02  1.471649e-02  6.765793e+01  6.723297e+00  3.075975e-01  1.744701e+02  2.386352e-02  1.165836e-01  1.715701e-05
       102  1.020000e+02  1.501082e-02  6.681931e+01  6.639961e+00  3.076121e-01  1.744783e+02  2.392360e-02  1.176083e-01  1.730781e-05
       104  1.040000e+02  1.530515e-02  6.599392e+01  6.557941e+00  3.076266e-01  1.744866e+02  2.398345e-02  1.186375e-01  1.745928e-05
       106  1.060000e+02  1.559948e-02  6.518157e+01  6.477216e+00  3.076412e-01  1.744948e+02  2.404309e-02  1.196713e-01  1.761142e-05
       108  1.080000e+02  1.589381e-02  6.438206e+01  6.397767e+00  3.076557e-01  1.745031e+02  2.410249e-02  1.207096e-01  1.776421e-05
       110  1.100000e+02  1.618814e-02  6.359519e+01  6.319575e+00  3.076703e-01  1.745113e+02  2.416168e-02  1.217523e-01  1.791766e-05
       112  1.120000e+02  1.648247e-02  6.282078e+01  6.242621e+00  3.076848e-01  1.745196e+02  2.422064e-02  1.227994e-01  1.807175e-05
       114  1.140000e+02  1.677680e-02  6.205864e+01  6.166885e+00  3.076994e-01  1.745278e+02  2.427937e-02  1.238507e-01  1.822648e-05
       116  1.160000e+02  1.707113e-02  6.130858e+01  6.092350e+00  3.077139e-01  1.745361e+02  2.433788e-02  1.249063e-01  1.838182e-05
       118  1.180000e+02  1.736546e-02  6.057040e+01  6.018996e+00  3.077284e-01  1.745443e+02  2.439617e-02  1.259661e-01  1.853779e-05
       120  1.200000e+02  1.765979e-02  5.984393e+01  5.946805e+00  3.077429e-01  1.745525e+02  2.445423e-02  1.270300e-01  1.869435e-05
       122  1.220000e+02  1.795412e-02  5.912899e+01  5.875760e+00  3.077574e-01  1.745607e+02  2.451207e-02  1.280979e-01  1.885151e-05
       124  1.240000e+02  1.824845e-02  5.842539e+01  5.805842e+00  3.077719e-01  1.745690e+02  2.456969e-02  1.291698e-01  1.900926e-05
       126  1.260000e+02  1.854278e-02  5.773295e+01  5.737033e+00  3.077864e-01  1.745772e+02  2.462708e-02  1.302457e-01  1.916759e-05
       128  1.280000e+02  1.883711e-02  5.705151e+01  5.669317e+00  3.078009e-01  1.745854e+02  2.468425e-02  1.313254e-01  1.932648e-05
       130  1.300000e+02  1.913144e-02  5.638088e+01  5.602675e+00  3.078154e-01  1.745936e+02  2.474119e-02  1.324088e-01  1.948593e-05
       132  1.320000e+02  1.942577e-02  5.572089e+01  5.537091e+00  3.078298e-01  1.746018e+02  2.479792e-02  1.334961e-01  1.964593e-05
       134  1.340000e+02  1.972010e-02  5.507137e+01  5.472547e+00  3.078443e-01  1.746100e+02  2.485442e-02  1.345869e-01  1.980647e-05
       136  1.360000e+02  2.001443e-02  5.443216e+01  5.409027e+00  3.078588e-01  1.746182e+02  2.491070e-02  1.356814e-01  1.996754e-05
       138  1.380000e+02  2.030876e-02  5.380308e+01  5.346514e+00  3.078732e-01  1.746264e+02  2.496675e-02  1.367794e-01  2.012913e-05
       140  1.400000e+02  2.060309e-02  5.318398e+01  5.284993e+00  3.078877e-01  1.746346e+02  2.502259e-02  1.378809e-01  2.029123e-05
       142  1.420000e+02  2.089742e-02  5.257469e+01  5.224447e+00  3.079021e-01  1.746428e+02  2.507820e-02  1.389857e-01  2.045382e-05
       144  1.440000e+02  2.119175e-02  5.197505e+01  5.164859e+00  3.079166e-01  1.746510e+02  2.513359e-02  1.400939e-01  2.061691e-05
       146  1.460000e+02  2.148607e-02  5.138490e+01  5.106215e+00  3.079310e-01  1.746592e+02  2.518876e-02  1.412054e-01  2.078048e-05
       148  1.480000e+02  2.178040e-02  5.080410e+01  5.048499e+00  3.079454e-01  1.746674e+02  2.524371e-02  1.423201e-01  2.094452e-05
       150  1.500000e+02  2.207473e-02  5.023247e+01  4.991696e+00  3.079598e-01  1.746756e+02  2.529845e-02  1.434379e-01  2.110902e-05
       152  1.520000e+02  2.236906e-02  4.966988e+01  4.935791e+00  3.079742e-01  1.746837e+02  2.535296e-02  1.445587e-01  2.127397e-05
       154  1.540000e+02  2.266339e-02  4.911618e+01  4.880768e+00  3.079886e-01  1.746919e+02  2.540725e-02  1.456826e-01  2.143936e-05
       156  1.560000e+02  2.295772e-02  4.857121e+01  4.826614e+00  3.080030e-01  1.747001e+02  2.546133e-02  1.468094e-01  2.160519e-05
       158  1.580000e+02  2.325205e-02  4.803484e+01  4.773313e+00  3.080174e-01  1.747082e+02  2.551518e-02  1.479390e-01  2.177143e-05
       160  1.600000e+02  2.354638e-02  4.750691e+01  4.720852e+00  3.080318e-01  1.747164e+02  2.556882e-02  1.490715e-01  2.193809e-05
       162  1.620000e+02  2.384071e-02  4.698729e+01  4.669217e+00  3.080462e-01  1.747245e+02  2.562224e-02  1.502067e-01  2.210515e-05
       164  1.640000e+02  2.413504e-02  4.647584e+01  4.618393e+00  3.080606e-01  1.747327e+02  2.567545e-02  1.513445e-01  2.227260e-05
       166  1.660000e+02  2.442937e-02  4.597242e+01  4.568367e+00  3.080749e-01  1.747408e+02  2.572844e-02  1.524850e-01  2.244043e-05
       168  1.680000e+02  2.472370e-02  4.547690e+01  4.519126e+00  3.080893e-01  1.747490e+02  2.578121e-02  1.536279e-01  2.260864e-05
       170  1.700000e+02  2.501803e-02  4.498914e+01  4.470657e+00  3.081036e-01  1.747571e+02  2.583377e-02  1.547734e-01  2.277721e-05
       172  1.720000e+02  2.531236e-02  4.450902e+01  4.422946e+00  3.081180e-01  1.747653e+02  2.588612e-02  1.559212e-01  2.294613e-05
       174  1.740000e+02  2.560669e-02  4.403639e+01  4.375980e+00  3.081323e-01  1.747734e+02  2.593825e-02  1.570714e-01  2.311539e-05
       176  1.760000e+02  2.590102e-02  4.357115e+01  4.329748e+00  3.081467e-01  1.747815e+02  2.599017e-02  1.582238e-01  2.328499e-05
