     i         log_r      log_rmid             m           rho            v2        trelax            kn
     0  -1.597957e+00  -1.898987e+00  4.936543e-05  9.213309e+00  1.562245e-01  2.746059e-01  2.074223e-02
     1  -1.586891e+00  -1.592389e+00  5.328937e-05  9.218453e+00  1.561373e-01  2.745292e-01  2.074223e-02
     2  -1.575825e+00  -1.581323e+00  5.752323e-05  9.215626e+00  1.561327e-01  2.746175e-01  2.074571e-02
     3  -1.564756e+00  -1.570255e+00  6.209370e-05  9.212652e+00  1.561279e-01  2.747104e-01  2.074938e-02
     4  -1.553689e+00  -1.559187e+00  6.702432e-05  9.209522e+00  1.561229e-01  2.748081e-01  2.075324e-02
     5  -1.542615e+00  -1.548117e+00  7.234881e-05  9.206230e+00  1.561176e-01  2.749111e-01  2.075730e-02
     6  -1.531548e+00  -1.537046e+00  7.809033e-05  9.202767e+00  1.561120e-01  2.750195e-01  2.076158e-02
     7  -1.520482e+00  -1.525980e+00  8.428458e-05  9.199126e+00  1.561061e-01  2.751335e-01  2.076608e-02
     8  -1.509414e+00  -1.514913e+00  9.096964e-05  9.195296e+00  1.560999e-01  2.752536e-01  2.077082e-02
     9  -1.498345e+00  -1.503845e+00  9.818356e-05  9.191267e+00  1.560934e-01  2.753800e-01  2.077580e-02
    10  -1.487274e+00  -1.492774e+00  1.059689e-04  9.187030e+00  1.560865e-01  2.755130e-01  2.078105e-02
    11  -1.476210e+00  -1.481707e+00  1.143624e-04  9.182574e+00  1.560793e-01  2.756531e-01  2.078657e-02
    12  -1.465146e+00  -1.470643e+00  1.234185e-04  9.177891e+00  1.560717e-01  2.758005e-01  2.079238e-02
    13  -1.454081e+00  -1.459578e+00  1.331900e-04  9.172965e+00  1.560637e-01  2.759556e-01  2.079849e-02
    14  -1.443020e+00  -1.448515e+00  1.437275e-04  9.167787e+00  1.560553e-01  2.761189e-01  2.080493e-02
    15  -1.431954e+00  -1.437452e+00  1.550994e-04  9.162342e+00  1.560465e-01  2.762908e-01  2.081170e-02
    16  -1.420895e+00  -1.426390e+00  1.673596e-04  9.156618e+00  1.560372e-01  2.764718e-01  2.081882e-02
    17  -1.409839e+00  -1.415332e+00  1.805806e-04  9.150604e+00  1.560274e-01  2.766622e-01  2.082632e-02
    18  -1.398782e+00  -1.404275e+00  1.948435e-04  9.144281e+00  1.560171e-01  2.768626e-01  2.083420e-02
