 index          time      time_Gyr        step
     0  0.000000e+00  0.000000e+00           0
     1  1.700000e+01  2.501803e-03          17
     2  3.300000e+01  4.856442e-03          33
     3  4.900000e+01  7.211080e-03          49
     4  6.500000e+01  9.565718e-03          65
     5  8.200000e+01  1.206752e-02          82
     6  9.900000e+01  1.456932e-02          99
     7  1.170000e+02  1.721829e-02         117
     8  1.350000e+02  1.986726e-02         135
     9  1.540000e+02  2.266339e-02         154
    10  1.740000e+02  2.560669e-02         174
    11  1.950000e+02  2.869715e-02         195
    12  2.170000e+02  3.193478e-02         217
    13  2.400000e+02  3.531958e-02         240
    14  2.650000e+02  3.899870e-02         265
    15  2.920000e+02  4.297215e-02         292
    16  3.210000e+02  4.723993e-02         321
    17  3.530000e+02  5.194921e-02         353
    18  3.880000e+02  5.709998e-02         388
    19  4.270000e+02  6.283941e-02         427
    20  4.710000e+02  6.931467e-02         471
    21  5.200000e+02  7.652575e-02         520
    22  5.750000e+02  8.461982e-02         575
    23  6.380000e+02  9.389120e-02         638
    24  7.100000e+02  1.044871e-01         710
    25  7.940000e+02  1.168489e-01         794
    26  8.920000e+02  1.312711e-01         892
    27  1.009000e+03  1.484894e-01        1009
    28  1.152000e+03  1.695340e-01        1152
    29  1.334000e+03  1.963180e-01        1334
    30  1.582000e+03  2.328149e-01        1582
    31  1.983000e+03  2.918280e-01        1983
    32  4.372000e+03  6.434049e-01        4372
    33  4.900000e+03  7.211080e-01        4900
    34  5.370000e+03  7.902755e-01        5370
    35  5.805000e+03  8.542922e-01        5805
    36  6.218000e+03  9.150713e-01        6218
    37  6.614000e+03  9.733486e-01        6614
    38  6.998000e+03  1.029860e+00        6998
    39  7.372000e+03  1.084900e+00        7372
    40  7.739000e+03  1.138909e+00        7739
    41  8.100000e+03  1.192036e+00        8100
    42  8.456000e+03  1.244426e+00        8456
    43  8.808000e+03  1.296228e+00        8808
    44  9.156000e+03  1.347442e+00        9156
    45  9.502000e+03  1.398361e+00        9502
    46  9.846000e+03  1.448986e+00        9846
    47  1.018800e+04  1.499316e+00       10188
    48  1.052900e+04  1.549499e+00       10529
    49  1.086900e+04  1.599535e+00       10869
    50  1.120800e+04  1.649424e+00       11208
    51  1.154600e+04  1.699166e+00       11546
    52  1.188400e+04  1.748908e+00       11884
    53  1.222200e+04  1.798649e+00       12222
    54  1.256000e+04  1.848391e+00       12560
    55  1.289900e+04  1.898280e+00       12899
    56  1.323800e+04  1.948169e+00       13238
    57  1.357800e+04  1.998205e+00       13578
    58  1.391900e+04  2.048388e+00       13919
    59  1.426100e+04  2.098719e+00       14261
    60  1.460400e+04  2.149196e+00       14604
    61  1.494800e+04  2.199821e+00       14948
    62  1.529400e+04  2.250740e+00       15294
    63  1.564100e+04  2.301806e+00       15641
    64  1.599000e+04  2.353167e+00       15990
    65  1.634100e+04  2.404822e+00       16341
    66  1.669300e+04  2.456624e+00       16693
    67  1.704700e+04  2.508720e+00       17047
    68  1.740300e+04  2.561111e+00       17403
    69  1.776100e+04  2.613796e+00       17761
    70  1.812100e+04  2.666775e+00       18121
    71  1.848400e+04  2.720196e+00       18484
    72  1.884900e+04  2.773911e+00       18849
    73  1.921600e+04  2.827921e+00       19216
    74  1.958600e+04  2.882372e+00       19586
    75  1.995900e+04  2.937264e+00       19959
    76  2.033400e+04  2.992451e+00       20334
    77  2.071200e+04  3.048079e+00       20712
    78  2.109300e+04  3.104149e+00       21093
    79  2.147600e+04  3.160513e+00       21476
    80  2.186200e+04  3.217319e+00       21862
    81  2.225100e+04  3.274566e+00       22251
    82  2.264300e+04  3.332255e+00       22643
    83  2.303900e+04  3.390532e+00       23039
    84  2.343800e+04  3.449251e+00       23438
    85  2.384000e+04  3.508411e+00       23840
    86  2.424500e+04  3.568013e+00       24245
    87  2.465300e+04  3.628056e+00       24653
    88  2.506500e+04  3.688688e+00       25065
    89  2.548000e+04  3.749762e+00       25480
    90  2.589900e+04  3.811424e+00       25899
    91  2.632100e+04  3.873527e+00       26321
    92  2.674700e+04  3.936219e+00       26747
    93  2.717600e+04  3.999353e+00       27176
    94  2.760900e+04  4.063076e+00       27609
    95  2.804600e+04  4.127387e+00       28046
    96  2.848600e+04  4.192139e+00       28486
    97  2.893000e+04  4.257480e+00       28930
    98  2.937800e+04  4.323410e+00       29378
    99  2.983000e+04  4.389929e+00       29830
   100  3.028500e+04  4.456889e+00       30285
   101  3.074400e+04  4.524438e+00       30744
   102  3.120700e+04  4.592575e+00       31207
   103  3.167400e+04  4.661301e+00       31674
   104  3.214500e+04  4.730616e+00       32145
   105  3.262000e+04  4.800519e+00       32620
   106  3.309900e+04  4.871011e+00       33099
   107  3.358200e+04  4.942092e+00       33582
   108  3.407000e+04  5.013908e+00       34070
   109  3.456100e+04  5.086166e+00       34561
   110  3.505700e+04  5.159160e+00       35057
   111  3.555700e+04  5.232742e+00       35557
   112  3.606100e+04  5.306913e+00       36061
   113  3.657000e+04  5.381820e+00       36570
   114  3.708300e+04  5.457316e+00       37083
   115  3.760100e+04  5.533547e+00       37601
   116  3.812200e+04  5.610220e+00       38122
   117  3.864900e+04  5.687776e+00       38649
   118  3.918000e+04  5.765921e+00       39180
   119  3.971500e+04  5.844654e+00       39715
   120  4.025500e+04  5.924123e+00       40255
   121  4.079900e+04  6.004181e+00       40799
   122  4.134800e+04  6.084974e+00       41348
   123  4.190100e+04  6.166356e+00       41901
   124  4.246000e+04  6.248621e+00       42460
   125  4.302300e+04  6.331475e+00       43023
   126  4.359100e+04  6.415065e+00       43591
   127  4.416400e+04  6.499390e+00       44164
   128  4.474100e+04  6.584305e+00       44741
   129  4.532400e+04  6.670102e+00       45324
   130  4.591000e+04  6.756340e+00       45910
   131  4.650200e+04  6.843462e+00       46502
   132  4.709800e+04  6.931172e+00       47098
   133  4.770000e+04  7.019766e+00       47700
   134  4.830700e+04  7.109095e+00       48307
   135  4.891800e+04  7.199012e+00       48918
   136  4.953500e+04  7.289813e+00       49535
   137  5.015600e+04  7.381203e+00       50156
   138  5.078300e+04  7.473475e+00       50783
   139  5.141400e+04  7.566336e+00       51414
   140  5.205100e+04  7.660080e+00       52051
   141  5.269300e+04  7.754560e+00       52693
   142  5.334000e+04  7.849776e+00       53340
   143  5.399300e+04  7.945874e+00       53993
   144  5.465000e+04  8.042562e+00       54650
   145  5.531300e+04  8.140132e+00       55313
   146  5.598100e+04  8.238438e+00       55981
   147  5.665400e+04  8.337480e+00       56654
   148  5.733300e+04  8.437405e+00       57333
   149  5.801700e+04  8.538066e+00       58017
   150  5.870700e+04  8.639610e+00       58707
   151  5.940100e+04  8.741742e+00       59401
   152  6.010200e+04  8.844905e+00       60102
   153  6.080800e+04  8.948803e+00       60808
   154  6.151900e+04  9.053437e+00       61519
   155  6.223600e+04  9.158954e+00       62236
   156  6.295800e+04  9.265208e+00       62958
   157  6.368600e+04  9.372344e+00       63686
   158  6.441900e+04  9.480215e+00       64419
   159  6.515800e+04  9.588970e+00       65158
   160  6.554900e+04  9.646512e+00       65549
