     i         log_r      log_rmid             m           rho            v2        trelax            kn
     0  -2.399245e+00  -2.700275e+00  4.936543e-05  2.334961e+03  6.848827e-01  5.175022e-04  6.222857e-04
     1  -2.388193e+00  -2.393684e+00  5.328937e-05  2.339535e+03  6.835438e-01  5.169962e-04  6.222857e-04
     2  -2.377141e+00  -2.382632e+00  5.752323e-05  2.338640e+03  6.834739e-01  5.172205e-04  6.224366e-04
     3  -2.366083e+00  -2.371577e+00  6.209370e-05  2.337698e+03  6.834003e-01  5.174568e-04  6.225955e-04
     4  -2.355026e+00  -2.360519e+00  6.702432e-05  2.336707e+03  6.833228e-01  5.177056e-04  6.227629e-04
     5  -2.343959e+00  -2.349457e+00  7.234881e-05  2.335664e+03  6.832412e-01  5.179677e-04  6.229391e-04
     6  -2.332898e+00  -2.338393e+00  7.809033e-05  2.334566e+03  6.831553e-01  5.182437e-04  6.231246e-04
     7  -2.321838e+00  -2.327333e+00  8.428458e-05  2.333412e+03  6.830650e-01  5.185343e-04  6.233199e-04
     8  -2.310773e+00  -2.316270e+00  9.096964e-05  2.332199e+03  6.829699e-01  5.188403e-04  6.235255e-04
     9  -2.299706e+00  -2.305204e+00  9.818356e-05  2.330921e+03  6.828699e-01  5.191626e-04  6.237420e-04
    10  -2.288635e+00  -2.294135e+00  1.059689e-04  2.329578e+03  6.827646e-01  5.195021e-04  6.239699e-04
    11  -2.277571e+00  -2.283067e+00  1.143624e-04  2.328165e+03  6.826538e-01  5.198595e-04  6.242098e-04
    12  -2.266505e+00  -2.272002e+00  1.234185e-04  2.326680e+03  6.825373e-01  5.202357e-04  6.244623e-04
    13  -2.255436e+00  -2.260935e+00  1.331900e-04  2.325118e+03  6.824148e-01  5.206320e-04  6.247282e-04
    14  -2.244370e+00  -2.249867e+00  1.437275e-04  2.323475e+03  6.822858e-01  5.210493e-04  6.250080e-04
    15  -2.233298e+00  -2.238799e+00  1.550994e-04  2.321748e+03  6.821501e-01  5.214888e-04  6.253026e-04
    16  -2.222232e+00  -2.227730e+00  1.673596e-04  2.319932e+03  6.820074e-01  5.219516e-04  6.256128e-04
    17  -2.211168e+00  -2.216665e+00  1.805806e-04  2.318023e+03  6.818574e-01  5.224388e-04  6.259391e-04
    18  -2.200100e+00  -2.205599e+00  1.948435e-04  2.316017e+03  6.816995e-01  5.229520e-04  6.262827e-04
    19  -2.189037e+00  -2.194533e+00  2.102204e-04  2.313908e+03  6.815335e-01  5.234924e-04  6.266444e-04
    20  -2.177973e+00  -2.183470e+00  2.268022e-04  2.311691e+03  6.813589e-01  5.240614e-04  6.270250e-04
    21  -2.166908e+00  -2.172405e+00  2.446857e-04  2.309362e+03  6.811753e-01  5.246607e-04  6.274257e-04
    22  -2.155841e+00  -2.161339e+00  2.639729e-04  2.306913e+03  6.809821e-01  5.252921e-04  6.278476e-04
    23  -2.144777e+00  -2.150274e+00  2.847617e-04  2.304340e+03  6.807790e-01  5.259570e-04  6.282917e-04
    24  -2.133717e+00  -2.139212e+00  3.071688e-04  2.301638e+03  6.805655e-01  5.266572e-04  6.287591e-04
    25  -2.122656e+00  -2.128151e+00  3.313271e-04  2.298799e+03  6.803411e-01  5.273947e-04  6.292510e-04
    26  -2.111598e+00  -2.117091e+00  3.573620e-04  2.295816e+03  6.801051e-01  5.281714e-04  6.297689e-04
    27  -2.100539e+00  -2.106033e+00  3.854278e-04  2.292684e+03  6.798570e-01  5.289896e-04  6.303140e-04
    28  -2.089479e+00  -2.094973e+00  4.156808e-04  2.289393e+03  6.795961e-01  5.298516e-04  6.308878e-04
    29  -2.078422e+00  -2.083915e+00  4.482776e-04  2.285937e+03  6.793219e-01  5.307597e-04  6.314920e-04
    30  -2.067364e+00  -2.072858e+00  4.834077e-04  2.282308e+03  6.790336e-01  5.317164e-04  6.321279e-04
    31  -2.056308e+00  -2.061801e+00  5.212579e-04  2.278498e+03  6.787306e-01  5.327243e-04  6.327974e-04
    32  -2.045253e+00  -2.050745e+00  5.620357e-04  2.274499e+03  6.784122e-01  5.337863e-04  6.335021e-04
    33  -2.034200e+00  -2.039691e+00  6.059606e-04  2.270301e+03  6.780775e-01  5.349053e-04  6.342440e-04
    34  -2.023147e+00  -2.028638e+00  6.532785e-04  2.265895e+03  6.777259e-01  5.360845e-04  6.350250e-04
    35  -2.012095e+00  -2.017586e+00  7.042385e-04  2.261271e+03  6.773563e-01  5.373271e-04  6.358473e-04
    36  -2.001044e+00  -2.006534e+00  7.591240e-04  2.256420e+03  6.769680e-01  5.386369e-04  6.367130e-04
    37  -1.989993e+00  -1.995483e+00  8.182252e-04  2.251330e+03  6.765601e-01  5.400174e-04  6.376246e-04
    38  -1.978943e+00  -1.984433e+00  8.818583e-04  2.245990e+03  6.761314e-01  5.414726e-04  6.385843e-04
    39  -1.967894e+00  -1.973383e+00  9.503637e-04  2.240391e+03  6.756812e-01  5.430068e-04  6.395948e-04
    40  -1.956843e+00  -1.962333e+00  1.024119e-03  2.234519e+03  6.752082e-01  5.446245e-04  6.406590e-04
    41  -1.945794e+00  -1.951283e+00  1.103493e-03  2.228362e+03  6.747113e-01  5.463304e-04  6.417796e-04
    42  -1.934744e+00  -1.940234e+00  1.188917e-03  2.221907e+03  6.741895e-01  5.481293e-04  6.429597e-04
    43  -1.923696e+00  -1.929185e+00  1.280828e-03  2.215143e+03  6.736416e-01  5.500267e-04  6.442025e-04
    44  -1.912646e+00  -1.918136e+00  1.379723e-03  2.208055e+03  6.730661e-01  5.520282e-04  6.455115e-04
    45  -1.901596e+00  -1.907086e+00  1.486103e-03  2.200628e+03  6.724619e-01  5.541400e-04  6.468902e-04
    46  -1.890545e+00  -1.896036e+00  1.600525e-03  2.192849e+03  6.718275e-01  5.563683e-04  6.483425e-04
    47  -1.879494e+00  -1.884984e+00  1.723575e-03  2.184702e+03  6.711615e-01  5.587201e-04  6.498725e-04
    48  -1.868441e+00  -1.873932e+00  1.855885e-03  2.176172e+03  6.704623e-01  5.612026e-04  6.514843e-04
    49  -1.857387e+00  -1.862878e+00  1.998123e-03  2.167242e+03  6.697285e-01  5.638235e-04  6.531826e-04
    50  -1.846330e+00  -1.851823e+00  2.151017e-03  2.157897e+03  6.689583e-01  5.665911e-04  6.549722e-04
    51  -1.835272e+00  -1.840766e+00  2.315332e-03  2.148119e+03  6.681501e-01  5.695143e-04  6.568581e-04
    52  -1.824210e+00  -1.829706e+00  2.491891e-03  2.137891e+03  6.673019e-01  5.726026e-04  6.588458e-04
    53  -1.813146e+00  -1.818643e+00  2.681574e-03  2.127194e+03  6.664121e-01  5.758660e-04  6.609411e-04
    54  -1.802078e+00  -1.807577e+00  2.885299e-03  2.116012e+03  6.654785e-01  5.793152e-04  6.631499e-04
