     i         log_r      log_rmid             m           rho            v2        trelax            kn
     0  -1.653239e+00  -1.954269e+00  4.936543e-05  1.349776e+01  1.764846e-01  1.763538e-01  1.612328e-02
     1  -1.642174e+00  -1.647671e+00  5.328937e-05  1.350716e+01  1.763618e-01  1.762924e-01  1.612328e-02
     2  -1.631110e+00  -1.636607e+00  5.752323e-05  1.350309e+01  1.763554e-01  1.763487e-01  1.612600e-02
     3  -1.620042e+00  -1.625541e+00  6.209370e-05  1.349881e+01  1.763486e-01  1.764081e-01  1.612887e-02
     4  -1.608977e+00  -1.614474e+00  6.702432e-05  1.349431e+01  1.763415e-01  1.764705e-01  1.613189e-02
     5  -1.597904e+00  -1.603405e+00  7.234881e-05  1.348957e+01  1.763340e-01  1.765362e-01  1.613506e-02
     6  -1.586838e+00  -1.592335e+00  7.809033e-05  1.348458e+01  1.763261e-01  1.766055e-01  1.613841e-02
     7  -1.575774e+00  -1.581271e+00  8.428458e-05  1.347934e+01  1.763178e-01  1.766783e-01  1.614192e-02
     8  -1.564707e+00  -1.570205e+00  9.096964e-05  1.347383e+01  1.763091e-01  1.767550e-01  1.614563e-02
     9  -1.553639e+00  -1.559138e+00  9.818356e-05  1.346803e+01  1.762999e-01  1.768357e-01  1.614952e-02
    10  -1.542569e+00  -1.548069e+00  1.059689e-04  1.346193e+01  1.762903e-01  1.769207e-01  1.615362e-02
    11  -1.531507e+00  -1.537003e+00  1.143624e-04  1.345551e+01  1.762801e-01  1.770101e-01  1.615794e-02
    12  -1.520444e+00  -1.525940e+00  1.234185e-04  1.344877e+01  1.762694e-01  1.771042e-01  1.616248e-02
    13  -1.509380e+00  -1.514877e+00  1.331900e-04  1.344168e+01  1.762582e-01  1.772033e-01  1.616726e-02
    14  -1.498320e+00  -1.503815e+00  1.437275e-04  1.343422e+01  1.762463e-01  1.773076e-01  1.617229e-02
    15  -1.487256e+00  -1.492753e+00  1.550994e-04  1.342638e+01  1.762339e-01  1.774174e-01  1.617758e-02
    16  -1.476198e+00  -1.481692e+00  1.673596e-04  1.341814e+01  1.762208e-01  1.775330e-01  1.618315e-02
    17  -1.465144e+00  -1.470636e+00  1.805806e-04  1.340948e+01  1.762070e-01  1.776546e-01  1.618901e-02
    18  -1.454087e+00  -1.459580e+00  1.948435e-04  1.340038e+01  1.761925e-01  1.777826e-01  1.619517e-02
    19  -1.443035e+00  -1.448526e+00  2.102204e-04  1.339081e+01  1.761773e-01  1.779173e-01  1.620166e-02
    20  -1.431985e+00  -1.437475e+00  2.268022e-04  1.338075e+01  1.761613e-01  1.780591e-01  1.620848e-02
    21  -1.420935e+00  -1.426425e+00  2.446857e-04  1.337018e+01  1.761444e-01  1.782084e-01  1.621566e-02
    22  -1.409884e+00  -1.415375e+00  2.639729e-04  1.335908e+01  1.761267e-01  1.783655e-01  1.622322e-02
    23  -1.398838e+00  -1.404326e+00  2.847617e-04  1.334741e+01  1.761081e-01  1.785309e-01  1.623117e-02
    24  -1.387797e+00  -1.393283e+00  3.071688e-04  1.333515e+01  1.760885e-01  1.787050e-01  1.623953e-02
    25  -1.376756e+00  -1.382242e+00  3.313271e-04  1.332227e+01  1.760679e-01  1.788882e-01  1.624832e-02
    26  -1.365720e+00  -1.371203e+00  3.573620e-04  1.330874e+01  1.760462e-01  1.790810e-01  1.625758e-02
    27  -1.354685e+00  -1.360168e+00  3.854278e-04  1.329454e+01  1.760234e-01  1.792840e-01  1.626732e-02
    28  -1.343650e+00  -1.349132e+00  4.156808e-04  1.327961e+01  1.759995e-01  1.794977e-01  1.627756e-02
    29  -1.332620e+00  -1.338100e+00  4.482776e-04  1.326394e+01  1.759743e-01  1.797226e-01  1.628834e-02
    30  -1.321591e+00  -1.327070e+00  4.834077e-04  1.324749e+01  1.759478e-01  1.799594e-01  1.629968e-02
    31  -1.310565e+00  -1.316043e+00  5.212579e-04  1.323022e+01  1.759200e-01  1.802086e-01  1.631160e-02
    32  -1.299542e+00  -1.305018e+00  5.620357e-04  1.321208e+01  1.758907e-01  1.804709e-01  1.632415e-02
    33  -1.288523e+00  -1.293998e+00  6.059606e-04  1.319305e+01  1.758600e-01  1.807471e-01  1.633735e-02
    34  -1.277506e+00  -1.282980e+00  6.532785e-04  1.317308e+01  1.758277e-01  1.810378e-01  1.635123e-02
    35  -1.266493e+00  -1.271965e+00  7.042385e-04  1.315212e+01  1.757937e-01  1.813438e-01  1.636584e-02
    36  -1.255482e+00  -1.260952e+00  7.591240e-04  1.313013e+01  1.757581e-01  1.816659e-01  1.638120e-02
    37  -1.244474e+00  -1.249943e+00  8.182252e-04  1.310706e+01  1.757206e-01  1.820051e-01  1.639736e-02
    38  -1.233469e+00  -1.238937e+00  8.818583e-04  1.308286e+01  1.756812e-01  1.823622e-01  1.641436e-02
    39  -1.222468e+00  -1.227934e+00  9.503637e-04  1.305748e+01  1.756398e-01  1.827382e-01  1.643224e-02
    40  -1.211468e+00  -1.216933e+00  1.024119e-03  1.303087e+01  1.755962e-01  1.831340e-01  1.645104e-02
    41  -1.200472e+00  -1.205935e+00  1.103493e-03  1.300297e+01  1.755505e-01  1.835509e-01  1.647083e-02
    42  -1.189479e+00  -1.194940e+00  1.188917e-03  1.297372e+01  1.755025e-01  1.839898e-01  1.649164e-02
    43  -1.178490e+00  -1.183949e+00  1.280828e-03  1.294307e+01  1.754521e-01  1.844520e-01  1.651352e-02
    44  -1.167502e+00  -1.172961e+00  1.379723e-03  1.291096e+01  1.753991e-01  1.849387e-01  1.653655e-02
    45  -1.156519e+00  -1.161976e+00  1.486103e-03  1.287731e+01  1.753435e-01  1.854513e-01  1.656076e-02
    46  -1.145538e+00  -1.150994e+00  1.600525e-03  1.284207e+01  1.752851e-01  1.859912e-01  1.658623e-02
    47  -1.134560e+00  -1.140014e+00  1.723575e-03  1.280516e+01  1.752237e-01  1.865599e-01  1.661302e-02
    48  -1.123585e+00  -1.129038e+00  1.855885e-03  1.276653e+01  1.751593e-01  1.871590e-01  1.664120e-02
    49  -1.112612e+00  -1.118064e+00  1.998123e-03  1.272608e+01  1.750917e-01  1.877900e-01  1.667085e-02
    50  -1.101642e+00  -1.107093e+00  2.151017e-03  1.268376e+01  1.750207e-01  1.884549e-01  1.670202e-02
    51  -1.090675e+00  -1.096124e+00  2.315332e-03  1.263947e+01  1.749461e-01  1.891554e-01  1.673482e-02
    52  -1.079710e+00  -1.085158e+00  2.491891e-03  1.259316e+01  1.748679e-01  1.898936e-01  1.676932e-02
    53  -1.068747e+00  -1.074194e+00  2.681574e-03  1.254472e+01  1.747858e-01  1.906716e-01  1.680561e-02
    54  -1.057786e+00  -1.063232e+00  2.885299e-03  1.249409e+01  1.746996e-01  1.914915e-01  1.684378e-02
    55  -1.046828e+00  -1.052273e+00  3.104081e-03  1.244117e+01  1.746091e-01  1.923558e-01  1.688393e-02
    56  -1.035871e+00  -1.041315e+00  3.338977e-03  1.238588e+01  1.745142e-01  1.932669e-01  1.692617e-02
    57  -1.024916e+00  -1.030359e+00  3.591122e-03  1.232814e+01  1.744147e-01  1.942276e-01  1.697061e-02
    58  -1.013962e+00  -1.019405e+00  3.861724e-03  1.226785e+01  1.743102e-01  1.952406e-01  1.701736e-02
    59  -1.003010e+00  -1.008452e+00  4.152066e-03  1.220491e+01  1.742007e-01  1.963091e-01  1.706654e-02
    60  -9.920583e-01  -9.974996e-01  4.463517e-03  1.213925e+01  1.740858e-01  1.974361e-01  1.711828e-02
    61  -9.811070e-01  -9.865481e-01  4.797536e-03  1.207076e+01  1.739653e-01  1.986251e-01  1.717272e-02
    62  -9.701562e-01  -9.755971e-01  5.155655e-03  1.199935e+01  1.738389e-01  1.998798e-01  1.723001e-02
    63  -9.592052e-01  -9.646462e-01  5.539526e-03  1.192492e+01  1.737064e-01  2.012040e-01  1.729028e-02
    64  -9.482535e-01  -9.536948e-01  5.950900e-03  1.184738e+01  1.735675e-01  2.026019e-01  1.735371e-02
    65  -9.373010e-01  -9.427427e-01  6.391610e-03  1.176663e+01  1.734219e-01  2.040779e-01  1.742046e-02
    66  -9.263472e-01  -9.317895e-01  6.863620e-03  1.168258e+01  1.732694e-01  2.056366e-01  1.749071e-02
    67  -9.153913e-01  -9.208347e-01  7.369017e-03  1.159512e+01  1.731095e-01  2.072833e-01  1.756466e-02
    68  -9.044332e-01  -9.098777e-01  7.909987e-03  1.150417e+01  1.729419e-01  2.090231e-01  1.764249e-02
    69  -8.934722e-01  -8.989181e-01  8.488863e-03  1.140964e+01  1.727664e-01  2.108621e-01  1.772443e-02
    70  -8.825074e-01  -8.879552e-01  9.108117e-03  1.131142e+01  1.725825e-01  2.128063e-01  1.781069e-02
    71  -8.715384e-01  -8.769882e-01  9.770334e-03  1.120943e+01  1.723900e-01  2.148624e-01  1.790152e-02
    72  -8.605645e-01  -8.660168e-01  1.047826e-02  1.110359e+01  1.721883e-01  2.170375e-01  1.799717e-02
    73  -8.495849e-01  -8.550400e-01  1.123480e-02  1.099381e+01  1.719771e-01  2.193394e-01  1.809791e-02
    74  -8.385988e-01  -8.440572e-01  1.204299e-02  1.088000e+01  1.717560e-01  2.217763e-01  1.820402e-02
    75  -8.276054e-01  -8.330674e-01  1.290606e-02  1.076210e+01  1.715246e-01  2.243570e-01  1.831580e-02
    76  -8.166038e-01  -8.220698e-01  1.382737e-02  1.064003e+01  1.712824e-01  2.270913e-01  1.843358e-02
    77  -8.055929e-01  -8.110634e-01  1.481049e-02  1.051374e+01  1.710290e-01  2.299895e-01  1.855771e-02
    78  -7.945715e-01  -8.000472e-01  1.585915e-02  1.038315e+01  1.707639e-01  2.330627e-01  1.868853e-02
    79  -7.835388e-01  -7.890201e-01  1.697728e-02  1.024823e+01  1.704865e-01  2.363232e-01  1.882645e-02
    80  -7.724933e-01  -7.779809e-01  1.816896e-02  1.010892e+01  1.701964e-01  2.397840e-01  1.897188e-02
    81  -7.614339e-01  -7.669284e-01  1.943850e-02  9.965190e+00  1.698930e-01  2.434595e-01  1.912525e-02
    82  -7.503592e-01  -7.558612e-01  2.079041e-02  9.817022e+00  1.695758e-01  2.473650e-01  1.928705e-02
    83  -7.392676e-01  -7.447779e-01  2.222937e-02  9.664397e+00  1.692442e-01  2.515175e-01  1.945779e-02
    84  -7.281576e-01  -7.336771e-01  2.376030e-02  9.507315e+00  1.688977e-01  2.559353e-01  1.963799e-02
    85  -7.170277e-01  -7.225570e-01  2.538829e-02  9.345784e+00  1.685356e-01  2.606385e-01  1.982824e-02
    86  -7.058759e-01  -7.114160e-01  2.711870e-02  9.179827e+00  1.681572e-01  2.656488e-01  2.002916e-02
    87  -6.947004e-01  -7.002522e-01  2.895704e-02  9.009479e+00  1.677620e-01  2.709902e-01  2.024143e-02
    88  -6.834992e-01  -6.890637e-01  3.090905e-02  8.834793e+00  1.673492e-01  2.766889e-01  2.046575e-02
    89  -6.722702e-01  -6.778484e-01  3.298073e-02  8.655836e+00  1.669182e-01  2.827738e-01  2.070291e-02
    90  -6.610111e-01  -6.666042e-01  3.517823e-02  8.472691e+00  1.664682e-01  2.892764e-01  2.095373e-02
    91  -6.497194e-01  -6.553285e-01  3.750796e-02  8.285458e+00  1.659986e-01  2.962315e-01  2.121912e-02
    92  -6.383926e-01  -6.440191e-01  3.997652e-02  8.094256e+00  1.655085e-01  3.036777e-01  2.150003e-02
    93  -6.270279e-01  -6.326731e-01  4.259071e-02  7.899222e+00  1.649972e-01  3.116574e-01  2.179753e-02
    94  -6.156225e-01  -6.212878e-01  4.535754e-02  7.700513e+00  1.644638e-01  3.202176e-01  2.211275e-02
    95  -6.041730e-01  -6.098600e-01  4.828429e-02  7.498304e+00  1.639076e-01  3.294105e-01  2.244692e-02
    96  -5.926764e-01  -5.983867e-01  5.137828e-02  7.292790e+00  1.633276e-01  3.392942e-01  2.280138e-02
    97  -5.811291e-01  -5.868644e-01  5.464712e-02  7.084192e+00  1.627231e-01  3.499332e-01  2.317758e-02
    98  -5.695272e-01  -5.752894e-01  5.809861e-02  6.872743e+00  1.620930e-01  3.613997e-01  2.357711e-02
    99  -5.578668e-01  -5.636579e-01  6.174066e-02  6.658701e+00  1.614365e-01  3.737744e-01  2.400171e-02
   100  -5.461435e-01  -5.519656e-01  6.558137e-02  6.442345e+00  1.607526e-01  3.871479e-01  2.445326e-02
   101  -5.343528e-01  -5.402082e-01  6.962896e-02  6.223974e+00  1.600404e-01  4.016219e-01  2.493383e-02
   102  -5.224898e-01  -5.283808e-01  7.389183e-02  6.003906e+00  1.592988e-01  4.173111e-01  2.544571e-02
   103  -5.105493e-01  -5.164786e-01  7.837842e-02  5.782477e+00  1.585268e-01  4.343449e-01  2.599139e-02
   104  -4.985258e-01  -5.044959e-01  8.309731e-02  5.560046e+00  1.577234e-01  4.528700e-01  2.657361e-02
   105  -4.864131e-01  -4.924272e-01  8.805718e-02  5.336986e+00  1.568874e-01  4.730531e-01  2.719541e-02
   106  -4.742050e-01  -4.802661e-01  9.326673e-02  5.113687e+00  1.560179e-01  4.950838e-01  2.786016e-02
   107  -4.618945e-01  -4.680061e-01  9.873473e-02  4.890555e+00  1.551136e-01  5.191788e-01  2.857155e-02
   108  -4.494744e-01  -4.556401e-01  1.044700e-01  4.668009e+00  1.541734e-01  5.455865e-01  2.933372e-02
   109  -4.369367e-01  -4.431603e-01  1.104813e-01  4.446481e+00  1.531961e-01  5.745922e-01  3.015127e-02
   110  -4.242731e-01  -4.305587e-01  1.167774e-01  4.226411e+00  1.521806e-01  6.065249e-01  3.102932e-02
   111  -4.114742e-01  -4.178265e-01  1.233670e-01  4.008249e+00  1.511256e-01  6.417653e-01  3.197359e-02
   112  -3.985304e-01  -4.049541e-01  1.302589e-01  3.792449e+00  1.500299e-01  6.807558e-01  3.299050e-02
   113  -3.854310e-01  -3.919313e-01  1.374615e-01  3.579468e+00  1.488922e-01  7.240116e-01  3.408729e-02
   114  -3.721646e-01  -3.787471e-01  1.449834e-01  3.369765e+00  1.477113e-01  7.721356e-01  3.527209e-02
   115  -3.587189e-01  -3.653897e-01  1.528329e-01  3.163794e+00  1.464858e-01  8.258366e-01  3.655409e-02
   116  -3.450804e-01  -3.518461e-01  1.610180e-01  2.962006e+00  1.452144e-01  8.859500e-01  3.794372e-02
   117  -3.312347e-01  -3.381024e-01  1.695469e-01  2.764843e+00  1.438958e-01  9.534666e-01  3.945286e-02
   118  -3.171661e-01  -3.241434e-01  1.784273e-01  2.572733e+00  1.425287e-01  1.029566e+00  4.109502e-02
   119  -3.028574e-01  -3.099528e-01  1.876667e-01  2.386092e+00  1.411118e-01  1.115658e+00  4.288571e-02
   120  -2.882900e-01  -2.955126e-01  1.972725e-01  2.205316e+00  1.396436e-01  1.213441e+00  4.484270e-02
   121  -2.734437e-01  -2.808034e-01  2.072515e-01  2.030782e+00  1.381230e-01  1.324963e+00  4.698650e-02
   122  -2.582962e-01  -2.658039e-01  2.176105e-01  1.862839e+00  1.365485e-01  1.452718e+00  4.934085e-02
   123  -2.428234e-01  -2.504909e-01  2.283559e-01  1.701809e+00  1.349190e-01  1.599752e+00  5.193330e-02
   124  -2.269987e-01  -2.348390e-01  2.394938e-01  1.547984e+00  1.332331e-01  1.769814e+00  5.479596e-02
   125  -2.107928e-01  -2.188202e-01  2.510298e-01  1.401619e+00  1.314897e-01  1.967543e+00  5.796648e-02
   126  -1.941740e-01  -2.024039e-01  2.629693e-01  1.262934e+00  1.296877e-01  2.198719e+00  6.148908e-02
   127  -1.771069e-01  -1.855566e-01  2.753172e-01  1.132108e+00  1.278261e-01  2.470598e+00  6.541599e-02
   128  -1.595529e-01  -1.682413e-01  2.880780e-01  1.009277e+00  1.259042e-01  2.792348e+00  6.980918e-02
   129  -1.414693e-01  -1.504170e-01  3.012559e-01  8.945303e-01  1.239211e-01  3.175647e+00  7.474249e-02
   130  -1.228089e-01  -1.320389e-01  3.148546e-01  7.879118e-01  1.218766e-01  3.635485e+00  8.030431e-02
   131  -1.035199e-01  -1.130573e-01  3.288774e-01  6.894151e-01  1.197703e-01  4.191260e+00  8.660097e-02
   132  -8.354510e-02  -9.341766e-02  3.433271e-01  5.989834e-01  1.176027e-01  4.868292e+00  9.376090e-02
   133  -6.282165e-02  -7.305978e-02  3.582062e-01  5.165086e-01  1.153743e-01  5.699910e+00  1.019400e-01
   134  -4.128047e-02  -5.191752e-02  3.735166e-01  4.418299e-01  1.130864e-01  6.730383e+00  1.113282e-01
   135  -1.884619e-02  -2.991848e-02  3.892599e-01  3.747348e-01  1.107409e-01  8.019031e+00  1.221579e-01
   136  4.563084e-03  -6.983845e-03  4.054373e-01  3.149596e-01  1.083407e-01  9.646047e+00  1.347146e-01
   137  2.903540e-02  1.697160e-02  4.220493e-01  2.621906e-01  1.058895e-01  1.172078e+01  1.493492e-01
   138  5.466414e-02  4.203879e-02  4.390963e-01  2.160667e-01  1.033923e-01  1.439356e+01  1.664945e-01
   139  8.154635e-02  6.831321e-02  4.565780e-01  1.761831e-01  1.008554e-01  1.787253e+01  1.866835e-01
   140  1.097799e-01  9.589253e-02  4.744939e-01  1.420954e-01  9.828688e-02  2.244771e+01  2.105716e-01
   141  1.394590e-01  1.248729e-01  4.928430e-01  1.133260e-01  9.569610e-02  2.852485e+01  2.389604e-01
   142  1.706677e-01  1.553436e-01  5.116240e-01  8.937096e-02  9.309420e-02  3.667265e+01  2.728213e-01
   143  2.034701e-01  1.873785e-01  5.308350e-01  6.970956e-02  9.049367e-02  4.768684e+01  3.133159e-01
   144  2.378992e-01  2.210258e-01  5.504739e-01  5.381440e-02  8.790792e-02  6.267401e+01  3.618049e-01
   145  2.739420e-01  2.562944e-01  5.705382e-01  4.116308e-02  8.535045e-02  8.315517e+01  4.198372e-01
   146  3.115243e-01  2.931395e-01  5.910251e-01  3.125074e-02  8.283376e-02  1.111824e+02  4.891071e-01
   147  3.504971e-01  3.314477e-01  6.119315e-01  2.360250e-02  8.036808e-02  1.494514e+02  5.713693e-01
