     i         log_r      log_rmid             m           rho            v2             p        trelax            kn
     0  -1.986165e+00  -2.287195e+00  4.936543e-05  1.345981e+02  3.042410e-01  4.095025e+01  1.346952e-02  6.299629e-03
     1  -1.979935e+00  -1.983039e+00  5.153900e-05  1.347604e+02  3.038745e-01  4.095025e+01  1.346141e-02  6.299629e-03
     2  -1.973709e+00  -1.976811e+00  5.380601e-05  1.347339e+02  3.038638e-01  4.094074e+01  1.346430e-02  6.300360e-03
     3  -1.967477e+00  -1.970582e+00  5.617461e-05  1.347065e+02  3.038528e-01  4.093096e+01  1.346728e-02  6.301114e-03
     4  -1.961246e+00  -1.964350e+00  5.864622e-05  1.346784e+02  3.038415e-01  4.092088e+01  1.347034e-02  6.301889e-03
     5  -1.955024e+00  -1.958124e+00  6.122269e-05  1.346494e+02  3.038299e-01  4.091053e+01  1.347349e-02  6.302687e-03
     6  -1.948791e+00  -1.951896e+00  6.391625e-05  1.346197e+02  3.038179e-01  4.089987e+01  1.347674e-02  6.303508e-03
     7  -1.942558e+00  -1.945663e+00  6.672776e-05  1.345890e+02  3.038056e-01  4.088890e+01  1.348008e-02  6.304354e-03
     8  -1.936319e+00  -1.939427e+00  6.966511e-05  1.345574e+02  3.037929e-01  4.087760e+01  1.348352e-02  6.305225e-03
     9  -1.930090e+00  -1.933193e+00  7.272580e-05  1.345250e+02  3.037799e-01  4.086598e+01  1.348707e-02  6.306121e-03
    10  -1.923856e+00  -1.926962e+00  7.592335e-05  1.344916e+02  3.037664e-01  4.085403e+01  1.349071e-02  6.307043e-03
    11  -1.917625e+00  -1.920729e+00  7.925890e-05  1.344572e+02  3.037526e-01  4.084174e+01  1.349447e-02  6.307992e-03
    12  -1.911392e+00  -1.914497e+00  8.274157e-05  1.344219e+02  3.037384e-01  4.082909e+01  1.349833e-02  6.308969e-03
    13  -1.905163e+00  -1.908266e+00  8.637379e-05  1.343855e+02  3.037238e-01  4.081608e+01  1.350231e-02  6.309975e-03
    14  -1.898935e+00  -1.902038e+00  9.016405e-05  1.343481e+02  3.037087e-01  4.080270e+01  1.350640e-02  6.311009e-03
    15  -1.892697e+00  -1.895805e+00  9.412640e-05  1.343096e+02  3.036932e-01  4.078892e+01  1.351062e-02  6.312075e-03
    16  -1.886465e+00  -1.889570e+00  9.825814e-05  1.342700e+02  3.036773e-01  4.077475e+01  1.351496e-02  6.313172e-03
    17  -1.880226e+00  -1.883334e+00  1.025750e-04  1.342293e+02  3.036608e-01  4.076017e+01  1.351943e-02  6.314301e-03
    18  -1.873996e+00  -1.877100e+00  1.070736e-04  1.341873e+02  3.036439e-01  4.074517e+01  1.352403e-02  6.315463e-03
    19  -1.867763e+00  -1.870868e+00  1.117716e-04  1.341442e+02  3.036266e-01  4.072975e+01  1.352877e-02  6.316659e-03
    20  -1.861530e+00  -1.864635e+00  1.166741e-04  1.340999e+02  3.036087e-01  4.071388e+01  1.353364e-02  6.317889e-03
    21  -1.855297e+00  -1.858403e+00  1.217905e-04  1.340542e+02  3.035903e-01  4.069756e+01  1.353866e-02  6.319156e-03
    22  -1.849064e+00  -1.852170e+00  1.271309e-04  1.340073e+02  3.035713e-01  4.068077e+01  1.354382e-02  6.320460e-03
    23  -1.842834e+00  -1.845938e+00  1.327005e-04  1.339590e+02  3.035519e-01  4.066350e+01  1.354914e-02  6.321802e-03
    24  -1.836602e+00  -1.839707e+00  1.385159e-04  1.339093e+02  3.035318e-01  4.064575e+01  1.355461e-02  6.323182e-03
    25  -1.830369e+00  -1.833474e+00  1.445845e-04  1.338582e+02  3.035112e-01  4.062748e+01  1.356024e-02  6.324604e-03
    26  -1.824140e+00  -1.827243e+00  1.509149e-04  1.338057e+02  3.034900e-01  4.060869e+01  1.356604e-02  6.326067e-03
    27  -1.817903e+00  -1.821010e+00  1.575290e-04  1.337516e+02  3.034681e-01  4.058936e+01  1.357201e-02  6.327573e-03
    28  -1.811672e+00  -1.814776e+00  1.644237e-04  1.336960e+02  3.034457e-01  4.056948e+01  1.357816e-02  6.329123e-03
    29  -1.805443e+00  -1.808546e+00  1.716176e-04  1.336389e+02  3.034226e-01  4.054905e+01  1.358449e-02  6.330717e-03
    30  -1.799213e+00  -1.802317e+00  1.791246e-04  1.335801e+02  3.033988e-01  4.052803e+01  1.359100e-02  6.332358e-03
    31  -1.792981e+00  -1.796086e+00  1.869613e-04  1.335196e+02  3.033743e-01  4.050642e+01  1.359770e-02  6.334048e-03
    32  -1.786749e+00  -1.789854e+00  1.951388e-04  1.334574e+02  3.033491e-01  4.048418e+01  1.360461e-02  6.335787e-03
    33  -1.780521e+00  -1.783624e+00  2.036668e-04  1.333934e+02  3.033232e-01  4.046133e+01  1.361171e-02  6.337576e-03
    34  -1.774291e+00  -1.777395e+00  2.125676e-04  1.333276e+02  3.032966e-01  4.043782e+01  1.361902e-02  6.339418e-03
    35  -1.768061e+00  -1.771165e+00  2.218557e-04  1.332600e+02  3.032692e-01  4.041365e+01  1.362655e-02  6.341313e-03
    36  -1.761833e+00  -1.764936e+00  2.315430e-04  1.331904e+02  3.032410e-01  4.038880e+01  1.363431e-02  6.343264e-03
    37  -1.755605e+00  -1.758708e+00  2.416522e-04  1.331189e+02  3.032120e-01  4.036325e+01  1.364228e-02  6.345271e-03
    38  -1.749376e+00  -1.752479e+00  2.522004e-04  1.330454e+02  3.031822e-01  4.033698e+01  1.365050e-02  6.347337e-03
    39  -1.743146e+00  -1.746250e+00  2.632088e-04  1.329697e+02  3.031515e-01  4.030996e+01  1.365896e-02  6.349464e-03
    40  -1.736919e+00  -1.740021e+00  2.746873e-04  1.328919e+02  3.031199e-01  4.028218e+01  1.366766e-02  6.351653e-03
    41  -1.730692e+00  -1.733794e+00  2.866651e-04  1.328120e+02  3.030874e-01  4.025363e+01  1.367662e-02  6.353905e-03
    42  -1.724466e+00  -1.727568e+00  2.991578e-04  1.327298e+02  3.030540e-01  4.022428e+01  1.368585e-02  6.356223e-03
