     i         log_r      log_rmid             m           rho            v2        trelax            kn
     0  -1.948806e+00  -2.249836e+00  4.936543e-05  1.039833e+02  3.157883e-01  1.711349e-02  4.342682e-03
     1  -1.937746e+00  -1.943241e+00  5.328937e-05  1.041022e+02  3.154274e-01  1.710370e-02  4.342682e-03
     2  -1.926686e+00  -1.932181e+00  5.752323e-05  1.040697e+02  3.154086e-01  1.710957e-02  4.343491e-03
     3  -1.915622e+00  -1.921119e+00  6.209370e-05  1.040354e+02  3.153887e-01  1.711575e-02  4.344343e-03
     4  -1.904560e+00  -1.910056e+00  6.702432e-05  1.039993e+02  3.153678e-01  1.712225e-02  4.345240e-03
     5  -1.893490e+00  -1.898990e+00  7.234881e-05  1.039614e+02  3.153458e-01  1.712910e-02  4.346185e-03
     6  -1.882427e+00  -1.887923e+00  7.809033e-05  1.039214e+02  3.153227e-01  1.713631e-02  4.347179e-03
     7  -1.871365e+00  -1.876861e+00  8.428458e-05  1.038795e+02  3.152983e-01  1.714389e-02  4.348225e-03
     8  -1.860301e+00  -1.865798e+00  9.096964e-05  1.038353e+02  3.152727e-01  1.715188e-02  4.349327e-03
     9  -1.849234e+00  -1.854732e+00  9.818356e-05  1.037889e+02  3.152458e-01  1.716029e-02  4.350486e-03
    10  -1.838165e+00  -1.843665e+00  1.059689e-04  1.037400e+02  3.152174e-01  1.716915e-02  4.351706e-03
    11  -1.827104e+00  -1.832600e+00  1.143624e-04  1.036886e+02  3.151876e-01  1.717847e-02  4.352990e-03
    12  -1.816042e+00  -1.821538e+00  1.234185e-04  1.036346e+02  3.151562e-01  1.718828e-02  4.354341e-03
    13  -1.804978e+00  -1.810475e+00  1.331900e-04  1.035778e+02  3.151232e-01  1.719861e-02  4.355764e-03
    14  -1.793919e+00  -1.799413e+00  1.437275e-04  1.035180e+02  3.150884e-01  1.720948e-02  4.357260e-03
    15  -1.782855e+00  -1.788351e+00  1.550994e-04  1.034552e+02  3.150519e-01  1.722093e-02  4.358836e-03
    16  -1.771796e+00  -1.777290e+00  1.673596e-04  1.033892e+02  3.150135e-01  1.723298e-02  4.360494e-03
    17  -1.760741e+00  -1.766234e+00  1.805806e-04  1.033198e+02  3.149731e-01  1.724566e-02  4.362238e-03
    18  -1.749684e+00  -1.755177e+00  1.948435e-04  1.032468e+02  3.149306e-01  1.725901e-02  4.364073e-03
    19  -1.738631e+00  -1.744123e+00  2.102204e-04  1.031701e+02  3.148859e-01  1.727307e-02  4.366005e-03
    20  -1.727580e+00  -1.733071e+00  2.268022e-04  1.030895e+02  3.148388e-01  1.728786e-02  4.368037e-03
    21  -1.716528e+00  -1.722019e+00  2.446857e-04  1.030048e+02  3.147894e-01  1.730344e-02  4.370176e-03
    22  -1.705475e+00  -1.710967e+00  2.639729e-04  1.029158e+02  3.147374e-01  1.731984e-02  4.372427e-03
    23  -1.694428e+00  -1.699916e+00  2.847617e-04  1.028222e+02  3.146827e-01  1.733710e-02  4.374796e-03
    24  -1.683384e+00  -1.688871e+00  3.071688e-04  1.027240e+02  3.146252e-01  1.735527e-02  4.377288e-03
    25  -1.672341e+00  -1.677827e+00  3.313271e-04  1.026207e+02  3.145648e-01  1.737440e-02  4.379910e-03
    26  -1.661302e+00  -1.666786e+00  3.573620e-04  1.025123e+02  3.145013e-01  1.739454e-02  4.382669e-03
    27  -1.650263e+00  -1.655748e+00  3.854278e-04  1.023984e+02  3.144345e-01  1.741574e-02  4.385571e-03
    28  -1.639225e+00  -1.644709e+00  4.156808e-04  1.022787e+02  3.143642e-01  1.743806e-02  4.388626e-03
    29  -1.628191e+00  -1.633673e+00  4.482776e-04  1.021530e+02  3.142904e-01  1.746157e-02  4.391841e-03
    30  -1.617158e+00  -1.622640e+00  4.834077e-04  1.020211e+02  3.142128e-01  1.748631e-02  4.395223e-03
    31  -1.606128e+00  -1.611608e+00  5.212579e-04  1.018825e+02  3.141313e-01  1.751236e-02  4.398781e-03
    32  -1.595101e+00  -1.600580e+00  5.620357e-04  1.017371e+02  3.140455e-01  1.753980e-02  4.402525e-03
    33  -1.584077e+00  -1.589554e+00  6.059606e-04  1.015844e+02  3.139554e-01  1.756868e-02  4.406465e-03
    34  -1.573055e+00  -1.578531e+00  6.532785e-04  1.014241e+02  3.138608e-01  1.759909e-02  4.410609e-03
    35  -1.562037e+00  -1.567511e+00  7.042385e-04  1.012560e+02  3.137613e-01  1.763111e-02  4.414970e-03
    36  -1.551020e+00  -1.556493e+00  7.591240e-04  1.010795e+02  3.136568e-01  1.766484e-02  4.419559e-03
    37  -1.540006e+00  -1.545478e+00  8.182252e-04  1.008943e+02  3.135469e-01  1.770035e-02  4.424387e-03
    38  -1.528995e+00  -1.534465e+00  8.818583e-04  1.007001e+02  3.134316e-01  1.773776e-02  4.429466e-03
    39  -1.517986e+00  -1.523455e+00  9.503637e-04  1.004964e+02  3.133104e-01  1.777715e-02  4.434811e-03
    40  -1.506979e+00  -1.512447e+00  1.024119e-03  1.002828e+02  3.131830e-01  1.781864e-02  4.440435e-03
    41  -1.495975e+00  -1.501442e+00  1.103493e-03  1.000588e+02  3.130493e-01  1.786235e-02  4.446352e-03
    42  -1.484974e+00  -1.490439e+00  1.188917e-03  9.982391e+01  3.129088e-01  1.790839e-02  4.452578e-03
    43  -1.473976e+00  -1.479440e+00  1.280828e-03  9.957777e+01  3.127613e-01  1.795689e-02  4.459129e-03
    44  -1.462979e+00  -1.468443e+00  1.379723e-03  9.931981e+01  3.126064e-01  1.800799e-02  4.466022e-03
    45  -1.451986e+00  -1.457448e+00  1.486103e-03  9.904952e+01  3.124437e-01  1.806183e-02  4.473276e-03
    46  -1.440994e+00  -1.446455e+00  1.600525e-03  9.876637e+01  3.122730e-01  1.811856e-02  4.480908e-03
