     i         log_r      log_rmid             m           rho            v2             p        trelax            kn
     0  -1.972367e+00  -2.273397e+00  4.936543e-05  1.223619e+02  2.963729e-01  3.626474e+01  1.501186e-02  6.694235e-03
     1  -1.966137e+00  -1.969241e+00  5.153900e-05  1.225071e+02  2.960215e-01  3.626474e+01  1.500296e-02  6.694235e-03
     2  -1.959911e+00  -1.963013e+00  5.380601e-05  1.224830e+02  2.960113e-01  3.625637e+01  1.500617e-02  6.695008e-03
     3  -1.953679e+00  -1.956784e+00  5.617461e-05  1.224583e+02  2.960008e-01  3.624775e+01  1.500947e-02  6.695804e-03
     4  -1.947448e+00  -1.950552e+00  5.864622e-05  1.224328e+02  2.959900e-01  3.623888e+01  1.501287e-02  6.696624e-03
     5  -1.941226e+00  -1.944326e+00  6.122269e-05  1.224066e+02  2.959788e-01  3.622976e+01  1.501637e-02  6.697466e-03
     6  -1.934993e+00  -1.938098e+00  6.391625e-05  1.223796e+02  2.959673e-01  3.622037e+01  1.501997e-02  6.698334e-03
     7  -1.928759e+00  -1.931865e+00  6.672776e-05  1.223519e+02  2.959555e-01  3.621071e+01  1.502368e-02  6.699228e-03
     8  -1.922520e+00  -1.925629e+00  6.966511e-05  1.223233e+02  2.959434e-01  3.620076e+01  1.502750e-02  6.700148e-03
     9  -1.916292e+00  -1.919395e+00  7.272580e-05  1.222939e+02  2.959309e-01  3.619053e+01  1.503143e-02  6.701095e-03
    10  -1.910058e+00  -1.913164e+00  7.592335e-05  1.222636e+02  2.959180e-01  3.618000e+01  1.503547e-02  6.702070e-03
    11  -1.903827e+00  -1.906931e+00  7.925890e-05  1.222325e+02  2.959047e-01  3.616918e+01  1.503964e-02  6.703073e-03
    12  -1.897593e+00  -1.900699e+00  8.274157e-05  1.222005e+02  2.958911e-01  3.615804e+01  1.504392e-02  6.704106e-03
    13  -1.891364e+00  -1.894468e+00  8.637379e-05  1.221676e+02  2.958771e-01  3.614658e+01  1.504834e-02  6.705168e-03
    14  -1.885137e+00  -1.888239e+00  9.016405e-05  1.221337e+02  2.958626e-01  3.613480e+01  1.505288e-02  6.706261e-03
    15  -1.878899e+00  -1.882006e+00  9.412640e-05  1.220988e+02  2.958478e-01  3.612267e+01  1.505755e-02  6.707387e-03
    16  -1.872666e+00  -1.875771e+00  9.825814e-05  1.220629e+02  2.958325e-01  3.611018e+01  1.506237e-02  6.708546e-03
    17  -1.866427e+00  -1.869536e+00  1.025750e-04  1.220260e+02  2.958168e-01  3.609734e+01  1.506733e-02  6.709739e-03
    18  -1.860198e+00  -1.863302e+00  1.070736e-04  1.219880e+02  2.958006e-01  3.608413e+01  1.507243e-02  6.710967e-03
    19  -1.853965e+00  -1.857070e+00  1.117716e-04  1.219490e+02  2.957839e-01  3.607055e+01  1.507768e-02  6.712231e-03
    20  -1.847732e+00  -1.850837e+00  1.166741e-04  1.219088e+02  2.957668e-01  3.605658e+01  1.508308e-02  6.713531e-03
    21  -1.841499e+00  -1.844604e+00  1.217905e-04  1.218675e+02  2.957491e-01  3.604220e+01  1.508865e-02  6.714870e-03
    22  -1.835266e+00  -1.838371e+00  1.271309e-04  1.218250e+02  2.957310e-01  3.602742e+01  1.509438e-02  6.716247e-03
    23  -1.829036e+00  -1.832140e+00  1.327005e-04  1.217813e+02  2.957123e-01  3.601221e+01  1.510028e-02  6.717665e-03
    24  -1.822804e+00  -1.825909e+00  1.385159e-04  1.217363e+02  2.956931e-01  3.599658e+01  1.510635e-02  6.719124e-03
    25  -1.816571e+00  -1.819676e+00  1.445845e-04  1.216900e+02  2.956733e-01  3.598049e+01  1.511259e-02  6.720626e-03
    26  -1.810342e+00  -1.813445e+00  1.509149e-04  1.216424e+02  2.956530e-01  3.596394e+01  1.511903e-02  6.722172e-03
    27  -1.804105e+00  -1.807212e+00  1.575290e-04  1.215935e+02  2.956320e-01  3.594692e+01  1.512565e-02  6.723763e-03
