     i         log_r      log_rmid             m           rho            v2             p        trelax            kn
     0  -3.276485e+00  -3.577515e+00  4.936543e-05  1.000000e+06  2.174515e+00  2.174515e+06  6.781392e-07  2.733771e-05
     1  -3.270280e+00  -3.273372e+00  5.153900e-05  1.005401e+06  2.162833e+00  2.174515e+06  6.763152e-07  2.733771e-05
     2  -3.264077e+00  -3.267168e+00  5.380601e-05  1.004921e+06  2.162494e+00  2.173136e+06  6.766913e-07  2.734638e-05
     3  -3.257865e+00  -3.260960e+00  5.617461e-05  1.004427e+06  2.162145e+00  2.171716e+06  6.770789e-07  2.735531e-05
     4  -3.251652e+00  -3.254748e+00  5.864622e-05  1.003918e+06  2.161785e+00  2.170255e+06  6.774784e-07  2.736452e-05
     5  -3.245444e+00  -3.248537e+00  6.122269e-05  1.003395e+06  2.161415e+00  2.168753e+06  6.778898e-07  2.737400e-05
     6  -3.239223e+00  -3.242323e+00  6.391625e-05  1.002856e+06  2.161034e+00  2.167206e+06  6.783137e-07  2.738376e-05
     7  -3.233000e+00  -3.236101e+00  6.672776e-05  1.002301e+06  2.160642e+00  2.165614e+06  6.787508e-07  2.739383e-05
     8  -3.226768e+00  -3.229873e+00  6.966511e-05  1.001730e+06  2.160237e+00  2.163974e+06  6.792015e-07  2.740421e-05
     9  -3.220545e+00  -3.223645e+00  7.272580e-05  1.001142e+06  2.159821e+00  2.162288e+06  6.796657e-07  2.741489e-05
    10  -3.214313e+00  -3.217418e+00  7.592335e-05  1.000537e+06  2.159393e+00  2.160554e+06  6.801439e-07  2.742589e-05
    11  -3.208082e+00  -3.211186e+00  7.925890e-05  9.999151e+05  2.158952e+00  2.158769e+06  6.806367e-07  2.743723e-05
    12  -3.201846e+00  -3.204953e+00  8.274157e-05  9.992747e+05  2.158498e+00  2.156933e+06  6.811445e-07  2.744890e-05
    13  -3.195613e+00  -3.198719e+00  8.637379e-05  9.986159e+05  2.158031e+00  2.155044e+06  6.816676e-07  2.746093e-05
    14  -3.189379e+00  -3.192485e+00  9.016405e-05  9.979383e+05  2.157550e+00  2.153102e+06  6.822064e-07  2.747331e-05
    15  -3.183132e+00  -3.186244e+00  9.412640e-05  9.972407e+05  2.157055e+00  2.151103e+06  6.827621e-07  2.748607e-05
    16  -3.176888e+00  -3.179999e+00  9.825814e-05  9.965225e+05  2.156546e+00  2.149046e+06  6.833348e-07  2.749922e-05
    17  -3.170636e+00  -3.173751e+00  1.025750e-04  9.957836e+05  2.156021e+00  2.146930e+06  6.839251e-07  2.751277e-05
    18  -3.164391e+00  -3.167502e+00  1.070736e-04  9.950235e+05  2.155481e+00  2.144754e+06  6.845333e-07  2.752672e-05
    19  -3.158140e+00  -3.161254e+00  1.117716e-04  9.942419e+05  2.154925e+00  2.142517e+06  6.851598e-07  2.754109e-05
    20  -3.151887e+00  -3.155002e+00  1.166741e-04  9.934376e+05  2.154353e+00  2.140215e+06  6.858055e-07  2.755590e-05
    21  -3.145632e+00  -3.148748e+00  1.217905e-04  9.926102e+05  2.153764e+00  2.137848e+06  6.864710e-07  2.757114e-05
    22  -3.139374e+00  -3.142492e+00  1.271309e-04  9.917589e+05  2.153159e+00  2.135414e+06  6.871569e-07  2.758686e-05
    23  -3.133118e+00  -3.136235e+00  1.327005e-04  9.908835e+05  2.152535e+00  2.132911e+06  6.878636e-07  2.760304e-05
    24  -3.126857e+00  -3.129976e+00  1.385159e-04  9.899830e+05  2.151893e+00  2.130338e+06  6.885918e-07  2.761970e-05
    25  -3.120594e+00  -3.123714e+00  1.445845e-04  9.890566e+05  2.151233e+00  2.127691e+06  6.893426e-07  2.763688e-05
    26  -3.114331e+00  -3.117451e+00  1.509149e-04  9.881039e+05  2.150553e+00  2.124970e+06  6.901163e-07  2.765457e-05
    27  -3.108059e+00  -3.111184e+00  1.575290e-04  9.871236e+05  2.149854e+00  2.122171e+06  6.909140e-07  2.767280e-05
    28  -3.101791e+00  -3.104913e+00  1.644237e-04  9.861153e+05  2.149134e+00  2.119294e+06  6.917363e-07  2.769158e-05
    29  -3.095522e+00  -3.098645e+00  1.716176e-04  9.850789e+05  2.148393e+00  2.116337e+06  6.925834e-07  2.771092e-05
    30  -3.089250e+00  -3.092375e+00  1.791246e-04  9.840131e+05  2.147631e+00  2.113297e+06  6.934566e-07  2.773084e-05
    31  -3.082974e+00  -3.086101e+00  1.869613e-04  9.829167e+05  2.146847e+00  2.110172e+06  6.943569e-07  2.775137e-05
    32  -3.076695e+00  -3.079823e+00  1.951388e-04  9.817890e+05  2.146039e+00  2.106958e+06  6.952852e-07  2.777252e-05
    33  -3.070418e+00  -3.073545e+00  2.036668e-04  9.806297e+05  2.145209e+00  2.103656e+06  6.962419e-07  2.779431e-05
    34  -3.064137e+00  -3.067266e+00  2.125676e-04  9.794377e+05  2.144355e+00  2.100262e+06  6.972281e-07  2.781676e-05
    35  -3.057853e+00  -3.060984e+00  2.218557e-04  9.782118e+05  2.143475e+00  2.096773e+06  6.982450e-07  2.783989e-05
    36  -3.051570e+00  -3.054700e+00  2.315430e-04  9.769516e+05  2.142571e+00  2.093188e+06  6.992934e-07  2.786372e-05
    37  -3.045282e+00  -3.048415e+00  2.416522e-04  9.756559e+05  2.141640e+00  2.089504e+06  7.003741e-07  2.788828e-05
    38  -3.038993e+00  -3.042126e+00  2.522004e-04  9.743236e+05  2.140682e+00  2.085717e+06  7.014887e-07  2.791358e-05
    39  -3.032699e+00  -3.035834e+00  2.632088e-04  9.729537e+05  2.139696e+00  2.081826e+06  7.026382e-07  2.793966e-05
    40  -3.026406e+00  -3.029541e+00  2.746873e-04  9.715454e+05  2.138683e+00  2.077827e+06  7.038234e-07  2.796653e-05
    41  -3.020110e+00  -3.023247e+00  2.866651e-04  9.700981e+05  2.137640e+00  2.073720e+06  7.050455e-07  2.799421e-05
    42  -3.013813e+00  -3.016950e+00  2.991578e-04  9.686102e+05  2.136566e+00  2.069500e+06  7.063058e-07  2.802274e-05
    43  -3.007513e+00  -3.010652e+00  3.121906e-04  9.670810e+05  2.135463e+00  2.065165e+06  7.076054e-07  2.805213e-05
    44  -3.001209e+00  -3.004350e+00  3.257907e-04  9.655090e+05  2.134327e+00  2.060712e+06  7.089461e-07  2.808243e-05
    45  -2.994904e+00  -2.998045e+00  3.399746e-04  9.638931e+05  2.133158e+00  2.056136e+06  7.103291e-07  2.811365e-05
    46  -2.988596e+00  -2.991738e+00  3.547724e-04  9.622324e+05  2.131956e+00  2.051437e+06  7.117556e-07  2.814583e-05
    47  -2.982286e+00  -2.985429e+00  3.702053e-04  9.605257e+05  2.130720e+00  2.046611e+06  7.132271e-07  2.817900e-05
    48  -2.975975e+00  -2.979119e+00  3.863001e-04  9.587721e+05  2.129448e+00  2.041655e+06  7.147450e-07  2.821318e-05
    49  -2.969658e+00  -2.972805e+00  4.030957e-04  9.569698e+05  2.128139e+00  2.036565e+06  7.163112e-07  2.824842e-05
    50  -2.963340e+00  -2.966487e+00  4.206106e-04  9.551175e+05  2.126793e+00  2.031337e+06  7.179275e-07  2.828474e-05
    51  -2.957018e+00  -2.960167e+00  4.388801e-04  9.532144e+05  2.125408e+00  2.025970e+06  7.195951e-07  2.832219e-05
    52  -2.950695e+00  -2.953845e+00  4.579325e-04  9.512591e+05  2.123984e+00  2.020459e+06  7.213160e-07  2.836078e-05
    53  -2.944365e+00  -2.947518e+00  4.778138e-04  9.492496e+05  2.122519e+00  2.014800e+06  7.230924e-07  2.840058e-05
    54  -2.938036e+00  -2.941189e+00  4.985347e-04  9.471853e+05  2.121011e+00  2.008991e+06  7.249257e-07  2.844162e-05
    55  -2.931703e+00  -2.934858e+00  5.201481e-04  9.450652e+05  2.119462e+00  2.003029e+06  7.268177e-07  2.848391e-05
    56  -2.925366e+00  -2.928523e+00  5.426885e-04  9.428870e+05  2.117867e+00  1.996909e+06  7.287709e-07  2.852752e-05
    57  -2.919025e+00  -2.922184e+00  5.661971e-04  9.406494e+05  2.116227e+00  1.990628e+06  7.307875e-07  2.857250e-05
    58  -2.912683e+00  -2.915842e+00  5.907064e-04  9.383511e+05  2.114541e+00  1.984181e+06  7.328694e-07  2.861888e-05
    59  -2.906336e+00  -2.909497e+00  6.162668e-04  9.359907e+05  2.112806e+00  1.977567e+06  7.350191e-07  2.866670e-05
    60  -2.899985e+00  -2.903149e+00  6.429189e-04  9.335665e+05  2.111022e+00  1.970779e+06  7.372392e-07  2.871602e-05
    61  -2.893630e+00  -2.896796e+00  6.707104e-04  9.310768e+05  2.109187e+00  1.963815e+06  7.395321e-07  2.876690e-05
    62  -2.887272e+00  -2.890439e+00  6.996861e-04  9.285201e+05  2.107300e+00  1.956670e+06  7.419003e-07  2.881937e-05
    63  -2.880909e+00  -2.884079e+00  7.298974e-04  9.258948e+05  2.105359e+00  1.949341e+06  7.443467e-07  2.887350e-05
    64  -2.874542e+00  -2.877714e+00  7.613962e-04  9.231993e+05  2.103363e+00  1.941823e+06  7.468742e-07  2.892933e-05
    65  -2.868172e+00  -2.871345e+00  7.942322e-04  9.204318e+05  2.101310e+00  1.934113e+06  7.494856e-07  2.898694e-05
    66  -2.861795e+00  -2.864972e+00  8.284723e-04  9.175905e+05  2.099199e+00  1.926205e+06  7.521843e-07  2.904638e-05
    67  -2.855415e+00  -2.858593e+00  8.641640e-04  9.146735e+05  2.097028e+00  1.918096e+06  7.549736e-07  2.910771e-05
    68  -2.849030e+00  -2.852211e+00  9.013664e-04  9.116796e+05  2.094796e+00  1.909783e+06  7.578564e-07  2.917100e-05
    69  -2.842640e+00  -2.845823e+00  9.401486e-04  9.086066e+05  2.092500e+00  1.901260e+06  7.608364e-07  2.923631e-05
    70  -2.836244e+00  -2.839430e+00  9.805784e-04  9.054525e+05  2.090140e+00  1.892522e+06  7.639178e-07  2.930372e-05
    71  -2.829842e+00  -2.833031e+00  1.022722e-03  9.022153e+05  2.087712e+00  1.883566e+06  7.671044e-07  2.937331e-05
    72  -2.823435e+00  -2.826627e+00  1.066645e-03  8.988933e+05  2.085216e+00  1.874387e+06  7.704000e-07  2.944514e-05
    73  -2.817023e+00  -2.820217e+00  1.112418e-03  8.954850e+05  2.082650e+00  1.864982e+06  7.738086e-07  2.951929e-05
    74  -2.810605e+00  -2.813802e+00  1.160127e-03  8.919880e+05  2.080011e+00  1.855345e+06  7.773349e-07  2.959586e-05
    75  -2.804180e+00  -2.807381e+00  1.209843e-03  8.884004e+05  2.077298e+00  1.845472e+06  7.809835e-07  2.967492e-05
    76  -2.797749e+00  -2.800953e+00  1.261660e-03  8.847200e+05  2.074508e+00  1.835359e+06  7.847594e-07  2.975656e-05
    77  -2.791312e+00  -2.794519e+00  1.315650e-03  8.809449e+05  2.071640e+00  1.825001e+06  7.886678e-07  2.984089e-05
    78  -2.784867e+00  -2.788078e+00  1.371910e-03  8.770731e+05  2.068691e+00  1.814394e+06  7.927137e-07  2.992799e-05
    79  -2.778415e+00  -2.781629e+00  1.430537e-03  8.731021e+05  2.065659e+00  1.803532e+06  7.969032e-07  3.001797e-05
    80  -2.771957e+00  -2.775174e+00  1.491613e-03  8.690302e+05  2.062542e+00  1.792412e+06  8.012420e-07  3.011094e-05
    81  -2.765490e+00  -2.768711e+00  1.555254e-03  8.648552e+05  2.059338e+00  1.781029e+06  8.057361e-07  3.020701e-05
    82  -2.759015e+00  -2.762240e+00  1.621555e-03  8.605745e+05  2.056043e+00  1.769379e+06  8.103925e-07  3.030630e-05
    83  -2.752532e+00  -2.755761e+00  1.690622e-03  8.561863e+05  2.052657e+00  1.757457e+06  8.152176e-07  3.040892e-05
    84  -2.746040e+00  -2.749274e+00  1.762572e-03  8.516884e+05  2.049175e+00  1.745259e+06  8.202187e-07  3.051500e-05
    85  -2.739539e+00  -2.742777e+00  1.837521e-03  8.470784e+05  2.045596e+00  1.732780e+06  8.254037e-07  3.062468e-05
    86  -2.733029e+00  -2.736272e+00  1.915590e-03  8.423540e+05  2.041917e+00  1.720017e+06  8.307806e-07  3.073809e-05
    87  -2.726510e+00  -2.729757e+00  1.996900e-03  8.375130e+05  2.038135e+00  1.706965e+06  8.363575e-07  3.085539e-05
    88  -2.719980e+00  -2.723233e+00  2.081586e-03  8.325531e+05  2.034248e+00  1.693619e+06  8.421435e-07  3.097671e-05
    89  -2.713440e+00  -2.716698e+00  2.169788e-03  8.274719e+05  2.030252e+00  1.679976e+06  8.481483e-07  3.110224e-05
    90  -2.706889e+00  -2.710152e+00  2.261641e-03  8.222669e+05  2.026144e+00  1.666031e+06  8.543819e-07  3.123214e-05
    91  -2.700326e+00  -2.703595e+00  2.357288e-03  8.169362e+05  2.021922e+00  1.651781e+06  8.608543e-07  3.136657e-05
    92  -2.693753e+00  -2.697027e+00  2.456877e-03  8.114775e+05  2.017582e+00  1.637223e+06  8.675767e-07  3.150572e-05
    93  -2.687166e+00  -2.690447e+00  2.560586e-03  8.058881e+05  2.013122e+00  1.622351e+06  8.745612e-07  3.164979e-05
    94  -2.680568e+00  -2.683855e+00  2.668544e-03  8.001660e+05  2.008537e+00  1.607163e+06  8.818200e-07  3.179898e-05
    95  -2.673956e+00  -2.677250e+00  2.780947e-03  7.943090e+05  2.003826e+00  1.591657e+06  8.893661e-07  3.195351e-05
    96  -2.667331e+00  -2.670631e+00  2.897949e-03  7.883146e+05  1.998983e+00  1.575828e+06  8.972136e-07  3.211359e-05
    97  -2.660692e+00  -2.663999e+00  3.019750e-03  7.821806e+05  1.994007e+00  1.559673e+06  9.053774e-07  3.227947e-05
    98  -2.654038e+00  -2.657352e+00  3.146529e-03  7.759045e+05  1.988892e+00  1.543190e+06  9.138736e-07  3.245141e-05
    99  -2.647369e+00  -2.650691e+00  3.278481e-03  7.694843e+05  1.983636e+00  1.526376e+06  9.227186e-07  3.262965e-05
   100  -2.640684e+00  -2.644014e+00  3.415810e-03  7.629177e+05  1.978234e+00  1.509230e+06  9.319305e-07  3.281449e-05
   101  -2.633982e+00  -2.637320e+00  3.558731e-03  7.562024e+05  1.972682e+00  1.491747e+06  9.415284e-07  3.300621e-05
   102  -2.627263e+00  -2.630610e+00  3.707443e-03  7.493364e+05  1.966977e+00  1.473928e+06  9.515323e-07  3.320513e-05
   103  -2.620526e+00  -2.623882e+00  3.862193e-03  7.423175e+05  1.961115e+00  1.455770e+06  9.619640e-07  3.341157e-05
   104  -2.613771e+00  -2.617135e+00  4.023197e-03  7.351436e+05  1.955090e+00  1.437272e+06  9.728467e-07  3.362589e-05
   105  -2.606996e+00  -2.610370e+00  4.190697e-03  7.278130e+05  1.948900e+00  1.418434e+06  9.842047e-07  3.384844e-05
   106  -2.600201e+00  -2.603585e+00  4.364955e-03  7.203235e+05  1.942538e+00  1.399256e+06  9.960649e-07  3.407962e-05
   107  -2.593385e+00  -2.596779e+00  4.546218e-03  7.126731e+05  1.936001e+00  1.379736e+06  1.008456e-06  3.431984e-05
   108  -2.586547e+00  -2.589952e+00  4.734748e-03  7.048603e+05  1.929284e+00  1.359876e+06  1.021407e-06  3.456954e-05
   109  -2.579686e+00  -2.583103e+00  4.930837e-03  6.968834e+05  1.922383e+00  1.339676e+06  1.034951e-06  3.482918e-05
   110  -2.572801e+00  -2.576230e+00  5.134764e-03  6.887404e+05  1.915291e+00  1.319138e+06  1.049125e-06  3.509928e-05
   111  -2.565891e+00  -2.569332e+00  5.346829e-03  6.804299e+05  1.908003e+00  1.298263e+06  1.063964e-06  3.538034e-05
   112  -2.558956e+00  -2.562410e+00  5.567324e-03  6.719507e+05  1.900516e+00  1.277053e+06  1.079510e-06  3.567293e-05
   113  -2.551993e+00  -2.555460e+00  5.796581e-03  6.633015e+05  1.892822e+00  1.255512e+06  1.095807e-06  3.597766e-05
   114  -2.545002e+00  -2.548484e+00  6.034915e-03  6.544810e+05  1.884917e+00  1.233643e+06  1.112902e-06  3.629515e-05
   115  -2.537982e+00  -2.541478e+00  6.282676e-03  6.454882e+05  1.876795e+00  1.211449e+06  1.130845e-06  3.662610e-05
   116  -2.530931e+00  -2.534442e+00  6.540210e-03  6.363222e+05  1.868449e+00  1.188936e+06  1.149694e-06  3.697124e-05
   117  -2.523847e+00  -2.527374e+00  6.807874e-03  6.269824e+05  1.859874e+00  1.166108e+06  1.169507e-06  3.733136e-05
   118  -2.516730e+00  -2.520274e+00  7.086044e-03  6.174682e+05  1.851063e+00  1.142973e+06  1.190350e-06  3.770729e-05
   119  -2.509578e+00  -2.513139e+00  7.375103e-03  6.077793e+05  1.842010e+00  1.119536e+06  1.212294e-06  3.809994e-05
