     i         log_r      log_rmid             m           rho            v2             p        trelax            kn
     0  -3.200351e+00  -3.501381e+00  4.936543e-05  5.910147e+05  1.987744e+00  1.174786e+06  1.200111e-06  3.719323e-05
     1  -3.194144e+00  -3.197236e+00  5.153900e-05  5.939226e+05  1.978012e+00  1.174786e+06  1.197170e-06  3.719323e-05
     2  -3.187938e+00  -3.191030e+00  5.380601e-05  5.936616e+05  1.977729e+00  1.174102e+06  1.197782e-06  3.720406e-05
     3  -3.181724e+00  -3.184820e+00  5.617461e-05  5.933930e+05  1.977438e+00  1.173398e+06  1.198412e-06  3.721522e-05
     4  -3.175509e+00  -3.178605e+00  5.864622e-05  5.931164e+05  1.977139e+00  1.172673e+06  1.199062e-06  3.722672e-05
     5  -3.169299e+00  -3.172393e+00  6.122269e-05  5.928320e+05  1.976830e+00  1.171928e+06  1.199730e-06  3.723855e-05
     6  -3.163077e+00  -3.166177e+00  6.391625e-05  5.925392e+05  1.976513e+00  1.171161e+06  1.200420e-06  3.725074e-05
     7  -3.156853e+00  -3.159954e+00  6.672776e-05  5.922376e+05  1.976186e+00  1.170371e+06  1.201130e-06  3.726331e-05
     8  -3.150621e+00  -3.153726e+00  6.966511e-05  5.919271e+05  1.975849e+00  1.169558e+06  1.201863e-06  3.727626e-05
     9  -3.144397e+00  -3.147498e+00  7.272580e-05  5.916076e+05  1.975502e+00  1.168722e+06  1.202617e-06  3.728959e-05
    10  -3.138165e+00  -3.141270e+00  7.592335e-05  5.912790e+05  1.975145e+00  1.167862e+06  1.203394e-06  3.730332e-05
    11  -3.131934e+00  -3.135038e+00  7.925890e-05  5.909408e+05  1.974778e+00  1.166977e+06  1.204195e-06  3.731746e-05
    12  -3.125700e+00  -3.128806e+00  8.274157e-05  5.905927e+05  1.974400e+00  1.166066e+06  1.205020e-06  3.733203e-05
    13  -3.119467e+00  -3.122572e+00  8.637379e-05  5.902347e+05  1.974011e+00  1.165130e+06  1.205870e-06  3.734703e-05
    14  -3.113234e+00  -3.116339e+00  9.016405e-05  5.898665e+05  1.973611e+00  1.164167e+06  1.206745e-06  3.736248e-05
    15  -3.106988e+00  -3.110100e+00  9.412640e-05  5.894873e+05  1.973198e+00  1.163175e+06  1.207647e-06  3.737839e-05
    16  -3.100747e+00  -3.103856e+00  9.825814e-05  5.890970e+05  1.972774e+00  1.162155e+06  1.208577e-06  3.739480e-05
    17  -3.094497e+00  -3.097610e+00  1.025750e-04  5.886955e+05  1.972337e+00  1.161106e+06  1.209536e-06  3.741169e-05
    18  -3.088254e+00  -3.091364e+00  1.070736e-04  5.882824e+05  1.971887e+00  1.160027e+06  1.210523e-06  3.742909e-05
    19  -3.082005e+00  -3.085118e+00  1.117716e-04  5.878577e+05  1.971424e+00  1.158917e+06  1.211540e-06  3.744701e-05
    20  -3.075756e+00  -3.078869e+00  1.166741e-04  5.874206e+05  1.970948e+00  1.157775e+06  1.212588e-06  3.746546e-05
    21  -3.069504e+00  -3.072619e+00  1.217905e-04  5.869709e+05  1.970458e+00  1.156602e+06  1.213668e-06  3.748447e-05
    22  -3.063250e+00  -3.066366e+00  1.271309e-04  5.865083e+05  1.969953e+00  1.155394e+06  1.214781e-06  3.750405e-05
    23  -3.056998e+00  -3.060113e+00  1.327005e-04  5.860326e+05  1.969434e+00  1.154153e+06  1.215927e-06  3.752422e-05
    24  -3.050741e+00  -3.053858e+00  1.385159e-04  5.855432e+05  1.968900e+00  1.152876e+06  1.217108e-06  3.754499e-05
    25  -3.044482e+00  -3.047600e+00  1.445845e-04  5.850398e+05  1.968350e+00  1.151563e+06  1.218326e-06  3.756638e-05
    26  -3.038224e+00  -3.041342e+00  1.509149e-04  5.845220e+05  1.967784e+00  1.150213e+06  1.219580e-06  3.758842e-05
    27  -3.031956e+00  -3.035079e+00  1.575290e-04  5.839893e+05  1.967202e+00  1.148825e+06  1.220873e-06  3.761113e-05
    28  -3.025694e+00  -3.028814e+00  1.644237e-04  5.834413e+05  1.966603e+00  1.147397e+06  1.222206e-06  3.763452e-05
    29  -3.019430e+00  -3.022551e+00  1.716176e-04  5.828780e+05  1.965986e+00  1.145930e+06  1.223579e-06  3.765860e-05
    30  -3.013165e+00  -3.016286e+00  1.791246e-04  5.822987e+05  1.965352e+00  1.144422e+06  1.224994e-06  3.768341e-05
    31  -3.006895e+00  -3.010018e+00  1.869613e-04  5.817029e+05  1.964699e+00  1.142871e+06  1.226453e-06  3.770897e-05
    32  -3.000623e+00  -3.003747e+00  1.951388e-04  5.810900e+05  1.964027e+00  1.141276e+06  1.227956e-06  3.773530e-05
    33  -2.994352e+00  -2.997476e+00  2.036668e-04  5.804598e+05  1.963336e+00  1.139637e+06  1.229506e-06  3.776243e-05
    34  -2.988078e+00  -2.991204e+00  2.125676e-04  5.798120e+05  1.962624e+00  1.137953e+06  1.231103e-06  3.779036e-05
    35  -2.981802e+00  -2.984929e+00  2.218557e-04  5.791456e+05  1.961893e+00  1.136221e+06  1.232749e-06  3.781915e-05
    36  -2.975526e+00  -2.978653e+00  2.315430e-04  5.784606e+05  1.961140e+00  1.134442e+06  1.234446e-06  3.784880e-05
    37  -2.969247e+00  -2.972375e+00  2.416522e-04  5.777563e+05  1.960365e+00  1.132613e+06  1.236195e-06  3.787934e-05
    38  -2.962966e+00  -2.966095e+00  2.522004e-04  5.770321e+05  1.959568e+00  1.130733e+06  1.237998e-06  3.791082e-05
    39  -2.956681e+00  -2.959812e+00  2.632088e-04  5.762873e+05  1.958747e+00  1.128801e+06  1.239857e-06  3.794325e-05
    40  -2.950398e+00  -2.953528e+00  2.746873e-04  5.755218e+05  1.957904e+00  1.126816e+06  1.241774e-06  3.797666e-05
    41  -2.944111e+00  -2.947243e+00  2.866651e-04  5.747349e+05  1.957036e+00  1.124777e+06  1.243750e-06  3.801107e-05
    42  -2.937824e+00  -2.940956e+00  2.991578e-04  5.739260e+05  1.956143e+00  1.122681e+06  1.245787e-06  3.804653e-05
    43  -2.931535e+00  -2.934668e+00  3.121906e-04  5.730946e+05  1.955224e+00  1.120528e+06  1.247887e-06  3.808306e-05
    44  -2.925241e+00  -2.928377e+00  3.257907e-04  5.722398e+05  1.954279e+00  1.118316e+06  1.250054e-06  3.812071e-05
    45  -2.918947e+00  -2.922083e+00  3.399746e-04  5.713612e+05  1.953306e+00  1.116044e+06  1.252288e-06  3.815950e-05
    46  -2.912651e+00  -2.915788e+00  3.547724e-04  5.704582e+05  1.952306e+00  1.113709e+06  1.254591e-06  3.819947e-05
    47  -2.906353e+00  -2.909490e+00  3.702053e-04  5.695301e+05  1.951277e+00  1.111311e+06  1.256967e-06  3.824067e-05
    48  -2.900054e+00  -2.903192e+00  3.863001e-04  5.685764e+05  1.950219e+00  1.108849e+06  1.259417e-06  3.828310e-05
    49  -2.893750e+00  -2.896891e+00  4.030957e-04  5.675962e+05  1.949130e+00  1.106319e+06  1.261944e-06  3.832685e-05
    50  -2.887445e+00  -2.890586e+00  4.206106e-04  5.665888e+05  1.948010e+00  1.103721e+06  1.264551e-06  3.837193e-05
    51  -2.881137e+00  -2.884280e+00  4.388801e-04  5.655537e+05  1.946858e+00  1.101053e+06  1.267240e-06  3.841839e-05
    52  -2.874828e+00  -2.877971e+00  4.579325e-04  5.644901e+05  1.945673e+00  1.098313e+06  1.270015e-06  3.846628e-05
    53  -2.868513e+00  -2.871659e+00  4.778138e-04  5.633970e+05  1.944454e+00  1.095499e+06  1.272878e-06  3.851565e-05
    54  -2.862199e+00  -2.865344e+00  4.985347e-04  5.622740e+05  1.943200e+00  1.092611e+06  1.275831e-06  3.856653e-05
    55  -2.855882e+00  -2.859029e+00  5.201481e-04  5.611205e+05  1.941910e+00  1.089646e+06  1.278878e-06  3.861896e-05
    56  -2.849561e+00  -2.852710e+00  5.426885e-04  5.599354e+05  1.940584e+00  1.086602e+06  1.282023e-06  3.867302e-05
    57  -2.843238e+00  -2.846388e+00  5.661971e-04  5.587178e+05  1.939220e+00  1.083477e+06  1.285269e-06  3.872875e-05
    58  -2.836912e+00  -2.840063e+00  5.907064e-04  5.574672e+05  1.937817e+00  1.080269e+06  1.288619e-06  3.878620e-05
    59  -2.830583e+00  -2.833736e+00  6.162668e-04  5.561826e+05  1.936373e+00  1.076977e+06  1.292076e-06  3.884543e-05
    60  -2.824251e+00  -2.827405e+00  6.429189e-04  5.548632e+05  1.934889e+00  1.073599e+06  1.295645e-06  3.890651e-05
    61  -2.817915e+00  -2.821072e+00  6.707104e-04  5.535081e+05  1.933363e+00  1.070132e+06  1.299330e-06  3.896948e-05
    62  -2.811577e+00  -2.814735e+00  6.996861e-04  5.521163e+05  1.931793e+00  1.066575e+06  1.303134e-06  3.903441e-05
    63  -2.805235e+00  -2.808394e+00  7.298974e-04  5.506872e+05  1.930179e+00  1.062925e+06  1.307062e-06  3.910137e-05
    64  -2.798889e+00  -2.802050e+00  7.613962e-04  5.492196e+05  1.928519e+00  1.059180e+06  1.311119e-06  3.917043e-05
    65  -2.792540e+00  -2.795703e+00  7.942322e-04  5.477127e+05  1.926812e+00  1.055339e+06  1.315308e-06  3.924165e-05
    66  -2.786186e+00  -2.789352e+00  8.284723e-04  5.461655e+05  1.925056e+00  1.051399e+06  1.319636e-06  3.931511e-05
    67  -2.779829e+00  -2.782996e+00  8.641640e-04  5.445769e+05  1.923250e+00  1.047358e+06  1.324107e-06  3.939089e-05
    68  -2.773468e+00  -2.776637e+00  9.013664e-04  5.429461e+05  1.921394e+00  1.043213e+06  1.328725e-06  3.946905e-05
    69  -2.767103e+00  -2.770274e+00  9.401486e-04  5.412722e+05  1.919485e+00  1.038964e+06  1.333497e-06  3.954969e-05
    70  -2.760732e+00  -2.763906e+00  9.805784e-04  5.395539e+05  1.917522e+00  1.034606e+06  1.338428e-06  3.963288e-05
    71  -2.754357e+00  -2.757533e+00  1.022722e-03  5.377901e+05  1.915503e+00  1.030139e+06  1.343525e-06  3.971874e-05
    72  -2.747977e+00  -2.751155e+00  1.066645e-03  5.359799e+05  1.913428e+00  1.025559e+06  1.348794e-06  3.980733e-05
    73  -2.741594e+00  -2.744774e+00  1.112418e-03  5.341224e+05  1.911294e+00  1.020865e+06  1.354240e-06  3.989874e-05
    74  -2.735204e+00  -2.738387e+00  1.160127e-03  5.322164e+05  1.909100e+00  1.016054e+06  1.359870e-06  3.999308e-05
    75  -2.728810e+00  -2.731995e+00  1.209843e-03  5.302606e+05  1.906844e+00  1.011124e+06  1.365693e-06  4.009046e-05
    76  -2.722410e+00  -2.725598e+00  1.261660e-03  5.282541e+05  1.904524e+00  1.006073e+06  1.371715e-06  4.019098e-05
    77  -2.716005e+00  -2.719195e+00  1.315650e-03  5.261956e+05  1.902140e+00  1.000898e+06  1.377944e-06  4.029475e-05
    78  -2.709593e+00  -2.712787e+00  1.371910e-03  5.240840e+05  1.899688e+00  9.955963e+05  1.384388e-06  4.040188e-05
    79  -2.703175e+00  -2.706372e+00  1.430537e-03  5.219181e+05  1.897168e+00  9.901662e+05  1.391057e-06  4.051252e-05
    80  -2.696752e+00  -2.699952e+00  1.491613e-03  5.196967e+05  1.894577e+00  9.846053e+05  1.397957e-06  4.062676e-05
    81  -2.690321e+00  -2.693525e+00  1.555254e-03  5.174187e+05  1.891913e+00  9.789112e+05  1.405100e-06  4.074475e-05
    82  -2.683884e+00  -2.687091e+00  1.621555e-03  5.150826e+05  1.889175e+00  9.730811e+05  1.412495e-06  4.086662e-05
    83  -2.677440e+00  -2.680650e+00  1.690622e-03  5.126875e+05  1.886360e+00  9.671132e+05  1.420152e-06  4.099252e-05
    84  -2.670989e+00  -2.674202e+00  1.762572e-03  5.102320e+05  1.883467e+00  9.610050e+05  1.428083e-06  4.112259e-05
    85  -2.664530e+00  -2.667747e+00  1.837521e-03  5.077149e+05  1.880492e+00  9.547538e+05  1.436297e-06  4.125699e-05
    86  -2.658063e+00  -2.661284e+00  1.915590e-03  5.051348e+05  1.877435e+00  9.483575e+05  1.444809e-06  4.139589e-05
    87  -2.651588e+00  -2.654813e+00  1.996900e-03  5.024904e+05  1.874292e+00  9.418139e+05  1.453629e-06  4.153945e-05
    88  -2.645104e+00  -2.648334e+00  2.081586e-03  4.997807e+05  1.871062e+00  9.351205e+05  1.462771e-06  4.168785e-05
    89  -2.638611e+00  -2.641845e+00  2.169788e-03  4.970039e+05  1.867742e+00  9.282749e+05  1.472251e-06  4.184128e-05
    90  -2.632109e+00  -2.635348e+00  2.261641e-03  4.941590e+05  1.864329e+00  9.212748e+05  1.482081e-06  4.199994e-05
    91  -2.625597e+00  -2.628841e+00  2.357288e-03  4.912446e+05  1.860821e+00  9.141184e+05  1.492279e-06  4.216402e-05
    92  -2.619076e+00  -2.622325e+00  2.456877e-03  4.882595e+05  1.857216e+00  9.068036e+05  1.502858e-06  4.233374e-05
    93  -2.612544e+00  -2.615798e+00  2.560586e-03  4.852022e+05  1.853511e+00  8.993278e+05  1.513839e-06  4.250933e-05
    94  -2.606002e+00  -2.609261e+00  2.668544e-03  4.820715e+05  1.849703e+00  8.916894e+05  1.525237e-06  4.269101e-05
    95  -2.599448e+00  -2.602713e+00  2.780947e-03  4.788662e+05  1.845790e+00  8.838865e+05  1.537074e-06  4.287903e-05
    96  -2.592884e+00  -2.596154e+00  2.897949e-03  4.755847e+05  1.841769e+00  8.759171e+05  1.549368e-06  4.307366e-05
    97  -2.586307e+00  -2.589583e+00  3.019750e-03  4.722259e+05  1.837636e+00  8.677795e+05  1.562142e-06  4.327515e-05
    98  -2.579717e+00  -2.582999e+00  3.146529e-03  4.687882e+05  1.833389e+00  8.594714e+05  1.575418e-06  4.348381e-05
    99  -2.573115e+00  -2.576403e+00  3.278481e-03  4.652706e+05  1.829025e+00  8.509916e+05  1.589222e-06  4.369992e-05
   100  -2.566499e+00  -2.569794e+00  3.415810e-03  4.616715e+05  1.824541e+00  8.423385e+05  1.603578e-06  4.392380e-05
   101  -2.559868e+00  -2.563171e+00  3.558731e-03  4.579897e+05  1.819932e+00  8.335104e+05  1.618515e-06  4.415580e-05
   102  -2.553224e+00  -2.556533e+00  3.707443e-03  4.542241e+05  1.815197e+00  8.245063e+05  1.634060e-06  4.439625e-05
   103  -2.546564e+00  -2.549881e+00  3.862193e-03  4.503732e+05  1.810332e+00  8.153249e+05  1.650245e-06  4.464552e-05
   104  -2.539888e+00  -2.543213e+00  4.023197e-03  4.464358e+05  1.805333e+00  8.059650e+05  1.667103e-06  4.490401e-05
   105  -2.533196e+00  -2.536529e+00  4.190697e-03  4.424108e+05  1.800196e+00  7.964262e+05  1.684668e-06  4.517212e-05
