     i         log_r      log_rmid             m           rho            v2        trelax            kn
     0  -1.783283e+00  -2.084313e+00  4.936543e-05  3.314310e+01  2.503609e-02  1.906881e-01  2.731857e-02
     1  -1.770709e+00  -1.776950e+00  5.328937e-05  2.903164e+01  2.858170e-02  2.037438e-01  2.731857e-02
     2  -1.758140e+00  -1.764379e+00  5.752323e-05  2.873144e+01  2.878888e-02  2.051305e-01  2.736193e-02
     3  -1.745566e+00  -1.751807e+00  6.209370e-05  2.842430e+01  2.900403e-02  2.065766e-01  2.740714e-02
     4  -1.732990e+00  -1.739232e+00  6.702432e-05  2.811023e+01  2.922745e-02  2.080847e-01  2.745428e-02
     5  -1.720397e+00  -1.726648e+00  7.234881e-05  2.778919e+01  2.945949e-02  2.096581e-01  2.750345e-02
     6  -1.707801e+00  -1.714053e+00  7.809033e-05  2.746125e+01  2.970041e-02  2.112995e-01  2.755474e-02
     7  -1.695190e+00  -1.701450e+00  8.428458e-05  2.712664e+01  2.995043e-02  2.130113e-01  2.760821e-02
     8  -1.682558e+00  -1.688828e+00  9.096964e-05  2.678526e+01  3.020996e-02  2.147974e-01  2.766399e-02
     9  -1.669902e+00  -1.676184e+00  9.818356e-05  2.643719e+01  3.047935e-02  2.166616e-01  2.772217e-02
    10  -1.657218e+00  -1.663514e+00  1.059689e-04  2.608253e+01  3.075893e-02  2.186073e-01  2.778288e-02
    11  -1.644516e+00  -1.650821e+00  1.143624e-04  2.572161e+01  3.104889e-02  2.206373e-01  2.784618e-02
    12  -1.631782e+00  -1.638102e+00  1.234185e-04  2.535462e+01  3.134951e-02  2.227550e-01  2.791218e-02
    13  -1.619012e+00  -1.625350e+00  1.331900e-04  2.498160e+01  3.166123e-02  2.249654e-01  2.798103e-02
    14  -1.606211e+00  -1.612565e+00  1.437275e-04  2.460288e+01  3.198427e-02  2.272720e-01  2.805282e-02
    15  -1.593368e+00  -1.599742e+00  1.550994e-04  2.421864e+01  3.231898e-02  2.296790e-01  2.812769e-02
    16  -1.580491e+00  -1.586881e+00  1.673596e-04  2.382921e+01  3.266562e-02  2.321908e-01  2.820574e-02
    17  -1.567574e+00  -1.573984e+00  1.805806e-04  2.343500e+01  3.302435e-02  2.348107e-01  2.828708e-02
    18  -1.554611e+00  -1.561044e+00  1.948435e-04  2.303619e+01  3.339556e-02  2.375444e-01  2.837187e-02
    19  -1.541607e+00  -1.548060e+00  2.102204e-04  2.263316e+01  3.377950e-02  2.403965e-01  2.846024e-02
    20  -1.528556e+00  -1.535032e+00  2.268022e-04  2.222632e+01  3.417635e-02  2.433715e-01  2.855231e-02
    21  -1.515454e+00  -1.521955e+00  2.446857e-04  2.181594e+01  3.458643e-02  2.464751e-01  2.864823e-02
    22  -1.502300e+00  -1.508827e+00  2.639729e-04  2.140239e+01  3.501003e-02  2.497132e-01  2.874818e-02
    23  -1.489098e+00  -1.495649e+00  2.847617e-04  2.098616e+01  3.544724e-02  2.530905e-01  2.885227e-02
    24  -1.475847e+00  -1.482422e+00  3.071688e-04  2.056777e+01  3.589814e-02  2.566119e-01  2.896064e-02
    25  -1.462541e+00  -1.469143e+00  3.313271e-04  2.014756e+01  3.636301e-02  2.602841e-01  2.907346e-02
    26  -1.449183e+00  -1.455810e+00  3.573620e-04  1.972596e+01  3.684198e-02  2.641134e-01  2.919088e-02
    27  -1.435768e+00  -1.442423e+00  3.854278e-04  1.930341e+01  3.733519e-02  2.681062e-01  2.931309e-02
    28  -1.422294e+00  -1.428979e+00  4.156808e-04  1.888027e+01  3.784284e-02  2.722700e-01  2.944027e-02
    29  -1.408766e+00  -1.415478e+00  4.482776e-04  1.845707e+01  3.836494e-02  2.766113e-01  2.957257e-02
    30  -1.395179e+00  -1.401920e+00  4.834077e-04  1.803425e+01  3.890155e-02  2.811374e-01  2.971018e-02
    31  -1.381535e+00  -1.388304e+00  5.212579e-04  1.761221e+01  3.945275e-02  2.858562e-01  2.985329e-02
    32  -1.367833e+00  -1.374630e+00  5.620357e-04  1.719142e+01  4.001851e-02  2.907754e-01  3.000208e-02
    33  -1.354074e+00  -1.360899e+00  6.059606e-04  1.677233e+01  4.059882e-02  2.959034e-01  3.015674e-02
    34  -1.340255e+00  -1.347109e+00  6.532785e-04  1.635530e+01  4.119368e-02  3.012494e-01  3.031749e-02
    35  -1.326378e+00  -1.333261e+00  7.042385e-04  1.594075e+01  4.180304e-02  3.068226e-01  3.048453e-02
    36  -1.312441e+00  -1.319354e+00  7.591240e-04  1.552906e+01  4.242682e-02  3.126328e-01  3.065808e-02
    37  -1.298446e+00  -1.305387e+00  8.182252e-04  1.512059e+01  4.306496e-02  3.186906e-01  3.083837e-02
    38  -1.284393e+00  -1.291363e+00  8.818583e-04  1.471571e+01  4.371730e-02  3.250066e-01  3.102562e-02
    39  -1.270282e+00  -1.277280e+00  9.503637e-04  1.431476e+01  4.438370e-02  3.315921e-01  3.122008e-02
    40  -1.256110e+00  -1.263138e+00  1.024119e-03  1.391803e+01  4.506405e-02  3.384599e-01  3.142200e-02
    41  -1.241883e+00  -1.248939e+00  1.103493e-03  1.352583e+01  4.575811e-02  3.456225e-01  3.163164e-02
    42  -1.227599e+00  -1.234682e+00  1.188917e-03  1.313848e+01  4.646565e-02  3.530929e-01  3.184925e-02
    43  -1.213259e+00  -1.220370e+00  1.280828e-03  1.275622e+01  4.718644e-02  3.608855e-01  3.207511e-02
    44  -1.198862e+00  -1.206001e+00  1.379723e-03  1.237929e+01  4.792023e-02  3.690156e-01  3.230951e-02
    45  -1.184411e+00  -1.191576e+00  1.486103e-03  1.200791e+01  4.866676e-02  3.774994e-01  3.255276e-02
    46  -1.169905e+00  -1.177097e+00  1.600525e-03  1.164229e+01  4.942572e-02  3.863538e-01  3.280516e-02
    47  -1.155345e+00  -1.162564e+00  1.723575e-03  1.128260e+01  5.019680e-02  3.955970e-01  3.306703e-02
    48  -1.140733e+00  -1.147978e+00  1.855885e-03  1.092901e+01  5.097965e-02  4.052480e-01  3.333873e-02
    49  -1.126068e+00  -1.133339e+00  1.998123e-03  1.058167e+01  5.177391e-02  4.153273e-01  3.362058e-02
    50  -1.111352e+00  -1.118648e+00  2.151017e-03  1.024070e+01  5.257920e-02  4.258566e-01  3.391298e-02
    51  -1.096586e+00  -1.103907e+00  2.315332e-03  9.906216e+00  5.339513e-02  4.368591e-01  3.421630e-02
    52  -1.081770e+00  -1.089115e+00  2.491891e-03  9.578310e+00  5.422129e-02  4.483593e-01  3.453094e-02
    53  -1.066905e+00  -1.074274e+00  2.681574e-03  9.257057e+00  5.505723e-02  4.603836e-01  3.485733e-02
    54  -1.051994e+00  -1.059385e+00  2.885299e-03  8.942535e+00  5.590245e-02  4.729595e-01  3.519589e-02
    55  -1.037035e+00  -1.044450e+00  3.104081e-03  8.634790e+00  5.675650e-02  4.861165e-01  3.554709e-02
    56  -1.022031e+00  -1.029468e+00  3.338977e-03  8.333851e+00  5.761887e-02  4.998870e-01  3.591141e-02
    57  -1.006981e+00  -1.014441e+00  3.591122e-03  8.039746e+00  5.848904e-02  5.143046e-01  3.628936e-02
    58  -9.918881e-01  -9.993691e-01  3.861724e-03  7.752486e+00  5.936647e-02  5.294054e-01  3.668146e-02
    59  -9.767519e-01  -9.842541e-01  4.152066e-03  7.472071e+00  6.025058e-02  5.452283e-01  3.708827e-02
    60  -9.615737e-01  -9.690965e-01  4.463517e-03  7.198492e+00  6.114079e-02  5.618145e-01  3.751038e-02
    61  -9.463540e-01  -9.538972e-01  4.797536e-03  6.931729e+00  6.203650e-02  5.792083e-01  3.794839e-02
    62  -9.310944e-01  -9.386572e-01  5.155655e-03  6.671756e+00  6.293705e-02  5.974571e-01  3.840294e-02
    63  -9.157953e-01  -9.233775e-01  5.539526e-03  6.418538e+00  6.384178e-02  6.166112e-01  3.887471e-02
    64  -9.004573e-01  -9.080586e-01  5.950900e-03  6.172025e+00  6.475005e-02  6.367255e-01  3.936442e-02
    65  -8.850818e-01  -8.927015e-01  6.391610e-03  5.932169e+00  6.566113e-02  6.578582e-01  3.987281e-02
    66  -8.696696e-01  -8.773073e-01  6.863620e-03  5.698917e+00  6.657429e-02  6.800712e-01  4.040065e-02
    67  -8.542212e-01  -8.618767e-01  7.369017e-03  5.472201e+00  6.748879e-02  7.034320e-01  4.094878e-02
    68  -8.387377e-01  -8.464104e-01  7.909987e-03  5.251953e+00  6.840385e-02  7.280126e-01  4.151806e-02
    69  -8.232199e-01  -8.309095e-01  8.488863e-03  5.038101e+00  6.931868e-02  7.538900e-01  4.210941e-02
    70  -8.076681e-01  -8.153744e-01  9.108117e-03  4.830564e+00  7.023246e-02  7.811479e-01  4.272380e-02
    71  -7.920837e-01  -7.998060e-01  9.770334e-03  4.629258e+00  7.114437e-02  8.098756e-01  4.336225e-02
    72  -7.764672e-01  -7.842052e-01  1.047826e-02  4.434100e+00  7.205352e-02  8.401694e-01  4.402581e-02
    73  -7.608194e-01  -7.685728e-01  1.123480e-02  4.245000e+00  7.295904e-02  8.721330e-01  4.471563e-02
    74  -7.451409e-01  -7.529094e-01  1.204299e-02  4.061864e+00  7.386004e-02  9.058784e-01  4.543288e-02
    75  -7.294326e-01  -7.372157e-01  1.290606e-02  3.884595e+00  7.475559e-02  9.415261e-01  4.617884e-02
    76  -7.136952e-01  -7.214926e-01  1.382737e-02  3.713098e+00  7.564475e-02  9.792063e-01  4.695482e-02
    77  -6.979293e-01  -7.057407e-01  1.481049e-02  3.547270e+00  7.652658e-02  1.019060e+00  4.776222e-02
