     i         log_r      log_rmid             m           rho            v2        trelax            kn
     0  -2.266151e+00  -2.567181e+00  4.936543e-05  9.311004e+02  5.555147e-01  1.440972e-03  1.094187e-03
     1  -2.255096e+00  -2.260588e+00  5.328937e-05  9.326490e+02  5.545924e-01  1.439776e-03  1.094187e-03
     2  -2.244041e+00  -2.249533e+00  5.752323e-05  9.323196e+02  5.545442e-01  1.440347e-03  1.094428e-03
     3  -2.232981e+00  -2.238476e+00  6.209370e-05  9.319730e+02  5.544935e-01  1.440948e-03  1.094682e-03
     4  -2.221922e+00  -2.227416e+00  6.702432e-05  9.316083e+02  5.544401e-01  1.441582e-03  1.094949e-03
     5  -2.210854e+00  -2.216353e+00  7.234881e-05  9.312246e+02  5.543839e-01  1.442249e-03  1.095230e-03
     6  -2.199793e+00  -2.205288e+00  7.809033e-05  9.308208e+02  5.543248e-01  1.442952e-03  1.095526e-03
     7  -2.188732e+00  -2.194227e+00  8.428458e-05  9.303963e+02  5.542626e-01  1.443691e-03  1.095837e-03
     8  -2.177668e+00  -2.183165e+00  9.096964e-05  9.299497e+02  5.541971e-01  1.444470e-03  1.096165e-03
     9  -2.166601e+00  -2.172099e+00  9.818356e-05  9.294798e+02  5.541283e-01  1.445290e-03  1.096510e-03
    10  -2.155531e+00  -2.161031e+00  1.059689e-04  9.289855e+02  5.540558e-01  1.446153e-03  1.096873e-03
    11  -2.144469e+00  -2.149965e+00  1.143624e-04  9.284658e+02  5.539795e-01  1.447062e-03  1.097256e-03
    12  -2.133404e+00  -2.138901e+00  1.234185e-04  9.279193e+02  5.538993e-01  1.448019e-03  1.097658e-03
    13  -2.122338e+00  -2.127836e+00  1.331900e-04  9.273446e+02  5.538149e-01  1.449027e-03  1.098082e-03
    14  -2.111275e+00  -2.116771e+00  1.437275e-04  9.267403e+02  5.537261e-01  1.450088e-03  1.098528e-03
    15  -2.100207e+00  -2.105705e+00  1.550994e-04  9.261049e+02  5.536327e-01  1.451206e-03  1.098998e-03
    16  -2.089144e+00  -2.094640e+00  1.673596e-04  9.254368e+02  5.535345e-01  1.452382e-03  1.099492e-03
    17  -2.078084e+00  -2.083579e+00  1.805806e-04  9.247347e+02  5.534312e-01  1.453620e-03  1.100012e-03
    18  -2.067021e+00  -2.072517e+00  1.948435e-04  9.239966e+02  5.533225e-01  1.454924e-03  1.100559e-03
    19  -2.055962e+00  -2.061456e+00  2.102204e-04  9.232207e+02  5.532083e-01  1.456298e-03  1.101135e-03
    20  -2.044904e+00  -2.050397e+00  2.268022e-04  9.224054e+02  5.530881e-01  1.457743e-03  1.101741e-03
    21  -2.033844e+00  -2.039339e+00  2.446857e-04  9.215484e+02  5.529617e-01  1.459266e-03  1.102380e-03
    22  -2.022783e+00  -2.028278e+00  2.639729e-04  9.206476e+02  5.528287e-01  1.460869e-03  1.103051e-03
    23  -2.011726e+00  -2.017219e+00  2.847617e-04  9.197011e+02  5.526889e-01  1.462557e-03  1.103758e-03
    24  -2.000673e+00  -2.006165e+00  3.071688e-04  9.187068e+02  5.525420e-01  1.464335e-03  1.104502e-03
    25  -1.989620e+00  -1.995111e+00  3.313271e-04  9.176623e+02  5.523875e-01  1.466207e-03  1.105285e-03
    26  -1.978570e+00  -1.984060e+00  3.573620e-04  9.165650e+02  5.522250e-01  1.468178e-03  1.106109e-03
    27  -1.967520e+00  -1.973009e+00  3.854278e-04  9.154125e+02  5.520543e-01  1.470254e-03  1.106977e-03
    28  -1.956469e+00  -1.961959e+00  4.156808e-04  9.142019e+02  5.518747e-01  1.472440e-03  1.107890e-03
    29  -1.945422e+00  -1.950910e+00  4.482776e-04  9.129304e+02  5.516859e-01  1.474743e-03  1.108850e-03
