     i         log_r      log_rmid             m           rho            v2             p        trelax            kn
     0  -2.607056e+00  -2.908086e+00  4.936543e-05  9.810979e+03  9.015182e-01  8.844776e+03  1.073496e-04  4.286471e-04
     1  -2.600833e+00  -2.603933e+00  5.153900e-05  9.834764e+03  8.993379e-01  8.844776e+03  1.072197e-04  4.286471e-04
     2  -2.594614e+00  -2.597712e+00  5.380601e-05  9.832237e+03  8.992745e-01  8.841880e+03  1.072510e-04  4.287172e-04
     3  -2.588388e+00  -2.591490e+00  5.617461e-05  9.829637e+03  8.992092e-01  8.838900e+03  1.072833e-04  4.287895e-04
     4  -2.582163e+00  -2.585264e+00  5.864622e-05  9.826960e+03  8.991420e-01  8.835833e+03  1.073165e-04  4.288639e-04
     5  -2.575945e+00  -2.579043e+00  6.122269e-05  9.824207e+03  8.990729e-01  8.832679e+03  1.073507e-04  4.289405e-04
     6  -2.569717e+00  -2.572820e+00  6.391625e-05  9.821374e+03  8.990018e-01  8.829433e+03  1.073860e-04  4.290193e-04
     7  -2.563487e+00  -2.566591e+00  6.672776e-05  9.818457e+03  8.989285e-01  8.826090e+03  1.074222e-04  4.291006e-04
     8  -2.557251e+00  -2.560358e+00  6.966511e-05  9.815453e+03  8.988530e-01  8.822649e+03  1.074596e-04  4.291842e-04
     9  -2.551025e+00  -2.554127e+00  7.272580e-05  9.812363e+03  8.987753e-01  8.819110e+03  1.074981e-04  4.292703e-04
    10  -2.544793e+00  -2.547898e+00  7.592335e-05  9.809186e+03  8.986955e-01  8.815471e+03  1.075377e-04  4.293589e-04
    11  -2.538563e+00  -2.541667e+00  7.925890e-05  9.805915e+03  8.986132e-01  8.811725e+03  1.075785e-04  4.294502e-04
    12  -2.532330e+00  -2.535435e+00  8.274157e-05  9.802551e+03  8.985286e-01  8.807872e+03  1.076205e-04  4.295441e-04
    13  -2.526102e+00  -2.529205e+00  8.637379e-05  9.799089e+03  8.984415e-01  8.803909e+03  1.076637e-04  4.296408e-04
    14  -2.519874e+00  -2.522977e+00  9.016405e-05  9.795530e+03  8.983520e-01  8.799833e+03  1.077082e-04  4.297403e-04
    15  -2.513635e+00  -2.516743e+00  9.412640e-05  9.791865e+03  8.982597e-01  8.795638e+03  1.077541e-04  4.298427e-04
    16  -2.507401e+00  -2.510507e+00  9.825814e-05  9.788093e+03  8.981648e-01  8.791320e+03  1.078013e-04  4.299483e-04
    17  -2.501161e+00  -2.504270e+00  1.025750e-04  9.784211e+03  8.980670e-01  8.786878e+03  1.078499e-04  4.300569e-04
    18  -2.494929e+00  -2.498034e+00  1.070736e-04  9.780219e+03  8.979665e-01  8.782309e+03  1.079000e-04  4.301688e-04
    19  -2.488693e+00  -2.491799e+00  1.117716e-04  9.776114e+03  8.978631e-01  8.777612e+03  1.079515e-04  4.302839e-04
    20  -2.482456e+00  -2.485563e+00  1.166741e-04  9.771890e+03  8.977566e-01  8.772779e+03  1.080046e-04  4.304024e-04
    21  -2.476220e+00  -2.479327e+00  1.217905e-04  9.767545e+03  8.976470e-01  8.767808e+03  1.080592e-04  4.305244e-04
    22  -2.469982e+00  -2.473090e+00  1.271309e-04  9.763074e+03  8.975343e-01  8.762694e+03  1.081155e-04  4.306500e-04
    23  -2.463748e+00  -2.466854e+00  1.327005e-04  9.758476e+03  8.974183e-01  8.757436e+03  1.081734e-04  4.307793e-04
    24  -2.457510e+00  -2.460617e+00  1.385159e-04  9.753747e+03  8.972990e-01  8.752028e+03  1.082331e-04  4.309123e-04
    25  -2.451271e+00  -2.454379e+00  1.445845e-04  9.748882e+03  8.971762e-01  8.746464e+03  1.082945e-04  4.310494e-04
    26  -2.445035e+00  -2.448142e+00  1.509149e-04  9.743878e+03  8.970498e-01  8.740744e+03  1.083577e-04  4.311904e-04
    27  -2.438791e+00  -2.441902e+00  1.575290e-04  9.738729e+03  8.969198e-01  8.734858e+03  1.084229e-04  4.313356e-04
    28  -2.432554e+00  -2.435661e+00  1.644237e-04  9.733432e+03  8.967859e-01  8.728805e+03  1.084900e-04  4.314852e-04
    29  -2.426317e+00  -2.429424e+00  1.716176e-04  9.727988e+03  8.966483e-01  8.722584e+03  1.085590e-04  4.316390e-04
    30  -2.420079e+00  -2.423186e+00  1.791246e-04  9.722388e+03  8.965067e-01  8.716186e+03  1.086301e-04  4.317974e-04
    31  -2.413838e+00  -2.416947e+00  1.869613e-04  9.716628e+03  8.963610e-01  8.709606e+03  1.087034e-04  4.319605e-04
    32  -2.407597e+00  -2.410706e+00  1.951388e-04  9.710702e+03  8.962110e-01  8.702838e+03  1.087788e-04  4.321284e-04
    33  -2.401358e+00  -2.404466e+00  2.036668e-04  9.704610e+03  8.960568e-01  8.695881e+03  1.088565e-04  4.323012e-04
    34  -2.395118e+00  -2.398227e+00  2.125676e-04  9.698345e+03  8.958981e-01  8.688729e+03  1.089364e-04  4.324791e-04
    35  -2.388877e+00  -2.391986e+00  2.218557e-04  9.691901e+03  8.957348e-01  8.681373e+03  1.090188e-04  4.326623e-04
    36  -2.382638e+00  -2.385746e+00  2.315430e-04  9.685275e+03  8.955668e-01  8.673811e+03  1.091036e-04  4.328508e-04
