     i         log_r      log_rmid             m           rho            v2             p        trelax            kn
     0  -2.124141e+00  -2.425171e+00  4.936543e-05  3.491138e+02  3.944349e-01  1.377027e+02  4.560845e-03  3.435359e-03
     1  -2.117912e+00  -2.121015e+00  5.153900e-05  3.496052e+02  3.938806e-01  1.377027e+02  4.557639e-03  3.435359e-03
     2  -2.111687e+00  -2.114788e+00  5.380601e-05  3.495334e+02  3.938644e-01  1.376688e+02  4.558667e-03  3.435781e-03
     3  -2.105456e+00  -2.108561e+00  5.617461e-05  3.494596e+02  3.938478e-01  1.376339e+02  4.559726e-03  3.436217e-03
     4  -2.099227e+00  -2.102330e+00  5.864622e-05  3.493836e+02  3.938307e-01  1.375980e+02  4.560817e-03  3.436665e-03
     5  -2.093005e+00  -2.096105e+00  6.122269e-05  3.493055e+02  3.938131e-01  1.375611e+02  4.561939e-03  3.437126e-03
     6  -2.086773e+00  -2.089878e+00  6.391625e-05  3.492251e+02  3.937950e-01  1.375231e+02  4.563094e-03  3.437600e-03
     7  -2.080540e+00  -2.083645e+00  6.672776e-05  3.491423e+02  3.937764e-01  1.374840e+02  4.564284e-03  3.438089e-03
     8  -2.074302e+00  -2.077410e+00  6.966511e-05  3.490571e+02  3.937572e-01  1.374438e+02  4.565510e-03  3.438593e-03
     9  -2.068074e+00  -2.071177e+00  7.272580e-05  3.489694e+02  3.937375e-01  1.374023e+02  4.566771e-03  3.439111e-03
    10  -2.061840e+00  -2.064946e+00  7.592335e-05  3.488793e+02  3.937172e-01  1.373598e+02  4.568069e-03  3.439644e-03
    11  -2.055609e+00  -2.058713e+00  7.925890e-05  3.487865e+02  3.936963e-01  1.373159e+02  4.569406e-03  3.440193e-03
    12  -2.049376e+00  -2.052482e+00  8.274157e-05  3.486910e+02  3.936748e-01  1.372709e+02  4.570781e-03  3.440758e-03
    13  -2.043148e+00  -2.046251e+00  8.637379e-05  3.485928e+02  3.936526e-01  1.372245e+02  4.572197e-03  3.441339e-03
    14  -2.036920e+00  -2.040023e+00  9.016405e-05  3.484919e+02  3.936299e-01  1.371768e+02  4.573654e-03  3.441937e-03
    15  -2.030682e+00  -2.033790e+00  9.412640e-05  3.483879e+02  3.936064e-01  1.371277e+02  4.575155e-03  3.442553e-03
    16  -2.024450e+00  -2.027555e+00  9.825814e-05  3.482809e+02  3.935823e-01  1.370772e+02  4.576701e-03  3.443187e-03
    17  -2.018211e+00  -2.021319e+00  1.025750e-04  3.481708e+02  3.935574e-01  1.370252e+02  4.578293e-03  3.443840e-03
    18  -2.011981e+00  -2.015085e+00  1.070736e-04  3.480576e+02  3.935319e-01  1.369718e+02  4.579931e-03  3.444512e-03
    19  -2.005747e+00  -2.008853e+00  1.117716e-04  3.479412e+02  3.935056e-01  1.369168e+02  4.581616e-03  3.445204e-03
    20  -1.999514e+00  -2.002620e+00  1.166741e-04  3.478214e+02  3.934786e-01  1.368603e+02  4.583352e-03  3.445915e-03
    21  -1.993281e+00  -1.996386e+00  1.217905e-04  3.476981e+02  3.934507e-01  1.368021e+02  4.585139e-03  3.446648e-03
    22  -1.987047e+00  -1.990153e+00  1.271309e-04  3.475713e+02  3.934221e-01  1.367422e+02  4.586978e-03  3.447402e-03
    23  -1.980817e+00  -1.983921e+00  1.327005e-04  3.474410e+02  3.933926e-01  1.366807e+02  4.588871e-03  3.448178e-03
    24  -1.974584e+00  -1.977689e+00  1.385159e-04  3.473068e+02  3.933623e-01  1.366174e+02  4.590820e-03  3.448976e-03
    25  -1.968351e+00  -1.971456e+00  1.445845e-04  3.471689e+02  3.933311e-01  1.365523e+02  4.592827e-03  3.449798e-03
    26  -1.962120e+00  -1.965224e+00  1.509149e-04  3.470270e+02  3.932990e-01  1.364854e+02  4.594892e-03  3.450644e-03
    27  -1.955882e+00  -1.958990e+00  1.575290e-04  3.468810e+02  3.932660e-01  1.364165e+02  4.597019e-03  3.451516e-03
    28  -1.949651e+00  -1.952755e+00  1.644237e-04  3.467308e+02  3.932320e-01  1.363456e+02  4.599210e-03  3.452412e-03
    29  -1.943420e+00  -1.946524e+00  1.716176e-04  3.465764e+02  3.931970e-01  1.362728e+02  4.601463e-03  3.453335e-03
    30  -1.937190e+00  -1.940294e+00  1.791246e-04  3.464176e+02  3.931611e-01  1.361979e+02  4.603782e-03  3.454284e-03
    31  -1.930957e+00  -1.934062e+00  1.869613e-04  3.462543e+02  3.931241e-01  1.361209e+02  4.606171e-03  3.455261e-03
    32  -1.924723e+00  -1.927829e+00  1.951388e-04  3.460862e+02  3.930860e-01  1.360416e+02  4.608631e-03  3.456267e-03
    33  -1.918494e+00  -1.921597e+00  2.036668e-04  3.459135e+02  3.930468e-01  1.359602e+02  4.611162e-03  3.457303e-03
    34  -1.912263e+00  -1.915367e+00  2.125676e-04  3.457358e+02  3.930065e-01  1.358764e+02  4.613768e-03  3.458368e-03
    35  -1.906031e+00  -1.909136e+00  2.218557e-04  3.455531e+02  3.929651e-01  1.357903e+02  4.616451e-03  3.459465e-03
    36  -1.899802e+00  -1.902905e+00  2.315430e-04  3.453652e+02  3.929224e-01  1.357017e+02  4.619213e-03  3.460593e-03
    37  -1.893572e+00  -1.896676e+00  2.416522e-04  3.451721e+02  3.928785e-01  1.356107e+02  4.622056e-03  3.461755e-03
    38  -1.887342e+00  -1.890446e+00  2.522004e-04  3.449734e+02  3.928334e-01  1.355171e+02  4.624984e-03  3.462950e-03
    39  -1.881110e+00  -1.884214e+00  2.632088e-04  3.447691e+02  3.927869e-01  1.354208e+02  4.627998e-03  3.464181e-03
    40  -1.874881e+00  -1.877984e+00  2.746873e-04  3.445590e+02  3.927392e-01  1.353218e+02  4.631101e-03  3.465448e-03
    41  -1.868652e+00  -1.871756e+00  2.866651e-04  3.443431e+02  3.926900e-01  1.352201e+02  4.634296e-03  3.466751e-03
    42  -1.862425e+00  -1.865527e+00  2.991578e-04  3.441210e+02  3.926395e-01  1.351155e+02  4.637584e-03  3.468092e-03
    43  -1.856197e+00  -1.859300e+00  3.121906e-04  3.438928e+02  3.925875e-01  1.350080e+02  4.640970e-03  3.469473e-03
    44  -1.849968e+00  -1.853072e+00  3.257907e-04  3.436581e+02  3.925340e-01  1.348975e+02  4.644456e-03  3.470894e-03
    45  -1.843741e+00  -1.846844e+00  3.399746e-04  3.434167e+02  3.924790e-01  1.347839e+02  4.648045e-03  3.472357e-03
    46  -1.837514e+00  -1.840616e+00  3.547724e-04  3.431687e+02  3.924224e-01  1.346671e+02  4.651740e-03  3.473862e-03
    47  -1.831288e+00  -1.834389e+00  3.702053e-04  3.429137e+02  3.923642e-01  1.345470e+02  4.655545e-03  3.475411e-03
    48  -1.825063e+00  -1.828164e+00  3.863001e-04  3.426516e+02  3.923043e-01  1.344237e+02  4.659461e-03  3.477005e-03
    49  -1.818836e+00  -1.821938e+00  4.030957e-04  3.423821e+02  3.922428e-01  1.342969e+02  4.663494e-03  3.478646e-03
    50  -1.812610e+00  -1.815712e+00  4.206106e-04  3.421051e+02  3.921794e-01  1.341666e+02  4.667647e-03  3.480335e-03
    51  -1.806385e+00  -1.809487e+00  4.388801e-04  3.418204e+02  3.921143e-01  1.340327e+02  4.671923e-03  3.482074e-03
    52  -1.800161e+00  -1.803262e+00  4.579325e-04  3.415278e+02  3.920473e-01  1.338950e+02  4.676325e-03  3.483863e-03
    53  -1.793933e+00  -1.797036e+00  4.778138e-04  3.412270e+02  3.919783e-01  1.337536e+02  4.680859e-03  3.485704e-03
    54  -1.787711e+00  -1.790811e+00  4.985347e-04  3.409179e+02  3.919074e-01  1.336082e+02  4.685528e-03  3.487600e-03
    55  -1.781487e+00  -1.784588e+00  5.201481e-04  3.406002e+02  3.918346e-01  1.334589e+02  4.690333e-03  3.489550e-03
    56  -1.775264e+00  -1.778365e+00  5.426885e-04  3.402738e+02  3.917596e-01  1.333055e+02  4.695282e-03  3.491557e-03
    57  -1.769041e+00  -1.772141e+00  5.661971e-04  3.399383e+02  3.916825e-01  1.331479e+02  4.700379e-03  3.493624e-03
    58  -1.762819e+00  -1.765919e+00  5.907064e-04  3.395935e+02  3.916032e-01  1.329859e+02  4.705626e-03  3.495750e-03
    59  -1.756597e+00  -1.759697e+00  6.162668e-04  3.392393e+02  3.915217e-01  1.328196e+02  4.711030e-03  3.497939e-03
    60  -1.750375e+00  -1.753475e+00  6.429189e-04  3.388754e+02  3.914379e-01  1.326487e+02  4.716595e-03  3.500192e-03
