      step          time          <dt>         rho_c         v_max        Kn_min  <dt lim>  <dr lim>  <du lim>  <n_iter_cr>  <n_iter_dr>
   3800000  2.897038e+02  2.184854e-04  9.199054e+00  3.098159e-01  5.724273e-02  4.79e-01  8.58e-03  9.50e-01  0.00000e+00  1.00000e+00
   3900000  3.140883e+02  2.438450e-04  8.522927e+00  3.100214e-01  5.817281e-02  5.07e-01  1.00e-02  9.50e-01  0.00000e+00  1.00000e+00
   4000000  3.414395e+02  2.735122e-04  7.897625e+00  3.102499e-01  5.911096e-02  5.38e-01  1.17e-02  9.50e-01  0.00000e+00  1.00000e+00
   4100000  3.722992e+02  3.085970e-04  7.320386e+00  3.105041e-01  6.004928e-02  5.76e-01  1.38e-02  9.50e-01  0.00000e+00  1.00000e+00
   4200000  4.073646e+02  3.506538e-04  6.788756e+00  3.107900e-01  6.097690e-02  6.20e-01  1.63e-02  9.50e-01  0.00000e+00  1.00000e+00
   4300000  4.475583e+02  4.019377e-04  6.300629e+00  3.111164e-01  6.187876e-02  6.74e-01  1.95e-02  9.50e-01  0.00000e+00  1.00000e+00
   4400000  4.941450e+02  4.658667e-04  5.854353e+00  3.115018e-01  6.273359e-02  7.42e-01  2.35e-02  9.50e-01  0.00000e+00  1.00000e+00
   4500000  5.489362e+02  5.479123e-04  5.448912e+00  3.119677e-01  6.351050e-02  8.31e-01  2.87e-02  9.50e-01  0.00000e+00  1.00000e+00
   4600000  6.146834e+02  6.574720e-04  5.084313e+00  3.125604e-01  6.416248e-02  9.52e-01  3.59e-02  9.50e-01  0.00000e+00  1.00000e+00
   4700000  6.959144e+02  8.123102e-04  4.762469e+00  3.133627e-01  6.461286e-02  1.13e+00  4.63e-02  9.50e-01  0.00000e+00  1.00000e+00
   4800000  8.010241e+02  1.051097e-03  4.489533e+00  3.145560e-01  6.472160e-02  1.41e+00  6.33e-02  9.50e-01  0.00000e+00  1.00000e+00
   4900000  9.490785e+02  1.480544e-03  4.283983e+00  3.166136e-01  6.417731e-02  1.93e+00  9.71e-02  9.50e-01  0.00000e+00  1.00000e+00
   5000000  1.194142e+03  2.450633e-03  4.223404e+00  3.211873e-01  6.204813e-02  3.21e+00  1.85e-01  9.50e-01  0.00000e+00  1.00000e+00
   5100000  1.477096e+03  2.829543e-03  4.422082e+00  3.285765e-01  5.845619e-02  3.92e+00  1.56e-01  9.17e-01  0.00000e+00  1.00000e+00
   5200000  1.765249e+03  2.881525e-03  4.837053e+00  3.383404e-01  5.417500e-02  4.43e+00  1.24e-01  8.66e-01  0.00000e+00  1.00000e+00
   5300000  2.050046e+03  2.847970e-03  5.435728e+00  3.478445e-01  4.970834e-02  5.01e+00  1.17e-01  8.72e-01  0.00000e+00  1.00000e+00
   5400000  2.336099e+03  2.860530e-03  6.233579e+00  3.570941e-01  4.521597e-02  5.87e+00  1.20e-01  9.11e-01  0.00000e+00  1.00000e+00
   5500000  2.626491e+03  2.903921e-03  7.271794e+00  3.664721e-01  4.079261e-02  7.08e+00  1.28e-01  9.41e-01  0.00000e+00  1.00000e+00
   5600000  2.924847e+03  2.983566e-03  8.622608e+00  3.762887e-01  3.648403e-02  8.78e+00  1.44e-01  9.50e-01  0.00000e+00  1.00000e+00
   5700000  3.232987e+03  3.081398e-03  1.038618e+01  3.867546e-01  3.234297e-02  1.11e+01  1.67e-01  9.50e-01  0.00000e+00  1.00000e+00
