     i         log_r      log_rmid             m           rho            v2             p        trelax            kn
     0  -1.672479e+00  -1.973509e+00  4.936543e-05  1.541638e+01  3.985796e-02  6.144657e-01  3.249077e-01  5.142739e-02
     1  -1.665956e+00  -1.669205e+00  5.153900e-05  1.472579e+01  4.172718e-02  6.144657e-01  3.324389e-01  5.142739e-02
     2  -1.659437e+00  -1.662684e+00  5.380601e-05  1.469340e+01  4.178325e-02  6.139381e-01  3.329481e-01  5.144948e-02
     3  -1.652911e+00  -1.656162e+00  5.617461e-05  1.466028e+01  4.184073e-02  6.133967e-01  3.334711e-01  5.147218e-02
     4  -1.646387e+00  -1.649637e+00  5.864622e-05  1.462639e+01  4.189968e-02  6.128410e-01  3.340085e-01  5.149551e-02
     5  -1.639870e+00  -1.643116e+00  6.122269e-05  1.459176e+01  4.196007e-02  6.122711e-01  3.345602e-01  5.151947e-02
     6  -1.633341e+00  -1.636593e+00  6.391625e-05  1.455634e+01  4.202199e-02  6.116863e-01  3.351271e-01  5.154409e-02
     7  -1.626811e+00  -1.630064e+00  6.672776e-05  1.452010e+01  4.208551e-02  6.110857e-01  3.357099e-01  5.156941e-02
     8  -1.620272e+00  -1.623529e+00  6.966511e-05  1.448302e+01  4.215067e-02  6.104692e-01  3.363090e-01  5.159545e-02
     9  -1.613743e+00  -1.616995e+00  7.272580e-05  1.444514e+01  4.221745e-02  6.098368e-01  3.369243e-01  5.162219e-02
    10  -1.607205e+00  -1.610462e+00  7.592335e-05  1.440642e+01  4.228588e-02  6.091883e-01  3.375562e-01  5.164966e-02
    11  -1.600668e+00  -1.603924e+00  7.925890e-05  1.436684e+01  4.235605e-02  6.085228e-01  3.382057e-01  5.167790e-02
    12  -1.594126e+00  -1.597385e+00  8.274157e-05  1.432640e+01  4.242798e-02  6.078401e-01  3.388729e-01  5.170691e-02
    13  -1.587586e+00  -1.590844e+00  8.637379e-05  1.428507e+01  4.250170e-02  6.071399e-01  3.395583e-01  5.173672e-02
    14  -1.581043e+00  -1.584302e+00  9.016405e-05  1.424286e+01  4.257725e-02  6.064219e-01  3.402623e-01  5.176734e-02
    15  -1.574486e+00  -1.577752e+00  9.412640e-05  1.419971e+01  4.265474e-02  6.056849e-01  3.409863e-01  5.179882e-02
    16  -1.567931e+00  -1.571196e+00  9.825814e-05  1.415561e+01  4.273421e-02  6.049287e-01  3.417304e-01  5.183119e-02
    17  -1.561365e+00  -1.564635e+00  1.025750e-04  1.411055e+01  4.281568e-02  6.041530e-01  3.424952e-01  5.186445e-02
    18  -1.554804e+00  -1.558072e+00  1.070736e-04  1.406455e+01  4.289916e-02  6.033576e-01  3.432809e-01  5.189863e-02
    19  -1.548234e+00  -1.551507e+00  1.117716e-04  1.401760e+01  4.298470e-02  6.025422e-01  3.440880e-01  5.193373e-02
    20  -1.541660e+00  -1.544935e+00  1.166741e-04  1.396964e+01  4.307239e-02  6.017058e-01  3.449175e-01  5.196981e-02
    21  -1.535081e+00  -1.538358e+00  1.217905e-04  1.392069e+01  4.316226e-02  6.008483e-01  3.457700e-01  5.200689e-02
    22  -1.528496e+00  -1.531776e+00  1.271309e-04  1.387071e+01  4.325437e-02  5.999689e-01  3.466461e-01  5.204498e-02
    23  -1.521909e+00  -1.525190e+00  1.327005e-04  1.381972e+01  4.334874e-02  5.990676e-01  3.475461e-01  5.208412e-02
    24  -1.515313e+00  -1.518598e+00  1.385159e-04  1.376769e+01  4.344544e-02  5.981436e-01  3.484710e-01  5.212434e-02
    25  -1.508711e+00  -1.511999e+00  1.445845e-04  1.371460e+01  4.354455e-02  5.971961e-01  3.494217e-01  5.216567e-02
    26  -1.502105e+00  -1.505395e+00  1.509149e-04  1.366045e+01  4.364608e-02  5.962252e-01  3.503985e-01  5.220812e-02
    27  -1.495484e+00  -1.498782e+00  1.575290e-04  1.360521e+01  4.375014e-02  5.952297e-01  3.514027e-01  5.225177e-02
    28  -1.488864e+00  -1.492161e+00  1.644237e-04  1.354887e+01  4.385675e-02  5.942093e-01  3.524348e-01  5.229661e-02
