      step          time         t_Gyr         rho_c  rhoc_Msunpc3         v_max     v_max_kms        Kn_min       mintrel   mintrel_Gyr
    536525  1.997609e+01  6.838319e-03  1.036781e+02  4.996806e+00  3.072306e-01  1.544636e+02  3.583616e-02  8.730410e-02  2.988639e-05
    549807  2.048405e+01  7.012207e-03  1.026413e+02  4.946836e+00  3.072362e-01  1.544664e+02  3.591030e-02  8.792547e-02  3.009910e-05
    563098  2.099314e+01  7.186482e-03  1.016149e+02  4.897366e+00  3.072418e-01  1.544692e+02  3.598444e-02  8.855087e-02  3.031320e-05
    576398  2.150338e+01  7.361148e-03  1.005987e+02  4.848391e+00  3.072474e-01  1.544720e+02  3.605857e-02  8.918034e-02  3.052868e-05
    589707  2.201477e+01  7.536211e-03  9.959267e+01  4.799906e+00  3.072530e-01  1.544749e+02  3.613270e-02  8.981388e-02  3.074556e-05
    603025  2.252734e+01  7.711678e-03  9.859672e+01  4.751905e+00  3.072586e-01  1.544777e+02  3.620683e-02  9.045155e-02  3.096384e-05
    616352  2.304111e+01  7.887553e-03  9.761071e+01  4.704385e+00  3.072642e-01  1.544805e+02  3.628096e-02  9.109336e-02  3.118355e-05
    629688  2.355609e+01  8.063842e-03  9.663456e+01  4.657339e+00  3.072699e-01  1.544834e+02  3.635508e-02  9.173935e-02  3.140469e-05
    643033  2.407229e+01  8.240553e-03  9.566816e+01  4.610763e+00  3.072755e-01  1.544862e+02  3.642921e-02  9.238954e-02  3.162727e-05
    656386  2.458971e+01  8.417677e-03  9.471147e+01  4.564655e+00  3.072812e-01  1.544890e+02  3.650334e-02  9.304392e-02  3.185128e-05
    669748  2.510839e+01  8.595235e-03  9.376433e+01  4.519007e+00  3.072869e-01  1.544919e+02  3.657746e-02  9.370256e-02  3.207675e-05
    683119  2.562836e+01  8.773232e-03  9.282663e+01  4.473814e+00  3.072925e-01  1.544947e+02  3.665159e-02  9.436550e-02  3.230369e-05
    696498  2.614959e+01  8.951662e-03  9.189834e+01  4.429075e+00  3.072982e-01  1.544976e+02  3.672572e-02  9.503272e-02  3.253210e-05
    709886  2.667214e+01  9.130546e-03  9.097930e+01  4.384781e+00  3.073039e-01  1.545005e+02  3.679985e-02  9.570430e-02  3.276199e-05
