     i         log_r      log_rmid             m           rho            v2             p        trelax            kn
     0  -1.504701e+00  -1.805731e+00  4.936543e-05  4.837805e+00  8.067974e-02  3.903129e-01  7.277285e-01  6.452631e-02
     1  -1.498445e+00  -1.501562e+00  5.153900e-05  4.822640e+00  8.093345e-02  3.903129e-01  7.288718e-01  6.452631e-02
     2  -1.492192e+00  -1.495307e+00  5.380601e-05  4.820806e+00  8.094085e-02  3.902001e-01  7.291158e-01  6.453563e-02
     3  -1.485934e+00  -1.489052e+00  5.617461e-05  4.818919e+00  8.094847e-02  3.900841e-01  7.293669e-01  6.454523e-02
     4  -1.479677e+00  -1.482794e+00  5.864622e-05  4.816978e+00  8.095630e-02  3.899647e-01  7.296255e-01  6.455511e-02
     5  -1.473427e+00  -1.476541e+00  6.122269e-05  4.814983e+00  8.096435e-02  3.898420e-01  7.298915e-01  6.456527e-02
     6  -1.467167e+00  -1.470286e+00  6.391625e-05  4.812931e+00  8.097264e-02  3.897157e-01  7.301653e-01  6.457573e-02
     7  -1.460907e+00  -1.464026e+00  6.672776e-05  4.810819e+00  8.098116e-02  3.895857e-01  7.304474e-01  6.458650e-02
     8  -1.454641e+00  -1.457763e+00  6.966511e-05  4.808647e+00  8.098993e-02  3.894520e-01  7.307379e-01  6.459759e-02
     9  -1.448385e+00  -1.451502e+00  7.272580e-05  4.806413e+00  8.099895e-02  3.893144e-01  7.310367e-01  6.460900e-02
    10  -1.442123e+00  -1.445243e+00  7.592335e-05  4.804117e+00  8.100822e-02  3.891730e-01  7.313442e-01  6.462074e-02
    11  -1.435864e+00  -1.438982e+00  7.925890e-05  4.801756e+00  8.101776e-02  3.890275e-01  7.316608e-01  6.463282e-02
    12  -1.429603e+00  -1.432722e+00  8.274157e-05  4.799328e+00  8.102757e-02  3.888779e-01  7.319866e-01  6.464525e-02
    13  -1.423345e+00  -1.426463e+00  8.637379e-05  4.796832e+00  8.103765e-02  3.887240e-01  7.323219e-01  6.465804e-02
    14  -1.417089e+00  -1.420206e+00  9.016405e-05  4.794267e+00  8.104802e-02  3.885659e-01  7.326669e-01  6.467120e-02
    15  -1.410821e+00  -1.413944e+00  9.412640e-05  4.791628e+00  8.105869e-02  3.884031e-01  7.330222e-01  6.468476e-02
    16  -1.404559e+00  -1.407679e+00  9.825814e-05  4.788913e+00  8.106966e-02  3.882356e-01  7.333881e-01  6.469871e-02
    17  -1.398290e+00  -1.401413e+00  1.025750e-04  4.786122e+00  8.108094e-02  3.880633e-01  7.337648e-01  6.471307e-02
    18  -1.392030e+00  -1.395149e+00  1.070736e-04  4.783253e+00  8.109255e-02  3.878862e-01  7.341524e-01  6.472784e-02
    19  -1.385765e+00  -1.388886e+00  1.117716e-04  4.780304e+00  8.110447e-02  3.877041e-01  7.345512e-01  6.474304e-02
    20  -1.379501e+00  -1.382622e+00  1.166741e-04  4.777273e+00  8.111674e-02  3.875168e-01  7.349617e-01  6.475868e-02
    21  -1.373236e+00  -1.376357e+00  1.217905e-04  4.774156e+00  8.112935e-02  3.873242e-01  7.353844e-01  6.477478e-02
