     i         log_r      log_rmid             m           rho            v2             p        trelax            kn
     0  -2.041355e+00  -2.342385e+00  4.936543e-05  1.970654e+02  3.377416e-01  6.655717e+01  8.731672e-03  4.941353e-03
     1  -2.035126e+00  -2.038229e+00  5.153900e-05  1.973185e+02  3.373083e-01  6.655717e+01  8.726070e-03  4.941353e-03
     2  -2.028900e+00  -2.032002e+00  5.380601e-05  1.972790e+02  3.372957e-01  6.654136e+01  8.727980e-03  4.941940e-03
     3  -2.022669e+00  -2.025773e+00  5.617461e-05  1.972384e+02  3.372827e-01  6.652509e+01  8.729946e-03  4.942544e-03
     4  -2.016438e+00  -2.019542e+00  5.864622e-05  1.971965e+02  3.372694e-01  6.650834e+01  8.731972e-03  4.943166e-03
     5  -2.010216e+00  -2.013316e+00  6.122269e-05  1.971535e+02  3.372556e-01  6.649112e+01  8.734055e-03  4.943806e-03
     6  -2.003984e+00  -2.007089e+00  6.391625e-05  1.971092e+02  3.372415e-01  6.647341e+01  8.736200e-03  4.944465e-03
     7  -1.997751e+00  -2.000856e+00  6.672776e-05  1.970636e+02  3.372269e-01  6.645516e+01  8.738409e-03  4.945144e-03
     8  -1.991512e+00  -1.994620e+00  6.966511e-05  1.970167e+02  3.372119e-01  6.643638e+01  8.740685e-03  4.945842e-03
     9  -1.985284e+00  -1.988387e+00  7.272580e-05  1.969684e+02  3.371965e-01  6.641706e+01  8.743027e-03  4.946562e-03
    10  -1.979049e+00  -1.982155e+00  7.592335e-05  1.969188e+02  3.371806e-01  6.639720e+01  8.745437e-03  4.947302e-03
    11  -1.972819e+00  -1.975923e+00  7.925890e-05  1.968677e+02  3.371643e-01  6.637676e+01  8.747919e-03  4.948063e-03
    12  -1.966585e+00  -1.969691e+00  8.274157e-05  1.968152e+02  3.371474e-01  6.635573e+01  8.750473e-03  4.948847e-03
    13  -1.960357e+00  -1.963460e+00  8.637379e-05  1.967611e+02  3.371301e-01  6.633410e+01  8.753102e-03  4.949654e-03
    14  -1.954129e+00  -1.957232e+00  9.016405e-05  1.967055e+02  3.371123e-01  6.631185e+01  8.755807e-03  4.950484e-03
    15  -1.947891e+00  -1.950999e+00  9.412640e-05  1.966483e+02  3.370940e-01  6.628895e+01  8.758593e-03  4.951339e-03
    16  -1.941659e+00  -1.944764e+00  9.825814e-05  1.965894e+02  3.370752e-01  6.626539e+01  8.761463e-03  4.952220e-03
    17  -1.935420e+00  -1.938528e+00  1.025750e-04  1.965287e+02  3.370558e-01  6.624114e+01  8.764417e-03  4.953126e-03
    18  -1.929190e+00  -1.932294e+00  1.070736e-04  1.964664e+02  3.370358e-01  6.621621e+01  8.767458e-03  4.954058e-03
    19  -1.922957e+00  -1.926062e+00  1.117716e-04  1.964023e+02  3.370152e-01  6.619057e+01  8.770587e-03  4.955018e-03
    20  -1.916724e+00  -1.919829e+00  1.166741e-04  1.963363e+02  3.369941e-01  6.616419e+01  8.773809e-03  4.956005e-03
    21  -1.910491e+00  -1.913596e+00  1.217905e-04  1.962685e+02  3.369723e-01  6.613705e+01  8.777125e-03  4.957022e-03
    22  -1.904257e+00  -1.907363e+00  1.271309e-04  1.961987e+02  3.369500e-01  6.610914e+01  8.780540e-03  4.958068e-03
    23  -1.898028e+00  -1.901131e+00  1.327005e-04  1.961269e+02  3.369269e-01  6.608043e+01  8.784053e-03  4.959145e-03
    24  -1.891795e+00  -1.894900e+00  1.385159e-04  1.960531e+02  3.369032e-01  6.605091e+01  8.787671e-03  4.960253e-03
    25  -1.885562e+00  -1.888667e+00  1.445845e-04  1.959771e+02  3.368789e-01  6.602054e+01  8.791395e-03  4.961394e-03
    26  -1.879332e+00  -1.882436e+00  1.509149e-04  1.958990e+02  3.368538e-01  6.598931e+01  8.795229e-03  4.962568e-03
    27  -1.873095e+00  -1.876202e+00  1.575290e-04  1.958186e+02  3.368280e-01  6.595717e+01  8.799176e-03  4.963777e-03
    28  -1.866864e+00  -1.869968e+00  1.644237e-04  1.957359e+02  3.368014e-01  6.592412e+01  8.803241e-03  4.965021e-03
    29  -1.860634e+00  -1.863738e+00  1.716176e-04  1.956509e+02  3.367741e-01  6.589015e+01  8.807423e-03  4.966301e-03
    30  -1.854404e+00  -1.857508e+00  1.791246e-04  1.955635e+02  3.367460e-01  6.585521e+01  8.811727e-03  4.967618e-03
    31  -1.848172e+00  -1.851277e+00  1.869613e-04  1.954736e+02  3.367170e-01  6.581928e+01  8.816160e-03  4.968974e-03
    32  -1.841939e+00  -1.845044e+00  1.951388e-04  1.953810e+02  3.366873e-01  6.578231e+01  8.820724e-03  4.970370e-03
    33  -1.835710e+00  -1.838814e+00  2.036668e-04  1.952859e+02  3.366567e-01  6.574431e+01  8.825421e-03  4.971806e-03
    34  -1.829480e+00  -1.832584e+00  2.125676e-04  1.951881e+02  3.366252e-01  6.570524e+01  8.830256e-03  4.973284e-03
    35  -1.823249e+00  -1.826353e+00  2.218557e-04  1.950875e+02  3.365928e-01  6.566505e+01  8.835235e-03  4.974806e-03
    36  -1.817021e+00  -1.820124e+00  2.315430e-04  1.949841e+02  3.365594e-01  6.562374e+01  8.840359e-03  4.976371e-03
    37  -1.810792e+00  -1.813895e+00  2.416522e-04  1.948778e+02  3.365251e-01  6.558126e+01  8.845634e-03  4.977983e-03
    38  -1.804563e+00  -1.807666e+00  2.522004e-04  1.947684e+02  3.364899e-01  6.553758e+01  8.851066e-03  4.979641e-03
    39  -1.798332e+00  -1.801436e+00  2.632088e-04  1.946559e+02  3.364536e-01  6.549267e+01  8.856658e-03  4.981348e-03
    40  -1.792105e+00  -1.795207e+00  2.746873e-04  1.945402e+02  3.364162e-01  6.544649e+01  8.862415e-03  4.983105e-03
    41  -1.785877e+00  -1.788980e+00  2.866651e-04  1.944213e+02  3.363778e-01  6.539903e+01  8.868341e-03  4.984913e-03
    42  -1.779650e+00  -1.782752e+00  2.991578e-04  1.942991e+02  3.363383e-01  6.535024e+01  8.874441e-03  4.986774e-03
    43  -1.773424e+00  -1.776526e+00  3.121906e-04  1.941734e+02  3.362977e-01  6.530008e+01  8.880721e-03  4.988689e-03
