     i         log_r      log_rmid             m           rho            v2        trelax            kn
     0  -2.983624e+00  -3.284654e+00  4.936543e-05  1.322566e+05  1.470540e+00  6.235114e-06  5.642749e-05
     1  -2.972595e+00  -2.978075e+00  5.328937e-05  1.327955e+05  1.464572e+00  6.222449e-06  5.642749e-05
     2  -2.961561e+00  -2.967043e+00  5.752323e-05  1.327085e+05  1.464261e+00  6.227190e-06  5.645198e-05
     3  -2.950516e+00  -2.956003e+00  6.209370e-05  1.326169e+05  1.463933e+00  6.232188e-06  5.647779e-05
     4  -2.939468e+00  -2.944957e+00  6.702432e-05  1.325205e+05  1.463588e+00  6.237456e-06  5.650499e-05
     5  -2.928407e+00  -2.933902e+00  7.234881e-05  1.324190e+05  1.463225e+00  6.243010e-06  5.653364e-05
     6  -2.917347e+00  -2.922842e+00  7.809033e-05  1.323123e+05  1.462842e+00  6.248864e-06  5.656384e-05
     7  -2.906284e+00  -2.911780e+00  8.428458e-05  1.322000e+05  1.462440e+00  6.255032e-06  5.659564e-05
     8  -2.895213e+00  -2.900713e+00  9.096964e-05  1.320819e+05  1.462016e+00  6.261534e-06  5.662915e-05
     9  -2.884135e+00  -2.889639e+00  9.818356e-05  1.319575e+05  1.461570e+00  6.268388e-06  5.666446e-05
    10  -2.873051e+00  -2.878558e+00  1.059689e-04  1.318268e+05  1.461101e+00  6.275615e-06  5.670167e-05
    11  -2.861969e+00  -2.867474e+00  1.143624e-04  1.316892e+05  1.460607e+00  6.283232e-06  5.674087e-05
    12  -2.850882e+00  -2.856390e+00  1.234185e-04  1.315446e+05  1.460087e+00  6.291258e-06  5.678215e-05
    13  -2.839788e+00  -2.845300e+00  1.331900e-04  1.313925e+05  1.459540e+00  6.299720e-06  5.682564e-05
    14  -2.828694e+00  -2.834206e+00  1.437275e-04  1.312326e+05  1.458965e+00  6.308641e-06  5.687147e-05
    15  -2.817591e+00  -2.823107e+00  1.550994e-04  1.310645e+05  1.458359e+00  6.318046e-06  5.691976e-05
    16  -2.806489e+00  -2.812004e+00  1.673596e-04  1.308877e+05  1.457722e+00  6.327962e-06  5.697063e-05
    17  -2.795385e+00  -2.800901e+00  1.805806e-04  1.307019e+05  1.457052e+00  6.338414e-06  5.702422e-05
    18  -2.784274e+00  -2.789794e+00  1.948435e-04  1.305066e+05  1.456346e+00  6.349435e-06  5.708068e-05
    19  -2.773163e+00  -2.778683e+00  2.102204e-04  1.303014e+05  1.455605e+00  6.361057e-06  5.714017e-05
    20  -2.762049e+00  -2.767570e+00  2.268022e-04  1.300857e+05  1.454825e+00  6.373311e-06  5.720284e-05
    21  -2.750928e+00  -2.756453e+00  2.446857e-04  1.298591e+05  1.454004e+00  6.386235e-06  5.726889e-05
    22  -2.739801e+00  -2.745329e+00  2.639729e-04  1.296209e+05  1.453141e+00  6.399871e-06  5.733851e-05
    23  -2.728674e+00  -2.734202e+00  2.847617e-04  1.293706e+05  1.452233e+00  6.414253e-06  5.741187e-05
    24  -2.717546e+00  -2.723074e+00  3.071688e-04  1.291078e+05  1.451279e+00  6.429423e-06  5.748917e-05
    25  -2.706412e+00  -2.711943e+00  3.313271e-04  1.288318e+05  1.450275e+00  6.445426e-06  5.757063e-05
    26  -2.695276e+00  -2.700808e+00  3.573620e-04  1.285420e+05  1.449220e+00  6.462313e-06  5.765649e-05
    27  -2.684134e+00  -2.689669e+00  3.854278e-04  1.282376e+05  1.448110e+00  6.480133e-06  5.774698e-05
    28  -2.672986e+00  -2.678524e+00  4.156808e-04  1.279179e+05  1.446943e+00  6.498944e-06  5.784239e-05
    29  -2.661836e+00  -2.667375e+00  4.482776e-04  1.275824e+05  1.445717e+00  6.518801e-06  5.794298e-05
    30  -2.650679e+00  -2.656221e+00  4.834077e-04  1.272301e+05  1.444427e+00  6.539765e-06  5.804902e-05
    31  -2.639518e+00  -2.645062e+00  5.212579e-04  1.268605e+05  1.443071e+00  6.561903e-06  5.816084e-05
    32  -2.628351e+00  -2.633899e+00  5.620357e-04  1.264725e+05  1.441647e+00  6.585283e-06  5.827876e-05
    33  -2.617180e+00  -2.622730e+00  6.059606e-04  1.260655e+05  1.440149e+00  6.609979e-06  5.840311e-05
    34  -2.606003e+00  -2.611556e+00  6.532785e-04  1.256385e+05  1.438575e+00  6.636071e-06  5.853426e-05
    35  -2.594819e+00  -2.600375e+00  7.042385e-04  1.251906e+05  1.436921e+00  6.663643e-06  5.867261e-05
    36  -2.583629e+00  -2.589188e+00  7.591240e-04  1.247210e+05  1.435182e+00  6.692787e-06  5.881858e-05
