     i         log_r      log_rmid             m           rho            v2        trelax            kn
     0  -2.238556e+00  -2.539586e+00  4.936543e-05  7.695044e+02  5.305586e-01  1.784112e-03  1.231588e-03
     1  -2.227500e+00  -2.232993e+00  5.328937e-05  7.707422e+02  5.297065e-01  1.782679e-03  1.231588e-03
     2  -2.216445e+00  -2.221937e+00  5.752323e-05  7.704738e+02  5.296620e-01  1.783375e-03  1.231854e-03
     3  -2.205384e+00  -2.210879e+00  6.209370e-05  7.701913e+02  5.296152e-01  1.784108e-03  1.232135e-03
     4  -2.194325e+00  -2.199819e+00  6.702432e-05  7.698940e+02  5.295659e-01  1.784880e-03  1.232430e-03
     5  -2.183257e+00  -2.188756e+00  7.234881e-05  7.695812e+02  5.295139e-01  1.785693e-03  1.232741e-03
     6  -2.172195e+00  -2.177691e+00  7.809033e-05  7.692521e+02  5.294593e-01  1.786549e-03  1.233068e-03
     7  -2.161135e+00  -2.166630e+00  8.428458e-05  7.689061e+02  5.294019e-01  1.787450e-03  1.233413e-03
     8  -2.150070e+00  -2.155567e+00  9.096964e-05  7.685421e+02  5.293414e-01  1.788399e-03  1.233775e-03
     9  -2.139004e+00  -2.144502e+00  9.818356e-05  7.681591e+02  5.292778e-01  1.789398e-03  1.234157e-03
    10  -2.127934e+00  -2.133434e+00  1.059689e-04  7.677562e+02  5.292108e-01  1.790450e-03  1.234559e-03
    11  -2.116872e+00  -2.122368e+00  1.143624e-04  7.673326e+02  5.291404e-01  1.791558e-03  1.234982e-03
    12  -2.105808e+00  -2.111305e+00  1.234185e-04  7.668872e+02  5.290663e-01  1.792724e-03  1.235427e-03
    13  -2.094742e+00  -2.100239e+00  1.331900e-04  7.664188e+02  5.289883e-01  1.793952e-03  1.235895e-03
    14  -2.083679e+00  -2.089175e+00  1.437275e-04  7.659262e+02  5.289063e-01  1.795245e-03  1.236388e-03
    15  -2.072611e+00  -2.078110e+00  1.550994e-04  7.654083e+02  5.288200e-01  1.796606e-03  1.236907e-03
    16  -2.061549e+00  -2.067045e+00  1.673596e-04  7.648638e+02  5.287293e-01  1.798039e-03  1.237454e-03
    17  -2.050490e+00  -2.055984e+00  1.805806e-04  7.642916e+02  5.286338e-01  1.799548e-03  1.238029e-03
    18  -2.039427e+00  -2.044923e+00  1.948435e-04  7.636899e+02  5.285334e-01  1.801137e-03  1.238634e-03
    19  -2.028369e+00  -2.033863e+00  2.102204e-04  7.630576e+02  5.284279e-01  1.802810e-03  1.239271e-03
    20  -2.017312e+00  -2.022805e+00  2.268022e-04  7.623930e+02  5.283168e-01  1.804571e-03  1.239941e-03
    21  -2.006253e+00  -2.011747e+00  2.446857e-04  7.616945e+02  5.282001e-01  1.806425e-03  1.240647e-03
    22  -1.995193e+00  -2.000688e+00  2.639729e-04  7.609603e+02  5.280773e-01  1.808378e-03  1.241389e-03
    23  -1.984138e+00  -1.989630e+00  2.847617e-04  7.601889e+02  5.279481e-01  1.810435e-03  1.242171e-03
    24  -1.973086e+00  -1.978576e+00  3.071688e-04  7.593785e+02  5.278124e-01  1.812600e-03  1.242993e-03
    25  -1.962033e+00  -1.967524e+00  3.313271e-04  7.585271e+02  5.276696e-01  1.814880e-03  1.243859e-03
    26  -1.950985e+00  -1.956474e+00  3.573620e-04  7.576328e+02  5.275196e-01  1.817280e-03  1.244770e-03
    27  -1.939936e+00  -1.945425e+00  3.854278e-04  7.566934e+02  5.273618e-01  1.819808e-03  1.245729e-03
    28  -1.928887e+00  -1.934376e+00  4.156808e-04  7.557067e+02  5.271959e-01  1.822471e-03  1.246738e-03
    29  -1.917841e+00  -1.923329e+00  4.482776e-04  7.546704e+02  5.270216e-01  1.825276e-03  1.247800e-03
    30  -1.906796e+00  -1.912283e+00  4.834077e-04  7.535822e+02  5.268383e-01  1.828229e-03  1.248918e-03
    31  -1.895753e+00  -1.901239e+00  5.212579e-04  7.524397e+02  5.266457e-01  1.831340e-03  1.250094e-03
    32  -1.884711e+00  -1.890197e+00  5.620357e-04  7.512402e+02  5.264432e-01  1.834617e-03  1.251332e-03
    33  -1.873673e+00  -1.879157e+00  6.059606e-04  7.499812e+02  5.262304e-01  1.838068e-03  1.252635e-03
    34  -1.862635e+00  -1.868119e+00  6.532785e-04  7.486597e+02  5.260068e-01  1.841704e-03  1.254007e-03
    35  -1.851600e+00  -1.857082e+00  7.042385e-04  7.472730e+02  5.257719e-01  1.845534e-03  1.255450e-03
    36  -1.840565e+00  -1.846047e+00  7.591240e-04  7.458178e+02  5.255250e-01  1.849569e-03  1.256969e-03
    37  -1.829533e+00  -1.835014e+00  8.182252e-04  7.442911e+02  5.252656e-01  1.853821e-03  1.258569e-03
    38  -1.818502e+00  -1.823982e+00  8.818583e-04  7.426896e+02  5.249931e-01  1.858300e-03  1.260252e-03
    39  -1.807473e+00  -1.812952e+00  9.503637e-04  7.410099e+02  5.247068e-01  1.863021e-03  1.262023e-03
    40  -1.796443e+00  -1.801923e+00  1.024119e-03  7.392483e+02  5.244060e-01  1.867996e-03  1.263888e-03
    41  -1.785417e+00  -1.790895e+00  1.103493e-03  7.374012e+02  5.240901e-01  1.873239e-03  1.265852e-03
    42  -1.774391e+00  -1.779869e+00  1.188917e-03  7.354648e+02  5.237584e-01  1.878766e-03  1.267918e-03
    43  -1.763367e+00  -1.768844e+00  1.280828e-03  7.334353e+02  5.234100e-01  1.884591e-03  1.270094e-03
    44  -1.752344e+00  -1.757820e+00  1.379723e-03  7.313084e+02  5.230441e-01  1.890733e-03  1.272384e-03
    45  -1.741322e+00  -1.746798e+00  1.486103e-03  7.290799e+02  5.226599e-01  1.897209e-03  1.274796e-03
    46  -1.730300e+00  -1.735776e+00  1.600525e-03  7.267455e+02  5.222566e-01  1.904038e-03  1.277334e-03
    47  -1.719279e+00  -1.724755e+00  1.723575e-03  7.243004e+02  5.218331e-01  1.911241e-03  1.280008e-03
    48  -1.708259e+00  -1.713734e+00  1.855885e-03  7.217402e+02  5.213886e-01  1.918838e-03  1.282822e-03
    49  -1.697239e+00  -1.702714e+00  1.998123e-03  7.190599e+02  5.209220e-01  1.926853e-03  1.285786e-03
    50  -1.686219e+00  -1.691694e+00  2.151017e-03  7.162546e+02  5.204324e-01  1.935309e-03  1.288908e-03
    51  -1.675198e+00  -1.680674e+00  2.315332e-03  7.133191e+02  5.199185e-01  1.944234e-03  1.292195e-03
    52  -1.664177e+00  -1.669653e+00  2.491891e-03  7.102482e+02  5.193792e-01  1.953654e-03  1.295658e-03
    53  -1.653155e+00  -1.658631e+00  2.681574e-03  7.070363e+02  5.188135e-01  1.963598e-03  1.299305e-03
    54  -1.642133e+00  -1.647609e+00  2.885299e-03  7.036781e+02  5.182199e-01  1.974099e-03  1.303148e-03
    55  -1.631108e+00  -1.636586e+00  3.104081e-03  7.001679e+02  5.175973e-01  1.985189e-03  1.307196e-03
    56  -1.620082e+00  -1.625560e+00  3.338977e-03  6.964997e+02  5.169443e-01  1.996904e-03  1.311461e-03
    57  -1.609054e+00  -1.614533e+00  3.591122e-03  6.926678e+02  5.162595e-01  2.009282e-03  1.315956e-03
    58  -1.598023e+00  -1.603504e+00  3.861724e-03  6.886659e+02  5.155414e-01  2.022365e-03  1.320692e-03
    59  -1.586989e+00  -1.592471e+00  4.152066e-03  6.844880e+02  5.147885e-01  2.036197e-03  1.325685e-03
    60  -1.575951e+00  -1.581435e+00  4.463517e-03  6.801278e+02  5.139992e-01  2.050823e-03  1.330949e-03
    61  -1.564908e+00  -1.570395e+00  4.797536e-03  6.755790e+02  5.131719e-01  2.066296e-03  1.336498e-03
    62  -1.553861e+00  -1.559350e+00  5.155655e-03  6.708352e+02  5.123048e-01  2.082668e-03  1.342350e-03
    63  -1.542809e+00  -1.548300e+00  5.539526e-03  6.658899e+02  5.113962e-01  2.099998e-03  1.348521e-03
    64  -1.531750e+00  -1.537244e+00  5.950900e-03  6.607366e+02  5.104441e-01  2.118349e-03  1.355032e-03
    65  -1.520683e+00  -1.526181e+00  6.391610e-03  6.553687e+02  5.094468e-01  2.137789e-03  1.361901e-03
    66  -1.509609e+00  -1.515111e+00  6.863620e-03  6.497799e+02  5.084021e-01  2.158391e-03  1.369150e-03
    67  -1.498527e+00  -1.504033e+00  7.369017e-03  6.439636e+02  5.073080e-01  2.180233e-03  1.376801e-03
    68  -1.487434e+00  -1.492945e+00  7.909987e-03  6.379133e+02  5.061623e-01  2.203400e-03  1.384880e-03
    69  -1.476331e+00  -1.481847e+00  8.488863e-03  6.316229e+02  5.049628e-01  2.227986e-03  1.393411e-03
    70  -1.465215e+00  -1.470737e+00  9.108117e-03  6.250859e+02  5.037071e-01  2.254090e-03  1.402423e-03
    71  -1.454087e+00  -1.459615e+00  9.770334e-03  6.182962e+02  5.023928e-01  2.281822e-03  1.411945e-03
    72  -1.442944e+00  -1.448480e+00  1.047826e-02  6.112480e+02  5.010175e-01  2.311299e-03  1.422010e-03
    73  -1.431785e+00  -1.437329e+00  1.123480e-02  6.039357e+02  4.995785e-01  2.342650e-03  1.432651e-03
    74  -1.420610e+00  -1.426162e+00  1.204299e-02  5.963537e+02  4.980731e-01  2.376017e-03  1.443907e-03
    75  -1.409415e+00  -1.414976e+00  1.290606e-02  5.884970e+02  4.964985e-01  2.411553e-03  1.455817e-03
    76  -1.398200e+00  -1.403771e+00  1.382737e-02  5.803609e+02  4.948519e-01  2.449426e-03  1.468423e-03
    77  -1.386962e+00  -1.392545e+00  1.481049e-02  5.719409e+02  4.931303e-01  2.489821e-03  1.481772e-03
    78  -1.375700e+00  -1.381295e+00  1.585915e-02  5.632331e+02  4.913305e-01  2.532941e-03  1.495915e-03
    79  -1.364412e+00  -1.370019e+00  1.697728e-02  5.542342e+02  4.894493e-01  2.579009e-03  1.510905e-03
    80  -1.353094e+00  -1.358716e+00  1.816896e-02  5.449413e+02  4.874835e-01  2.628272e-03  1.526803e-03
    81  -1.341746e+00  -1.347383e+00  1.943850e-02  5.353524e+02  4.854296e-01  2.681002e-03  1.543671e-03
    82  -1.330363e+00  -1.336017e+00  2.079041e-02  5.254660e+02  4.832840e-01  2.737500e-03  1.561580e-03
    83  -1.318944e+00  -1.324616e+00  2.222937e-02  5.152814e+02  4.810431e-01  2.798102e-03  1.580606e-03
    84  -1.307485e+00  -1.313177e+00  2.376030e-02  5.047986e+02  4.787030e-01  2.863181e-03  1.600831e-03
    85  -1.295983e+00  -1.301696e+00  2.538829e-02  4.940190e+02  4.762598e-01  2.933151e-03  1.622348e-03
    86  -1.284434e+00  -1.290170e+00  2.711870e-02  4.829445e+02  4.737095e-01  3.008477e-03  1.645254e-03
    87  -1.272834e+00  -1.278595e+00  2.895704e-02  4.715782e+02  4.710478e-01  3.089682e-03  1.669661e-03
    88  -1.261180e+00  -1.266968e+00  3.090905e-02  4.599245e+02  4.682704e-01  3.177350e-03  1.695689e-03
    89  -1.249466e+00  -1.255284e+00  3.298073e-02  4.479888e+02  4.653727e-01  3.272144e-03  1.723470e-03
    90  -1.237689e+00  -1.243537e+00  3.517823e-02  4.357780e+02  4.623500e-01  3.374809e-03  1.753152e-03
    91  -1.225841e+00  -1.231725e+00  3.750796e-02  4.233003e+02  4.591976e-01  3.486195e-03  1.784899e-03
    92  -1.213919e+00  -1.219839e+00  3.997652e-02  4.105651e+02  4.559103e-01  3.607266e-03  1.818892e-03
