     i         log_r      log_rmid             m           rho            v2             p        trelax            kn
     0  -1.825005e+00  -2.126035e+00  4.936543e-05  4.421393e+01  2.064486e-02  9.127905e-01  1.574109e-01  4.219468e-02
     1  -1.817468e+00  -1.821220e+00  5.153900e-05  3.642609e+01  2.505870e-02  9.127905e-01  1.734236e-01  4.219468e-02
     2  -1.809944e+00  -1.813690e+00  5.380601e-05  3.612969e+01  2.520534e-02  9.106610e-01  1.743370e-01  4.224399e-02
     3  -1.802419e+00  -1.806165e+00  5.617461e-05  3.583151e+01  2.535466e-02  9.084956e-01  1.752694e-01  4.229430e-02
     4  -1.794901e+00  -1.798644e+00  5.864622e-05  3.553151e+01  2.550675e-02  9.062931e-01  1.762215e-01  4.234566e-02
     5  -1.787397e+00  -1.791133e+00  6.122269e-05  3.523005e+01  2.566149e-02  9.040554e-01  1.771927e-01  4.239804e-02
     6  -1.779884e+00  -1.783624e+00  6.391625e-05  3.492687e+01  2.581908e-02  9.017796e-01  1.781845e-01  4.245150e-02
     7  -1.772373e+00  -1.776112e+00  6.672776e-05  3.462182e+01  2.597967e-02  8.994636e-01  1.791980e-01  4.250612e-02
     8  -1.764856e+00  -1.768598e+00  6.966511e-05  3.431504e+01  2.614328e-02  8.971075e-01  1.802335e-01  4.256190e-02
     9  -1.757352e+00  -1.761087e+00  7.272580e-05  3.400682e+01  2.630980e-02  8.947126e-01  1.812906e-01  4.261883e-02
    10  -1.749840e+00  -1.753579e+00  7.592335e-05  3.369721e+01  2.647929e-02  8.922783e-01  1.823698e-01  4.267692e-02
    11  -1.742331e+00  -1.746069e+00  7.925890e-05  3.338609e+01  2.665190e-02  8.898027e-01  1.834722e-01  4.273625e-02
    12  -1.734816e+00  -1.738557e+00  8.274157e-05  3.307360e+01  2.682762e-02  8.872858e-01  1.845982e-01  4.279682e-02
    13  -1.727304e+00  -1.731044e+00  8.637379e-05  3.275981e+01  2.700649e-02  8.847273e-01  1.857482e-01  4.285866e-02
    14  -1.719790e+00  -1.723531e+00  9.016405e-05  3.244486e+01  2.718850e-02  8.821273e-01  1.869224e-01  4.292177e-02
    15  -1.712259e+00  -1.716008e+00  9.412640e-05  3.212846e+01  2.737393e-02  8.794822e-01  1.881229e-01  4.298627e-02
    16  -1.704729e+00  -1.708478e+00  9.825814e-05  3.181076e+01  2.756275e-02  8.767922e-01  1.893497e-01  4.305216e-02
    17  -1.697185e+00  -1.700941e+00  1.025750e-04  3.149194e+01  2.775497e-02  8.740577e-01  1.906032e-01  4.311945e-02
    18  -1.689647e+00  -1.693400e+00  1.070736e-04  3.117215e+01  2.795055e-02  8.712788e-01  1.918837e-01  4.318816e-02
    19  -1.682096e+00  -1.685855e+00  1.117716e-04  3.085153e+01  2.814952e-02  8.684558e-01  1.931914e-01  4.325829e-02
    20  -1.674539e+00  -1.678301e+00  1.166741e-04  3.052993e+01  2.835205e-02  8.655862e-01  1.945279e-01  4.332994e-02
    21  -1.666973e+00  -1.670739e+00  1.217905e-04  3.020753e+01  2.855812e-02  8.626703e-01  1.958935e-01  4.340311e-02
    22  -1.659397e+00  -1.663169e+00  1.271309e-04  2.988435e+01  2.876781e-02  8.597073e-01  1.972889e-01  4.347784e-02
    23  -1.651817e+00  -1.655591e+00  1.327005e-04  2.956060e+01  2.898107e-02  8.566978e-01  1.987145e-01  4.355414e-02
    24  -1.644224e+00  -1.648004e+00  1.385159e-04  2.923627e+01  2.919800e-02  8.536409e-01  2.001711e-01  4.363205e-02
    25  -1.636620e+00  -1.640405e+00  1.445845e-04  2.891137e+01  2.941870e-02  8.505350e-01  2.016599e-01  4.371165e-02
    26  -1.629009e+00  -1.632798e+00  1.509149e-04  2.858612e+01  2.964311e-02  8.473814e-01  2.031809e-01  4.379291e-02
    27  -1.621377e+00  -1.625176e+00  1.575290e-04  2.826040e+01  2.987140e-02  8.441776e-01  2.047359e-01  4.387593e-02
    28  -1.613743e+00  -1.617543e+00  1.644237e-04  2.793441e+01  3.010353e-02  8.409244e-01  2.063250e-01  4.396072e-02
    29  -1.606097e+00  -1.609903e+00  1.716176e-04  2.760845e+01  3.033939e-02  8.376236e-01  2.079479e-01  4.404725e-02
    30  -1.598439e+00  -1.602251e+00  1.791246e-04  2.728242e+01  3.057914e-02  8.342731e-01  2.096063e-01  4.413561e-02
    31  -1.590765e+00  -1.594585e+00  1.869613e-04  2.695633e+01  3.082287e-02  8.308717e-01  2.113015e-01  4.422586e-02
    32  -1.583078e+00  -1.586905e+00  1.951388e-04  2.663028e+01  3.107062e-02  8.274192e-01  2.130342e-01  4.431803e-02
    33  -1.575383e+00  -1.579213e+00  2.036668e-04  2.630449e+01  3.132229e-02  8.239170e-01  2.148045e-01  4.441212e-02
    34  -1.567672e+00  -1.571510e+00  2.125676e-04  2.597903e+01  3.157794e-02  8.203644e-01  2.166133e-01  4.450818e-02
    35  -1.559946e+00  -1.563792e+00  2.218557e-04  2.565388e+01  3.183769e-02  8.167603e-01  2.184621e-01  4.460628e-02
    36  -1.552209e+00  -1.556060e+00  2.315430e-04  2.532923e+01  3.210146e-02  8.131054e-01  2.203513e-01  4.470641e-02
