     i         log_r      log_rmid             m           rho            v2             p        trelax            kn
     0  -1.992783e+00  -2.293813e+00  4.936543e-05  1.408944e+02  1.023344e-02  1.441834e+00  7.016095e-02  3.357265e-02
     1  -1.983147e+00  -1.987938e+00  5.153900e-05  9.012618e+01  1.599795e-02  1.441834e+00  8.772368e-02  3.357265e-02
     2  -1.973541e+00  -1.978317e+00  5.380601e-05  8.824131e+01  1.622867e-02  1.432039e+00  8.895832e-02  3.368727e-02
     3  -1.963948e+00  -1.968718e+00  5.617461e-05  8.639418e+01  1.646255e-02  1.422269e+00  9.021255e-02  3.380278e-02
     4  -1.954379e+00  -1.959137e+00  5.864622e-05  8.458374e+01  1.669964e-02  1.412518e+00  9.148703e-02  3.391925e-02
     5  -1.944841e+00  -1.949584e+00  6.122269e-05  8.281135e+01  1.693967e-02  1.402797e+00  9.278071e-02  3.403658e-02
     6  -1.935305e+00  -1.940046e+00  6.391625e-05  8.107461e+01  1.718286e-02  1.393094e+00  9.409518e-02  3.415490e-02
     7  -1.925785e+00  -1.930519e+00  6.672776e-05  7.937180e+01  1.742939e-02  1.383402e+00  9.543171e-02  3.427434e-02
     8  -1.916272e+00  -1.921003e+00  6.966511e-05  7.770288e+01  1.767917e-02  1.373723e+00  9.679032e-02  3.439488e-02
     9  -1.906790e+00  -1.911505e+00  7.272580e-05  7.606862e+01  1.793201e-02  1.364063e+00  9.817028e-02  3.451644e-02
    10  -1.897312e+00  -1.902025e+00  7.592335e-05  7.446828e+01  1.818791e-02  1.354422e+00  9.957202e-02  3.463907e-02
    11  -1.887852e+00  -1.892556e+00  7.925890e-05  7.290025e+01  1.844703e-02  1.344793e+00  1.009968e-01  3.476286e-02
    12  -1.878400e+00  -1.883101e+00  8.274157e-05  7.136432e+01  1.870932e-02  1.335178e+00  1.024448e-01  3.488780e-02
    13  -1.868966e+00  -1.873658e+00  8.637379e-05  6.985994e+01  1.897478e-02  1.325577e+00  1.039162e-01  3.501392e-02
    14  -1.859544e+00  -1.864229e+00  9.016405e-05  6.838682e+01  1.924335e-02  1.315991e+00  1.054113e-01  3.514121e-02
    15  -1.850115e+00  -1.854804e+00  9.412640e-05  6.694257e+01  1.951537e-02  1.306409e+00  1.069324e-01  3.526985e-02
    16  -1.840704e+00  -1.845384e+00  9.825814e-05  6.552717e+01  1.979077e-02  1.296833e+00  1.084794e-01  3.539983e-02
    17  -1.831291e+00  -1.835972e+00  1.025750e-04  6.414042e+01  2.006951e-02  1.287266e+00  1.100525e-01  3.553113e-02
    18  -1.821899e+00  -1.826569e+00  1.070736e-04  6.278210e+01  2.035150e-02  1.277710e+00  1.116519e-01  3.566376e-02
    19  -1.812509e+00  -1.817178e+00  1.117716e-04  6.145188e+01  2.063674e-02  1.268166e+00  1.132777e-01  3.579770e-02
    20  -1.803125e+00  -1.807792e+00  1.166741e-04  6.014827e+01  2.092542e-02  1.258628e+00  1.149317e-01  3.593309e-02
    21  -1.793748e+00  -1.798411e+00  1.217905e-04  5.887109e+01  2.121750e-02  1.249097e+00  1.166140e-01  3.606992e-02
    22  -1.784375e+00  -1.789036e+00  1.271309e-04  5.761965e+01  2.151303e-02  1.239573e+00  1.183256e-01  3.620822e-02
    23  -1.775012e+00  -1.779668e+00  1.327005e-04  5.639381e+01  2.181194e-02  1.230058e+00  1.200664e-01  3.634799e-02
    24  -1.765650e+00  -1.770306e+00  1.385159e-04  5.519282e+01  2.211430e-02  1.220551e+00  1.218375e-01  3.648929e-02
