     i         log_r      log_rmid             m           rho            v2             p        trelax            kn
     0  -2.731234e+00  -3.032264e+00  4.936543e-05  2.313378e+04  1.082529e+00  2.504299e+04  4.154642e-05  2.547418e-04
     1  -2.725014e+00  -2.728113e+00  5.153900e-05  2.319880e+04  1.079495e+00  2.504299e+04  4.148815e-05  2.547418e-04
     2  -2.718797e+00  -2.721894e+00  5.380601e-05  2.319228e+04  1.079407e+00  2.503390e+04  4.150152e-05  2.547880e-04
     3  -2.712572e+00  -2.715673e+00  5.617461e-05  2.318556e+04  1.079316e+00  2.502455e+04  4.151529e-05  2.548356e-04
     4  -2.706349e+00  -2.709450e+00  5.864622e-05  2.317865e+04  1.079223e+00  2.501492e+04  4.152946e-05  2.548846e-04
     5  -2.700133e+00  -2.703230e+00  6.122269e-05  2.317154e+04  1.079126e+00  2.500502e+04  4.154405e-05  2.549351e-04
     6  -2.693905e+00  -2.697008e+00  6.391625e-05  2.316423e+04  1.079027e+00  2.499484e+04  4.155908e-05  2.549870e-04
     7  -2.687677e+00  -2.690780e+00  6.672776e-05  2.315669e+04  1.078925e+00  2.498434e+04  4.157457e-05  2.550406e-04
     8  -2.681441e+00  -2.684548e+00  6.966511e-05  2.314894e+04  1.078820e+00  2.497354e+04  4.159052e-05  2.550957e-04
     9  -2.675216e+00  -2.678317e+00  7.272580e-05  2.314096e+04  1.078712e+00  2.496244e+04  4.160695e-05  2.551525e-04
    10  -2.668984e+00  -2.672089e+00  7.592335e-05  2.313275e+04  1.078601e+00  2.495101e+04  4.162385e-05  2.552109e-04
    11  -2.662754e+00  -2.665858e+00  7.925890e-05  2.312431e+04  1.078487e+00  2.493926e+04  4.164126e-05  2.552710e-04
    12  -2.656521e+00  -2.659627e+00  8.274157e-05  2.311562e+04  1.078369e+00  2.492716e+04  4.165919e-05  2.553329e-04
    13  -2.650293e+00  -2.653396e+00  8.637379e-05  2.310668e+04  1.078248e+00  2.491472e+04  4.167765e-05  2.553967e-04
    14  -2.644064e+00  -2.647167e+00  9.016405e-05  2.309748e+04  1.078123e+00  2.490193e+04  4.169665e-05  2.554623e-04
    15  -2.637825e+00  -2.640933e+00  9.412640e-05  2.308802e+04  1.077995e+00  2.488876e+04  4.171623e-05  2.555298e-04
    16  -2.631590e+00  -2.634696e+00  9.825814e-05  2.307828e+04  1.077862e+00  2.487521e+04  4.173640e-05  2.555994e-04
    17  -2.625348e+00  -2.628458e+00  1.025750e-04  2.306825e+04  1.077726e+00  2.486127e+04  4.175717e-05  2.556711e-04
    18  -2.619115e+00  -2.622220e+00  1.070736e-04  2.305794e+04  1.077586e+00  2.484693e+04  4.177855e-05  2.557449e-04
    19  -2.612877e+00  -2.615985e+00  1.117716e-04  2.304734e+04  1.077442e+00  2.483218e+04  4.180057e-05  2.558208e-04
    20  -2.606640e+00  -2.609747e+00  1.166741e-04  2.303643e+04  1.077294e+00  2.481701e+04  4.182324e-05  2.558990e-04
    21  -2.600401e+00  -2.603509e+00  1.217905e-04  2.302520e+04  1.077142e+00  2.480141e+04  4.184659e-05  2.559794e-04
    22  -2.594161e+00  -2.597270e+00  1.271309e-04  2.301366e+04  1.076985e+00  2.478536e+04  4.187063e-05  2.560623e-04
    23  -2.587925e+00  -2.591032e+00  1.327005e-04  2.300178e+04  1.076823e+00  2.476886e+04  4.189539e-05  2.561476e-04
    24  -2.581684e+00  -2.584793e+00  1.385159e-04  2.298957e+04  1.076657e+00  2.475189e+04  4.192089e-05  2.562354e-04
    25  -2.575444e+00  -2.578553e+00  1.445845e-04  2.297700e+04  1.076486e+00  2.473443e+04  4.194715e-05  2.563258e-04
    26  -2.569205e+00  -2.572313e+00  1.509149e-04  2.296408e+04  1.076310e+00  2.471647e+04  4.197418e-05  2.564189e-04
    27  -2.562958e+00  -2.566070e+00  1.575290e-04  2.295078e+04  1.076129e+00  2.469800e+04  4.200204e-05  2.565147e-04
    28  -2.556717e+00  -2.559826e+00  1.644237e-04  2.293710e+04  1.075943e+00  2.467901e+04  4.203073e-05  2.566134e-04
    29  -2.550476e+00  -2.553585e+00  1.716176e-04  2.292303e+04  1.075751e+00  2.465949e+04  4.206026e-05  2.567150e-04
    30  -2.544235e+00  -2.547344e+00  1.791246e-04  2.290857e+04  1.075554e+00  2.463941e+04  4.209067e-05  2.568196e-04
    31  -2.537990e+00  -2.541101e+00  1.869613e-04  2.289369e+04  1.075351e+00  2.461876e+04  4.212200e-05  2.569272e-04
    32  -2.531745e+00  -2.534856e+00  1.951388e-04  2.287839e+04  1.075143e+00  2.459753e+04  4.215427e-05  2.570381e-04
    33  -2.525503e+00  -2.528613e+00  2.036668e-04  2.286265e+04  1.074928e+00  2.457570e+04  4.218750e-05  2.571522e-04
    34  -2.519258e+00  -2.522369e+00  2.125676e-04  2.284647e+04  1.074707e+00  2.455326e+04  4.222171e-05  2.572697e-04
    35  -2.513012e+00  -2.516124e+00  2.218557e-04  2.282983e+04  1.074480e+00  2.453018e+04  4.225696e-05  2.573907e-04
    36  -2.506769e+00  -2.509879e+00  2.315430e-04  2.281272e+04  1.074246e+00  2.450646e+04  4.229326e-05  2.575153e-04
    37  -2.500523e+00  -2.503635e+00  2.416522e-04  2.279512e+04  1.074005e+00  2.448208e+04  4.233065e-05  2.576435e-04
    38  -2.494277e+00  -2.497389e+00  2.522004e-04  2.277703e+04  1.073758e+00  2.445700e+04  4.236916e-05  2.577755e-04
    39  -2.488028e+00  -2.491141e+00  2.632088e-04  2.275842e+04  1.073503e+00  2.443122e+04  4.240884e-05  2.579115e-04
    40  -2.481782e+00  -2.484894e+00  2.746873e-04  2.273928e+04  1.073241e+00  2.440473e+04  4.244970e-05  2.580514e-04
    41  -2.475535e+00  -2.478647e+00  2.866651e-04  2.271962e+04  1.072971e+00  2.437750e+04  4.249178e-05  2.581955e-04
    42  -2.469289e+00  -2.472401e+00  2.991578e-04  2.269939e+04  1.072694e+00  2.434951e+04  4.253513e-05  2.583439e-04
    43  -2.463042e+00  -2.466154e+00  3.121906e-04  2.267861e+04  1.072409e+00  2.432074e+04  4.257978e-05  2.584966e-04
    44  -2.456792e+00  -2.459906e+00  3.257907e-04  2.265723e+04  1.072116e+00  2.429117e+04  4.262578e-05  2.586539e-04
    45  -2.450544e+00  -2.453657e+00  3.399746e-04  2.263526e+04  1.071814e+00  2.426078e+04  4.267317e-05  2.588158e-04
    46  -2.444294e+00  -2.447408e+00  3.547724e-04  2.261267e+04  1.071503e+00  2.422955e+04  4.272198e-05  2.589826e-04
    47  -2.438045e+00  -2.441159e+00  3.702053e-04  2.258945e+04  1.071184e+00  2.419746e+04  4.277227e-05  2.591543e-04
    48  -2.431797e+00  -2.434910e+00  3.863001e-04  2.256558e+04  1.070856e+00  2.416448e+04  4.282407e-05  2.593310e-04
    49  -2.425546e+00  -2.428660e+00  4.030957e-04  2.254105e+04  1.070518e+00  2.413060e+04  4.287744e-05  2.595131e-04
    50  -2.419295e+00  -2.422409e+00  4.206106e-04  2.251583e+04  1.070170e+00  2.409578e+04  4.293244e-05  2.597005e-04
    51  -2.413043e+00  -2.416158e+00  4.388801e-04  2.248991e+04  1.069813e+00  2.406000e+04  4.298910e-05  2.598935e-04
    52  -2.406792e+00  -2.409906e+00  4.579325e-04  2.246327e+04  1.069445e+00  2.402324e+04  4.304747e-05  2.600923e-04
    53  -2.400537e+00  -2.403653e+00  4.778138e-04  2.243589e+04  1.069067e+00  2.398548e+04  4.310763e-05  2.602970e-04
    54  -2.394285e+00  -2.397400e+00  4.985347e-04  2.240775e+04  1.068678e+00  2.394668e+04  4.316962e-05  2.605077e-04
    55  -2.388032e+00  -2.391147e+00  5.201481e-04  2.237884e+04  1.068279e+00  2.390683e+04  4.323348e-05  2.607247e-04
    56  -2.381778e+00  -2.384893e+00  5.426885e-04  2.234913e+04  1.067867e+00  2.386590e+04  4.329929e-05  2.609482e-04
    57  -2.375522e+00  -2.378639e+00  5.661971e-04  2.231860e+04  1.067444e+00  2.382386e+04  4.336712e-05  2.611784e-04
    58  -2.369267e+00  -2.372383e+00  5.907064e-04  2.228722e+04  1.067009e+00  2.378067e+04  4.343701e-05  2.614154e-04
    59  -2.363011e+00  -2.366128e+00  6.162668e-04  2.225499e+04  1.066562e+00  2.373633e+04  4.350904e-05  2.616595e-04
    60  -2.356754e+00  -2.359872e+00  6.429189e-04  2.222188e+04  1.066102e+00  2.369078e+04  4.358328e-05  2.619109e-04
    61  -2.350497e+00  -2.353614e+00  6.707104e-04  2.218785e+04  1.065629e+00  2.364402e+04  4.365980e-05  2.621698e-04
    62  -2.344238e+00  -2.347356e+00  6.996861e-04  2.215290e+04  1.065142e+00  2.359599e+04  4.373867e-05  2.624364e-04
    63  -2.337979e+00  -2.341097e+00  7.298974e-04  2.211700e+04  1.064642e+00  2.354668e+04  4.381997e-05  2.627111e-04
    64  -2.331719e+00  -2.334838e+00  7.613962e-04  2.208011e+04  1.064128e+00  2.349606e+04  4.390378e-05  2.629940e-04
    65  -2.325458e+00  -2.328577e+00  7.942322e-04  2.204223e+04  1.063599e+00  2.344408e+04  4.399017e-05  2.632853e-04
    66  -2.319195e+00  -2.322316e+00  8.284723e-04  2.200331e+04  1.063055e+00  2.339073e+04  4.407924e-05  2.635854e-04
    67  -2.312932e+00  -2.316052e+00  8.641640e-04  2.196334e+04  1.062495e+00  2.333595e+04  4.417108e-05  2.638946e-04
    68  -2.306668e+00  -2.309789e+00  9.013664e-04  2.192230e+04  1.061920e+00  2.327974e+04  4.426576e-05  2.642130e-04
    69  -2.300403e+00  -2.303524e+00  9.401486e-04  2.188015e+04  1.061329e+00  2.322204e+04  4.436338e-05  2.645410e-04
    70  -2.294136e+00  -2.297258e+00  9.805784e-04  2.183686e+04  1.060721e+00  2.316283e+04  4.446406e-05  2.648790e-04
    71  -2.287867e+00  -2.290990e+00  1.022722e-03  2.179241e+04  1.060096e+00  2.310205e+04  4.456789e-05  2.652271e-04
    72  -2.281597e+00  -2.284721e+00  1.066645e-03  2.174677e+04  1.059454e+00  2.303969e+04  4.467497e-05  2.655858e-04
    73  -2.275327e+00  -2.278451e+00  1.112418e-03  2.169991e+04  1.058793e+00  2.297572e+04  4.478540e-05  2.659553e-04
    74  -2.269055e+00  -2.272180e+00  1.160127e-03  2.165181e+04  1.058114e+00  2.291008e+04  4.489930e-05  2.663361e-04
    75  -2.262781e+00  -2.265907e+00  1.209843e-03  2.160243e+04  1.057416e+00  2.284274e+04  4.501680e-05  2.667283e-04
    76  -2.256506e+00  -2.259632e+00  1.261660e-03  2.155173e+04  1.056698e+00  2.277367e+04  4.513801e-05  2.671325e-04
    77  -2.250229e+00  -2.253356e+00  1.315650e-03  2.149970e+04  1.055960e+00  2.270283e+04  4.526305e-05  2.675490e-04
    78  -2.243950e+00  -2.247078e+00  1.371910e-03  2.144630e+04  1.055202e+00  2.263017e+04  4.539207e-05  2.679781e-04
    79  -2.237669e+00  -2.240798e+00  1.430537e-03  2.139149e+04  1.054422e+00  2.255565e+04  4.552519e-05  2.684204e-04
    80  -2.231387e+00  -2.234517e+00  1.491613e-03  2.133524e+04  1.053621e+00  2.247925e+04  4.566257e-05  2.688762e-04
    81  -2.225102e+00  -2.228233e+00  1.555254e-03  2.127752e+04  1.052797e+00  2.240091e+04  4.580434e-05  2.693459e-04
    82  -2.218815e+00  -2.221947e+00  1.621555e-03  2.121830e+04  1.051950e+00  2.232060e+04  4.595067e-05  2.698301e-04
    83  -2.212526e+00  -2.215659e+00  1.690622e-03  2.115754e+04  1.051080e+00  2.223827e+04  4.610170e-05  2.703291e-04
    84  -2.206235e+00  -2.209369e+00  1.762572e-03  2.109520e+04  1.050186e+00  2.215388e+04  4.625761e-05  2.708435e-04
    85  -2.199941e+00  -2.203077e+00  1.837521e-03  2.103126e+04  1.049266e+00  2.206739e+04  4.641858e-05  2.713737e-04
    86  -2.193645e+00  -2.196782e+00  1.915590e-03  2.096567e+04  1.048322e+00  2.197876e+04  4.658478e-05  2.719203e-04
    87  -2.187346e+00  -2.190484e+00  1.996900e-03  2.089839e+04  1.047351e+00  2.188795e+04  4.675639e-05  2.724838e-04
    88  -2.181044e+00  -2.184183e+00  2.081586e-03  2.082940e+04  1.046353e+00  2.179491e+04  4.693362e-05  2.730648e-04
    89  -2.174739e+00  -2.177880e+00  2.169788e-03  2.075865e+04  1.045328e+00  2.169959e+04  4.711668e-05  2.736639e-04
    90  -2.168430e+00  -2.171573e+00  2.261641e-03  2.068610e+04  1.044274e+00  2.160195e+04  4.730579e-05  2.742817e-04
    91  -2.162119e+00  -2.165263e+00  2.357288e-03  2.061171e+04  1.043191e+00  2.150195e+04  4.750114e-05  2.749187e-04
    92  -2.155804e+00  -2.158950e+00  2.456877e-03  2.053545e+04  1.042078e+00  2.139955e+04  4.770298e-05  2.755757e-04
    93  -2.149485e+00  -2.152633e+00  2.560586e-03  2.045728e+04  1.040935e+00  2.129470e+04  4.791156e-05  2.762533e-04
    94  -2.143164e+00  -2.146313e+00  2.668544e-03  2.037715e+04  1.039760e+00  2.118736e+04  4.812712e-05  2.769522e-04
    95  -2.136837e+00  -2.139989e+00  2.780947e-03  2.029504e+04  1.038553e+00  2.107748e+04  4.834992e-05  2.776732e-04
    96  -2.130508e+00  -2.133661e+00  2.897949e-03  2.021088e+04  1.037313e+00  2.096502e+04  4.858024e-05  2.784169e-04
    97  -2.124174e+00  -2.127329e+00  3.019750e-03  2.012466e+04  1.036039e+00  2.084994e+04  4.881838e-05  2.791842e-04
    98  -2.117835e+00  -2.120993e+00  3.146529e-03  2.003631e+04  1.034731e+00  2.073219e+04  4.906463e-05  2.799759e-04
    99  -2.111492e+00  -2.114652e+00  3.278481e-03  1.994581e+04  1.033386e+00  2.061172e+04  4.931932e-05  2.807929e-04
   100  -2.105144e+00  -2.108306e+00  3.415810e-03  1.985311e+04  1.032005e+00  2.048850e+04  4.958276e-05  2.816360e-04
   101  -2.098791e+00  -2.101956e+00  3.558731e-03  1.975816e+04  1.030586e+00  2.036247e+04  4.985532e-05  2.825062e-04
   102  -2.092432e+00  -2.095600e+00  3.707443e-03  1.966092e+04  1.029128e+00  2.023361e+04  5.013735e-05  2.834044e-04
   103  -2.086068e+00  -2.089239e+00  3.862193e-03  1.956136e+04  1.027631e+00  2.010185e+04  5.042924e-05  2.843316e-04
   104  -2.079699e+00  -2.082872e+00  4.023197e-03  1.945943e+04  1.026093e+00  1.996717e+04  5.073138e-05  2.852890e-04
   105  -2.073324e+00  -2.076500e+00  4.190697e-03  1.935508e+04  1.024513e+00  1.982953e+04  5.104419e-05  2.862774e-04
   106  -2.066942e+00  -2.070121e+00  4.364955e-03  1.924827e+04  1.022891e+00  1.968888e+04  5.136811e-05  2.872981e-04
   107  -2.060553e+00  -2.063736e+00  4.546218e-03  1.913897e+04  1.021224e+00  1.954518e+04  5.170361e-05  2.883523e-04
   108  -2.054159e+00  -2.057344e+00  4.734748e-03  1.902712e+04  1.019513e+00  1.939840e+04  5.205117e-05  2.894412e-04
   109  -2.047757e+00  -2.050946e+00  4.930837e-03  1.891269e+04  1.017756e+00  1.924850e+04  5.241130e-05  2.905660e-04
   110  -2.041347e+00  -2.044540e+00  5.134764e-03  1.879563e+04  1.015951e+00  1.909543e+04  5.278455e-05  2.917282e-04
   111  -2.034930e+00  -2.038127e+00  5.346829e-03  1.867589e+04  1.014097e+00  1.893918e+04  5.317148e-05  2.929292e-04
   112  -2.028505e+00  -2.031705e+00  5.567324e-03  1.855345e+04  1.012194e+00  1.877970e+04  5.357268e-05  2.941704e-04
   113  -2.022071e+00  -2.025276e+00  5.796581e-03  1.842825e+04  1.010240e+00  1.861696e+04  5.398878e-05  2.954533e-04
   114  -2.015629e+00  -2.018838e+00  6.034915e-03  1.830026e+04  1.008234e+00  1.845094e+04  5.442045e-05  2.967796e-04
   115  -2.009178e+00  -2.012391e+00  6.282676e-03  1.816943e+04  1.006174e+00  1.828160e+04  5.486839e-05  2.981509e-04
   116  -2.002717e+00  -2.005935e+00  6.540210e-03  1.803572e+04  1.004058e+00  1.810892e+04  5.533335e-05  2.995691e-04
   117  -1.996246e+00  -1.999470e+00  6.807874e-03  1.789910e+04  1.001887e+00  1.793287e+04  5.581610e-05  3.010359e-04
   118  -1.989765e+00  -1.992994e+00  7.086044e-03  1.775952e+04  9.996573e-01  1.775344e+04  5.631746e-05  3.025534e-04
   119  -1.983273e+00  -1.986507e+00  7.375103e-03  1.761696e+04  9.973686e-01  1.757060e+04  5.683832e-05  3.041235e-04
   120  -1.976770e+00  -1.980010e+00  7.675455e-03  1.747136e+04  9.950191e-01  1.738434e+04  5.737961e-05  3.057484e-04
   121  -1.970256e+00  -1.973501e+00  7.987504e-03  1.732270e+04  9.926073e-01  1.719464e+04  5.794230e-05  3.074304e-04
   122  -1.963729e+00  -1.966980e+00  8.311671e-03  1.717094e+04  9.901317e-01  1.700149e+04  5.852743e-05  3.091717e-04
   123  -1.957189e+00  -1.960447e+00  8.648426e-03  1.701605e+04  9.875905e-01  1.680489e+04  5.913613e-05  3.109750e-04
   124  -1.950636e+00  -1.953900e+00  8.998165e-03  1.685799e+04  9.849823e-01  1.660482e+04  5.976956e-05  3.128428e-04
   125  -1.944069e+00  -1.947340e+00  9.361386e-03  1.669674e+04  9.823054e-01  1.640130e+04  6.042895e-05  3.147778e-04
   126  -1.937489e+00  -1.940767e+00  9.738557e-03  1.653227e+04  9.795580e-01  1.619432e+04  6.111564e-05  3.167830e-04
   127  -1.930892e+00  -1.934178e+00  1.013019e-02  1.636456e+04  9.767384e-01  1.598389e+04  6.183105e-05  3.188614e-04
   128  -1.924281e+00  -1.927574e+00  1.053678e-02  1.619356e+04  9.738448e-01  1.577002e+04  6.257671e-05  3.210164e-04
   129  -1.917652e+00  -1.920954e+00  1.095886e-02  1.601927e+04  9.708754e-01  1.555272e+04  6.335420e-05  3.232512e-04
   130  -1.911007e+00  -1.914317e+00  1.139696e-02  1.584167e+04  9.678283e-01  1.533202e+04  6.416524e-05  3.255694e-04
   131  -1.904344e+00  -1.907663e+00  1.185164e-02  1.566074e+04  9.647015e-01  1.510794e+04  6.501167e-05  3.279750e-04
   132  -1.897663e+00  -1.900990e+00  1.232348e-02  1.547645e+04  9.614932e-01  1.488050e+04  6.589546e-05  3.304718e-04
   133  -1.890961e+00  -1.894299e+00  1.281308e-02  1.528880e+04  9.582012e-01  1.464975e+04  6.681873e-05  3.330644e-04
   134  -1.884240e+00  -1.887588e+00  1.332102e-02  1.509778e+04  9.548235e-01  1.441572e+04  6.778370e-05  3.357570e-04
   135  -1.877498e+00  -1.880856e+00  1.384795e-02  1.490339e+04  9.513581e-01  1.417846e+04  6.879280e-05  3.385546e-04
   136  -1.870733e+00  -1.874102e+00  1.439450e-02  1.470561e+04  9.478027e-01  1.393802e+04  6.984864e-05  3.414623e-04
   137  -1.863946e+00  -1.867326e+00  1.496132e-02  1.450445e+04  9.441551e-01  1.369445e+04  7.095401e-05  3.444855e-04
   138  -1.857134e+00  -1.860527e+00  1.554911e-02  1.429992e+04  9.404130e-01  1.344783e+04  7.211191e-05  3.476299e-04
   139  -1.850297e+00  -1.853702e+00  1.615855e-02  1.409202e+04  9.365741e-01  1.319822e+04  7.332559e-05  3.509017e-04
   140  -1.843434e+00  -1.846852e+00  1.679038e-02  1.388077e+04  9.326361e-01  1.294571e+04  7.459855e-05  3.543075e-04
   141  -1.836544e+00  -1.839975e+00  1.744530e-02  1.366617e+04  9.285964e-01  1.269036e+04  7.593457e-05  3.578543e-04
   142  -1.829624e+00  -1.833070e+00  1.812408e-02  1.344826e+04  9.244525e-01  1.243228e+04  7.733774e-05  3.615496e-04
   143  -1.822675e+00  -1.826136e+00  1.882751e-02  1.322706e+04  9.202019e-01  1.217157e+04  7.881249e-05  3.654012e-04
   144  -1.815694e+00  -1.819171e+00  1.955637e-02  1.300260e+04  9.158419e-01  1.190832e+04  8.036364e-05  3.694179e-04
   145  -1.808680e+00  -1.812173e+00  2.031146e-02  1.277491e+04  9.113697e-01  1.164267e+04  8.199639e-05  3.736087e-04
   146  -1.801632e+00  -1.805142e+00  2.109364e-02  1.254405e+04  9.067826e-01  1.137472e+04  8.371645e-05  3.779835e-04
   147  -1.794548e+00  -1.798076e+00  2.190376e-02  1.231004e+04  9.020777e-01  1.110462e+04  8.552999e-05  3.825529e-04
   148  -1.787426e+00  -1.790972e+00  2.274267e-02  1.207296e+04  8.972519e-01  1.083249e+04  8.744378e-05  3.873282e-04
   149  -1.780264e+00  -1.783830e+00  2.361129e-02  1.183286e+04  8.923023e-01  1.055849e+04  8.946519e-05  3.923217e-04
   150  -1.773061e+00  -1.776648e+00  2.451054e-02  1.158981e+04  8.872257e-01  1.028278e+04  9.160232e-05  3.975465e-04
   151  -1.765814e+00  -1.769422e+00  2.544136e-02  1.134388e+04  8.820189e-01  1.000552e+04  9.386406e-05  4.030171e-04
   152  -1.758521e+00  -1.762152e+00  2.640469e-02  1.109516e+04  8.766784e-01  9.726884e+03  9.626013e-05  4.087487e-04
   153  -1.751181e+00  -1.754835e+00  2.740152e-02  1.084372e+04  8.712009e-01  9.447061e+03  9.880125e-05  4.147581e-04
   154  -1.743789e+00  -1.747469e+00  2.843287e-02  1.058968e+04  8.655828e-01  9.166241e+03  1.014993e-04  4.210635e-04
   155  -1.736345e+00  -1.740051e+00  2.949974e-02  1.033313e+04  8.598203e-01  8.884631e+03  1.043673e-04  4.276845e-04
   156  -1.728845e+00  -1.732579e+00  3.060319e-02  1.007418e+04  8.539098e-01  8.602441e+03  1.074198e-04  4.346427e-04
   157  -1.721286e+00  -1.725049e+00  3.174428e-02  9.812964e+03  8.478471e-01  8.319893e+03  1.106728e-04  4.419614e-04
   158  -1.713666e+00  -1.717459e+00  3.292412e-02  9.549607e+03  8.416283e-01  8.037219e+03  1.141443e-04  4.496663e-04
   159  -1.705980e+00  -1.709806e+00  3.414379e-02  9.284249e+03  8.352489e-01  7.754659e+03  1.178542e-04  4.577854e-04
