     i         log_r      log_rmid             m           rho            v2             p        trelax            kn
     0  -2.101994e+00  -2.403024e+00  4.936565e-05  2.995910e+02  1.377923e-01  4.128135e+01  8.992049e-03  2.075885e+00
     1  -2.088171e+00  -2.095027e+00  5.419782e-05  2.926795e+02  1.377856e-01  4.032701e+01  9.204620e-03  2.100304e+00
     2  -2.074363e+00  -2.081212e+00  5.950000e-05  2.922430e+02  1.377799e-01  4.026522e+01  9.218556e-03  2.101915e+00
     3  -2.060563e+00  -2.067408e+00  6.531955e-05  2.917538e+02  1.377863e-01  4.019968e+01  9.233800e-03  2.103628e+00
     4  -2.046764e+00  -2.053609e+00  7.170956e-05  2.912630e+02  1.377797e-01  4.013011e+01  9.249584e-03  2.105450e+00
     5  -2.032980e+00  -2.039817e+00  7.871809e-05  2.907202e+02  1.377830e-01  4.005630e+01  9.266739e-03  2.107389e+00
     6  -2.019204e+00  -2.026038e+00  8.640670e-05  2.901582e+02  1.377801e-01  3.997802e+01  9.284787e-03  2.109451e+00
     7  -2.005428e+00  -2.012261e+00  9.484598e-05  2.895549e+02  1.377803e-01  3.989497e+01  9.304124e-03  2.111646e+00
     8  -1.991653e+00  -1.998486e+00  1.041061e-04  2.889178e+02  1.377791e-01  3.980685e+01  9.324681e-03  2.113982e+00
     9  -1.977881e+00  -1.984713e+00  1.142643e-04  2.882408e+02  1.377784e-01  3.971337e+01  9.346605e-03  2.116468e+00
    10  -1.964115e+00  -1.970944e+00  1.254043e-04  2.875233e+02  1.377775e-01  3.961424e+01  9.369961e-03  2.119115e+00
    11  -1.950344e+00  -1.957175e+00  1.376269e-04  2.867623e+02  1.377765e-01  3.950911e+01  9.394860e-03  2.121932e+00
    12  -1.936572e+00  -1.943403e+00  1.510336e-04  2.859553e+02  1.377755e-01  3.939762e+01  9.421411e-03  2.124932e+00
    13  -1.922791e+00  -1.929627e+00  1.657433e-04  2.850994e+02  1.377744e-01  3.927939e+01  9.449731e-03  2.128128e+00
    14  -1.909015e+00  -1.915848e+00  1.818648e-04  2.841922e+02  1.377732e-01  3.915407e+01  9.479936e-03  2.131531e+00
    15  -1.895227e+00  -1.902066e+00  1.995513e-04  2.832308e+02  1.377720e-01  3.902126e+01  9.512159e-03  2.135155e+00
    16  -1.881436e+00  -1.888277e+00  2.189405e-04  2.822119e+02  1.377706e-01  3.888050e+01  9.546549e-03  2.139017e+00
    17  -1.867636e+00  -1.874481e+00  2.402008e-04  2.811324e+02  1.377692e-01  3.873138e+01  9.583256e-03  2.143131e+00
    18  -1.853824e+00  -1.860675e+00  2.635142e-04  2.799887e+02  1.377677e-01  3.857340e+01  9.622453e-03  2.147515e+00
    19  -1.840004e+00  -1.846859e+00  2.890647e-04  2.787776e+02  1.377661e-01  3.840609e+01  9.664313e-03  2.152187e+00
    20  -1.826171e+00  -1.833032e+00  3.170727e-04  2.774954e+02  1.377644e-01  3.822898e+01  9.709028e-03  2.157167e+00
    21  -1.812329e+00  -1.819195e+00  3.477602e-04  2.761385e+02  1.377625e-01  3.804153e+01  9.756803e-03  2.162475e+00
    22  -1.798468e+00  -1.805343e+00  3.813997e-04  2.747027e+02  1.377606e-01  3.784320e+01  9.807869e-03  2.168135e+00
    23  -1.784592e+00  -1.791474e+00  4.182554e-04  2.731838e+02  1.377585e-01  3.763338e+01  9.862475e-03  2.174170e+00
    24  -1.770697e+00  -1.777589e+00  4.586397e-04  2.715777e+02  1.377562e-01  3.741153e+01  9.920881e-03  2.180607e+00
    25  -1.756780e+00  -1.763683e+00  5.028839e-04  2.698799e+02  1.377539e-01  3.717700e+01  9.983380e-03  2.187475e+00
    26  -1.742847e+00  -1.749758e+00  5.513328e-04  2.680861e+02  1.377513e-01  3.692922e+01  1.005027e-02  2.194801e+00
    27  -1.728889e+00  -1.735812e+00  6.043959e-04  2.661918e+02  1.377486e-01  3.666755e+01  1.012189e-02  2.202618e+00
    28  -1.714906e+00  -1.721841e+00  6.625023e-04  2.641920e+02  1.377457e-01  3.639131e+01  1.019862e-02  2.210962e+00
    29  -1.700895e+00  -1.707844e+00  7.261187e-04  2.620818e+02  1.377426e-01  3.609983e+01  1.028085e-02  2.219870e+00
    30  -1.686856e+00  -1.693819e+00  7.957575e-04  2.598564e+02  1.377393e-01  3.579243e+01  1.036902e-02  2.229382e+00
    31  -1.672784e+00  -1.679763e+00  8.719757e-04  2.575106e+02  1.377358e-01  3.546842e+01  1.046361e-02  2.239542e+00
    32  -1.658679e+00  -1.665674e+00  9.553798e-04  2.550395e+02  1.377320e-01  3.512710e+01  1.056514e-02  2.250396e+00
    33  -1.644534e+00  -1.651549e+00  1.046648e-03  2.524378e+02  1.377279e-01  3.476773e+01  1.067418e-02  2.261997e+00
    34  -1.630351e+00  -1.637385e+00  1.146471e-03  2.497003e+02  1.377236e-01  3.438962e+01  1.079137e-02  2.274398e+00
    35  -1.616126e+00  -1.623180e+00  1.255647e-03  2.468223e+02  1.377189e-01  3.399211e+01  1.091739e-02  2.287658e+00
    36  -1.601854e+00  -1.608931e+00  1.375032e-03  2.437986e+02  1.377140e-01  3.357446e+01  1.105299e-02  2.301843e+00
