      step          time          <dt>         rho_c         v_max        Kn_min  <dt lim>  <dr lim>  <du lim>  <n_iter_cr>  <n_iter_dr>
         0  0.000000e+00           N/A  1.639545e+00  3.945163e-01  2.468654e+01       N/A       N/A       N/A          N/A          N/A
    100000  9.216108e-01  9.216108e-06  1.366558e+00  3.893436e-01  2.383137e+01  4.73e-03  6.76e-03  6.81e-01  0.00000e+00  1.99998e+00
    200000  2.033444e+00  1.111833e-05  1.539619e+00  3.804861e-01  2.297471e+01  6.22e-03  5.60e-03  5.60e-01  0.00000e+00  2.00000e+00
    300000  3.134141e+00  1.100697e-05  1.696407e+00  3.743600e-01  2.224543e+01  6.72e-03  5.60e-03  5.59e-01  0.00000e+00  2.00000e+00
    400000  4.216170e+00  1.082029e-05  1.839383e+00  3.700375e-01  2.161290e+01  7.12e-03  5.60e-03  5.58e-01  0.00000e+00  2.00000e+00
    500000  5.276641e+00  1.060471e-05  1.972197e+00  3.668454e-01  2.105420e+01  7.45e-03  5.60e-03  5.58e-01  0.00000e+00  2.00000e+00
    600000  6.315097e+00  1.038456e-05  2.097466e+00  3.643923e-01  2.055318e+01  7.73e-03  5.60e-03  5.57e-01  0.00000e+00  2.00000e+00
    700000  7.331810e+00  1.016712e-05  2.216965e+00  3.624561e-01  2.009843e+01  7.97e-03  5.60e-03  5.57e-01  0.00000e+00  2.00000e+00
    800000  8.327323e+00  9.955134e-06  2.331948e+00  3.608910e-01  1.968167e+01  8.19e-03  5.60e-03  5.57e-01  0.00000e+00  2.00000e+00
    900000  9.302432e+00  9.751087e-06  2.443345e+00  3.596016e-01  1.929664e+01  8.39e-03  5.60e-03  5.57e-01  0.00000e+00  2.00000e+00
   1000000  1.025799e+01  9.555599e-06  2.551846e+00  3.585277e-01  1.893854e+01  8.57e-03  5.60e-03  5.57e-01  0.00000e+00  2.00000e+00
   1100000  1.119473e+01  9.367371e-06  2.657977e+00  3.576215e-01  1.860363e+01  8.74e-03  5.60e-03  5.57e-01  0.00000e+00  2.00000e+00
   1200000  1.211353e+01  9.188013e-06  2.762173e+00  3.568499e-01  1.828886e+01  8.89e-03  5.60e-03  5.57e-01  0.00000e+00  2.00000e+00
   1300000  1.301504e+01  9.015109e-06  2.864764e+00  3.561857e-01  1.799183e+01  9.04e-03  5.60e-03  5.57e-01  0.00000e+00  2.00000e+00
   1400000  1.390001e+01  8.849666e-06  2.966024e+00  3.556136e-01  1.771048e+01  9.18e-03  5.60e-03  5.57e-01  0.00000e+00  2.00000e+00
   1500000  1.476906e+01  8.690527e-06  3.066179e+00  3.551177e-01  1.744317e+01  9.31e-03  5.60e-03  5.57e-01  0.00000e+00  2.00000e+00
   1600000  1.562284e+01  8.537804e-06  3.165426e+00  3.546857e-01  1.718846e+01  9.44e-03  5.60e-03  5.57e-01  0.00000e+00  2.00000e+00
   1700000  1.646194e+01  8.391015e-06  3.263928e+00  3.543087e-01  1.694513e+01  9.56e-03  5.60e-03  5.57e-01  0.00000e+00  2.00000e+00
   1800000  1.728685e+01  8.249068e-06  3.361816e+00  3.539788e-01  1.671218e+01  9.68e-03  5.60e-03  5.57e-01  0.00000e+00  2.00000e+00
   1900000  1.809809e+01  8.112401e-06  3.459217e+00  3.536888e-01  1.648869e+01  9.79e-03  5.60e-03  5.57e-01  0.00000e+00  2.00000e+00
   2000000  1.889614e+01  7.980515e-06  3.556230e+00  3.534356e-01  1.627388e+01  9.90e-03  5.60e-03  5.57e-01  0.00000e+00  2.00000e+00
   2100000  1.968147e+01  7.853262e-06  3.652952e+00  3.532139e-01  1.606708e+01  1.00e-02  5.60e-03  5.57e-01  0.00000e+00  2.00000e+00
   2200000  2.045449e+01  7.730217e-06  3.749465e+00  3.530197e-01  1.586766e+01  1.01e-02  5.60e-03  5.57e-01  0.00000e+00  2.00000e+00
   2300000  2.121559e+01  7.610982e-06  3.845835e+00  3.528517e-01  1.567509e+01  1.02e-02  5.60e-03  5.57e-01  0.00000e+00  2.00000e+00
   2400000  2.196515e+01  7.495596e-06  3.942137e+00  3.527044e-01  1.548890e+01  1.03e-02  5.60e-03  5.57e-01  0.00000e+00  2.00000e+00
   2500000  2.270349e+01  7.383424e-06  4.038419e+00  3.525771e-01  1.530867e+01  1.04e-02  5.60e-03  5.57e-01  0.00000e+00  2.00000e+00
   2600000  2.343100e+01  7.275122e-06  4.134742e+00  3.524680e-01  1.513400e+01  1.05e-02  5.60e-03  5.57e-01  0.00000e+00  2.00000e+00
   2700000  2.414795e+01  7.169505e-06  4.231152e+00  3.523740e-01  1.496455e+01  1.06e-02  5.60e-03  5.57e-01  0.00000e+00  2.00000e+00
   2800000  2.485467e+01  7.067230e-06  4.327693e+00  3.522955e-01  1.479999e+01  1.07e-02  5.60e-03  5.57e-01  0.00000e+00  2.00000e+00
   2900000  2.555145e+01  6.967747e-06  4.424403e+00  3.522309e-01  1.464005e+01  1.07e-02  5.60e-03  5.57e-01  0.00000e+00  2.00000e+00
   3000000  2.623853e+01  6.870796e-06  4.521326e+00  3.521772e-01  1.448447e+01  1.08e-02  5.60e-03  5.57e-01  0.00000e+00  2.00000e+00
   3100000  2.691619e+01  6.776635e-06  4.618492e+00  3.521352e-01  1.433300e+01  1.09e-02  5.60e-03  5.57e-01  0.00000e+00  2.00000e+00
