     i         log_r      log_rmid             m           rho            v2             p        trelax            kn
     0  -2.019209e+00  -2.320239e+00  4.936565e-05  1.691112e+02  1.309666e-01  2.214791e+01  1.633983e-02  2.834091e+00
     1  -2.005425e+00  -2.012262e+00  5.419782e-05  1.657131e+02  1.309617e-01  2.170208e+01  1.667519e-02  2.863054e+00
     2  -1.991656e+00  -1.998486e+00  5.950000e-05  1.654995e+02  1.309566e-01  2.167324e+01  1.669705e-02  2.864958e+00
     3  -1.977895e+00  -1.984721e+00  6.531955e-05  1.652582e+02  1.309626e-01  2.164264e+01  1.672104e-02  2.866982e+00
     4  -1.964134e+00  -1.970960e+00  7.170956e-05  1.650178e+02  1.309565e-01  2.161016e+01  1.674579e-02  2.869136e+00
     5  -1.950387e+00  -1.957206e+00  7.871809e-05  1.647504e+02  1.309597e-01  2.157567e+01  1.677276e-02  2.871428e+00
     6  -1.936649e+00  -1.943464e+00  8.640670e-05  1.644743e+02  1.309572e-01  2.153909e+01  1.680108e-02  2.873866e+00
     7  -1.922910e+00  -1.929725e+00  9.484598e-05  1.641774e+02  1.309575e-01  2.150026e+01  1.683145e-02  2.876459e+00
     8  -1.909174e+00  -1.915988e+00  1.041061e-04  1.638639e+02  1.309566e-01  2.145905e+01  1.686371e-02  2.879220e+00
     9  -1.895441e+00  -1.902253e+00  1.142643e-04  1.635306e+02  1.309561e-01  2.141532e+01  1.689811e-02  2.882159e+00
    10  -1.881714e+00  -1.888523e+00  1.254043e-04  1.631772e+02  1.309553e-01  2.136893e+01  1.693475e-02  2.885285e+00
    11  -1.867984e+00  -1.874794e+00  1.376269e-04  1.628023e+02  1.309546e-01  2.131971e+01  1.697380e-02  2.888614e+00
    12  -1.854253e+00  -1.861064e+00  1.510336e-04  1.624046e+02  1.309538e-01  2.126750e+01  1.701542e-02  2.892158e+00
    13  -1.840515e+00  -1.847330e+00  1.657433e-04  1.619826e+02  1.309530e-01  2.121211e+01  1.705980e-02  2.895931e+00
    14  -1.826784e+00  -1.833595e+00  1.818648e-04  1.615352e+02  1.309521e-01  2.115337e+01  1.710711e-02  2.899949e+00
    15  -1.813043e+00  -1.819859e+00  1.995513e-04  1.610608e+02  1.309511e-01  2.109109e+01  1.715756e-02  2.904227e+00
    16  -1.799301e+00  -1.806118e+00  2.189405e-04  1.605578e+02  1.309501e-01  2.102506e+01  1.721138e-02  2.908784e+00
    17  -1.785551e+00  -1.792372e+00  2.402008e-04  1.600247e+02  1.309491e-01  2.095508e+01  1.726879e-02  2.913637e+00
    18  -1.771792e+00  -1.778617e+00  2.635142e-04  1.594596e+02  1.309479e-01  2.088090e+01  1.733006e-02  2.918808e+00
    19  -1.758029e+00  -1.764856e+00  2.890647e-04  1.588609e+02  1.309467e-01  2.080231e+01  1.739545e-02  2.924317e+00
    20  -1.744255e+00  -1.751087e+00  3.170727e-04  1.582267e+02  1.309454e-01  2.071906e+01  1.746526e-02  2.930185e+00
