     i         log_r      log_rmid             m           rho            v2             p        trelax            kn
     0  -2.797341e+00  -3.098371e+00  5.465149e-07  4.043388e+02  1.706510e-01  6.900082e+01  5.986874e-03  1.305752e+00
     1  -2.776417e+00  -2.786753e+00  6.313647e-07  4.036992e+02  1.707414e-01  6.892817e+01  5.994772e-03  1.306440e+00
     2  -2.755511e+00  -2.765838e+00  7.293881e-07  4.039718e+02  1.706080e-01  6.892083e+01  5.993068e-03  1.306509e+00
     3  -2.734596e+00  -2.744927e+00  8.426301e-07  4.037516e+02  1.706810e-01  6.891275e+01  5.995054e-03  1.306586e+00
     4  -2.713685e+00  -2.724014e+00  9.734537e-07  4.037743e+02  1.706494e-01  6.890385e+01  5.995273e-03  1.306670e+00
     5  -2.692772e+00  -2.703103e+00  1.124588e-06  4.036906e+02  1.706605e-01  6.889406e+01  5.996320e-03  1.306763e+00
     6  -2.671860e+00  -2.682190e+00  1.299188e-06  4.036356e+02  1.706571e-01  6.888328e+01  5.997198e-03  1.306865e+00
     7  -2.650946e+00  -2.661277e+00  1.500895e-06  4.035644e+02  1.706578e-01  6.887142e+01  5.998243e-03  1.306978e+00
     8  -2.630032e+00  -2.640363e+00  1.733918e-06  4.034884e+02  1.706576e-01  6.885835e+01  5.999377e-03  1.307102e+00
     9  -2.609117e+00  -2.619448e+00  2.003120e-06  4.034046e+02  1.706574e-01  6.884398e+01  6.000627e-03  1.307238e+00
    10  -2.588200e+00  -2.598532e+00  2.314117e-06  4.033121e+02  1.706573e-01  6.882815e+01  6.002005e-03  1.307389e+00
    11  -2.567281e+00  -2.577615e+00  2.673398e-06  4.032104e+02  1.706571e-01  6.881073e+01  6.003521e-03  1.307554e+00
    12  -2.546361e+00  -2.556695e+00  3.088459e-06  4.030985e+02  1.706569e-01  6.879155e+01  6.005192e-03  1.307736e+00
    13  -2.525438e+00  -2.535773e+00  3.567962e-06  4.029753e+02  1.706567e-01  6.877045e+01  6.007031e-03  1.307937e+00
    14  -2.504513e+00  -2.514849e+00  4.121910e-06  4.028397e+02  1.706565e-01  6.874721e+01  6.009057e-03  1.308158e+00
    15  -2.483585e+00  -2.493923e+00  4.761863e-06  4.026904e+02  1.706563e-01  6.872164e+01  6.011289e-03  1.308401e+00
    16  -2.462654e+00  -2.472993e+00  5.501171e-06  4.025261e+02  1.706560e-01  6.869350e+01  6.013747e-03  1.308669e+00
    17  -2.441719e+00  -2.452060e+00  6.355263e-06  4.023453e+02  1.706557e-01  6.866252e+01  6.016455e-03  1.308965e+00
    18  -2.420780e+00  -2.431123e+00  7.341957e-06  4.021463e+02  1.706554e-01  6.862843e+01  6.019437e-03  1.309290e+00
