     i         log_r      log_rmid             m           rho            v2             p        trelax            kn
     0  -2.987123e+00  -3.288153e+00  5.465149e-07  1.500001e+03  1.944314e-01  2.916474e+02  1.511907e-03  6.351243e-01
     1  -2.966192e+00  -2.976531e+00  6.313647e-07  1.497077e+03  1.945325e-01  2.912302e+02  1.514466e-03  6.355790e-01
     2  -2.945279e+00  -2.955609e+00  7.293881e-07  1.498010e+03  1.943832e-01  2.911881e+02  1.514104e-03  6.356250e-01
     3  -2.924357e+00  -2.934692e+00  8.426301e-07  1.497144e+03  1.944647e-01  2.911417e+02  1.514663e-03  6.356757e-01
     4  -2.903439e+00  -2.913772e+00  9.734537e-07  1.497156e+03  1.944291e-01  2.910906e+02  1.514790e-03  6.357314e-01
     5  -2.882519e+00  -2.892853e+00  1.124588e-06  1.496771e+03  1.944415e-01  2.910344e+02  1.515131e-03  6.357928e-01
     6  -2.861599e+00  -2.871933e+00  1.299188e-06  1.496484e+03  1.944374e-01  2.909725e+02  1.515437e-03  6.358604e-01
     7  -2.840679e+00  -2.851013e+00  1.500895e-06  1.496131e+03  1.944378e-01  2.909044e+02  1.515794e-03  6.359349e-01
     8  -2.819757e+00  -2.830092e+00  1.733918e-06  1.495747e+03  1.944375e-01  2.908294e+02  1.516183e-03  6.360168e-01
     9  -2.798833e+00  -2.809169e+00  2.003120e-06  1.495328e+03  1.944369e-01  2.907469e+02  1.516611e-03  6.361071e-01
    10  -2.777908e+00  -2.788245e+00  2.314117e-06  1.494863e+03  1.944366e-01  2.906561e+02  1.517084e-03  6.362065e-01
    11  -2.756980e+00  -2.767318e+00  2.673398e-06  1.494353e+03  1.944360e-01  2.905561e+02  1.517604e-03  6.363159e-01
    12  -2.736050e+00  -2.746389e+00  3.088459e-06  1.493791e+03  1.944355e-01  2.904460e+02  1.518177e-03  6.364365e-01
    13  -2.715117e+00  -2.725457e+00  3.567962e-06  1.493173e+03  1.944348e-01  2.903249e+02  1.518807e-03  6.365692e-01
    14  -2.694180e+00  -2.704522e+00  4.121910e-06  1.492493e+03  1.944342e-01  2.901916e+02  1.519502e-03  6.367154e-01
    15  -2.673240e+00  -2.683584e+00  4.761863e-06  1.491744e+03  1.944334e-01  2.900449e+02  1.520268e-03  6.368764e-01
    16  -2.652295e+00  -2.662641e+00  5.501171e-06  1.490921e+03  1.944326e-01  2.898835e+02  1.521111e-03  6.370537e-01
    17  -2.631345e+00  -2.641694e+00  6.355263e-06  1.490014e+03  1.944316e-01  2.897058e+02  1.522040e-03  6.372490e-01
    18  -2.610390e+00  -2.620741e+00  7.341957e-06  1.489016e+03  1.944306e-01  2.895103e+02  1.523064e-03  6.374641e-01
    19  -2.589429e+00  -2.599783e+00  8.481841e-06  1.487918e+03  1.944295e-01  2.892952e+02  1.524192e-03  6.377011e-01
    20  -2.568461e+00  -2.578818e+00  9.798699e-06  1.486710e+03  1.944283e-01  2.890585e+02  1.525436e-03  6.379621e-01
    21  -2.547486e+00  -2.557847e+00  1.132001e-05  1.485381e+03  1.944269e-01  2.887981e+02  1.526806e-03  6.382497e-01
    22  -2.526503e+00  -2.536868e+00  1.307751e-05  1.483919e+03  1.944254e-01  2.885116e+02  1.528316e-03  6.385665e-01
    23  -2.505510e+00  -2.515880e+00  1.510787e-05  1.482311e+03  1.944238e-01  2.881964e+02  1.529981e-03  6.389156e-01
    24  -2.484508e+00  -2.494882e+00  1.745346e-05  1.480541e+03  1.944220e-01  2.878497e+02  1.531817e-03  6.393002e-01
    25  -2.463495e+00  -2.473875e+00  2.016322e-05  1.478595e+03  1.944200e-01  2.874684e+02  1.533841e-03  6.397241e-01
    26  -2.442470e+00  -2.452855e+00  2.329368e-05  1.476455e+03  1.944177e-01  2.870490e+02  1.536073e-03  6.401912e-01
    27  -2.421432e+00  -2.431823e+00  2.691017e-05  1.474101e+03  1.944153e-01  2.865879e+02  1.538535e-03  6.407061e-01
    28  -2.400378e+00  -2.410777e+00  3.108814e-05  1.471514e+03  1.944126e-01  2.860808e+02  1.541251e-03  6.412737e-01
    29  -2.379309e+00  -2.389716e+00  3.591475e-05  1.468669e+03  1.944097e-01  2.855234e+02  1.544249e-03  6.418993e-01
    30  -2.358222e+00  -2.368637e+00  4.149073e-05  1.465541e+03  1.944064e-01  2.849107e+02  1.547557e-03  6.425892e-01
    31  -2.337115e+00  -2.347540e+00  4.793241e-05  1.462104e+03  1.944029e-01  2.842372e+02  1.551209e-03  6.433500e-01
    32  -2.315986e+00  -2.326422e+00  5.537419e-05  1.458328e+03  1.943989e-01  2.834973e+02  1.555242e-03  6.441890e-01
    33  -2.294834e+00  -2.305281e+00  6.397135e-05  1.454178e+03  1.943946e-01  2.826844e+02  1.559697e-03  6.451146e-01
    34  -2.273654e+00  -2.284115e+00  7.390325e-05  1.449621e+03  1.943898e-01  2.817915e+02  1.564620e-03  6.461359e-01
    35  -2.252446e+00  -2.262921e+00  8.537713e-05  1.444617e+03  1.943845e-01  2.808110e+02  1.570061e-03  6.472629e-01
    36  -2.231206e+00  -2.241696e+00  9.863237e-05  1.439122e+03  1.943786e-01  2.797347e+02  1.576079e-03  6.485069e-01
    37  -2.209930e+00  -2.220438e+00  1.139455e-04  1.433093e+03  1.943722e-01  2.785534e+02  1.582736e-03  6.498805e-01
    38  -2.188615e+00  -2.199142e+00  1.316361e-04  1.426477e+03  1.943651e-01  2.772575e+02  1.590106e-03  6.513976e-01
    39  -2.167257e+00  -2.177804e+00  1.520732e-04  1.419222e+03  1.943573e-01  2.758361e+02  1.598267e-03  6.530737e-01
