     i         log_r      log_rmid             m           rho            v2             p        trelax            kn
     0  -2.728353e+00  -3.029383e+00  5.465149e-07  2.510622e+02  1.631886e-01  4.097047e+01  9.859931e-03  1.694542e+00
     1  -2.707431e+00  -2.717766e+00  6.313647e-07  2.506936e+02  1.632750e-01  4.093199e+01  9.871815e-03  1.695338e+00
     2  -2.686527e+00  -2.696853e+00  7.293881e-07  2.508655e+02  1.631475e-01  4.092810e+01  9.868899e-03  1.695419e+00
     3  -2.665614e+00  -2.675945e+00  8.426301e-07  2.507321e+02  1.632173e-01  4.092382e+01  9.872041e-03  1.695507e+00
     4  -2.644705e+00  -2.655034e+00  9.734537e-07  2.507496e+02  1.631871e-01  4.091911e+01  9.872265e-03  1.695605e+00
     5  -2.623795e+00  -2.634124e+00  1.124588e-06  2.507014e+02  1.631978e-01  4.091392e+01  9.873839e-03  1.695713e+00
     6  -2.602884e+00  -2.613214e+00  1.299188e-06  2.506715e+02  1.631945e-01  4.090821e+01  9.875119e-03  1.695831e+00
     7  -2.581973e+00  -2.592303e+00  1.500895e-06  2.506320e+02  1.631952e-01  4.090192e+01  9.876656e-03  1.695961e+00
     8  -2.561061e+00  -2.571391e+00  1.733918e-06  2.505897e+02  1.631950e-01  4.089500e+01  9.878324e-03  1.696105e+00
     9  -2.540148e+00  -2.550479e+00  2.003120e-06  2.505434e+02  1.631948e-01  4.088739e+01  9.880158e-03  1.696263e+00
    10  -2.519234e+00  -2.529565e+00  2.314117e-06  2.504920e+02  1.631948e-01  4.087900e+01  9.882184e-03  1.696437e+00
    11  -2.498318e+00  -2.508650e+00  2.673398e-06  2.504357e+02  1.631947e-01  4.086977e+01  9.884410e-03  1.696628e+00
    12  -2.477401e+00  -2.487734e+00  3.088459e-06  2.503736e+02  1.631945e-01  4.085961e+01  9.886865e-03  1.696839e+00
    13  -2.456481e+00  -2.466815e+00  3.567962e-06  2.503053e+02  1.631944e-01  4.084843e+01  9.889567e-03  1.697071e+00
    14  -2.435560e+00  -2.445894e+00  4.121910e-06  2.502302e+02  1.631942e-01  4.083612e+01  9.892543e-03  1.697327e+00
    15  -2.414635e+00  -2.424971e+00  4.761863e-06  2.501474e+02  1.631940e-01  4.082257e+01  9.895821e-03  1.697609e+00
    16  -2.393708e+00  -2.404046e+00  5.501171e-06  2.500563e+02  1.631938e-01  4.080765e+01  9.899431e-03  1.697919e+00
    17  -2.372778e+00  -2.383117e+00  6.355263e-06  2.499561e+02  1.631936e-01  4.079124e+01  9.903408e-03  1.698261e+00
    18  -2.351844e+00  -2.362185e+00  7.341957e-06  2.498458e+02  1.631934e-01  4.077317e+01  9.907789e-03  1.698637e+00
    19  -2.330906e+00  -2.341249e+00  8.481841e-06  2.497244e+02  1.631931e-01  4.075329e+01  9.912615e-03  1.699051e+00
    20  -2.309964e+00  -2.320309e+00  9.798699e-06  2.495907e+02  1.631928e-01  4.073140e+01  9.917931e-03  1.699508e+00
    21  -2.289017e+00  -2.299364e+00  1.132001e-05  2.494437e+02  1.631924e-01  4.070732e+01  9.923788e-03  1.700010e+00
    22  -2.268065e+00  -2.278415e+00  1.307751e-05  2.492819e+02  1.631921e-01  4.068082e+01  9.930241e-03  1.700564e+00
    23  -2.247106e+00  -2.257459e+00  1.510787e-05  2.491038e+02  1.631917e-01  4.065166e+01  9.937352e-03  1.701174e+00
    24  -2.226142e+00  -2.236498e+00  1.745346e-05  2.489079e+02  1.631912e-01  4.061957e+01  9.945188e-03  1.701845e+00
    25  -2.205170e+00  -2.215529e+00  2.016322e-05  2.486923e+02  1.631907e-01  4.058427e+01  9.953825e-03  1.702585e+00
    26  -2.184190e+00  -2.194553e+00  2.329368e-05  2.484551e+02  1.631902e-01  4.054543e+01  9.963343e-03  1.703401e+00
    27  -2.163201e+00  -2.173569e+00  2.691017e-05  2.481942e+02  1.631895e-01  4.050270e+01  9.973836e-03  1.704299e+00
    28  -2.142203e+00  -2.152575e+00  3.108814e-05  2.479072e+02  1.631889e-01  4.045569e+01  9.985404e-03  1.705289e+00
    29  -2.121194e+00  -2.131571e+00  3.591475e-05  2.475915e+02  1.631881e-01  4.040399e+01  9.998158e-03  1.706380e+00
    30  -2.100173e+00  -2.110556e+00  4.149073e-05  2.472443e+02  1.631873e-01  4.034713e+01  1.001222e-02  1.707582e+00
    31  -2.079139e+00  -2.089529e+00  4.793241e-05  2.468625e+02  1.631864e-01  4.028460e+01  1.002774e-02  1.708906e+00
    32  -2.058091e+00  -2.068488e+00  5.537419e-05  2.464426e+02  1.631854e-01  4.021585e+01  1.004485e-02  1.710366e+00
    33  -2.037028e+00  -2.047432e+00  6.397135e-05  2.459810e+02  1.631843e-01  4.014025e+01  1.006373e-02  1.711976e+00
    34  -2.015947e+00  -2.026359e+00  7.390325e-05  2.454736e+02  1.631831e-01  4.005716e+01  1.008457e-02  1.713751e+00
    35  -1.994847e+00  -2.005269e+00  8.537713e-05  2.449160e+02  1.631818e-01  3.996583e+01  1.010758e-02  1.715708e+00
    36  -1.973726e+00  -1.984158e+00  9.863237e-05  2.443032e+02  1.631803e-01  3.986547e+01  1.013298e-02  1.717866e+00
    37  -1.952581e+00  -1.963025e+00  1.139455e-04  2.436299e+02  1.631787e-01  3.975521e+01  1.016103e-02  1.720247e+00
    38  -1.931412e+00  -1.941867e+00  1.316361e-04  2.428903e+02  1.631769e-01  3.963409e+01  1.019202e-02  1.722873e+00
    39  -1.910213e+00  -1.920683e+00  1.520732e-04  2.420781e+02  1.631750e-01  3.950108e+01  1.022628e-02  1.725771e+00
    40  -1.888984e+00  -1.899469e+00  1.756831e-04  2.411864e+02  1.631728e-01  3.935505e+01  1.026416e-02  1.728970e+00
    41  -1.867721e+00  -1.878222e+00  2.029585e-04  2.402076e+02  1.631704e-01  3.919478e+01  1.030606e-02  1.732502e+00
    42  -1.846419e+00  -1.856939e+00  2.344683e-04  2.391338e+02  1.631677e-01  3.901891e+01  1.035242e-02  1.736402e+00
    43  -1.825076e+00  -1.835617e+00  2.708699e-04  2.379558e+02  1.631648e-01  3.882602e+01  1.040376e-02  1.740710e+00
    44  -1.803687e+00  -1.814250e+00  3.129227e-04  2.366644e+02  1.631616e-01  3.861453e+01  1.046064e-02  1.745470e+00
    45  -1.782247e+00  -1.792835e+00  3.615038e-04  2.352489e+02  1.631580e-01  3.838274e+01  1.052369e-02  1.750732e+00
    46  -1.760750e+00  -1.771366e+00  4.176266e-04  2.336984e+02  1.631540e-01  3.812884e+01  1.059364e-02  1.756552e+00
    47  -1.739192e+00  -1.749837e+00  4.824616e-04  2.320008e+02  1.631496e-01  3.785085e+01  1.067130e-02  1.762991e+00
    48  -1.717565e+00  -1.728244e+00  5.573610e-04  2.301432e+02  1.631448e-01  3.754666e+01  1.075760e-02  1.770118e+00
    49  -1.695862e+00  -1.706578e+00  6.438865e-04  2.281118e+02  1.631394e-01  3.721403e+01  1.085357e-02  1.778011e+00
    50  -1.674076e+00  -1.684832e+00  7.438424e-04  2.258920e+02  1.631334e-01  3.685054e+01  1.096043e-02  1.786759e+00
    51  -1.652196e+00  -1.662998e+00  8.593123e-04  2.234681e+02  1.631268e-01  3.645364e+01  1.107954e-02  1.796459e+00
    52  -1.630215e+00  -1.641066e+00  9.927029e-04  2.208237e+02  1.631194e-01  3.602064e+01  1.121247e-02  1.807224e+00
    53  -1.608119e+00  -1.619026e+00  1.146794e-03  2.179415e+02  1.631113e-01  3.554871e+01  1.136104e-02  1.819181e+00
    54  -1.585898e+00  -1.596867e+00  1.324795e-03  2.148034e+02  1.631022e-01  3.503489e+01  1.152734e-02  1.832472e+00
    55  -1.563538e+00  -1.574574e+00  1.530413e-03  2.113906e+02  1.630920e-01  3.447613e+01  1.171380e-02  1.847262e+00
    56  -1.541022e+00  -1.552134e+00  1.767929e-03  2.076842e+02  1.630807e-01  3.386929e+01  1.192327e-02  1.863737e+00
    57  -1.518336e+00  -1.529531e+00  2.042283e-03  2.036645e+02  1.630681e-01  3.321119e+01  1.215906e-02  1.882112e+00
    58  -1.495458e+00  -1.506746e+00  2.359180e-03  1.993122e+02  1.630540e-01  3.249865e+01  1.242511e-02  1.902633e+00
    59  -1.472369e+00  -1.483760e+00  2.725204e-03  1.946082e+02  1.630382e-01  3.172857e+01  1.272607e-02  1.925584e+00
    60  -1.449044e+00  -1.460550e+00  3.147951e-03  1.895342e+02  1.630205e-01  3.089797e+01  1.306746e-02  1.951295e+00
    61  -1.425456e+00  -1.437089e+00  3.636185e-03  1.840735e+02  1.630006e-01  3.000408e+01  1.345594e-02  1.980148e+00
    62  -1.401575e+00  -1.413351e+00  4.200015e-03  1.782111e+02  1.629781e-01  2.904451e+01  1.389954e-02  2.012592e+00
    63  -1.377367e+00  -1.389302e+00  4.851093e-03  1.719351e+02  1.629527e-01  2.801730e+01  1.440803e-02  2.049154e+00
    64  -1.352793e+00  -1.364906e+00  5.602845e-03  1.652374e+02  1.629239e-01  2.692112e+01  1.499337e-02  2.090457e+00
    65  -1.327810e+00  -1.340122e+00  6.470735e-03  1.581145e+02  1.628912e-01  2.575545e+01  1.567038e-02  2.137240e+00
    66  -1.302368e+00  -1.314903e+00  7.472559e-03  1.505693e+02  1.628538e-01  2.452078e+01  1.645753e-02  2.190386e+00
    67  -1.276411e+00  -1.289196e+00  8.628782e-03  1.426121e+02  1.628110e-01  2.321883e+01  1.737807e-02  2.250959e+00
    68  -1.249874e+00  -1.262940e+00  9.962910e-03  1.342624e+02  1.627618e-01  2.185279e+01  1.846160e-02  2.320247e+00
    69  -1.222685e+00  -1.236067e+00  1.150191e-02  1.255502e+02  1.627048e-01  2.042761e+01  1.974616e-02  2.399822e+00
    70  -1.194757e+00  -1.208497e+00  1.327668e-02  1.165175e+02  1.626385e-01  1.895023e+01  2.128125e-02  2.491612e+00
    71  -1.165997e+00  -1.180139e+00  1.532255e-02  1.072204e+02  1.625609e-01  1.742983e+01  2.313208e-02  2.598012e+00
    72  -1.136291e+00  -1.150890e+00  1.767980e-02  9.772942e+01  1.624693e-01  1.587803e+01  2.538569e-02  2.722008e+00
    73  -1.105514e+00  -1.120630e+00  2.039428e-02  8.813107e+01  1.623606e-01  1.430901e+01  2.815987e-02  2.867365e+00
    74  -1.073518e+00  -1.089221e+00  2.351794e-02  7.852727e+01  1.622301e-01  1.273949e+01  3.161649e-02  3.038867e+00
    75  -1.040136e+00  -1.056506e+00  2.710946e-02  6.903459e+01  1.620723e-01  1.118860e+01  3.598146e-02  3.242649e+00
    76  -1.005175e+00  -1.022304e+00  3.123472e-02  5.978174e+01  1.618793e-01  9.677427e+00  4.157534e-02  3.486646e+00
    77  -9.684187e-01  -9.864083e-01  3.596722e-02  5.090543e+01  1.616406e-01  8.228386e+00  4.886081e-02  3.781207e+00
    78  -9.296218e-01  -9.485872e-01  4.138837e-02  4.254424e+01  1.613420e-01  6.864175e+00  5.851746e-02  4.139936e+00
    79  -8.885164e-01  -9.085830e-01  4.758742e-02  3.483056e+01  1.609639e-01  5.606463e+00  7.156082e-02  4.580821e+00
    80  -8.448169e-01  -8.661173e-01  5.466106e-02  2.788069e+01  1.604795e-01  4.474279e+00  8.953374e-02  5.127743e+00
    81  -7.982349e-01  -8.209017e-01  6.271246e-02  2.178422e+01  1.598521e-01  3.482254e+00  1.148150e-01  5.812428e+00
    82  -7.485045e-01  -7.726583e-01  7.184958e-02  1.659390e+01  1.590325e-01  2.638970e+00  1.511153e-01  6.676834e+00
    83  -6.954239e-01  -7.211538e-01  8.218272e-02  1.231809e+01  1.579562e-01  1.945719e+00  2.042623e-01  7.775848e+00
    84  -6.389114e-01  -6.662491e-01  9.382090e-02  8.918120e+00  1.565427e-01  1.396066e+00  2.834068e-01  9.179833e+00
    85  -5.790730e-01  -6.079624e-01  1.068672e-01  6.312224e+00  1.546988e-01  9.764936e-01  4.027857e-01  1.097623e+01
    86  -5.162641e-01  -5.465341e-01  1.214132e-01  4.386425e+00  1.523299e-01  6.681836e-01  5.841128e-01  1.326905e+01
    87  -4.511171e-01  -4.824702e-01  1.375320e-01  3.010484e+00  1.493585e-01  4.496414e-01  8.595055e-01  1.617538e+01
    88  -3.845087e-01  -4.165372e-01  1.552715e-01  2.054997e+00  1.457490e-01  2.995138e-01  1.274635e+00  1.981889e+01
    89  -3.174611e-01  -3.496923e-01  1.746472e-01  1.405200e+00  1.415258e-01  1.988721e-01  1.891664e+00  2.432209e+01
    90  -2.510048e-01  -2.829631e-01  1.956363e-01  9.685764e-01  1.367767e-01  1.324787e-01  2.791644e+00  2.979990e+01
    91  -1.860522e-01  -2.173154e-01  2.181737e-01  6.761466e-01  1.316350e-01  8.900453e-02  4.076369e+00  3.635647e+01
    92  -1.233198e-01  -1.535543e-01  2.421510e-01  4.794641e-01  1.262508e-01  6.053272e-02  5.869848e+00  4.408519e+01
    93  -6.330705e-02  -9.227762e-02  2.674181e-01  3.458850e-01  1.207636e-01  4.177032e-02  8.319557e+00  5.307058e+01
    94  -6.316834e-03  -3.387780e-02  2.937894e-01  2.539513e-01  1.152851e-01  2.927681e-02  1.159746e+01  6.339075e+01
    95  4.750650e-02  2.142811e-02  3.210518e-01  1.897120e-01  1.098947e-01  2.084834e-02  1.590072e+01  7.511939e+01
    96  9.813624e-02  7.355875e-02  3.489753e-01  1.441034e-01  1.046424e-01  1.507933e-02  2.145221e+01  8.832767e+01
    97  1.456286e-01  1.225313e-01  3.773243e-01  1.112000e-01  9.955694e-02  1.107073e-02  2.850096e+01  1.030860e+02
    98  1.900961e-01  1.684313e-01  4.058679e-01  8.708763e-02  9.465206e-02  8.243024e-03  3.732317e+01  1.194660e+02
    99  2.316878e-01  2.113897e-01  4.343890e-01  6.914740e-02  8.993313e-02  6.218642e-03  4.822412e+01  1.375435e+02
   100  2.705752e-01  2.515666e-01  4.626914e-01  5.560313e-02  8.540096e-02  4.748561e-03  6.154168e+01  1.574007e+02
   101  3.069418e-01  2.891391e-01  4.906037e-01  4.523346e-02  8.105447e-02  3.666374e-03  7.765184e+01  1.791304e+02
   102  3.409759e-01  3.242922e-01  5.179815e-01  3.718702e-02  7.689209e-02  2.859388e-03  9.697679e+01  2.028389e+02
