     i         log_r      log_rmid             m           rho            v2             p        trelax            kn
     0  -2.066068e+00  -2.367098e+00  5.465149e-07  2.587774e+00  1.283008e-01  3.320135e-01  1.078845e+00  1.882391e+01
     1  -2.045159e+00  -2.055488e+00  6.313647e-07  2.585714e+00  1.283696e-01  3.319272e-01  1.079415e+00  1.882636e+01
     2  -2.024268e+00  -2.034588e+00  7.293881e-07  2.587689e+00  1.282683e-01  3.319184e-01  1.079017e+00  1.882661e+01
     3  -2.003368e+00  -2.013692e+00  8.426301e-07  2.586508e+00  1.283231e-01  3.319088e-01  1.079279e+00  1.882688e+01
     4  -1.982471e+00  -1.992794e+00  9.734537e-07  2.586910e+00  1.282991e-01  3.318983e-01  1.079212e+00  1.882718e+01
     5  -1.961573e+00  -1.971897e+00  1.124588e-06  2.586644e+00  1.283078e-01  3.318866e-01  1.079287e+00  1.882751e+01
     6  -1.940676e+00  -1.950999e+00  1.299188e-06  2.586608e+00  1.283046e-01  3.318738e-01  1.079315e+00  1.882787e+01
     7  -1.919778e+00  -1.930101e+00  1.500895e-06  2.586491e+00  1.283050e-01  3.318597e-01  1.079362e+00  1.882827e+01
     8  -1.898880e+00  -1.909204e+00  1.733918e-06  2.586371e+00  1.283049e-01  3.318442e-01  1.079413e+00  1.882872e+01
     9  -1.877982e+00  -1.888306e+00  2.003120e-06  2.586253e+00  1.283042e-01  3.318270e-01  1.079465e+00  1.882920e+01
    10  -1.857084e+00  -1.867407e+00  2.314117e-06  2.586107e+00  1.283041e-01  3.318082e-01  1.079526e+00  1.882974e+01
    11  -1.836185e+00  -1.846509e+00  2.673398e-06  2.585957e+00  1.283036e-01  3.317875e-01  1.079591e+00  1.883032e+01
    12  -1.815285e+00  -1.825609e+00  3.088459e-06  2.585786e+00  1.283032e-01  3.317647e-01  1.079664e+00  1.883097e+01
    13  -1.794386e+00  -1.804710e+00  3.567962e-06  2.585601e+00  1.283027e-01  3.317395e-01  1.079744e+00  1.883168e+01
    14  -1.773485e+00  -1.783810e+00  4.121910e-06  2.585396e+00  1.283022e-01  3.317119e-01  1.079832e+00  1.883247e+01
    15  -1.752584e+00  -1.762909e+00  4.761863e-06  2.585170e+00  1.283016e-01  3.316814e-01  1.079928e+00  1.883333e+01
    16  -1.731682e+00  -1.742007e+00  5.501171e-06  2.584922e+00  1.283009e-01  3.316479e-01  1.080035e+00  1.883429e+01
    17  -1.710779e+00  -1.721105e+00  6.355263e-06  2.584648e+00  1.283002e-01  3.316110e-01  1.080152e+00  1.883533e+01
    18  -1.689876e+00  -1.700202e+00  7.341957e-06  2.584347e+00  1.282995e-01  3.315704e-01  1.080281e+00  1.883649e+01
    19  -1.668971e+00  -1.679298e+00  8.481841e-06  2.584016e+00  1.282986e-01  3.315256e-01  1.080423e+00  1.883776e+01
    20  -1.648065e+00  -1.658392e+00  9.798699e-06  2.583651e+00  1.282976e-01  3.314764e-01  1.080580e+00  1.883916e+01
    21  -1.627158e+00  -1.637486e+00  1.132001e-05  2.583250e+00  1.282966e-01  3.314222e-01  1.080752e+00  1.884070e+01
    22  -1.606250e+00  -1.616578e+00  1.307751e-05  2.582808e+00  1.282954e-01  3.313625e-01  1.080942e+00  1.884240e+01
    23  -1.585340e+00  -1.595669e+00  1.510787e-05  2.582322e+00  1.282942e-01  3.312968e-01  1.081151e+00  1.884426e+01
    24  -1.564428e+00  -1.574758e+00  1.745346e-05  2.581786e+00  1.282928e-01  3.312245e-01  1.081381e+00  1.884632e+01
    25  -1.543514e+00  -1.553845e+00  2.016322e-05  2.581197e+00  1.282912e-01  3.311449e-01  1.081634e+00  1.884859e+01
    26  -1.522599e+00  -1.532931e+00  2.329368e-05  2.580548e+00  1.282895e-01  3.310572e-01  1.081913e+00  1.885108e+01
    27  -1.501681e+00  -1.512014e+00  2.691017e-05  2.579834e+00  1.282876e-01  3.309608e-01  1.082221e+00  1.885383e+01
    28  -1.480760e+00  -1.491094e+00  3.108814e-05  2.579047e+00  1.282856e-01  3.308546e-01  1.082559e+00  1.885685e+01
    29  -1.459837e+00  -1.470172e+00  3.591475e-05  2.578182e+00  1.282833e-01  3.307377e-01  1.082932e+00  1.886018e+01
    30  -1.438910e+00  -1.449248e+00  4.149073e-05  2.577230e+00  1.282808e-01  3.306091e-01  1.083343e+00  1.886385e+01
    31  -1.417981e+00  -1.428319e+00  4.793241e-05  2.576181e+00  1.282780e-01  3.304675e-01  1.083796e+00  1.886789e+01
