      step          time         t_Gyr         rho_c  rhoc_Msunpc3         v_max     v_max_kms        Kn_min       mintrel   mintrel_Gyr
         0  0.000000e+00  0.000000e+00  1.639545e+00  2.759942e-02  3.945163e-01  3.118433e+01  2.468654e+01  1.809061e+00  2.819362e-01
         1  6.591790e-08  1.027309e-08  1.682717e+00  2.832618e-02  3.950761e-01  3.122858e+01  2.458443e+01  1.747297e+00  2.723105e-01
        62  1.558330e-05  2.428607e-06  1.665799e+00  2.804138e-02  3.950696e-01  3.122806e+01  2.459843e+01  1.757148e+00  2.738458e-01
        85  6.269180e-05  9.770311e-06  1.648794e+00  2.775513e-02  3.950688e-01  3.122800e+01  2.459847e+01  1.766189e+00  2.752547e-01
       104  1.494168e-04  2.328612e-05  1.631461e+00  2.746335e-02  3.950672e-01  3.122788e+01  2.459853e+01  1.775550e+00  2.767137e-01
       122  2.717546e-04  4.235206e-05  1.615104e+00  2.718801e-02  3.950650e-01  3.122770e+01  2.459859e+01  1.784523e+00  2.781120e-01
       140  4.381303e-04  6.828117e-05  1.598861e+00  2.691457e-02  3.950621e-01  3.122747e+01  2.459864e+01  1.793569e+00  2.795218e-01
       160  6.537805e-04  1.018895e-04  1.582807e+00  2.664433e-02  3.950582e-01  3.122717e+01  2.459870e+01  1.802645e+00  2.809363e-01
       198  9.389242e-04  1.463283e-04  1.566320e+00  2.636679e-02  3.950532e-01  3.122677e+01  2.459874e+01  1.812111e+00  2.824116e-01
       241  1.287308e-03  2.006228e-04  1.550451e+00  2.609966e-02  3.950470e-01  3.122628e+01  2.459878e+01  1.821364e+00  2.838536e-01
       289  1.710925e-03  2.666421e-04  1.534921e+00  2.583824e-02  3.950395e-01  3.122568e+01  2.459879e+01  1.830555e+00  2.852860e-01
       345  2.246411e-03  3.500959e-04  1.519100e+00  2.557190e-02  3.950300e-01  3.122493e+01  2.459877e+01  1.840063e+00  2.867677e-01
       406  2.885863e-03  4.497523e-04  1.503805e+00  2.531443e-02  3.950186e-01  3.122404e+01  2.459872e+01  1.849392e+00  2.882217e-01
       466  3.665368e-03  5.712356e-04  1.488666e+00  2.505959e-02  3.950049e-01  3.122295e+01  2.459862e+01  1.858764e+00  2.896823e-01
       541  4.616446e-03  7.194580e-04  1.473704e+00  2.480773e-02  3.949881e-01  3.122162e+01  2.459844e+01  1.868163e+00  2.911470e-01
       644  5.766317e-03  8.986616e-04  1.458936e+00  2.455913e-02  3.949679e-01  3.122002e+01  2.459817e+01  1.877574e+00  2.926137e-01
       738  7.180950e-03  1.119127e-03  1.444181e+00  2.431076e-02  3.949430e-01  3.121806e+01  2.459778e+01  1.887110e+00  2.941000e-01
       865  8.927765e-03  1.391363e-03  1.429606e+00  2.406541e-02  3.949125e-01  3.121565e+01  2.459721e+01  1.896662e+00  2.955885e-01
      1026  1.105288e-02  1.722555e-03  1.415242e+00  2.382360e-02  3.948756e-01  3.121273e+01  2.459643e+01  1.906202e+00  2.970754e-01
      1282  1.377771e-02  2.147211e-03  1.400566e+00  2.357655e-02  3.948284e-01  3.120900e+01  2.459531e+01  1.916076e+00  2.986141e-01
      1535  1.708579e-02  2.662764e-03  1.386518e+00  2.334007e-02  3.947717e-01  3.120451e+01  2.459380e+01  1.925640e+00  3.001047e-01
      2190  2.118970e-02  3.302345e-03  1.372624e+00  2.310618e-02  3.947019e-01  3.119900e+01  2.459175e+01  1.935200e+00  3.015946e-01
      3036  2.640602e-02  4.115292e-03  1.358887e+00  2.287495e-02  3.946143e-01  3.119207e+01  2.458893e+01  1.944734e+00  3.030804e-01
      4134  3.311537e-02  5.160922e-03  1.345290e+00  2.264606e-02  3.945033e-01  3.118331e+01  2.458502e+01  1.954226e+00  3.045597e-01
      5590  4.193303e-02  6.535125e-03  1.331828e+00  2.241945e-02  3.943607e-01  3.117203e+01  2.457952e+01  1.963638e+00  3.060266e-01
      7584  5.389303e-02  8.399052e-03  1.318504e+00  2.219515e-02  3.941833e-01  3.115800e+01  2.457155e+01  1.972896e+00  3.074693e-01
     10468  7.102405e-02  1.106887e-02  1.305313e+00  2.197310e-02  3.939474e-01  3.113936e+01  2.455941e+01  1.981859e+00  3.088662e-01
     15108  9.829115e-02  1.531835e-02  1.292259e+00  2.175336e-02  3.936171e-01  3.111325e+01  2.453885e+01  1.990176e+00  3.101624e-01
