     i         log_r      log_rmid             m           rho            v2             p        trelax            kn
     0  -2.548984e+00  -2.850014e+00  5.465149e-07  7.272354e+01  1.459996e-01  1.061761e+01  3.598729e-02  3.328698e+00
     1  -2.528067e+00  -2.538400e+00  6.313647e-07  7.263460e+01  1.460769e-01  1.061023e+01  3.602183e-02  3.329855e+00
     2  -2.507168e+00  -2.517492e+00  7.293881e-07  7.268612e+01  1.459631e-01  1.060949e+01  3.601032e-02  3.329972e+00
     3  -2.486259e+00  -2.496588e+00  8.426301e-07  7.264950e+01  1.460253e-01  1.060867e+01  3.602079e-02  3.330101e+00
     4  -2.465355e+00  -2.475681e+00  9.734537e-07  7.265672e+01  1.459984e-01  1.060776e+01  3.602054e-02  3.330242e+00
     5  -2.444449e+00  -2.454776e+00  1.124588e-06  7.264514e+01  1.460080e-01  1.060677e+01  3.602509e-02  3.330398e+00
     6  -2.423543e+00  -2.433870e+00  1.299188e-06  7.263910e+01  1.460051e-01  1.060568e+01  3.602845e-02  3.330570e+00
     7  -2.402637e+00  -2.412964e+00  1.500895e-06  7.263056e+01  1.460056e-01  1.060447e+01  3.603262e-02  3.330760e+00
     8  -2.381730e+00  -2.392057e+00  1.733918e-06  7.262149e+01  1.460056e-01  1.060314e+01  3.603712e-02  3.330968e+00
     9  -2.360822e+00  -2.371150e+00  2.003120e-06  7.261158e+01  1.460054e-01  1.060168e+01  3.604206e-02  3.331197e+00
    10  -2.339913e+00  -2.350242e+00  2.314117e-06  7.260056e+01  1.460054e-01  1.060008e+01  3.604753e-02  3.331450e+00
    11  -2.319004e+00  -2.329333e+00  2.673398e-06  7.258850e+01  1.460053e-01  1.059831e+01  3.605354e-02  3.331728e+00
    12  -2.298093e+00  -2.308422e+00  3.088459e-06  7.257519e+01  1.460052e-01  1.059636e+01  3.606016e-02  3.332034e+00
    13  -2.277180e+00  -2.287510e+00  3.567962e-06  7.256055e+01  1.460051e-01  1.059421e+01  3.606744e-02  3.332372e+00
    14  -2.256266e+00  -2.266597e+00  4.121910e-06  7.254443e+01  1.460050e-01  1.059185e+01  3.607547e-02  3.332743e+00
    15  -2.235350e+00  -2.245682e+00  4.761863e-06  7.252669e+01  1.460049e-01  1.058925e+01  3.608431e-02  3.333152e+00
    16  -2.214432e+00  -2.224765e+00  5.501171e-06  7.250717e+01  1.460048e-01  1.058639e+01  3.609404e-02  3.333602e+00
    17  -2.193511e+00  -2.203845e+00  6.355263e-06  7.248567e+01  1.460046e-01  1.058324e+01  3.610476e-02  3.334098e+00
    18  -2.172588e+00  -2.182924e+00  7.341957e-06  7.246202e+01  1.460045e-01  1.057978e+01  3.611657e-02  3.334644e+00
    19  -2.151662e+00  -2.161999e+00  8.481841e-06  7.243598e+01  1.460043e-01  1.057596e+01  3.612958e-02  3.335245e+00
    20  -2.130733e+00  -2.141071e+00  9.798699e-06  7.240732e+01  1.460041e-01  1.057177e+01  3.614390e-02  3.335908e+00
    21  -2.109800e+00  -2.120140e+00  1.132001e-05  7.237577e+01  1.460039e-01  1.056714e+01  3.615968e-02  3.336637e+00
    22  -2.088863e+00  -2.099205e+00  1.307751e-05  7.234106e+01  1.460036e-01  1.056206e+01  3.617706e-02  3.337440e+00
