     i         log_r      log_rmid             m           rho            v2             p        trelax            kn
     0  -1.725366e+00  -2.026396e+00  4.934075e-05  1.508070e+01  4.508084e-02  6.798508e-01  3.123075e-01  1.617608e+01
     1  -1.703728e+00  -1.714412e+00  5.446776e-05  1.431116e+01  4.609011e-02  6.596031e-01  3.254777e-01  1.642248e+01
     2  -1.682995e+00  -1.693238e+00  6.012546e-05  1.423905e+01  4.618896e-02  6.576870e-01  3.267758e-01  1.644639e+01
     3  -1.663016e+00  -1.672891e+00  6.636847e-05  1.416675e+01  4.628860e-02  6.557589e-01  3.280899e-01  1.647055e+01
     4  -1.643670e+00  -1.653235e+00  7.325696e-05  1.409376e+01  4.638972e-02  6.538054e-01  3.294294e-01  1.649514e+01
     5  -1.624861e+00  -1.634164e+00  8.085723e-05  1.401965e+01  4.649295e-02  6.518147e-01  3.308030e-01  1.652031e+01
     6  -1.606510e+00  -1.615588e+00  8.924233e-05  1.394404e+01  4.659885e-02  6.497762e-01  3.322185e-01  1.654620e+01
     7  -1.588550e+00  -1.597437e+00  9.849269e-05  1.386659e+01  4.670796e-02  6.476801e-01  3.336836e-01  1.657295e+01
     8  -1.570929e+00  -1.579650e+00  1.086969e-04  1.378698e+01  4.682079e-02  6.455172e-01  3.352058e-01  1.660069e+01
     9  -1.553598e+00  -1.562177e+00  1.199527e-04  1.370491e+01  4.693783e-02  6.432788e-01  3.367924e-01  1.662955e+01
    10  -1.536519e+00  -1.544975e+00  1.323673e-04  1.362010e+01  4.705958e-02  6.409561e-01  3.384509e-01  1.665966e+01
    11  -1.519658e+00  -1.528007e+00  1.460590e-04  1.353227e+01  4.718653e-02  6.385407e-01  3.401891e-01  1.669113e+01
    12  -1.502985e+00  -1.511241e+00  1.611581e-04  1.344115e+01  4.731919e-02  6.360243e-01  3.420149e-01  1.672412e+01
    13  -1.486474e+00  -1.494651e+00  1.778078e-04  1.334648e+01  4.745807e-02  6.333983e-01  3.439364e-01  1.675875e+01
    14  -1.470102e+00  -1.478211e+00  1.961656e-04  1.324801e+01  4.760371e-02  6.306544e-01  3.459624e-01  1.679517e+01
    15  -1.453850e+00  -1.461900e+00  2.164050e-04  1.314548e+01  4.775663e-02  6.277840e-01  3.481021e-01  1.683352e+01
    16  -1.437700e+00  -1.445700e+00  2.387165e-04  1.303865e+01  4.791742e-02  6.247783e-01  3.503650e-01  1.687397e+01
    17  -1.421635e+00  -1.429593e+00  2.633099e-04  1.292726e+01  4.808665e-02  6.216287e-01  3.527615e-01  1.691666e+01
    18  -1.405641e+00  -1.413565e+00  2.904155e-04  1.281108e+01  4.826494e-02  6.183262e-01  3.553025e-01  1.696178e+01
    19  -1.389705e+00  -1.397600e+00  3.202866e-04  1.268988e+01  4.845293e-02  6.148617e-01  3.579996e-01  1.700950e+01
    20  -1.373815e+00  -1.381687e+00  3.532015e-04  1.256341e+01  4.865129e-02  6.112261e-01  3.608654e-01  1.706001e+01
    21  -1.357959e+00  -1.365815e+00  3.894659e-04  1.243146e+01  4.886071e-02  6.074101e-01  3.639133e-01  1.711351e+01
    22  -1.342128e+00  -1.349971e+00  4.294153e-04  1.229382e+01  4.908192e-02  6.034042e-01  3.671575e-01  1.717022e+01
    23  -1.326311e+00  -1.334147e+00  4.734182e-04  1.215028e+01  4.931568e-02  5.991991e-01  3.706136e-01  1.723037e+01
    24  -1.310499e+00  -1.318333e+00  5.218790e-04  1.200064e+01  4.956279e-02  5.947853e-01  3.742981e-01  1.729418e+01
    25  -1.294685e+00  -1.302520e+00  5.752413e-04  1.184474e+01  4.982407e-02  5.901533e-01  3.782289e-01  1.736192e+01
    26  -1.278859e+00  -1.286700e+00  6.339917e-04  1.168242e+01  5.010037e-02  5.852937e-01  3.824253e-01  1.743385e+01
    27  -1.263015e+00  -1.270865e+00  6.986635e-04  1.151354e+01  5.039261e-02  5.801972e-01  3.869081e-01  1.751025e+01
