      step          time          <dt>         rho_c         v_max        Kn_min  <dt lim>  <dr lim>  <du lim>  <n_iter_cr>  <n_iter_dr>
   3800000  3.420050e+02  4.716979e-05  8.877753e+00  3.191919e-01  1.402416e+01  1.31e-01  2.79e-04  8.90e-01  0.00000e+00  2.00000e+00
   3900000  3.465625e+02  4.557490e-05  9.277666e+00  3.197930e-01  1.369278e+01  1.32e-01  2.80e-04  8.90e-01  0.00000e+00  2.00000e+00
   4000000  3.509654e+02  4.402879e-05  9.697682e+00  3.203987e-01  1.336766e+01  1.34e-01  2.81e-04  8.90e-01  0.00000e+00  2.00000e+00
   4100000  3.552180e+02  4.252594e-05  1.013895e+01  3.210091e-01  1.304868e+01  1.35e-01  2.80e-04  8.90e-01  0.00000e+00  2.00000e+00
   4200000  3.593248e+02  4.106856e-05  1.060272e+01  3.216242e-01  1.273570e+01  1.37e-01  2.80e-04  8.90e-01  0.00000e+00  2.00000e+00
   4300000  3.632903e+02  3.965514e-05  1.109035e+01  3.222443e-01  1.242860e+01  1.38e-01  2.80e-04  8.90e-01  0.00000e+00  2.00000e+00
   4400000  3.671186e+02  3.828293e-05  1.160327e+01  3.228695e-01  1.212726e+01  1.40e-01  2.79e-04  8.90e-01  0.00000e+00  2.00000e+00
   4500000  3.708139e+02  3.695271e-05  1.214303e+01  3.235000e-01  1.183157e+01  1.42e-01  2.80e-04  8.90e-01  0.00000e+00  2.00000e+00
   4600000  3.743800e+02  3.566123e-05  1.271127e+01  3.241360e-01  1.154140e+01  1.43e-01  2.80e-04  8.90e-01  0.00000e+00  2.00000e+00
   4700000  3.778208e+02  3.440777e-05  1.330976e+01  3.247775e-01  1.125665e+01  1.45e-01  2.79e-04  8.90e-01  0.00000e+00  2.00000e+00
   4800000  3.811401e+02  3.319331e-05  1.394042e+01  3.254248e-01  1.097720e+01  1.47e-01  2.79e-04  8.90e-01  0.00000e+00  2.00000e+00
   4900000  3.843415e+02  3.201357e-05  1.460528e+01  3.260780e-01  1.070295e+01  1.49e-01  2.78e-04  8.90e-01  0.00000e+00  2.00000e+00
   5000000  3.874286e+02  3.087081e-05  1.530658e+01  3.267373e-01  1.043380e+01  1.51e-01  2.78e-04  8.90e-01  0.00000e+00  2.00000e+00
   5100000  3.904047e+02  2.976087e-05  1.604665e+01  3.274030e-01  1.016963e+01  1.53e-01  2.80e-04  8.90e-01  0.00000e+00  2.00000e+00
   5200000  3.932733e+02  2.868595e-05  1.682810e+01  3.280752e-01  9.910355e+00  1.54e-01  2.79e-04  8.90e-01  0.00000e+00  2.00000e+00
   5300000  3.960374e+02  2.764160e-05  1.765364e+01  3.287541e-01  9.655880e+00  1.56e-01  2.79e-04  8.90e-01  0.00000e+00  2.00000e+00
   5400000  3.987005e+02  2.663113e-05  1.852632e+01  3.294400e-01  9.406094e+00  1.58e-01  2.80e-04  8.90e-01  0.00000e+00  2.00000e+00
   5500000  4.012654e+02  2.564900e-05  1.944930e+01  3.301330e-01  9.160925e+00  1.61e-01  2.80e-04  8.90e-01  0.00000e+00  2.00000e+00
   5600000  4.037353e+02  2.469878e-05  2.042613e+01  3.308334e-01  8.920264e+00  1.63e-01  2.79e-04  8.90e-01  0.00000e+00  2.00000e+00
   5700000  4.061129e+02  2.377580e-05  2.146055e+01  3.315415e-01  8.684041e+00  1.65e-01  2.79e-04  8.90e-01  0.00000e+00  2.00000e+00
   5800000  4.084012e+02  2.288275e-05  2.255672e+01  3.322575e-01  8.452154e+00  1.67e-01  2.79e-04  8.90e-01  0.00000e+00  2.00000e+00
   5900000  4.106027e+02  2.201582e-05  2.371905e+01  3.329816e-01  8.224533e+00  1.69e-01  2.79e-04  8.90e-01  0.00000e+00  2.00000e+00
   6000000  4.127204e+02  2.117633e-05  2.495243e+01  3.337142e-01  8.001088e+00  1.72e-01  2.79e-04  8.90e-01  0.00000e+00  2.00000e+00
   6100000  4.147566e+02  2.036253e-05  2.626210e+01  3.344556e-01  7.781744e+00  1.74e-01  2.80e-04  8.90e-01  0.00000e+00  2.00000e+00
   6200000  4.167140e+02  1.957388e-05  2.765383e+01  3.352060e-01  7.566424e+00  1.77e-01  2.81e-04  8.90e-01  0.00000e+00  2.00000e+00
   6300000  4.185951e+02  1.881048e-05  2.913394e+01  3.359659e-01  7.355046e+00  1.79e-01  2.79e-04  8.90e-01  0.00000e+00  2.00000e+00
   6400000  4.204021e+02  1.807028e-05  3.070924e+01  3.367355e-01  7.147543e+00  1.82e-01  2.80e-04  8.90e-01  0.00000e+00  2.00000e+00
   6500000  4.221375e+02  1.735378e-05  3.238728e+01  3.375152e-01  6.943838e+00  1.84e-01  2.81e-04  8.90e-01  0.00000e+00  2.00000e+00
   6600000  4.238035e+02  1.665998e-05  3.417632e+01  3.383054e-01  6.743860e+00  1.87e-01  2.81e-04  8.90e-01  0.00000e+00  2.00000e+00
   6700000  4.254023e+02  1.598802e-05  3.608538e+01  3.391066e-01  6.547542e+00  1.90e-01  2.81e-04  8.90e-01  0.00000e+00  2.00000e+00
   6800000  4.269360e+02  1.533779e-05  3.812447e+01  3.399191e-01  6.354812e+00  1.93e-01  2.80e-04  8.90e-01  0.00000e+00  2.00000e+00
   6900000  4.284069e+02  1.470836e-05  4.030454e+01  3.407434e-01  6.165605e+00  1.96e-01  2.82e-04  8.90e-01  0.00000e+00  2.00000e+00
   7000000  4.298168e+02  1.409937e-05  4.263773e+01  3.415801e-01  5.979854e+00  1.99e-01  2.81e-04  8.90e-01  0.00000e+00  2.00000e+00
   7100000  4.311678e+02  1.350992e-05  4.513741e+01  3.424296e-01  5.797497e+00  2.03e-01  2.82e-04  8.90e-01  0.00000e+00  2.00000e+00
   7200000  4.324619e+02  1.294044e-05  4.781859e+01  3.432925e-01  5.618462e+00  2.06e-01  2.82e-04  8.90e-01  0.00000e+00  2.00000e+00
   7300000  4.337008e+02  1.238904e-05  5.069763e+01  3.441694e-01  5.442695e+00  2.10e-01  2.81e-04  8.90e-01  0.00000e+00  2.00000e+00
   7400000  4.348864e+02  1.185643e-05  5.379307e+01  3.450611e-01  5.270126e+00  2.13e-01  2.81e-04  8.90e-01  0.00000e+00  2.00000e+00
   7500000  4.360205e+02  1.134130e-05  5.712536e+01  3.459681e-01  5.100698e+00  2.17e-01  2.81e-04  8.90e-01  0.00000e+00  2.00000e+00
   7600000  4.371049e+02  1.084389e-05  6.071761e+01  3.468913e-01  4.934345e+00  2.21e-01  2.81e-04  8.90e-01  0.00000e+00  2.00000e+00
   7700000  4.381412e+02  1.036318e-05  6.459556e+01  3.478314e-01  4.771007e+00  2.25e-01  2.81e-04  8.90e-01  0.00000e+00  2.00000e+00
   7800000  4.391311e+02  9.898841e-06  6.878825e+01  3.487893e-01  4.610625e+00  2.30e-01  2.80e-04  8.90e-01  0.00000e+00  2.00000e+00
   7900000  4.400762e+02  9.450827e-06  7.332859e+01  3.497662e-01  4.453134e+00  2.34e-01  2.81e-04  8.90e-01  0.00000e+00  2.00000e+00
   8000000  4.409780e+02  9.018211e-06  7.825365e+01  3.507628e-01  4.298474e+00  2.39e-01  2.81e-04  8.90e-01  0.00000e+00  2.00000e+00
   8100000  4.418381e+02  8.600909e-06  8.360574e+01  3.517806e-01  4.146582e+00  2.44e-01  2.80e-04  8.90e-01  0.00000e+00  2.00000e+00
   8200000  4.426580e+02  8.198365e-06  8.943304e+01  3.528206e-01  3.997396e+00  2.50e-01  2.80e-04  8.90e-01  0.00000e+00  2.00000e+00
   8300000  4.434390e+02  7.810479e-06  9.579095e+01  3.538845e-01  3.850848e+00  2.55e-01  2.80e-04  8.90e-01  0.00000e+00  2.00000e+00
   8400000  4.441827e+02  7.436526e-06  1.027430e+02  3.549736e-01  3.706876e+00  2.61e-01  2.81e-04  8.89e-01  0.00000e+00  2.00000e+00
   8500000  4.448903e+02  7.076362e-06  1.103628e+02  3.560898e-01  3.565409e+00  2.68e-01  2.79e-04  8.89e-01  0.00000e+00  2.00000e+00
   8600000  4.455632e+02  6.729462e-06  1.187357e+02  3.572349e-01  3.426380e+00  2.75e-01  2.80e-04  8.89e-01  0.00000e+00  2.00000e+00
   8700000  4.462028e+02  6.395669e-06  1.279618e+02  3.584113e-01  3.289715e+00  2.82e-01  2.79e-04  8.89e-01  0.00000e+00  2.00000e+00
   8800000  4.468103e+02  6.074598e-06  1.381585e+02  3.596214e-01  3.155338e+00  2.90e-01  2.79e-04  8.89e-01  0.00000e+00  2.00000e+00
   8900000  4.473869e+02  5.765917e-06  1.494650e+02  3.608679e-01  3.023166e+00  2.98e-01  2.79e-04  8.89e-01  0.00000e+00  2.00000e+00
   9000000  4.479338e+02  5.469209e-06  1.620469e+02  3.621542e-01  2.893118e+00  3.08e-01  2.78e-04  8.89e-01  0.00000e+00  2.00000e+00
   9100000  4.484522e+02  5.184360e-06  1.761037e+02  3.634839e-01  2.765099e+00  3.18e-01  2.79e-04  8.89e-01  0.00000e+00  2.00000e+00
   9200000  4.489433e+02  4.910993e-06  1.918767e+02  3.648614e-01  2.639010e+00  3.29e-01  2.80e-04  8.89e-01  0.00000e+00  2.00000e+00
   9300000  4.494082e+02  4.648911e-06  2.096622e+02  3.662918e-01  2.514739e+00  3.41e-01  2.79e-04  8.89e-01  0.00000e+00  2.00000e+00
   9400000  4.498480e+02  4.397832e-06  2.298263e+02  3.677809e-01  2.392165e+00  3.54e-01  2.80e-04  8.89e-01  0.00000e+00  2.00000e+00
