     i         log_r      log_rmid             m           rho            v2             p        trelax            kn
     0  -1.852377e+00  -2.153407e+00  4.934075e-05  3.626224e+01  1.150422e-01  4.171689e+00  8.130490e-02  6.530166e+00
     1  -1.831459e+00  -1.841792e+00  5.446776e-05  3.568754e+01  1.150372e-01  4.105396e+00  8.261600e-02  6.582679e+00
     2  -1.811391e+00  -1.821309e+00  6.012546e-05  3.563282e+01  1.150395e-01  4.099182e+00  8.274205e-02  6.587666e+00
     3  -1.792036e+00  -1.801606e+00  6.636847e-05  3.557957e+01  1.150349e-01  4.092891e+00  8.286756e-02  6.592726e+00
     4  -1.773283e+00  -1.782558e+00  7.325696e-05  3.552260e+01  1.150389e-01  4.086481e+00  8.299901e-02  6.597895e+00
     5  -1.755044e+00  -1.764068e+00  8.085723e-05  3.546678e+01  1.150348e-01  4.079912e+00  8.313114e-02  6.603204e+00
     6  -1.737246e+00  -1.746054e+00  8.924233e-05  3.540733e+01  1.150370e-01  4.073151e+00  8.326993e-02  6.608683e+00
     7  -1.719831e+00  -1.728451e+00  9.849269e-05  3.534721e+01  1.150349e-01  4.066163e+00  8.341229e-02  6.614359e+00
     8  -1.702746e+00  -1.711205e+00  1.086969e-04  3.528410e+01  1.150353e-01  4.058916e+00  8.356136e-02  6.620261e+00
     9  -1.685951e+00  -1.694268e+00  1.199527e-04  3.521885e+01  1.150344e-01  4.051378e+00  8.371649e-02  6.626417e+00
    10  -1.669409e+00  -1.677601e+00  1.323673e-04  3.515063e+01  1.150340e-01  4.043518e+00  8.387910e-02  6.632854e+00
    11  -1.653090e+00  -1.661173e+00  1.460590e-04  3.507941e+01  1.150334e-01  4.035304e+00  8.404961e-02  6.639601e+00
    12  -1.636966e+00  -1.644953e+00  1.611581e-04  3.500481e+01  1.150329e-01  4.026704e+00  8.422893e-02  6.646688e+00
    13  -1.621015e+00  -1.628917e+00  1.778078e-04  3.492658e+01  1.150323e-01  4.017684e+00  8.441781e-02  6.654145e+00
    14  -1.605217e+00  -1.613044e+00  1.961656e-04  3.484441e+01  1.150316e-01  4.008209e+00  8.461712e-02  6.662005e+00
    15  -1.589554e+00  -1.597315e+00  2.164050e-04  3.475800e+01  1.150309e-01  3.998246e+00  8.482774e-02  6.670301e+00
    16  -1.574011e+00  -1.581713e+00  2.387165e-04  3.466702e+01  1.150302e-01  3.987756e+00  8.505061e-02  6.679068e+00
    17  -1.558574e+00  -1.566224e+00  2.633099e-04  3.457115e+01  1.150295e-01  3.976702e+00  8.528674e-02  6.688344e+00
    18  -1.543231e+00  -1.550835e+00  2.904155e-04  3.447005e+01  1.150287e-01  3.965044e+00  8.553720e-02  6.698169e+00
    19  -1.527972e+00  -1.535534e+00  3.202866e-04  3.436334e+01  1.150278e-01  3.952741e+00  8.580312e-02  6.708585e+00
    20  -1.512786e+00  -1.520312e+00  3.532015e-04  3.425067e+01  1.150270e-01  3.939750e+00  8.608572e-02  6.719637e+00
    21  -1.497664e+00  -1.505159e+00  3.894659e-04  3.413163e+01  1.150260e-01  3.926025e+00  8.638631e-02  6.731372e+00
    22  -1.482600e+00  -1.490067e+00  4.294153e-04  3.400583e+01  1.150250e-01  3.911520e+00  8.670628e-02  6.743842e+00
    23  -1.467586e+00  -1.475028e+00  4.734182e-04  3.387283e+01  1.150239e-01  3.896185e+00  8.704714e-02  6.757100e+00
