     i         log_r      log_rmid             m           rho            v2             p        trelax            kn
     0  -2.376688e+00  -2.677718e+00  4.934075e-05  1.356402e+03  1.587931e-01  2.153872e+02  1.850103e-03  9.088039e-01
     1  -2.355324e+00  -2.365874e+00  5.446776e-05  1.304936e+03  1.587649e-01  2.071781e+02  1.923240e-03  9.266340e-01
     2  -2.334843e+00  -2.344963e+00  6.012546e-05  1.300083e+03  1.587622e-01  2.064040e+02  1.930436e-03  9.283700e-01
     3  -2.315100e+00  -2.324859e+00  6.636847e-05  1.295188e+03  1.587594e-01  2.056232e+02  1.937749e-03  9.301309e-01
     4  -2.295977e+00  -2.305433e+00  7.325696e-05  1.290217e+03  1.587566e-01  2.048305e+02  1.945231e-03  9.319291e-01
     5  -2.277382e+00  -2.286580e+00  8.085723e-05  1.285142e+03  1.587537e-01  2.040209e+02  1.952932e-03  9.337762e-01
     6  -2.259237e+00  -2.268215e+00  8.924233e-05  1.279934e+03  1.587507e-01  2.031903e+02  1.960897e-03  9.356828e-01
     7  -2.241480e+00  -2.250268e+00  9.849269e-05  1.274568e+03  1.587476e-01  2.023346e+02  1.969171e-03  9.376593e-01
     8  -2.224056e+00  -2.232681e+00  1.086969e-04  1.269022e+03  1.587444e-01  2.014500e+02  1.977798e-03  9.397158e-01
     9  -2.206922e+00  -2.215404e+00  1.199527e-04  1.263270e+03  1.587410e-01  2.005328e+02  1.986823e-03  9.418624e-01
    10  -2.190038e+00  -2.198398e+00  1.323673e-04  1.257292e+03  1.587375e-01  1.995794e+02  1.996292e-03  9.441094e-01
    11  -2.173371e+00  -2.181625e+00  1.460590e-04  1.251064e+03  1.587338e-01  1.985861e+02  2.006254e-03  9.464675e-01
    12  -2.156894e+00  -2.165055e+00  1.611581e-04  1.244563e+03  1.587300e-01  1.975495e+02  2.016757e-03  9.489476e-01
    13  -2.140581e+00  -2.148661e+00  1.778078e-04  1.237767e+03  1.587259e-01  1.964657e+02  2.027856e-03  9.515613e-01
    14  -2.124410e+00  -2.132421e+00  1.961656e-04  1.230653e+03  1.587216e-01  1.953312e+02  2.039607e-03  9.543207e-01
    15  -2.108362e+00  -2.116312e+00  2.164050e-04  1.223196e+03  1.587171e-01  1.941422e+02  2.052069e-03  9.572385e-01
    16  -2.092420e+00  -2.100318e+00  2.387165e-04  1.215374e+03  1.587124e-01  1.928949e+02  2.065307e-03  9.603285e-01
    17  -2.076567e+00  -2.084421e+00  2.633099e-04  1.207161e+03  1.587073e-01  1.915853e+02  2.079392e-03  9.636052e-01
    18  -2.060791e+00  -2.068607e+00  2.904155e-04  1.198532e+03  1.587020e-01  1.902094e+02  2.094398e-03  9.670840e-01
    19  -2.045077e+00  -2.052863e+00  3.202866e-04  1.189462e+03  1.586963e-01  1.887632e+02  2.110407e-03  9.707816e-01
    20  -2.029415e+00  -2.037175e+00  3.532015e-04  1.179924e+03  1.586903e-01  1.872424e+02  2.127507e-03  9.747160e-01
    21  -2.013793e+00  -2.021534e+00  3.894659e-04  1.169891e+03  1.586838e-01  1.856428e+02  2.145796e-03  9.789064e-01
    22  -1.998203e+00  -2.005928e+00  4.294153e-04  1.159336e+03  1.586770e-01  1.839599e+02  2.165378e-03  9.833735e-01
    23  -1.982633e+00  -1.990348e+00  4.734182e-04  1.148231e+03  1.586698e-01  1.821895e+02  2.186370e-03  9.881400e-01
    24  -1.967075e+00  -1.974785e+00  5.218790e-04  1.136548e+03  1.586621e-01  1.803270e+02  2.208899e-03  9.932299e-01
    25  -1.951521e+00  -1.959229e+00  5.752413e-04  1.124258e+03  1.586538e-01  1.783678e+02  2.233103e-03  9.986698e-01
    26  -1.935963e+00  -1.943673e+00  6.339917e-04  1.111333e+03  1.586450e-01  1.763074e+02  2.259138e-03  1.004488e+00
    27  -1.920392e+00  -1.928108e+00  6.986635e-04  1.097744e+03  1.586356e-01  1.741413e+02  2.287171e-03  1.010716e+00
    28  -1.904800e+00  -1.912526e+00  7.698414e-04  1.083462e+03  1.586256e-01  1.718648e+02  2.317393e-03  1.017388e+00
    29  -1.889180e+00  -1.896920e+00  8.481657e-04  1.068460e+03  1.586149e-01  1.694737e+02  2.350010e-03  1.024540e+00
    30  -1.873524e+00  -1.881281e+00  9.343377e-04  1.052710e+03  1.586035e-01  1.669634e+02  2.385256e-03  1.032213e+00
    31  -1.857824e+00  -1.865603e+00  1.029125e-03  1.036185e+03  1.585912e-01  1.643299e+02  2.423389e-03  1.040452e+00
    32  -1.842071e+00  -1.849876e+00  1.133367e-03  1.018861e+03  1.585781e-01  1.615690e+02  2.464697e-03  1.049303e+00
    33  -1.826259e+00  -1.834093e+00  1.247982e-03  1.000713e+03  1.585641e-01  1.586771e+02  2.509505e-03  1.058822e+00
    34  -1.810378e+00  -1.818246e+00  1.373975e-03  9.817201e+02  1.585490e-01  1.556507e+02  2.558177e-03  1.069066e+00
    35  -1.794420e+00  -1.802325e+00  1.512441e-03  9.618630e+02  1.585328e-01  1.524869e+02  2.611122e-03  1.080100e+00
    36  -1.778375e+00  -1.786323e+00  1.664578e-03  9.411254e+02  1.585155e-01  1.491830e+02  2.668804e-03  1.091995e+00
    37  -1.762233e+00  -1.770229e+00  1.831692e-03  9.194946e+02  1.584969e-01  1.457370e+02  2.731747e-03  1.104829e+00
    38  -1.745986e+00  -1.754034e+00  2.015208e-03  8.969620e+02  1.584768e-01  1.421477e+02  2.800548e-03  1.118691e+00
    39  -1.729621e+00  -1.737727e+00  2.216679e-03  8.735235e+02  1.584553e-01  1.384144e+02  2.875889e-03  1.133677e+00
    40  -1.713128e+00  -1.721297e+00  2.437797e-03  8.491807e+02  1.584321e-01  1.345374e+02  2.958546e-03  1.149896e+00
    41  -1.696495e+00  -1.704732e+00  2.680402e-03  8.239411e+02  1.584070e-01  1.305181e+02  3.049416e-03  1.167468e+00
    42  -1.679708e+00  -1.688020e+00  2.946497e-03  7.978191e+02  1.583800e-01  1.263586e+02  3.149527e-03  1.186527e+00
    43  -1.662753e+00  -1.671148e+00  3.238258e-03  7.708367e+02  1.583508e-01  1.220626e+02  3.260074e-03  1.207227e+00
    44  -1.645616e+00  -1.654100e+00  3.558048e-03  7.430244e+02  1.583193e-01  1.176351e+02  3.382440e-03  1.229736e+00
    45  -1.628279e+00  -1.636861e+00  3.908434e-03  7.144215e+02  1.582851e-01  1.130823e+02  3.518240e-03  1.254246e+00
    46  -1.610726e+00  -1.619414e+00  4.292194e-03  6.850776e+02  1.582480e-01  1.084122e+02  3.669366e-03  1.280976e+00
    47  -1.592938e+00  -1.601741e+00  4.712343e-03  6.550525e+02  1.582078e-01  1.036344e+02  3.838044e-03  1.310172e+00
    48  -1.574894e+00  -1.583822e+00  5.172139e-03  6.244175e+02  1.581639e-01  9.876033e+01  4.026903e-03  1.342112e+00
    49  -1.556571e+00  -1.565636e+00  5.675107e-03  5.932553e+02  1.581162e-01  9.380326e+01  4.239066e-03  1.377118e+00
    50  -1.537945e+00  -1.547158e+00  6.225056e-03  5.616608e+02  1.580640e-01  8.877837e+01  4.478261e-03  1.415554e+00
    51  -1.518991e+00  -1.528365e+00  6.826093e-03  5.297411e+02  1.580069e-01  8.370276e+01  4.748957e-03  1.457841e+00
    52  -1.499678e+00  -1.509227e+00  7.482645e-03  4.976155e+02  1.579443e-01  7.859552e+01  5.056548e-03  1.504462e+00
    53  -1.479976e+00  -1.489716e+00  8.199479e-03  4.654150e+02  1.578754e-01  7.347756e+01  5.407574e-03  1.555976e+00
    54  -1.459851e+00  -1.469797e+00  8.981720e-03  4.332820e+02  1.577993e-01  6.837160e+01  5.810009e-03  1.613029e+00
    55  -1.439265e+00  -1.449436e+00  9.834873e-03  4.013688e+02  1.577152e-01  6.330195e+01  6.273641e-03  1.676377e+00
    56  -1.418177e+00  -1.428593e+00  1.076484e-02  3.698365e+02  1.576217e-01  5.829427e+01  6.810550e-03  1.746897e+00
    57  -1.396545e+00  -1.407226e+00  1.177795e-02  3.388528e+02  1.575176e-01  5.337529e+01  7.435742e-03  1.825618e+00
    58  -1.374319e+00  -1.385290e+00  1.288096e-02  3.085899e+02  1.574011e-01  4.857240e+01  8.167974e-03  1.913751e+00
    59  -1.351449e+00  -1.362734e+00  1.408111e-02  2.792211e+02  1.572703e-01  4.391318e+01  9.030846e-03  2.012717e+00
    60  -1.327879e+00  -1.339504e+00  1.538608e-02  2.509177e+02  1.571226e-01  3.942484e+01  1.005424e-02  2.124199e+00
    61  -1.303548e+00  -1.315543e+00  1.680409e-02  2.238449e+02  1.569553e-01  3.513363e+01  1.127625e-02  2.250187e+00
    62  -1.278395e+00  -1.290790e+00  1.834386e-02  1.981577e+02  1.567646e-01  3.106412e+01  1.274574e-02  2.393044e+00
    63  -1.252352e+00  -1.265178e+00  2.001463e-02  1.739962e+02  1.565465e-01  2.723849e+01  1.452575e-02  2.555575e+00
    64  -1.225349e+00  -1.238640e+00  2.182623e-02  1.514809e+02  1.562955e-01  2.367579e+01  1.669817e-02  2.741119e+00
    65  -1.197316e+00  -1.211106e+00  2.378900e-02  1.307085e+02  1.560055e-01  2.039125e+01  1.936985e-02  2.953645e+00
    66  -1.168182e+00  -1.182505e+00  2.591390e-02  1.117475e+02  1.556689e-01  1.739561e+01  2.268094e-02  3.197866e+00
    67  -1.137879e+00  -1.152766e+00  2.821244e-02  9.463530e+01  1.552764e-01  1.469463e+01  2.681600e-02  3.479371e+00
    68  -1.106345e+00  -1.121826e+00  3.069673e-02  7.937549e+01  1.548174e-01  1.228871e+01  3.201869e-02  3.804758e+00
    69  -1.073527e+00  -1.089626e+00  3.337950e-02  6.593749e+01  1.542793e-01  1.017279e+01  3.861124e-02  4.181770e+00
    70  -1.039387e+00  -1.056122e+00  3.627402e-02  5.425722e+01  1.536475e-01  8.336486e+00  4.701969e-02  4.619433e+00
    71  -1.003905e+00  -1.021284e+00  3.939419e-02  4.423977e+01  1.529060e-01  6.764525e+00  5.780627e-02  5.128159e+00
    72  -9.670893e-01  -9.851073e-01  4.275447e-02  3.576393e+01  1.520373e-01  5.437452e+00  7.170999e-02  5.719821e+00
    73  -9.289753e-01  -9.476143e-01  4.636989e-02  2.868817e+01  1.510237e-01  4.332594e+00  8.969631e-02  6.407759e+00
    74  -8.896340e-01  -9.088593e-01  5.025604e-02  2.285774e+01  1.498481e-01  3.425188e+00  1.130163e-01  7.206725e+00
    75  -8.491714e-01  -8.689316e-01  5.442903e-02  1.811225e+01  1.484957e-01  2.689592e+00  1.432751e-01  8.132741e+00
    76  -8.077277e-01  -8.279554e-01  5.890545e-02  1.429301e+01  1.469560e-01  2.100444e+00  1.825083e-01  9.202898e+00
    77  -7.654726e-01  -7.860864e-01  6.370238e-02  1.124938e+01  1.452241e-01  1.633680e+00  2.332665e-01  1.043510e+01
    78  -7.225970e-01  -7.435059e-01  6.883734e-02  8.843606e+00  1.433024e-01  1.267310e+00  2.987059e-01  1.184783e+01
    79  -6.793037e-01  -7.004111e-01  7.432819e-02  6.954028e+00  1.412015e-01  9.819190e-01  3.826872e-01  1.345991e+01
    80  -6.357955e-01  -6.570049e-01  8.019316e-02  5.476393e+00  1.389393e-01  7.608864e-01  4.898835e-01  1.529045e+01
    81  -5.922656e-01  -6.134854e-01  8.645076e-02  4.323762e+00  1.365406e-01  5.903693e-01  6.259032e-01  1.735874e+01
    82  -5.488894e-01  -5.700362e-01  9.311970e-02  3.425294e+00  1.340346e-01  4.591080e-01  7.974320e-01  1.968442e+01
    83  -5.058181e-01  -5.268200e-01  1.002189e-01  2.724352e+00  1.314528e-01  3.581237e-01  1.012399e+00  2.228762e+01
    84  -4.631767e-01  -4.839743e-01  1.077672e-01  2.176345e+00  1.288265e-01  2.803710e-01  1.280176e+00  2.518916e+01
    85  -4.210638e-01  -4.416100e-01  1.157837e-01  1.746560e+00  1.261852e-01  2.203900e-01  1.611804e+00  2.841085e+01
    86  -3.795530e-01  -3.998126e-01  1.242872e-01  1.408191e+00  1.235547e-01  1.739886e-01  2.020267e+00  3.197568e+01
    87  -3.386961e-01  -3.586442e-01  1.332966e-01  1.140637e+00  1.209566e-01  1.379676e-01  2.520796e+00  3.590804e+01
    88  -2.985268e-01  -3.181472e-01  1.428304e-01  9.281042e-01  1.184076e-01  1.098946e-01  3.131219e+00  4.023388e+01
    89  -2.590642e-01  -2.783474e-01  1.529067e-01  7.584819e-01  1.159203e-01  8.792344e-02  3.872354e+00  4.498087e+01
