     i         log_r      log_rmid             m           rho            v2             p        trelax            kn
     0  -1.838579e+00  -2.139609e+00  4.934075e-05  3.296566e+01  1.140920e-01  3.761119e+00  8.980708e-02  6.877358e+00
     1  -1.817669e+00  -1.827998e+00  5.446776e-05  3.245473e+01  1.140890e-01  3.702728e+00  9.122211e-02  6.931373e+00
     2  -1.797608e+00  -1.807522e+00  6.012546e-05  3.240791e+01  1.140850e-01  3.697255e+00  9.135552e-02  6.936501e+00
     3  -1.778258e+00  -1.787825e+00  6.636847e-05  3.235784e+01  1.140903e-01  3.691715e+00  9.149475e-02  6.941704e+00
     4  -1.759512e+00  -1.768784e+00  7.325696e-05  3.231016e+01  1.140839e-01  3.686068e+00  9.163234e-02  6.947019e+00
     5  -1.741278e+00  -1.750299e+00  8.085723e-05  3.225814e+01  1.140885e-01  3.680282e+00  9.177825e-02  6.952478e+00
     6  -1.723487e+00  -1.732291e+00  8.924233e-05  3.220705e+01  1.140845e-01  3.674326e+00  9.192544e-02  6.958111e+00
     7  -1.706076e+00  -1.714694e+00  9.849269e-05  3.215260e+01  1.140862e-01  3.668169e+00  9.208041e-02  6.963947e+00
     8  -1.688997e+00  -1.697453e+00  1.086969e-04  3.209710e+01  1.140846e-01  3.661785e+00  9.224030e-02  6.970016e+00
     9  -1.672208e+00  -1.680521e+00  1.199527e-04  3.203887e+01  1.140847e-01  3.655143e+00  9.240792e-02  6.976345e+00
    10  -1.655671e+00  -1.663861e+00  1.323673e-04  3.197837e+01  1.140839e-01  3.648218e+00  9.258304e-02  6.982963e+00
    11  -1.639357e+00  -1.647437e+00  1.460590e-04  3.191505e+01  1.140835e-01  3.640981e+00  9.276690e-02  6.989900e+00
    12  -1.623239e+00  -1.631223e+00  1.611581e-04  3.184879e+01  1.140829e-01  3.633402e+00  9.296016e-02  6.997186e+00
    13  -1.607294e+00  -1.615193e+00  1.778078e-04  3.177927e+01  1.140823e-01  3.625453e+00  9.316374e-02  7.004853e+00
    14  -1.591502e+00  -1.599326e+00  1.961656e-04  3.170625e+01  1.140817e-01  3.617103e+00  9.337854e-02  7.012933e+00
    15  -1.575845e+00  -1.583603e+00  2.164050e-04  3.162946e+01  1.140811e-01  3.608322e+00  9.360552e-02  7.021461e+00
    16  -1.560309e+00  -1.568008e+00  2.387165e-04  3.154861e+01  1.140804e-01  3.599077e+00  9.384570e-02  7.030474e+00
    17  -1.544878e+00  -1.552525e+00  2.633099e-04  3.146340e+01  1.140796e-01  3.589333e+00  9.410014e-02  7.040010e+00
    18  -1.529543e+00  -1.537143e+00  2.904155e-04  3.137354e+01  1.140789e-01  3.579057e+00  9.437000e-02  7.050109e+00
    19  -1.514290e+00  -1.521849e+00  3.202866e-04  3.127869e+01  1.140780e-01  3.568211e+00  9.465650e-02  7.060816e+00
    20  -1.499112e+00  -1.506635e+00  3.532015e-04  3.117853e+01  1.140772e-01  3.556758e+00  9.496094e-02  7.072175e+00
    21  -1.483999e+00  -1.491490e+00  3.894659e-04  3.107271e+01  1.140762e-01  3.544657e+00  9.528474e-02  7.084236e+00
    22  -1.468943e+00  -1.476406e+00  4.294153e-04  3.096086e+01  1.140752e-01  3.531867e+00  9.562938e-02  7.097051e+00
    23  -1.453938e+00  -1.461376e+00  4.734182e-04  3.084260e+01  1.140742e-01  3.518345e+00  9.599647e-02  7.110677e+00
    24  -1.438977e+00  -1.446393e+00  5.218790e-04  3.071755e+01  1.140731e-01  3.504045e+00  9.638776e-02  7.125171e+00
    25  -1.424054e+00  -1.431451e+00  5.752413e-04  3.058528e+01  1.140719e-01  3.488920e+00  9.680511e-02  7.140599e+00
    26  -1.409163e+00  -1.416545e+00  6.339917e-04  3.044536e+01  1.140706e-01  3.472921e+00  9.725053e-02  7.157028e+00
    27  -1.394300e+00  -1.401668e+00  6.986635e-04  3.029736e+01  1.140693e-01  3.455997e+00  9.772618e-02  7.174530e+00
    28  -1.379461e+00  -1.386817e+00  7.698414e-04  3.014080e+01  1.140678e-01  3.438095e+00  9.823441e-02  7.193184e+00
    29  -1.364640e+00  -1.371987e+00  8.481657e-04  2.997521e+01  1.140663e-01  3.419160e+00  9.877776e-02  7.213075e+00
