     i         log_r      log_rmid             m           rho            v2             p        trelax            kn
     0  -1.801648e+00  -2.102678e+00  4.934075e-05  2.554289e+01  3.374526e-02  8.619516e-01  2.131197e-01  1.436609e+01
     1  -1.778944e+00  -1.790148e+00  5.446776e-05  2.301373e+01  3.571695e-02  8.219804e-01  2.299195e-01  1.471124e+01
     2  -1.757230e+00  -1.767951e+00  6.012546e-05  2.277841e+01  3.591776e-02  8.181496e-01  2.316445e-01  1.474565e+01
     3  -1.736333e+00  -1.746656e+00  6.636847e-05  2.254595e+01  3.611866e-02  8.143295e-01  2.333811e-01  1.478019e+01
     4  -1.716119e+00  -1.726108e+00  7.325696e-05  2.231462e+01  3.632111e-02  8.104917e-01  2.351424e-01  1.481514e+01
     5  -1.696480e+00  -1.706189e+00  8.085723e-05  2.208299e+01  3.652640e-02  8.066119e-01  2.369402e-01  1.485073e+01
     6  -1.677327e+00  -1.686798e+00  8.924233e-05  2.184987e+01  3.673565e-02  8.026693e-01  2.387851e-01  1.488716e+01
     7  -1.658587e+00  -1.667856e+00  9.849269e-05  2.161428e+01  3.694988e-02  7.986451e-01  2.406870e-01  1.492462e+01
     8  -1.640199e+00  -1.649296e+00  1.086969e-04  2.137533e+01  3.717007e-02  7.945225e-01  2.426557e-01  1.496329e+01
     9  -1.622111e+00  -1.631061e+00  1.199527e-04  2.113226e+01  3.739713e-02  7.902858e-01  2.447005e-01  1.500334e+01
    10  -1.604279e+00  -1.613103e+00  1.323673e-04  2.088440e+01  3.763193e-02  7.859203e-01  2.468310e-01  1.504496e+01
    11  -1.586664e+00  -1.595382e+00  1.460590e-04  2.063115e+01  3.787535e-02  7.814120e-01  2.490567e-01  1.508829e+01
    12  -1.569235e+00  -1.577862e+00  1.611581e-04  2.037197e+01  3.812825e-02  7.767475e-01  2.513874e-01  1.513353e+01
    13  -1.551961e+00  -1.560512e+00  1.778078e-04  2.010638e+01  3.839148e-02  7.719139e-01  2.538333e-01  1.518084e+01
    14  -1.534817e+00  -1.543304e+00  1.961656e-04  1.983396e+01  3.866592e-02  7.668984e-01  2.564049e-01  1.523040e+01
    15  -1.517780e+00  -1.526215e+00  2.164050e-04  1.955434e+01  3.895242e-02  7.616889e-01  2.591132e-01  1.528239e+01
    16  -1.500830e+00  -1.509223e+00  2.387165e-04  1.926718e+01  3.925188e-02  7.562733e-01  2.619700e-01  1.533701e+01
    17  -1.483949e+00  -1.492308e+00  2.633099e-04  1.897222e+01  3.956521e-02  7.506399e-01  2.649873e-01  1.539446e+01
    18  -1.467119e+00  -1.475453e+00  2.904155e-04  1.866923e+01  3.989331e-02  7.447772e-01  2.681783e-01  1.545493e+01
    19  -1.450326e+00  -1.458642e+00  3.202866e-04  1.835803e+01  4.023712e-02  7.386742e-01  2.715567e-01  1.551864e+01
    20  -1.433555e+00  -1.441860e+00  3.532015e-04  1.803851e+01  4.059759e-02  7.323202e-01  2.751371e-01  1.558582e+01
    21  -1.416794e+00  -1.425094e+00  3.894659e-04  1.771061e+01  4.097569e-02  7.257046e-01  2.789352e-01  1.565670e+01
    22  -1.400030e+00  -1.408331e+00  4.294153e-04  1.737433e+01  4.137240e-02  7.188177e-01  2.829675e-01  1.573152e+01
    23  -1.383252e+00  -1.391560e+00  4.734182e-04  1.702972e+01  4.178871e-02  7.116501e-01  2.872520e-01  1.581055e+01
    24  -1.366450e+00  -1.374769e+00  5.218790e-04  1.667691e+01  4.222562e-02  7.041929e-01  2.918074e-01  1.589404e+01
    25  -1.349613e+00  -1.357950e+00  5.752413e-04  1.631609e+01  4.268414e-02  6.964383e-01  2.966543e-01  1.598228e+01
    26  -1.332733e+00  -1.341091e+00  6.339917e-04  1.594752e+01  4.316526e-02  6.883788e-01  3.018142e-01  1.607557e+01
    27  -1.315800e+00  -1.324184e+00  6.986635e-04  1.557152e+01  4.366999e-02  6.800081e-01  3.073105e-01  1.617421e+01
    28  -1.298807e+00  -1.307221e+00  7.698414e-04  1.518850e+01  4.419928e-02  6.713209e-01  3.131680e-01  1.627853e+01
    29  -1.281745e+00  -1.290192e+00  8.481657e-04  1.479893e+01  4.475411e-02  6.623128e-01  3.194135e-01  1.638885e+01
    30  -1.264607e+00  -1.273092e+00  9.343377e-04  1.440334e+01  4.533538e-02  6.529808e-01  3.260755e-01  1.650555e+01
    31  -1.247386e+00  -1.255911e+00  1.029125e-03  1.400234e+01  4.594397e-02  6.433232e-01  3.331847e-01  1.662898e+01
