 index          time      time_Gyr        step
     0  0.000000e+00  0.000000e+00           0
     1  1.769806e-02  3.391686e-03        4760
     2  3.060824e-02  5.865816e-03        6236
     3  4.319181e-02  8.277352e-03        7497
     4  5.603518e-02  1.073868e-02        8775
     5  6.944118e-02  1.330783e-02       10085
     6  8.365498e-02  1.603178e-02       11418
     7  9.892907e-02  1.895894e-02       12769
     8  1.155237e-01  2.213915e-02       14133
     9  1.337432e-01  2.563077e-02       15506
    10  1.539608e-01  2.950532e-02       16885
    11  1.766126e-01  3.384634e-02       18266
    12  2.022695e-01  3.876328e-02       19647
    13  2.315992e-01  4.438407e-02       21024
    14  2.654745e-01  5.087599e-02       22395
    15  3.049555e-01  5.844219e-02       23757
    16  3.513891e-01  6.734081e-02       25108
    17  4.064995e-01  7.790226e-02       26447
    18  4.723556e-01  9.052303e-02       27771
    19  5.516541e-01  1.057199e-01       29079
    20  6.478357e-01  1.241523e-01       30370
    21  7.654386e-01  1.466900e-01       31644
    22  9.101521e-01  1.744231e-01       32968
    23  1.089796e+00  2.088503e-01       34619
    24  1.314885e+00  2.519867e-01       36693
    25  1.599572e+00  3.065446e-01       39299
    26  1.963751e+00  3.763367e-01       42603
    27  2.435801e+00  4.668010e-01       46840
    28  3.057150e+00  5.858775e-01       52279
    29  3.890369e+00  7.455570e-01       59277
    30  5.033963e+00  9.647173e-01       68252
    31  6.652433e+00  1.274884e+00       79627
    32  9.043034e+00  1.733022e+00       93715
    33  1.281740e+01  2.456348e+00      110707
    34  1.957125e+01  3.750667e+00      137889
    35  3.787506e+01  7.258442e+00      277417
    36  1.208504e+02  2.315997e+01      934263
    37  1.515952e+02  2.905197e+01     1208164
    38  1.778909e+02  3.409132e+01     1461409
    39  2.013126e+02  3.857989e+01     1704873
    40  2.225181e+02  4.264374e+01     1942628
    41  2.418689e+02  4.635218e+01     2176555
    42  2.595998e+02  4.975015e+01     2407614
    43  2.758815e+02  5.287040e+01     2636306
    44  2.908486e+02  5.573871e+01     2862873
    45  3.046134e+02  5.837663e+01     3087424
    46  3.172732e+02  6.080278e+01     3309978
    47  3.289145e+02  6.303374e+01     3530498
    48  3.396156e+02  6.508452e+01     3748916
    49  3.494481e+02  6.696884e+01     3965147
    50  3.584781e+02  6.869936e+01     4179096
    51  3.667666e+02  7.028778e+01     4390655
    52  3.743703e+02  7.174497e+01     4599723
    53  3.813420e+02  7.308104e+01     4806200
    54  3.877307e+02  7.430537e+01     5009985
    55  3.935819e+02  7.542671e+01     5210984
    56  3.989381e+02  7.645318e+01     5409106
    57  4.038386e+02  7.739232e+01     5604266
    58  4.083200e+02  7.825114e+01     5796385
    59  4.124161e+02  7.903612e+01     5985388
    60  4.161584e+02  7.975330e+01     6171206
    61  4.195759e+02  8.040824e+01     6353777
    62  4.226955e+02  8.100608e+01     6533041
    63  4.255420e+02  8.155160e+01     6708940
    64  4.281384e+02  8.204918e+01     6881429
    65  4.305058e+02  8.250286e+01     7050459
    66  4.326636e+02  8.291639e+01     7215987
    67  4.346297e+02  8.329318e+01     7377973
    68  4.364207e+02  8.363641e+01     7536378
    69  4.380516e+02  8.394896e+01     7691170
    70  4.395364e+02  8.423351e+01     7842316
    71  4.408878e+02  8.449250e+01     7989783
    72  4.421175e+02  8.472816e+01     8133542
    73  4.432362e+02  8.494255e+01     8273565
    74  4.442538e+02  8.513755e+01     8409826
    75  4.451791e+02  8.531488e+01     8542297
    76  4.460204e+02  8.547612e+01     8670955
    77  4.467852e+02  8.562269e+01     8795778
    78  4.474804e+02  8.575592e+01     8916740
    79  4.481123e+02  8.587700e+01     9033823
    80  4.486864e+02  8.598703e+01     9147007
    81  4.492081e+02  8.608701e+01     9256277
    82  4.496821e+02  8.617784e+01     9361618
    83  4.501127e+02  8.626037e+01     9463016
    84  4.505039e+02  8.633534e+01     9560467
    85  4.508593e+02  8.640344e+01     9653969
    86  4.511821e+02  8.646531e+01     9743522
    87  4.514754e+02  8.652151e+01     9829137
    88  4.517418e+02  8.657257e+01     9910830
    89  4.519838e+02  8.661895e+01     9988622
    90  4.522037e+02  8.666109e+01    10062548
    91  4.524035e+02  8.669938e+01    10132646
    92  4.525850e+02  8.673417e+01    10198969
    93  4.527500e+02  8.676578e+01    10261577
    94  4.529000e+02  8.679452e+01    10320540
    95  4.530363e+02  8.682065e+01    10375941
    96  4.531602e+02  8.684441e+01    10427875
    97  4.532730e+02  8.686601e+01    10476430
    98  4.533756e+02  8.688567e+01    10521580
    99  4.534689e+02  8.690356e+01    10563871
   100  4.535539e+02  8.691984e+01    10603728
   101  4.536312e+02  8.693467e+01    10643503
   102  4.537017e+02  8.694818e+01    10683542
   103  4.537055e+02  8.694890e+01    10685785
