     i         log_r      log_rmid             m           rho            v2             p        trelax            kn
     0  -1.694858e+00  -1.995888e+00  4.934075e-05  1.221515e+01  5.014117e-02  6.124821e-01  3.655980e-01  1.704251e+01
     1  -1.673471e+00  -1.684033e+00  5.446776e-05  1.173805e+01  5.086956e-02  5.971093e-01  3.777245e-01  1.726049e+01
     2  -1.652969e+00  -1.663099e+00  6.012546e-05  1.169330e+01  5.094023e-02  5.956592e-01  3.789070e-01  1.728149e+01
     3  -1.633207e+00  -1.642976e+00  6.636847e-05  1.164827e+01  5.101160e-02  5.941970e-01  3.801054e-01  1.730274e+01
     4  -1.614067e+00  -1.623531e+00  7.325696e-05  1.160266e+01  5.108418e-02  5.927125e-01  3.813284e-01  1.732440e+01
     5  -1.595455e+00  -1.604661e+00  8.085723e-05  1.155620e+01  5.115841e-02  5.911969e-01  3.825837e-01  1.734659e+01
     6  -1.577295e+00  -1.586280e+00  8.924233e-05  1.150864e+01  5.123470e-02  5.896420e-01  3.838784e-01  1.736945e+01
     7  -1.559524e+00  -1.568319e+00  9.849269e-05  1.145977e+01  5.131344e-02  5.880404e-01  3.852196e-01  1.739308e+01
     8  -1.542088e+00  -1.550718e+00  1.086969e-04  1.140938e+01  5.139500e-02  5.863849e-01  3.866141e-01  1.741762e+01
     9  -1.524941e+00  -1.533430e+00  1.199527e-04  1.135725e+01  5.147975e-02  5.846686e-01  3.880685e-01  1.744316e+01
    10  -1.508046e+00  -1.516412e+00  1.323673e-04  1.130321e+01  5.156805e-02  5.828847e-01  3.895899e-01  1.746984e+01
    11  -1.491371e+00  -1.499628e+00  1.460590e-04  1.124707e+01  5.166028e-02  5.810265e-01  3.911852e-01  1.749775e+01
    12  -1.474885e+00  -1.483049e+00  1.611581e-04  1.118862e+01  5.175681e-02  5.790873e-01  3.928617e-01  1.752702e+01
    13  -1.458564e+00  -1.466648e+00  1.778078e-04  1.112769e+01  5.185802e-02  5.770601e-01  3.946271e-01  1.755778e+01
    14  -1.442388e+00  -1.450401e+00  1.961656e-04  1.106409e+01  5.196433e-02  5.749381e-01  3.964894e-01  1.759015e+01
    15  -1.426335e+00  -1.434287e+00  2.164050e-04  1.099763e+01  5.207614e-02  5.727143e-01  3.984569e-01  1.762427e+01
    16  -1.410390e+00  -1.418289e+00  2.387165e-04  1.092813e+01  5.219388e-02  5.703815e-01  4.005386e-01  1.766027e+01
    17  -1.394536e+00  -1.402391e+00  2.633099e-04  1.085539e+01  5.231802e-02  5.679323e-01  4.027440e-01  1.769831e+01
    18  -1.378761e+00  -1.386577e+00  2.904155e-04  1.077921e+01  5.244903e-02  5.653593e-01  4.050832e-01  1.773854e+01
    19  -1.363050e+00  -1.370834e+00  3.202866e-04  1.069942e+01  5.258739e-02  5.626546e-01  4.075670e-01  1.778112e+01
    20  -1.347394e+00  -1.355152e+00  3.532015e-04  1.061581e+01  5.273365e-02  5.598103e-01  4.102069e-01  1.782624e+01
    21  -1.331782e+00  -1.339518e+00  3.894659e-04  1.052819e+01  5.288834e-02  5.568185e-01  4.130154e-01  1.787406e+01
    22  -1.316204e+00  -1.323923e+00  4.294153e-04  1.043637e+01  5.305205e-02  5.536709e-01  4.160058e-01  1.792480e+01
    23  -1.300651e+00  -1.308358e+00  4.734182e-04  1.034016e+01  5.322538e-02  5.503589e-01  4.191924e-01  1.797865e+01
    24  -1.285115e+00  -1.292814e+00  5.218790e-04  1.023937e+01  5.340898e-02  5.468741e-01  4.225906e-01  1.803584e+01
    25  -1.269588e+00  -1.277282e+00  5.752413e-04  1.013381e+01  5.360352e-02  5.432077e-01  4.262169e-01  1.809661e+01
    26  -1.254062e+00  -1.261756e+00  6.339917e-04  1.002330e+01  5.380970e-02  5.393510e-01  4.300894e-01  1.816119e+01
    27  -1.238531e+00  -1.246227e+00  6.986635e-04  9.907686e+00  5.402827e-02  5.352952e-01  4.342274e-01  1.822987e+01
    28  -1.222987e+00  -1.230689e+00  7.698414e-04  9.786787e+00  5.426001e-02  5.310312e-01  4.386518e-01  1.830291e+01
    29  -1.207424e+00  -1.215136e+00  8.481657e-04  9.660458e+00  5.450574e-02  5.265504e-01  4.433852e-01  1.838062e+01
    30  -1.191836e+00  -1.199560e+00  9.343377e-04  9.528558e+00  5.476630e-02  5.218439e-01  4.484521e-01  1.846332e+01
    31  -1.176215e+00  -1.183955e+00  1.029125e-03  9.390967e+00  5.504259e-02  5.169032e-01  4.538792e-01  1.855135e+01
    32  -1.160557e+00  -1.168316e+00  1.133367e-03  9.247579e+00  5.533554e-02  5.117198e-01  4.596951e-01  1.864507e+01
    33  -1.144854e+00  -1.152635e+00  1.247982e-03  9.098313e+00  5.564611e-02  5.062857e-01  4.659311e-01  1.874487e+01
    34  -1.129102e+00  -1.136907e+00  1.373975e-03  8.943108e+00  5.597530e-02  5.005932e-01  4.726213e-01  1.885114e+01
    35  -1.113292e+00  -1.121125e+00  1.512441e-03  8.781936e+00  5.632414e-02  4.946350e-01  4.798024e-01  1.896434e+01
    36  -1.097420e+00  -1.105284e+00  1.664578e-03  8.614795e+00  5.669369e-02  4.884045e-01  4.875147e-01  1.908492e+01
    37  -1.081480e+00  -1.089377e+00  1.831692e-03  8.441718e+00  5.708504e-02  4.818958e-01  4.958017e-01  1.921337e+01
    38  -1.065465e+00  -1.073399e+00  2.015208e-03  8.262775e+00  5.749929e-02  4.751037e-01  5.047110e-01  1.935022e+01
    39  -1.049369e+00  -1.057342e+00  2.216679e-03  8.078077e+00  5.793757e-02  4.680241e-01  5.142945e-01  1.949602e+01
    40  -1.033186e+00  -1.041202e+00  2.437797e-03  7.887774e+00  5.840099e-02  4.606539e-01  5.246086e-01  1.965137e+01
    41  -1.016910e+00  -1.024972e+00  2.680402e-03  7.692066e+00  5.889069e-02  4.529910e-01  5.357149e-01  1.981688e+01
    42  -1.000534e+00  -1.008645e+00  2.946497e-03  7.491195e+00  5.940775e-02  4.450350e-01  5.476806e-01  1.999323e+01
    43  -9.840523e-01  -9.922149e-01  3.238258e-03  7.285456e+00  5.995326e-02  4.367868e-01  5.605791e-01  2.018113e+01
    44  -9.674587e-01  -9.756763e-01  3.558048e-03  7.075190e+00  6.052823e-02  4.282488e-01  5.744905e-01  2.038131e+01
    45  -9.507469e-01  -9.590224e-01  3.908434e-03  6.860792e+00  6.113364e-02  4.194252e-01  5.895024e-01  2.059458e+01
    46  -9.339108e-01  -9.422473e-01  4.292194e-03  6.642703e+00  6.177036e-02  4.103222e-01  6.057105e-01  2.082177e+01
    47  -9.169444e-01  -9.253447e-01  4.712343e-03  6.421415e+00  6.243914e-02  4.009476e-01  6.232192e-01  2.106378e+01
    48  -8.998418e-01  -9.083089e-01  5.172139e-03  6.197463e+00  6.314061e-02  3.913116e-01  6.421429e-01  2.132155e+01
    49  -8.825973e-01  -8.911340e-01  5.675107e-03  5.971425e+00  6.387525e-02  3.814263e-01  6.626065e-01  2.159608e+01
    50  -8.652056e-01  -8.738144e-01  6.225056e-03  5.743918e+00  6.464330e-02  3.713058e-01  6.847468e-01  2.188841e+01
