      step          time         t_Gyr         rho_c  rhoc_Msunpc3         v_max     v_max_kms        Kn_min       mintrel   mintrel_Gyr
         0  0.000000e+00  0.000000e+00  1.005368e+02  1.692395e+00  3.070636e-01  1.973820e+01  1.092158e+01  7.004024e-02  1.342263e-02
      2327  3.832276e-03  7.344238e-04  9.953101e+01  1.675464e+00  3.075017e-01  1.976636e+01  1.022962e+01  7.687762e-02  1.473296e-02
      2787  5.628803e-03  1.078713e-03  9.853560e+01  1.658708e+00  3.075018e-01  1.976636e+01  1.029002e+01  7.772119e-02  1.489462e-02
      3140  7.274017e-03  1.394005e-03  9.754958e+01  1.642110e+00  3.075018e-01  1.976636e+01  1.034317e+01  7.851650e-02  1.504704e-02
      3434  8.823756e-03  1.691000e-03  9.657123e+01  1.625641e+00  3.075019e-01  1.976637e+01  1.039200e+01  7.928572e-02  1.519445e-02
      3690  1.030359e-02  1.974598e-03  9.560240e+01  1.609332e+00  3.075019e-01  1.976637e+01  1.043777e+01  8.003745e-02  1.533851e-02
      3920  1.173150e-02  2.248245e-03  9.464279e+01  1.593178e+00  3.075019e-01  1.976637e+01  1.048131e+01  8.077773e-02  1.548038e-02
      4130  1.311472e-02  2.513328e-03  9.369538e+01  1.577230e+00  3.075020e-01  1.976637e+01  1.052298e+01  8.150787e-02  1.562031e-02
      4325  1.446533e-02  2.772160e-03  9.275751e+01  1.561442e+00  3.075020e-01  1.976638e+01  1.056325e+01  8.223237e-02  1.575915e-02
      4508  1.578911e-02  3.025851e-03  9.182927e+01  1.545816e+00  3.075020e-01  1.976638e+01  1.060235e+01  8.295284e-02  1.589722e-02
      4682  1.709677e-02  3.276454e-03  9.090626e+01  1.530279e+00  3.075021e-01  1.976638e+01  1.064064e+01  8.367401e-02  1.603543e-02
      4847  1.837952e-02  3.522282e-03  8.999718e+01  1.514976e+00  3.075021e-01  1.976638e+01  1.067790e+01  8.439002e-02  1.617265e-02
      5006  1.965372e-02  3.766472e-03  8.909241e+01  1.499745e+00  3.075021e-01  1.976638e+01  1.071462e+01  8.510918e-02  1.631047e-02
      5159  2.091403e-02  4.008000e-03  8.819735e+01  1.484678e+00  3.075022e-01  1.976639e+01  1.075068e+01  8.582782e-02  1.644819e-02
      5307  2.216376e-02  4.247502e-03  8.731098e+01  1.469757e+00  3.075022e-01  1.976639e+01  1.078618e+01  8.654724e-02  1.658606e-02
      5451  2.340674e-02  4.485707e-03  8.643173e+01  1.454956e+00  3.075022e-01  1.976639e+01  1.082125e+01  8.726911e-02  1.672440e-02
      5591  2.463977e-02  4.722009e-03  8.556278e+01  1.440329e+00  3.075023e-01  1.976639e+01  1.085579e+01  8.799112e-02  1.686277e-02
      5727  2.586004e-02  4.955862e-03  8.470688e+01  1.425921e+00  3.075023e-01  1.976639e+01  1.088975e+01  8.871116e-02  1.700076e-02
      5861  2.708333e-02  5.190295e-03  8.385364e+01  1.411558e+00  3.075023e-01  1.976639e+01  1.092356e+01  8.943820e-02  1.714009e-02
      5992  2.829869e-02  5.423210e-03  8.301133e+01  1.397379e+00  3.075023e-01  1.976640e+01  1.095693e+01  9.016543e-02  1.727946e-02
      6121  2.951257e-02  5.655839e-03  8.217599e+01  1.383317e+00  3.075024e-01  1.976640e+01  1.099004e+01  9.089639e-02  1.741954e-02
      6248  3.072329e-02  5.887865e-03  8.134921e+01  1.369399e+00  3.075024e-01  1.976640e+01  1.102285e+01  9.162984e-02  1.756010e-02
      6373  3.192974e-02  6.119070e-03  8.053214e+01  1.355645e+00  3.075024e-01  1.976640e+01  1.105532e+01  9.236482e-02  1.770095e-02
      6496  3.313022e-02  6.349132e-03  7.972622e+01  1.342079e+00  3.075024e-01  1.976640e+01  1.108743e+01  9.310006e-02  1.784186e-02
      6618  3.433257e-02  6.579552e-03  7.892646e+01  1.328616e+00  3.075025e-01  1.976641e+01  1.111937e+01  9.384013e-02  1.798368e-02
      6739  3.553623e-02  6.810225e-03  7.813355e+01  1.315268e+00  3.075025e-01  1.976641e+01  1.115113e+01  9.458453e-02  1.812634e-02
      6859  3.674075e-02  7.041060e-03  7.734806e+01  1.302046e+00  3.075025e-01  1.976641e+01  1.118271e+01  9.533280e-02  1.826974e-02
      6978  3.794569e-02  7.271976e-03  7.657050e+01  1.288957e+00  3.075025e-01  1.976641e+01  1.121410e+01  9.608451e-02  1.841380e-02
      7097  3.915392e-02  7.503523e-03  7.579923e+01  1.275973e+00  3.075026e-01  1.976641e+01  1.124535e+01  9.684130e-02  1.855883e-02
      7216  4.035848e-02  7.734367e-03  7.503885e+01  1.263173e+00  3.075026e-01  1.976641e+01  1.127631e+01  9.759865e-02  1.870397e-02
      7336  4.157008e-02  7.966561e-03  7.428274e+01  1.250445e+00  3.075026e-01  1.976641e+01  1.130724e+01  9.836316e-02  1.885048e-02
      7456  4.277918e-02  8.198275e-03  7.353703e+01  1.237892e+00  3.075026e-01  1.976642e+01  1.133790e+01  9.912867e-02  1.899719e-02
      7576  4.398631e-02  8.429613e-03  7.280141e+01  1.225509e+00  3.075027e-01  1.976642e+01  1.136830e+01  9.989537e-02  1.914412e-02
      7697  4.520203e-02  8.662595e-03  7.206959e+01  1.213190e+00  3.075027e-01  1.976642e+01  1.139871e+01  1.006698e-01  1.929254e-02
      7818  4.641674e-02  8.895384e-03  7.134748e+01  1.201034e+00  3.075027e-01  1.976642e+01  1.142889e+01  1.014459e-01  1.944126e-02
      7940  4.764093e-02  9.129989e-03  7.062897e+01  1.188939e+00  3.075027e-01  1.976642e+01  1.145909e+01  1.022301e-01  1.959154e-02
      8062  4.886496e-02  9.364565e-03  6.991982e+01  1.177002e+00  3.075027e-01  1.976642e+01  1.148909e+01  1.030161e-01  1.974218e-02
      8184  5.008925e-02  9.599189e-03  6.921981e+01  1.165218e+00  3.075028e-01  1.976642e+01  1.151888e+01  1.038042e-01  1.989321e-02
      8307  5.132421e-02  9.835859e-03  6.852309e+01  1.153490e+00  3.075028e-01  1.976642e+01  1.154872e+01  1.046009e-01  2.004589e-02
      8430  5.256018e-02  1.007272e-02  6.783522e+01  1.141910e+00  3.075028e-01  1.976643e+01  1.157838e+01  1.053999e-01  2.019902e-02
      8553  5.379750e-02  1.030984e-02  6.715600e+01  1.130477e+00  3.075028e-01  1.976643e+01  1.160787e+01  1.062013e-01  2.035260e-02
      8677  5.504658e-02  1.054922e-02  6.647983e+01  1.119094e+00  3.075028e-01  1.976643e+01  1.163742e+01  1.070118e-01  2.050793e-02
      8801  5.629769e-02  1.078899e-02  6.581207e+01  1.107853e+00  3.075028e-01  1.976643e+01  1.166682e+01  1.078250e-01  2.066377e-02
      8925  5.755114e-02  1.102920e-02  6.515254e+01  1.096751e+00  3.075029e-01  1.976643e+01  1.169606e+01  1.086410e-01  2.082014e-02
      9050  5.881738e-02  1.127186e-02  6.449587e+01  1.085697e+00  3.075029e-01  1.976643e+01  1.172538e+01  1.094664e-01  2.097833e-02
      9175  6.008658e-02  1.151510e-02  6.384723e+01  1.074778e+00  3.075029e-01  1.976643e+01  1.175456e+01  1.102949e-01  2.113710e-02
      9300  6.135904e-02  1.175895e-02  6.320645e+01  1.063992e+00  3.075029e-01  1.976643e+01  1.178361e+01  1.111264e-01  2.129646e-02
